Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Blossom Reads,3502554.0,"Latvia, Riga, Riga",https://www.linkedin.com/company/stastiem,www.blossomreads.com,"Blossom Reads turns reluctant readers into curious explorers with parent driven contextualization and AI driven personalization developing deeply personal book experience for each reader. Each story is tailored to the child’s name, appearance and interests, boosting engagement and vocabulary retention. Traction & proof - 888 copies sold in 7 months  - 4.6★ Trustpilot rating from parents How it works - Parents shares the context through our user friendly UI  → our GenAI engine writes & illustrates a bespoke book. - After final tweaks files go straight to print. - Kids receive a keepsake that makes them the hero of their own learning journey. Why now 65 % of kids dislike reading, yet parents spend €67 B/year on home-learning tools that don’t stick. Personalisation is the missing lever. Raise We’re closing the final €112 k of a €150 k (cap €1.5 M) by 1 Aug 2025 to scale onboarding, and expand into other English speaking markets beyond UK. Tickets from €1 k. DM “DECK” to find out more. *For professional investors only. Capital at risk.",Latvia,3.502554,,,
Your Run,4645821.0,"Latvia, Riga, Riga, 7 Baznīcas, lv-1050",https://www.linkedin.com/company/your-run,www.yourrun.lv,"Travel Agency / Tour Operator - flight tickets, hotel reservations, transfer and transportation services, concerts, events, vacations, excursions, business travel, 24/7 travel assistance, luxury travel DMC / PCO Baltic States - incoming leisure groups, FIT, special interest tours, spa, golf, weekend packages, events, incentives, conferences, congresses, meetings, events, company visits, luxury travel",Latvia,4.645821,,,
Sia Aletour Tour Operator,416448.0,"Latvia, Riga, Riga, 3 9 Rudolfa Iela, 1012",https://www.linkedin.com/company/sia-aletour-tour-operator,,"Since the establishment of SIA ALETOUR in 2005, the company has consistently practiced trade neutrality and continues successfully to this day as a dedicated B2B travel industry wholesaler. ALETOUR accommodation and destination services is a leading receptive and business to business provider of incoming travel services to travel trade professionals worldwide. Our key products include accommodation, transfers, excursions, tickets and tour programmes in addition to professional ground support and rep services.",Latvia,0.416448,,,
Jēkaba Ceļojumi,3776004.0,"Latvia, Riga, Riga",https://www.linkedin.com/company/jekaba-agentura,www.jekaba.lv,"Travel agency and tour operator, providing group and individual tours all over the world.  As well, serving corporate clients - offering hotel reservations, air tickets, visas, travel insurance., congress. In our company works only travel experts - totally we have discovered more than 100 countries.",Latvia,3.776004,,,
CV TRAVEL | BALTIC,1888002.0,"Latvia, Riga, Riga, 32 Terbatas, 1010",https://www.linkedin.com/company/cvtravel.lv,www.cvtravel.lv,"СV TRAVEL - Your Personal Assistant in travel leisure events organizing Founded in 2011, based in Riga and specializing in business travel planning - we provide an integrated, safe and modern approach of travel and concierge service.   We offer comprehensive solutions in the field of corporate services - railway, bus or plane tickets, hotels, transfers, insurance, visas and other travel related services.  Our services are provided to various types of clients - business professionals, individuals and families. As we seek to provide the best experience possible, each and every decision and detail is tailored for clients needs and wants. To ensure that our customer will be satisfied, we collaborate only with tested and recognized companies.  Be safe and plan Your next trip with US!",Latvia,1.888002,,,
Travel Agency Spare / Ax Group,1258668.0,"Latvia, Riga, Riga, 41 Tērbatas Iela",https://www.linkedin.com/company/travel-agency-spare-ax-group,www.spare.lv,"AX Group is a business chain which also includes Travel agency Spare and Spare sport. It means more than 20 years of successfully providing tourism services both in Latvia and in the international market. Our related businesses offer services for individual tourists or VIP clients and sport or medical tourism alike. AX Group offers luxury car rental with or without driver. For our clients we provide transfers wherever necessary, even transfers with a helicopter. What should be emphasized is our specialization and successful experience in the area of VIP customer services:  faster reception in the embassies of Republic of Latvia for acquiring a visa or an invitation,  booking of VIP terminals in airports,  transport from the terminal,  plane rental,  transfers and excursions with a helicopter,  cars with or without a driver,  booking of hotels or VIP apartments,  booking of tickets and restaurants and organization of business meetings.  Because of the large amount of interest, we also offer obtaining of residence permits in Republic of Latvia. Spare Sport is successfully providing services for sport tourism - football, volleyball, basketball and fencing game organization for commands, clubs and training camps around the world. For the sportsmen we offer obtaining of visa, booking of hotels, transfers, uniform cleaning, rental of the best sport halls and fields. Medical services are also available by the best specialists in Latvia. Our clients return to us because they are satisfied with the quality of our services and individual handling of each client's requirements.",Latvia,1.258668,,,
GoTrip Travel Market,624672.0,"Latvia, Riga, Riga, 10 Kalpaka Bulvāris",https://www.linkedin.com/company/gotrip-travel-market,www.gotrip.lv,"GoTrip.lv is a cutting-edge technology company that wishes to improve customers’ experience in travel planning and trip ticket purchase, allowing them to save the most important resources – time and money! We offer introduction of innovations in your travel planning!",Latvia,0.624672,,,
Eurotravel,129660.0,"Latvia, Riga, Riga, 29 Lāčplēša Iela, lv-1011",https://www.linkedin.com/company/eurotravel,www.avio.lv,"EUROTRAVEL is a travel agency incorporated in 1997. We specialize in selling airline tickets, offering the most advantageous deals and compiling travel packages (airline ticket + hotel + insurance + transfer). Our membership in IATA (International Air Transport Association) is a guarantee of compliance with financial, organizational, and safety standards. We offer: - Airline tickets (regular airlines and low-cost airlines); - Hotels; - Travel insurance; - Visas; - Travel packages; - Beach tours; - Transfers. Our customers: Eurotravel customers are individuals and business. Along with traditional travel products, we offer various technical solutions for the travel business: a call-centre services, an online search engine implementation and support. Booking systems: Presently we serve more than 10 websites where our customers can book airplane tickets, hotels, buy insurance, visas, and order transfers. Active cooperation with global booking systems (Amadeus, Travelport) enabled us to participate in development of the most modern booking system which presently allows to combine tickets of low-cost airlines, as Ryanair, easyJet, airBaltic, Germanwings, Norwegian and many more, allowing to substantially reduce travel costs and exempt our customers of wasting time for search and booking. We are easy to work with: An opportunity to get information and support in native language, even being outside Latvia, is a true convenience for a customer. Anyone can book an airline ticket with no need to deepen into the booking conditions. Besides, our services are not limited to sales only. We take into account our customers' needs: help with airport check-in, register baggage, warn about schedule changes and assist in emergency situations. We provide the online support for the following projects: www.avio.lv , www.skydiscounter.com, and others.  in English, Latvian, and Russian.",Latvia,0.12966,,,
AFY TRAVEL,832896.0,Latvia,https://www.linkedin.com/company/10615935,www.afytravel.com,"AFY Travel offers a full range of services, organizing business trips and tourist journeys for you , your partners and close friends. To ensure that our clients can do their basic business without any hindrance, we will book tickets for any means of transportation, help with hotel and car reservations and visa processing. We provide maximum support in any situation that may arise during the entire trip. ALL FOR YOUR TRAVEL",Latvia,0.832896,,,
IRBE TRAVEL,1041120.0,"Latvia, Riga, Riga, 6 Blaumana, lv-1011",https://www.linkedin.com/company/irbe-travel,www.irbe.lv,"IRBE TRAVEL is one of the leaders of the Latvian tourism market. For more than 20 years, the company is offering its clients a full range of travel services  - from booking tickets to creating custom and individual tours. Our employees’ high level of expertise and vast experience guarantees great leisure and business trips for all of the agency’s clients. The agency has IATA accreditation, as well as a number of other certificates that are necessary for working on an international travel market. Being a part of LNK Group – one of the biggest holding companies in the Baltics – IRBE TRAVEL has an opportunity to guarantee the utmost quality of its services.",Latvia,1.04112,,,
