Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Radisson Blu,7300000000.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/radissonblu,www.radissonblu.com,"Welcome to the official page for Radisson Blu, a brand of Radisson Hotel Group. Stylish living spaces for business and leisure in some of the world’s favorite destinations. Choose stylish and elegant hotels that are created with you in mind. Enjoy a warm welcome with our inviting ambience and thoughtful touches designed to please. Let our attentive team take care of the small details that make a big difference to your stay in the most desirable of destinations, which combine convenience and individuality. Radisson Blu is a part of the Radisson Hotel Group portfolio which also includes Radisson Collection, Radisson, Radisson RED, Radisson Individuals, Park Plaza, Park Inn by Radisson, Country Inn & Suites by Radisson, and prizeotel brought together under one commercial umbrella brand Radisson Hotels. Connect with Radisson Blu on social media: @RadissonBlu.",Sweden,7300.0,,,
Haymarket By Scandic,2138968940.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/haymarket-by-scandic,www.scandichotels.com,Art Deco hotel in the heart of Stockholm. Step into the roaring twenties and experience #ThatHaymarketFeeling,Sweden,2138.96894,,,
Scandic Laholmen,1806897300.0,"Sweden, Strömstad Västra, 1 Laholmen, 45230",https://www.linkedin.com/company/scandiclaholmen,www.laholmen.se,"Vi är ett modernt fullservicehotell med fokus på personlig service och tillmötesgående atmosfär. Sedan 1984 har vi levererat kvalitetsfyllda upplevelser inom hotell, konferens, restaurang och nöje.  Hotellets läge på en halvö i hamnen är unikt med närhet till både havet och Strömstad centrum.  Laholmen ingår i Scandic Hotels och är ett franschisehotell, och efterlever självklart kedjans krav för värdskap, miljöhänsyn, service och kvalitet.  Här hittar du moderna konferensfaciliteter, mat och dryck på en mycket hög nivå, underhållning med pianobar och nattklubb och vi anordnar flera roliga events per år. Vi skräddarsyr även för grupper efter önskemål.",Sweden,1806.8973,,,
Scandic Hotels,1071139620.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/scandic-hotels,www.scandichotels.com,"Scandic is the largest Nordic hotel operator with a network of about 280 hotels with 57,000 rooms in six countries. Every day, over 10,000 team members work for you to enjoy your stay, whether you happen to be in Sweden, Finland, Denmark, Norway, Germany or Poland. Scandic was founded in 1963 and since then, we have been a pioneer, driving development within the hotel industry. We operate in the mid-market segment under our industry-leading brand, Scandic.",Sweden,1071.13962,,,
Pandox,695859690.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/pandox,www.pandox.se,"Pandox AB is a leading hotel property company based in Stockholm, Sweden, specializing in the ownership, management, and development of hotel properties across Europe. Established in 1995, Pandox has built a diverse portfolio of 163 hotel properties, encompassing approximately 36,000 rooms in 11 countries, with a total market value exceeding SEK 76 billion. The company's mission is to create value through long-term, revenue-based leases with skilled hotel operators, ensuring a collaborative approach that aligns the interests of both parties in enhancing profitability and property value. Pandox primarily targets the upper mid-market segment, catering to both leisure and business travelers, and has established strong partnerships with renowned hotel brands such as Hilton, Scandic, and Radisson Blu. Pandox is committed to sustainability, actively working to minimize its environmental impact through eco-friendly practices and responsible sourcing. The company emphasizes energy efficiency and aims to achieve significant reductions in greenhouse gas emissions, aligning its operations with international sustainability standards. By fostering a corporate culture that values diversity and inclusion, Pandox prioritizes employee satisfaction and development, with staff from over 80 countries contributing to its success. The company operates through two main business segments: Leases, which accounts for the majority of its portfolio, and Own Operations, where it directly manages hotels. Pandox's strategic focus on long-term, turnover-based leases allows for shared growth and downside protection in fluctuating markets, positioning it as a key player in the competitive hospitality sector. By continuously investing in property renovations and enhancements, Pandox seeks to elevate the hotel experience and ensure that its properties meet the evolving demands of guests. Through its commitment to responsible business practices and community engagement, Pandox aims to contribute positively to the local communities in which it operates while delivering strong financial performance for its stakeholders.",Sweden,695.85969,,,
Clarion Hotel Sign,192241645.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/clarionhotelsign,www.nordicchoicehotels.se,"Clarion Hotel Sign is a premier hotel situated in the heart of Stockholm, adjacent to Norra Bantorget square and conveniently near Stockholm Central Station. The hotel offers a harmonious blend of modern Scandinavian design and comfort, making it an ideal choice for both leisure and business travelers. With a mission to provide exceptional hospitality, Clarion Hotel Sign focuses on creating memorable experiences through quality accommodations and personalized service. The hotel features 558 well-appointed rooms equipped with amenities such as minibars, climate control, and complimentary Wi-Fi, ensuring a comfortable stay for all guests. The hotel caters to a diverse clientele, including families, tourists exploring the vibrant city, and corporate guests seeking convenient meeting facilities. Clarion Hotel Sign boasts spacious conference facilities that can accommodate up to 600 participants, making it a preferred venue for business events. The hotel also offers a range of amenities, including a rooftop garden, spa, and diverse dining options, such as a breakfast buffet featuring local and organic ingredients, as well as a bar for relaxation. In addition to its commitment to exceptional service, Clarion Hotel Sign places a strong emphasis on sustainability. The hotel is dedicated to reducing its environmental impact and aims to achieve climate neutrality by 2030. This commitment not only enhances the guest experience but also reflects the hotel's responsibility towards the environment. Strategic partnerships with local attractions and businesses further enrich the overall experience for guests, solidifying Clarion Hotel Sign's reputation as a top choice for those visiting Stockholm.",Sweden,192.241645,,,
Sembo Group,177042860.0,"Sweden, Skåne, Helsingborg",https://www.linkedin.com/company/sembo-ab,www.sembo.se,"Sembo was founded 1987 in Helsingborg. The business idea was to offer affordable self drive packages to destinations around the Mediterranean on the Swedish market. Ever since then we have challenged the industry by selling dynamically packaged trips with different types of components. In fact in 2003, we were one of the first in the world to do this. Since 1987, we have accumulated a wealth of knowledge, experience and data that now means we dare to take the next step. Now we are developing a completely unique booking platform that will create great value for people to book completely unique user-generated trips in the future. A one stop shop for travel and experiences.  We have a bright view of the future. Where we built a data-driven travel tech company with big visions. Traveling is on most people's bucket list. At Sembo, we help people live their dreams. We became a part of Stena Line in 2007. A great opportunity to let Sembo create dynamic packages with ferry & hotel. This is something we still do today. Stena AB is one of the largest family-owned companies in Sweden and has global operations in shipping, ferry lines, offshore, real estate and finance. Stena also creates new businesses for the future.  Sembo is part of the Stena Line Travel & Retail Group. It's a business division within the Stena Line Group focused on leisure travel. The group has a turnover of more than 200 MEUR and operations within several European markets.",Sweden,177.04286,,,
Stureplansgruppen,143353439.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/stureplansgruppen-ab,www.stureplansgruppen.se,"Sweden’s largest entertainment group, Stureplansgruppen is active across the restaurant, entertainment, congress, contract catering, hotel and experience industries in Stockholm, Gothenburg, Visby and Åre. The company provides unique integrated solutions underpinned by a business idea which focuses on creating service-orientated meeting places and delivering premium quality entertainment experiences through a keen insight into the lifestyle and entertainment needs of its guests. At Stureplansgruppen, we endeavour to continuously lie at the cutting edge of the industry by creating and delivering unique value for our visitors, at the same time as offering a safe, secure experience. Our venues and events reflect the latest trends within cuisine, beverage, music and design. We create integrated concepts for individual guests as well as large groups, delivering overall solutions from start to finish. What makes Stureplansgruppen unique is its capacity to offer first class solutions from a single company spanning congresses, events, catering, conferencing, hotels,restaurants, nightclubs and concerts, while also handling marketing, sales and production within these areas through its own channels.",Sweden,143.353439,,,
Gothia Towers,138413984.0,"Sweden, Västra Götaland, Göteborg",https://www.linkedin.com/company/gothia-towers,gothiatowers.com,"Gothia Towers is a premier hotel located in Gothenburg, Sweden, offering a unique blend of comfort and convenience for both leisure and business travelers. The hotel is strategically situated near popular attractions such as Liseberg Amusement Park and the Swedish Exhibition & Congress Centre, making it an ideal choice for families and event attendees alike. Gothia Towers aims to provide exceptional hospitality experiences, with a mission to create memorable stays through quality service and a range of amenities, including family-friendly activities and a luxurious spa. The hotel caters to a diverse clientele, including families, business professionals, and tourists, and partners with local attractions to enhance guest experiences. With a commitment to sustainability and community engagement, Gothia Towers strives to be a welcoming haven for all visitors to Gothenburg.",Sweden,138.413984,,,
ESS Group,122199306.0,"Sweden, Västra Götaland, Göteborg",https://www.linkedin.com/company/ess-group-ab,www.essgroup.se,"ESS Group is a dynamic company specializing in hotel, restaurant, and concept development, dedicated to creating unique experiences and meeting places that reflect distinct character. With a mission to meet and exceed guest expectations, ESS Group emphasizes the importance of personal commitment, professionalism, and passion in delivering world-class results. The company operates under a set of core values encapsulated in ""the little red book,"" which guides their service promise and goal of fostering loyal guests. Their target market includes individuals seeking memorable experiences in hospitality, and they pride themselves on their ability to adapt to the evolving needs of their clientele. ESS Group's commitment to employee development ensures that both guests and staff enjoy ""The Time of Your Life"" during their interactions with the brand.",Sweden,122.199306,,,
