Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
TAROM,635004730.0,"Romania, Ilfov, Otopeni-jud, No.224 F Calea Bucurestilor, 075150",https://www.linkedin.com/company/tarom,www.tarom.ro,"TAROM Romanian Air Transport was established in 1954 and developed together with the Romanian aviation. TAROM is member of SkyTeam Alliance as of June 25th, 2010. The company operates on more than 60 own destinations as well as destinations operated by its code share partners. The Romanian flag carrier owns a fleet consisting of 25 aircraft and has been a member of the International Air Transport Association (IATA) since 1993 and of the Association of European Airlines (AEA) since 2000. TAROM is a modern and future-oriented company which is environmentally friendly by implementing innovative procedures to reduce carbon dioxide emissions.",Romania,635.00473,,,
ROMATSA,509131206.0,"Romania, Bucureşti, Bucharest, 10 Ion Ionescu De La Brad Blvd Bucharest, 013813",https://www.linkedin.com/company/romatsa,www.romatsa.ro,"Romanian Air Traffic Services Administration – ROMATSA is a provider of ANS, which performs specific functions related to ATM to all GAT-IFR flights. It was established in December 1990 through a Decision of the Romanian Government, laying therefore under the authority of the Ministry of Transport and Infrastructure.  ROMATSA is certified in accordance with the Single European Sky Regulations by the Romanian Civil Aviation Authority to provide air traffic services (ATS), communication, navigation or surveillance services (CNS), aeronautical information services (AIS), meteorological services (MET), so as to provide local ASM (tactical/ASM Level 3) and local ATFM functions.  According to SES Regulations, ROMATSA is designated by the Ministry of Transport and Infrastructure to provide air traffic services (ATS) for general air traffic (GAT) and for meteorological services (MET) in FIR Bucuresti. The current designation was made as a result of the establishment, in December 2014, of two cross-border sectors within the DANUBE FAB airspace, which  demonstrates FAB’s continued commitment to the Single European Sky, and in particular the optimum use of airspace within FABs regardless of national boundaries of Romania and the Republic of Bulgaria.",Romania,509.131206,,,
Aeroclubul României,77764688.0,"Romania, Bucureşti, Bucharest, 54 Bulevardul Lascăr Catargiu, 077190",https://www.linkedin.com/company/aeroclubul-româniei,www.ar.ro,"Instituţie publică finanţată din venituri proprii şi subvenţii acordate de la bugetul de stat, cu personalitate juridică, având în componenţa sa aerocluburile teritoriale ca subunităţi fără personalitate juridică, cu sediile şi terenurile de zbor.",Romania,77.764688,,,
Legend Airlines,76860447.0,"Romania, Bucureşti, Bucharest, 1b Bulevardul Pipera, 077190",https://www.linkedin.com/company/legend-airlines-ro,www.legendairlines.ro,"Legend Airlines is an EU registered airline, established in 2020 and based in Bucharest, Romania. Our fleet consists of Airbus A340 family aircraft, the only ones available in Romania and ready for charter and ACMI flights. We take pride in our operational efficiency and highly experienced management team, which enable us to provide valuable dedicated serviced to our customers.",Romania,76.860447,,,
HelloJets,42499306.0,"Romania, Bucureşti, Bucharest",https://www.linkedin.com/company/hellojets,www.hellojets.com,"HelloJets is a dynamic and innovative airline, committed to delivering exceptional aviation services around the world, dedicated to ACMI operations. We are a proud member of IATA, IOSA certified, Approved Training Organization (ATO), and have Part 145 approval.",Romania,42.499306,,,
AnimaWings,37130706.0,"Romania, Bucureşti, Bucharest, Șoseaua București-ploiești Platinum Center",https://www.linkedin.com/company/animawings,animawings.com,"Launched on the Romanian market since 2020, AnimaWings is a modern and dynamic airline, dedicated to offering passengers high-quality services and memorable flight experiences. Part of the Memento Group together with the founder of the Christian Tour group, AnimaWings today is a 100% Romanian company with infrastructure, a soulful team of professionals, with dedicated employees, systems, procedures and safety protocols of an exceptional standard. With an expanding modern fleet and dedicated staff, we are ready to respond to market demands and adapt to travelers' needs. That is precisely why we recently launched a series of domestic and international routes, both regular and charter.",Romania,37.130706,,,
Jet Advisor,31648419.0,"Romania, Timiş, Strada Superbă Dumbrăviţa, 307160",https://www.linkedin.com/company/jetadvisor,www.jetadvisor.eu,"The largest, privately owned Integrated Operations Control Center in Europe.",Romania,31.648419,,,
Romanian CAA,30744179.0,"Romania, Bucureşti, Bucharest, 38 40 Bucuresti-ploiesti Road, 013695",https://www.linkedin.com/company/romanian-caa,www.caa.ro,,Romania,30.744179,,,
FLYYO,29839938.0,"Romania, Bucureşti, Bucharest, No. 1c Building B2 Bd. Expoziției, 012101",https://www.linkedin.com/company/flyyo-airways-ltd,www.flyyo.com,"FLYYO (ICAO code: DIR; IATA code: 4D), is a distinguished airline company built on excellence and a storied history of aviation services. We embody a dynamic synergy between tradition and innovation, ensuring that your journey with us is always exceptional. OUR MISSION: FLYYO is more than just an airline. We're architects of remarkable journeys, prioritizing safety, innovation, passenger-centric excellence, and sustainability. With FLYYO, travel is more than movement; it's an experience, a promise, and a partnership. We're with you every mile of the way. OUR SERVICES: 🔹 COMMERCIAL CHARTERS: Enhance your group journeys with FLYYO’s custom charters, designed for diverse needs: from corporate ventures, athletic teams, and flight programs for tour operators, to evacuations, and official governmental trips. We strive to maintain the utmost flexibility to meet our clients' needs. 🔹 ACMI: Experience unparalleled flying convenience through our extensive ACMI services, designed to be adaptable based on your specific requirements. WHY CHOOSE FLYYO? ✈ SAFETY FIRST: Dedicated to upholding the highest safety standards, we guarantee a secure and compliant journey with every flight. ✈ MODERN FLEET: With our A320-214 aircraft, we deliver value-driven and accessible travel experiences. Expansion set for 2024-2025 promises an exhilarating trajectory. ✈ GLOBAL REACH: Fly anywhere, anytime. From urban hubs to hidden gems, our extensive network has you covered.",Romania,29.839938,,,
TOYO AVIATION,27061362.0,"Romania, Bucureşti, Bucharest, 281 Splaiul Unirii, 030138",https://www.linkedin.com/company/toyo-aviation,toyoaviation.ro,"TOYO AVIATION has started from the individual business need to travel fast, with short time notices, on routes that were not usually covered by the existing regular airliners.  TOYO AVIATION is renowned within the industry for the best of breed safety standards, for its superior quality services, for its highly trained professionals, and for its exquisite aircraft – that altogether turn a private flight into an unparalleled experience. Our company operates only VVIP aircrafts and delivers an excellent quality-price ratio. The aircraft is suitable for hosting even the most special guests: state Presidents or high international officials, bankers, businessmen, artists, sportsmen, etc. All our aircraft offer state-of-art comfort, are fully equipped (LCD, DVD player with Bose headsets, Airshow, satellite communications) and can operate 24×7, to an unmatched number of destinations, delivering passengers unique or combined destinations exclusive trips. Each flight is fully tailored to passengers’ schedule and time constrains, personal needs, special requirements and individual preferences and is accompanied by a highly professional and discreet crew that will always fully respect guests’ privacy.",Romania,27.061362,,,
Bees Airlines Romania,11755127.0,"Romania, Bucureşti, Bucharest, 172-176 1st Floor Building A1 Șoseaua București-ploiești",https://www.linkedin.com/company/bees-airlines-offcial,www.beesromania.aero,"Romanian airline, charter based company",Romania,11.755127,,,
De Kruif Machines,7692771.0,Romania,https://www.linkedin.com/company/de-kruif-machines,dekruifmachines.nl,,Romania,7.692771,,,
Nexus Aurora,7552008.0,"Romania, Iaşi, Iaşi",https://www.linkedin.com/company/nexusaurora,nexusaurora.com,A community research organization dedicated to enabling human space exploration. Don't be afraid of dreaming big  • http://youtube.com/c/NexusAurora • http://discord.gg/q55SYAQ,Romania,7.552008,,,
ArcaSpace,5398387.0,"Romania, Vâlcea, Râmnicu Vâlcea, 1b Bulevardul Tineretului, 240060",https://www.linkedin.com/company/2339680,www.arcaspace.com,"ARCA develops EcoRocket, a reusable, ecological water-based propulsion, orbital vehicle.",Romania,5.398387,,,
