Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Scandic Stavanger Forus,2140919220.0,"Norway, Rogaland, Stavanger",https://www.linkedin.com/company/scandic-stavanger-forus,www.scandichotels.no,"Sentralt plassert forretnings- og konferansehotell på Norges viktigste næringsområde, Forus. 10 minutter til Stavanger Lufthavn, Sola. 15 minutter til både Stavanger og Sandnes sentrum.",Norway,2140.91922,,,
Nordic Choice Hotels,788482604.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/nordic-choice-hotels,www.nordicchoicehotels.com,"Nordic Choice Hotels, now rebranded as Strawberry, is a leading hotel chain in the Nordic region, renowned for its innovative approach to hospitality and strong commitment to sustainability. With over 245 hotels across the Nordics and Baltics, the company focuses on creating memorable experiences for its guests by providing modern amenities, personalized service, and a welcoming atmosphere that feels like home. The mission of Strawberry revolves around delivering high-quality service, sustainability, and inclusivity, ensuring that every guest feels valued and comfortable during their stay.  The company caters to a diverse clientele, including business travelers, families, and leisure seekers, and actively partners with various organizations to enhance guest experiences and promote local attractions. Strawberry is dedicated to environmental responsibility, striving to be climate neutral by 2030 and taking significant steps to reduce food waste, reflecting its vision of responsible hospitality.  In addition to its commitment to sustainability, Nordic Choice Hotels offers unique experiences, such as the Wallmans Stockholm Dinner Party, which combines dining with entertainment, appealing to families and leisure guests. The company embraces technology, exemplified by its pioneering use of digital key cards in Google Wallet, which streamlines check-in and room access for guests.  With a focus on continuous growth and innovation, Strawberry aims to create unforgettable moments for its guests in vibrant cities, tranquil islands, and charming towns throughout the Nordics and Baltics. By promoting clean energy and equal rights through its partnerships, Nordic Choice Hotels ensures a welcoming environment for all, making it a preferred choice for travelers seeking both comfort and a commitment to sustainability.",Norway,788.482604,,,
First Hotels,750000000.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/first-hotels,www.firsthotels.com,"Since 1993, First Hotels has been working hard to create the hotels of the future by redefining the hotel experience.  It’s our goal to be a leader in hotel development and offer an element of surprise, while at the same time caring for our employees, guests, and customers. We want to go beyond the ordinary hotel experience and make you feel at home, the second you walk through the door. It’s not about merely booking a room with a bed, it’s about having a place to relax, work and just… be. As an extension of your everyday life, Your second home is FIRST.  With more than 27 unique and centrally located hotels at selected destinations in Sweden, Norway and Denmark, you’re set for holistic, memorable, local experiences. All of our hotels have free, unlimited WiFi to make it easier to stay in touch with the world.  We want to leave you with a feeling of Joy, Care and Innovation, regardless if you stay with us, work with us, meet with us or experience with us.",Norway,750.0,,,
ASSA ABLOY Global Solutions | Hospitality,555970348.0,"Norway, Østfold, Moss",https://www.linkedin.com/company/assaabloyglobalsolutions-hospitality,www.assaabloyglobalsolutions.com,"ASSA ABLOY Global Solutions | Hospitality is a leading provider of advanced security solutions tailored specifically for the hospitality industry. The company specializes in innovative access control systems, including RFID locks and electronic cylinders, designed to enhance guest experiences while ensuring operational efficiency for hotels and resorts. With a mission to deliver seamless integration and future-proof scalability, ASSA ABLOY Global Solutions partners with a diverse range of clients, including hotel chains, independent properties, and service providers, to create secure and user-friendly environments. Their commitment to quality and reliability is reflected in their cutting-edge products, such as the Vingcard system, which facilitates maintenance and configuration through direct communication interfaces. By focusing on the unique needs of the hospitality sector, ASSA ABLOY Global Solutions aims to redefine security standards and elevate the overall guest experience.",Norway,555.970348,,,
Grand Hotel Oslo,193314152.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/grand-hotel,www.grand.no,"The Grand Hotel Oslo is Norway’s most iconic hotel. The heritage hotel first opened its doors in 1874 and for 150 years it has been host to the people of Norway, international guests, world leaders, celebrities and the Nobel Peace Prize laureates. Everyone deserves to feel Grand!  Our guest experience is based on true Nordic luxury delivered by our well-trained and enthusiastic international team. Grand Hotel Oslo has 283 rooms, including 54 suites. The hotel is a blend of historic design with a modern twist and includes a rooftop bar with magnificent views, Palmen restaurant, a modern and buzzing lobby bar, banquet and conference departments as well as a spa, a fitness room and on-site parking facilities.  Welcome to Oslo!",Norway,193.314152,,,
Linstow,149943810.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/linstow-as,www.linstow.no,"Linstow AS is a leading real estate company based in Norway, dedicated to the ownership, development, and management of a diverse portfolio of properties, including hotels, shopping centers, offices, and healthcare facilities. With a strong presence in the Baltic region, Linstow has established itself as a key player in the hotel and shopping center markets, while also engaging in significant urban development projects in Norway. The company's mission is to create vibrant spaces that enhance quality of life and promote societal well-being, focusing on sustainable growth and health-promoting urban development through innovative initiatives like the ""Building Health"" project in collaboration with SINTEF. Linstow's clientele includes international hotel brands such as Radisson, as well as a variety of commercial tenants, reflecting its broad market appeal. The company partners with local developers, municipalities, and public authorities to foster sustainable urban development, ensuring that its projects not only meet current needs but also contribute positively to the environment and community. Linstow's commitment to sustainability is evident in its pursuit of BREEAM certification and its emphasis on creating energy-efficient properties. Targeting both local and international markets, Linstow aims to lead the real estate sector by addressing demographic challenges and promoting social interaction through its developments. The company is wholly owned by AWAS Holding AS, part of the family-owned Awilhelmsen Group, which focuses on industrial investments and real estate. With a vision to enhance urban landscapes and drive economic development, Linstow AS is committed to long-term ownership and management, ensuring that its projects are inclusive and beneficial to local communities.",Norway,149.94381,,,
Sit,139047133.0,"Norway, Sør-trøndelag, Trondheim, 7005",https://www.linkedin.com/company/sit-studentsamskipnaden-i-gjøvik-ålesund-og-trondheim-,www.sit.no,"Henrykte studenter – felles engasjement! Sit skal bidra til at studentene i Gjøvik, Ålesund og Trondheim får en trygg og effektiv studiesituasjon. Vi bygger og drifter boliger, driver barnehager, spisesteder, kiosker, helsetjeneste, bokhandel og treningssentre. Vi er styrt av studentene, og alt vi tjener kommer studentene til gode her og nå – eller i framtida.",Norway,139.047133,,,
StInn - Inland Norway Students Union,85233490.0,"Norway, Hedmark, Hamar",https://www.linkedin.com/company/stinn,www.stinn.no,"StInn - Inland Norway Students Union is a pivotal organization dedicated to representing and supporting students across various educational institutions in the Inland Norway region, particularly at the Inland Norway University of Applied Sciences. Its mission is to enhance the student experience by advocating for student rights, promoting welfare, and fostering a vibrant community through a range of activities and services. StInn collaborates closely with local universities, colleges, and governmental bodies to ensure that students' voices are heard and their needs are met, addressing the unique challenges faced by both domestic and international students. The union serves a diverse clientele, including students from various backgrounds and fields of study, and aims to create an inclusive environment that encourages participation in academic, cultural, and social activities. Through various initiatives, events, and support services, StInn strives to empower students, enriching their academic and social lives while facilitating their engagement in broader societal issues. The organization is committed to promoting inclusivity, diversity, and active participation in both academic and social life, ultimately working to improve the overall quality of student life in the region. StInn's target market primarily includes students enrolled at the university, as well as prospective students seeking a supportive and enriching educational environment. By providing resources, organizing events, and facilitating engagement with academic and social issues, StInn aims to create a positive atmosphere that fosters personal and academic growth among its members. Through its collaborative efforts with local and national partners, StInn ensures that the voices of students are considered in decision-making processes that affect their education and well-being.",Norway,85.23349,,,
Sommerro,63010488.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/sommerro,www.sommerrohouse.com,"Sommerro is a vibrant venue that hosts a variety of engaging events, with a particular focus on entertainment and humor. One of its standout offerings is ""Les Femmes Frites,"" an energetic panel show featuring three of Norway's most charismatic women: Sigrid Bonde Tusvik, Siri Kristiansen, and Benedicte WesselHolst. The show invites audiences to enjoy a night filled with humor, sharp opinions, and unique perspectives as the panel discusses everything from current events to the absurdities of everyday life. Sommerro aims to create a dynamic and inclusive atmosphere, ensuring an engaging experience for all attendees. With a target market that includes humor enthusiasts and those seeking a lively night out, Sommerro is committed to delivering memorable events that resonate with its audience.",Norway,63.010488,,,
THE THIEF,53360233.0,"Norway, Oslo, Oslo, 1 Landgangen, 0252",https://www.linkedin.com/company/the-thief,www.thethief.com,"THE THIEF is a premier hotel located in Oslo, Norway, offering luxurious accommodations and unique experiences for its guests. The hotel is dedicated to providing exceptional service and creating memorable stays, with a mission to blend comfort and sophistication in a vibrant urban setting. Guests at THE THIEF enjoy exclusive access to the nearby Astrup Fearnley Museum, enhancing their cultural experience with contemporary art exhibitions. The hotel caters to a diverse clientele, including business travelers, art enthusiasts, and tourists seeking a high-end experience in the heart of Oslo. With a focus on quality and guest satisfaction, THE THIEF aims to be a leading destination for those looking to explore the rich cultural landscape of the city.",Norway,53.360233,,,
