Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Top Rent A Car,18809279.0,"Bulgaria, Varna, Varna, 9000",https://www.linkedin.com/company/top-rent-a-car-bulgaria,toprentacar.bg,"Top Rent-A-Car is currently the leading Bulgarian car rental company. We are operating with the largest car fleet in the local market. In 2025 our fleet consists of over 3000 cars, 90% brand new or up to 2 years old. We provide nationwide car rental service through more than 17 offices and deliveries in every city and resort in Bulgaria as well as the Bucharest Airport Henri Coanda. Mission Providing professional high-quality car rental service to our customers is the main goal of Top Rent A Car. We pay particular attention to customer satisfaction measurement and improvement. We achieved the #1 rated car rental company operating in Bulgaria (according to ReviewCentre, TrustPilot, GoogleLocal) and we keep improving the quality by providing professional service, technical innovations, new cars and competitive prices.",Bulgaria,18.809279,,,
My Rent A Car Varna,12516744.0,"Bulgaria, Varna, Varna, 9009",https://www.linkedin.com/company/5229379,my-rentacar-varna.com,"My-Rent a car-Varna е новооснована компания с модерна насоченост към нуждите на съвременния клиент. Ако Ви е необходимо превозно средство за разходка, бизнес пътуване, обиколка на страната или от чиста нужда на автомобил за ежедневна употреба ние сме Вашият Rent a car. Фирмата извършва своята дейност основно във Варна и цяла източна България. Предлагаме Ви разнообразен набор от автомобили, които могат да задоволят всеки каприз. Главна идея е да Ви предложим автомобил, който друга компания няма как да Ви осигури. Това ще направи наемането на автомобил едно уникално и незабравимо изживяване. В същото това време се стараем да предложим най-доброто качество на разумна цена. Нашият екип е на разположение на своите клиенти по всяко време на денонощието. Извършваме доставки в удобно време и място, според желанията на клиента – например летище, хотел,офис, дори и пред вашия дом. Като нова компания сред силна конкуренция се стараем да сме отлични в работата си, клиентите винаги да са доволни и да се отличаваме с професионализъм и специално отношение към всеки един клиент.",Bulgaria,12.516744,,,
Avis Nederland,9671457.0,"Bulgaria, Sofia",https://www.linkedin.com/company/avis-nederland,www.avis.nl,"Avis Nederland is a prominent car rental company that offers a diverse range of vehicles tailored for both leisure and business travelers. As part of the Avis Budget Group, Avis Nederland is committed to delivering exceptional customer service and a seamless rental experience, with a mission centered on meeting the varied transportation needs of its clients. The company serves a wide array of customers, including individuals, families, expats, students, and corporate clients, ensuring that everyone has access to reliable and well-maintained vehicles.  With a national network of 38 locations, Avis Nederland provides convenient access to its services across the country. The company’s fleet includes not only passenger cars but also vans and trucks, catering to different transportation requirements. Avis Nederland partners with various businesses to offer tailored rental solutions, including short-term leases and fleet management services, which are particularly beneficial for companies seeking flexible mobility options.  The target market for Avis Nederland encompasses both local and international travelers, reflecting its commitment to enhancing the overall travel experience. The company places a strong emphasis on innovation and customer satisfaction, striving to provide high-quality and dependable car rental services. Additionally, Avis Nederland offers attractive discounts and benefits for employees, fostering a strong team culture and a customer-centric approach. Through its dedication to quality and reliability, Avis Nederland continues to be a leading player in the car rental market.",Bulgaria,9.671457,,,
Pulsio Print,6802669.0,"Bulgaria, Sofia-capital, Sofia, 3 Rue Ilia Beshkov",https://www.linkedin.com/company/pulsio-print,pulsioprint.com,"Entreprise moderne avec sa propre base de production en Europe de l’Est, Pulsio Print possède un parc machines (Komori 8 couleurs, Heidelberg 5 couleurs, 2 machines N/B) et l’ensemble des outils de façonnage (agrafé, dos carré collé, cousu) y compris une chaîne complète pour la couverture rigide. Notre management français et toute l’équipe de 200 professionnels sont les garants de la meilleure qualité au prix malin.  Pulsio Print est spécialisé dans l’impression de vos catalogues, brochures et livres avec de multiples options, à un tarif économique et des délais de livraison courts grâce à sa propre filiale de transport (8 semi-remorques, 10 utilitaires). Notre méthode compétitive c'est à la fois le choix:  438 papiers, 29 finitions, 9 façonnages, formats illimités & personnalisés et un tarif ultra léger. Depuis 12 ans, plus de 600 grands éditeurs nous font confiance, tels que Bayard,  groupe Artège, de l'Aube, l'Age d'Homme, de Fallois, Presses Universitaires de la Sorbonne, Milan, L'Harmattan, du Rocher… En moins d’un an plus de 200 entreprises basées en France nous ont confié leurs projets d’impression : catalogues, brochures, carnets, calendriers : Varta, Baumit, Sofitel, Lapeyre, UHU, GEB... Chiffres clés 2016:  800 entreprises clientes 15% des nouveaux titres éditeurs imprimés en France  2000 projets de catalogues et autres brochures réalisés pour les entreprises 30% de croissance annuelle 97% de satisfaction clients",Bulgaria,6.802669,,,
CORSTYRENE INDUSTRIE,6293340.0,"Bulgaria, Varna, Varna",https://www.linkedin.com/company/beopan,www.corstyrene-industrie.fr,"Industriel méditerranéen de l’isolation, Corstyrène industrie crée et développe depuis plus de 45 ans des produits et systèmes techniques pour l’industrie et le bâtiment. Spécialiste français du panneau de toiture isolant avec la gamme Beopan en caissons chevronnés ou panneaux sandwichs ainsi que de l’isolation des planchers en fond de coffrage ou rapportés sous dalle avec la gamme de complexes en laine de bois enrobée de ciment Teknofibre . Des performances Thermiques, acoustiques et un protection incendie au plus haut niveau.",Bulgaria,6.29334,,,
M RENT EAD,5736841.0,Bulgaria,https://www.linkedin.com/company/m-rent-ead,mrentacar.bg,"We give solutions about your fleet managment, operational lease, rent a car and insurances.",Bulgaria,5.736841,,,
Europcar Bulgaria,4890412.0,Bulgaria,https://www.linkedin.com/company/europcar-bulgaria,www.europcar.com,"Europcar Bulgaria is a leading car rental company, representing Europcar in Bulgaria under direct franchise agreement. We are a reliable partner focused and committed to our customers.  We promise to deliver the best car rental experience through excellent customer service and high quality vehicles.",Bulgaria,4.890412,,,
Avis Budget Bulgaria,4566606.0,"Bulgaria, Sofia-capital, Sofia, 43 Columb",https://www.linkedin.com/company/budget-bulgaria,www.avis.bg,"Eurolease Rent Car Ltd. is an official licensee for Bulgaria of two of the biggest car rental companies in the world – Avis and Budget. Avis Budget Bulgaria is a leading provider on the Bulgarian market of vehicle rental services. We offer both Short-term rentals and Operational Leasing (long-term). Avis Budget Bulgaria is present on the Bulgarian market since 1991. The company is part of Eurohold Bulgaria AD. To reach our goals, we rely on high-quality service, reliable car fleet and professionals who are focused on providing consistent customer satisfaction.",Bulgaria,4.566606,,,
Alexander Tour,4514227.0,"Bulgaria, Sofia-capital, Sofia, 40 Pop Bogomil, 1202",https://www.linkedin.com/company/alexander-tour,alexandertour.com,"Alexander Tour is a tour operator and a travel agency operating on Bulgarian market since 1991. The company is a member of ABBTA (Bulgarian association of Travel Agents), IATA, BAAT and many others.  The company sells tours, cruises, hotels, car rentals and vacation packages all over the world and has proved itself as a reliable partner in organizing Team Building programmes, congresses, seminars and special events for many Bulgarian and international companies. Alexander Tour offers  standard round trips in Bulgaria and Balkan Peninsula, but also tailor-made programmes which can suite to all clients’ specific travel plans. We are arranging combined trips in the countries from the Balkan Peninsula - Romania, Greece, Turkey, Serbia and Macedonia. All provided services are of highest standard and can cover even the most extraordinary requirements.  We are also specializing in hobby itineraries and outdoor activities as hiking, trekking horseback riding, mountain biking, white-water rafting, kayaking, yachting, ornithological and botanical tours.  For all tourists eager to learn more about Bulgarian history, culture and traditions, Alexander Tour offers its theme tour programmes, focused in different fields of interests: Archaeology, Architecture, UNESCO World Heritage, Folklore Festivals, Music and Theatre Events, etc. Clients who are interested in the urban life of Bulgarian towns, modern architecture, social and cultural activities combined with ancient history and interesting sites can enjoy the city tours and city break programmes of Alexander Tour.  Alexander Tour provides tour guides in all major languages, as well as special services for its VIP clients. Transfers and transportation with vehicles that vary in size and capacity can be arranged upon request.",Bulgaria,4.514227,,,
BasicPrint,3965810.0,"Bulgaria, Sofia, Kostinbrod, 1111",https://www.linkedin.com/company/print-in-bulgaria,basicprint.bg,"®️ Leader dans l'industrie de l'impression dans la région depuis presque 30 ans, nos prestations englobent tout un cycle de production finie :  🔄prépress 🔄 impression 🔄finition 🔄reliure 🔄transport 🔀  🖥Visitez dès maintenant www.print-in-bulgaria.com pour toute demande – nous sommes à votre entière disposition 7/7 ou nous contacter directement sur contact@print-in-bulgaria.com  pour un devis personnalisé et/ou recevoir gratuitement des échantillons de nos produits. 📚📒📰  🆒L'imprimerie offre une qualité irréprochable grâce au contrôle continu de tous les processus, tout en gardant des prix très compétitifs. Le respect des délais est primordial pour la culture de l’entreprise.  ℹ️Le site de production se situe dans la région de la capitale bulgare Sofia et s’étale sur une superficie de 40 000 m2. L’effectif de l’entreprise compte aujourd’hui plus de 350 collaborateurs en CDI assurant la meilleure qualité de vos produits imprimés, à savoir :  ➡️ livres – couvertures souples et rigides ;  📍catalogues, annuaires ; ➡️ magazines et journaux ;  📍brochures, dépliants, affiches ; ➡️ produits de luxe : dorure à chaud, vernis 3D, vernis sélectif, gaufrage, embossage ; 📍cahiers, bloc-notes, calendriers ; ➡️ emballage boites en carton ; 📍formulaires, têtes de lettres, factures.  ✅ CERTIFICATIONS   ▶️Certification ISO 9001 : 2015   ▶️ Certification ISO 9001 : 2008   ▶️ FSC-COC  ✅ POURQUOI TRAVAILLER AVEC NOUS❓  1️⃣ 30 ans d'expérience ;  2️⃣ excellent rapport qualité-prix ;  3️⃣ certifications européennes ;  4️⃣ respect strict des délais ;  5️⃣ réactivité : réponse dans les 24 heures   6️⃣suivi de A à Z de votre dossier par un   7️⃣ interlocuteur dédié à votre langue préférée : Français 🇫🇷 Anglais 🏴󠁧󠁢󠁥󠁮󠁧󠁿 Allemand 🇩🇪  Espagnole 🇪🇸 ou Italien 🇮🇹 🔚",Bulgaria,3.96581,,,
LED PRO ENERGIE,3965810.0,"Bulgaria, Sofia, Rue Un",https://www.linkedin.com/company/led-pro-energie,www.ledproenergie.com,"Notre société est une filiale franco-bulgare du fabricant de LED Bulgare ""BSM"". Nous fabriquons et commercialisons des lampadaires de rue LED, des spots LED, des plafonniers LED.   Nous souhaitons développer notre gamme de produits sur le marché Français et pays francophones et pour cela sommes à la recherche de grossistes, distributeurs et agents commerciaux. Si cela vous intéresse, contactez nous pour que l'on puisse en discuter ensemble.",Bulgaria,3.96581,,,
AUTORENT EUROPE,3965810.0,"Bulgaria, Ruse, Ruse, 12 Bul.",https://www.linkedin.com/company/autorent-europe-ltd-bg,autobgn.com,"AUTORENT EUROPE is a reputed supplier of brand new automobiles belonging to any brand or model, straight from factories. We specialize in marketing the massive stock of automobiles or production.  Autorent Europe sells brand new vehicles, reconditioning existing ones, as well as offers automobiles for rent in different places across the world. We invite you to check this presentation for a better clarity on our services.",Bulgaria,3.96581,,,
Alma Car Hire,3088873.0,"Bulgaria, Pleven, Pleven",https://www.linkedin.com/company/alma-car-hire,www.almacarhire.com,"Alma Car Hire is fast-growing car-rental company that operates in 44 different locations, serving almost all of the airports and ports of Greece. Apart from Greece, Alma also operates internationally with car-rental branches in Malta, Morocco, Albania, and Zanzibar. Today, Alma offers a fleet of 4000+ vehicles and has a three-year strategy to expand further into additional countries and cities in the coming years.",Bulgaria,3.088873,,,
Planet Travel Center,3009484.0,"Bulgaria, Sofia-capital, Sofia, 28 Hristo Botev Blvd., 1000",https://www.linkedin.com/company/planet-travel-center,www.planet.bg,27 YEARS PLANET TRAVEL CENTER BULGARIA Since 1995. www.planet.bg IATA certified tour operator company Holiday packages Charter flights operations Hotel reservations all over the world Outbound and inbound tour operator services Air ticketing Online reservation platform both B2B and B2C Corporate services Rent-a-car Cruises Yacht rentals Excursions Bundles Travel insurances Charter flights,Bulgaria,3.009484,,,
Rual Travel Ltd,2915136.0,"Bulgaria, Sofia, G.s. Rakovski Str",https://www.linkedin.com/company/rual-travel-ltd,www.rual-travel.com,"EXPERIENCE  Rual Travel LTD created in 1991, is a Tour Operator specialized in organizing guided tours, cultural trips or private holidays in Bulgaria and all over Europe. Our packages are tailored to satisfy the most fastidious taste.  We are very proud with the fact, that most of our customers make use of our services more than once and recommend us to their friends and relatives. We work equally well with individual and corporate customers and thanks to our wide network of partnerships throughout Europe we offer a great variety of premium quality services at attractive prices.  PROFESSIONAL TEAM  Since we first opened for business, our company has been growing exponentially. That growth is expressed in continuous increase of the number of customers, attracted by the quality of the various services offered and in a constant improvement of the business processes. At present we have 45 people employees working in our company who with their knowledge, professional skills, responsibility and passion for their work are always eager to comply with our customer’s requirements.  WE OFFER  Our company offers a product that satisfies a wide spectrum of interests. In all our packages we have listed opulent routes that include different cities and sights. These are wonderful cultural tours, which introduce the participants to the history, memorials, architectural landmarks and museums of the cities, included in the tours. Rual Travel LTD is also specializing in individual handling of customers and offers tailor made packages for VIP tourists. These packages can include airplane ticket, accommodation in a chosen hotel, transfers, guided tours etc. Other services we offer are rent-a-car, train tickets, reservations for opera, theater, restaurants, nightclubs and many more. We also organize all kinds of business events such as congresses, symposiums, seminars or team buildings.",Bulgaria,2.915136,,,
