Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Sokos Hotels,1000000000.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/sokos-hotels,www.sokoshotels.fi,"Sokos Hotels is a prominent hotel chain in Finland, dedicated to providing exceptional hospitality experiences for both business and leisure travelers. With a mission to elevate guest satisfaction through personalized services and unique local offerings, Sokos Hotels aims to create memorable stays that reflect the charm of their locations. The company caters to a diverse clientele, including corporate travelers who benefit from exclusive SCard advantages, such as discounted parking and complimentary gym access. Partnering with local businesses, Sokos Hotels emphasizes community engagement and cultural authenticity, ensuring that guests enjoy a taste of the region's traditions. With a focus on comfort and convenience, Sokos Hotels targets both domestic and international visitors seeking quality accommodations and a warm, welcoming atmosphere.",Finland,1000.0,,,
Forenom,173825141.0,"Finland, Uusimaa, Helsinki, 2 Firdonkatu",https://www.linkedin.com/company/forenom,www.forenom.com,"Forenom. #StayEasy We make your stay easy, so you can feel at home. We are Forenom - the Nordic region’s leading corporate housing provider and one of the top serviced apartment brands in Europe.  Book online 24h a day with real-time availability to any of our 9000+ locations at Forenom.com. Forenom is a brave pioneer of the accommodation industry with over 20 years of experience in the changing and challenging corporate housing market.  Forenom manages over 9000 furnished apartments and aparthotel and hostel rooms in all major Scandinavian cities, accommodating over 1 million nights every year. We operate in Finland, Sweden, Norway, Denmark and Germany with over 30 local offices and over 500 employees. We also provide corporate housing in Central Europe by request. Go to forenom.com to book your accommodation. For our customer care contact details, please visit forenom.com/customer-support/.",Finland,173.825141,,,
Bob W.,125572976.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/bobw,bobw.co,"Bob W is a modern hospitality company that offers stylish and comfortable accommodations in prime locations across major cities, including Munich. With a mission to provide guests with a seamless and enjoyable stay, Bob W combines the convenience of digital access with the charm of local neighborhoods, allowing travelers to experience the authentic culture of each destination. The company caters to a diverse clientele, including business travelers and leisure seekers, who appreciate well-equipped spaces that prioritize cleanliness and sustainability. Bob W's commitment to environmental responsibility is evident in its initiatives to offset carbon emissions and utilize renewable energy sources. By partnering with local businesses for amenities like breakfast and gym access, Bob W enhances the guest experience while supporting the community.",Finland,125.572976,,,
Messukeskus Helsinki Expo And Convention Centre,64713040.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/messukeskushelsinki,www.messukeskus.com,"Messukeskus Helsinki Expo and Convention Centre is Finland's leading venue for exhibitions, conferences, and events, hosting around 50 exhibitions and over 1,000 meetings annually. With a mission to create inspiring experiences and facilitate meaningful interactions, Messukeskus aims to enhance brand visibility and foster connections among businesses and consumers. The centre features 58,000 square meters of versatile space, including seven exhibition halls and 40 meeting rooms, catering to a diverse clientele ranging from local businesses to international organizations. Notable events include Habitare, the Helsinki Book Fair, and the Helsinki International Boat Show, attracting approximately one million visitors each year. Committed to sustainability, Messukeskus integrates eco-friendly practices into its operations, ensuring a positive impact on the community and environment.",Finland,64.71304,,,
Tampere-talo,61351800.0,"Finland, Pirkanmaa, Tampere",https://www.linkedin.com/company/tampere-talo,www.tampere-talo.fi,"Tampere Hall is a premier cultural venue located in Tampere, Finland, dedicated to hosting a diverse range of events, including concerts, operas, and theatrical performances. Its mission is to enrich the cultural landscape of the region by providing high-quality artistic experiences that cater to a wide audience, from classical music enthusiasts to contemporary art lovers. The venue collaborates with renowned partners such as the Tampere Philharmonic Orchestra and Tampere Opera, showcasing both local and international talent. Tampere Hall aims to create memorable experiences for its clients, which include concertgoers, families, and tourists, while also offering group booking options to enhance accessibility. With a vision to be a leading cultural hub, Tampere Hall continues to innovate and expand its programming, ensuring that it remains a vital part of the community's artistic expression.",Finland,61.3518,,,
Kämp Collection Hotels,59944301.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/kämp-collection-hotels,www.kampcollectionhotels.com,"Kämp Collection Hotels, which is part of Nordic Hotels and Resorts, is a group of Finnish hotels, which consists of Helsinki’s most reputable hotels and restaurants, and Kämp Spa and St. George Care spa. Kämp Collection Hotels’ most well-known hotel is Hotel Kämp, which was established in 1887. In addition, also the luxury and design hotel St. George, lifestyle hotels Klaus K, Hotel Haven, Hotel Fabian and Lilla Roberts as well as the popular hotel chain GLO, which includes the GLO Kluuvi, GLO Art, GLO Sello and GLO Airport hotels are part of the group. http://www.kampcollectionhotels.com",Finland,59.944301,,,
Sunborn Group,56525753.0,"Finland, Finland Proper, Turku, 23 Juhana Herttuan Puistokatu, fi-20100",https://www.linkedin.com/company/sunborn-group,sunborn.com,"Sunborn Group is a prominent Finnish company that operates in the hospitality, restaurant, and event sectors, employing approximately 700 staff across various roles. The company is dedicated to providing exceptional service in its hotels, restaurants, and event venues, including Naantali Spa & Hotel and Ruissalo Spa & Hotel, among others. Sunborn Group's mission is to create memorable experiences for its guests while fostering a supportive and dynamic work environment for its employees. The company actively seeks skilled professionals for positions such as servers, chefs, and payroll specialists, emphasizing the importance of teamwork, flexibility, and continuous improvement. With a diverse clientele ranging from leisure travelers to corporate event organizers, Sunborn Group aims to be a leader in the Finnish hospitality industry, committed to quality and innovation.",Finland,56.525753,,,
Wilderness Hotels,33243000.0,"Finland, Lappi, Inari, 4230 Nellimintie, 99860",https://www.linkedin.com/company/nellim-wilderness-hotels,wildernesshotels.fi,"Wilderness Hotels is a leading tourism company based in Lapland, specializing in providing immersive holiday experiences in close proximity to nature. Established in 2004, the company operates multiple destinations within the municipality of Inari, offering a range of accommodations, dining options, and diverse activities tailored for international clients. The mission of Wilderness Hotels is to create memorable vacations that connect guests with the natural beauty of the region. With a workforce of nearly 400 employees during the winter season, the company fosters a multicultural work environment that emphasizes teamwork and camaraderie. Wilderness Hotels collaborates with various partners to enhance guest experiences, making it a preferred choice for travelers seeking adventure and relaxation in the Finnish wilderness.",Finland,33.243,,,
Primehotels Oy,32039195.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/primehotels-oy,www.primehotels.fi,"Primehotels Oy is a private Finnish company whose hotel family includes premium hotels in several locations around Finland. Primehotels Oy is a chain of hotels, where each of our hotels is an independent, personal, high-quality and unique unit - both in terms of settings and services. Our hotels are united by genuine passion for hospitable service. www.rantapuisto.fi www.spahotelcasino.fi www.hoteloscar.fi",Finland,32.039195,,,
Hotel Kämp,27605540.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/hotel-kämp,www.hotelkamp.com,"Hotel Kämp is a prestigious luxury hotel located in Helsinki, renowned for its exquisite accommodations and exceptional service. The hotel offers a range of elegantly designed rooms and suites, including the grand Kämp Suite, which features modern luxury and timeless elegance, ensuring a refined retreat for its guests. With a mission to provide an unforgettable hospitality experience, Hotel Kämp caters to discerning travelers seeking comfort and indulgence, offering personalized services such as in-room dining, wellness access, and exclusive lounge privileges. The hotel also hosts unique experiences, such as whisky tastings and romantic getaways, appealing to both leisure and business clients. By partnering with local experts and focusing on high-quality offerings, Hotel Kämp aims to create memorable moments for its guests while showcasing the best of Finnish hospitality.",Finland,27.60554,,,
Santa's Hotels,26594400.0,"Finland, Lapland, Rovaniemi",https://www.linkedin.com/company/santashotels,www.santashotels.fi,"Santa's Hotels provides high quality accommodation, restaurants and conference services in Finnish Lapland. The hotel chain consists of Hotel Santa Claus, Santa's Igloos Arctic Circle and Santa's Hotel Rudolf in Rovaniemi, Santa's Hotel Aurora, Igloos and Villa Borealis in Luosto, Santa's Hotel Tunturi in Saariselkä, Santa's Chalets Rakka in Kilpisjärvi, Santa's Villas in Levi and Santa's Resort&Spa Hotel Sani in Kalajoki. Santa’s Hotels has the best holiday destinations for you: First-class dining, high-quality hotel rooms, premium glass igloos, full-service chalets and fully-equipped apartments.",Finland,26.5944,,,
Apukka Resort,24378200.0,"Finland, Lapland, Rovaniemi",https://www.linkedin.com/company/apukka-resort,apukkaresort.fi,"Apukka Resort is a premier destination located in Rovaniemi, Lapland, Finland, specializing in unique Arctic experiences, particularly through reindeer sleigh rides and winter activities. The resort aims to provide guests with an authentic connection to the Arctic wilderness, offering immersive experiences that highlight the region's rich cultural heritage and natural beauty. With a focus on family-friendly adventures, Apukka Resort caters to a diverse clientele, including families, couples, and adventure seekers looking to explore the enchanting winter landscape. The resort partners with local guides and reindeer farms to ensure a memorable and educational experience for all visitors. Through its offerings, Apukka Resort aspires to create lasting memories while promoting sustainable tourism in the heart of Lapland.",Finland,24.3782,,,
VALO Hotel & Work,23254254.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/valo-hotel-work,www.valohotel.fi,"Uusi tapa ajatella vapaa-aikaa ja työtä. VALOsta löydät saman katon alta modernit työtilat, lämminhenkisen hotellin ja ravintolat. Keskity omassa työhuoneessa, sparraile upeissa yhteistiloissa ja kokousta maailmanluokan tapahtumatiloissa.",Finland,23.254254,,,
Kämp Group,20670448.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/k-mp-group,www.kampgroup.fi,"We have a new LinkedIn page, please #joinus: https://lnkd.in/e_JhVVk  Kämp Collection Hotels  Kämp Collection Hotels Ltd is a Finnish hotel group that includes a number of the most renowned hotels and restaurants in Helsinki, as well as Kämp Spa.  Kämp Collection Hotels employs around 400 people and its target turnover for 2014 is around EUR 55 million. Kämp Collection Hotels brand portfolio includes Hotel Kämp, an internationally renowned hotel founded in 1887; luxury and lifestyle hotel Klaus K, popular lifestyle hotel chain GLO Hotels, as well luxury hotels Hotel Haven, Hotel Fabian and Hotel Lilla Roberts.  Kämp Collection Hotels is owned by funds managed by CapMan, Berling Capital Oy and Rake Group. Hotel Kämp Established in 1887, the internationally renowned Hotel Kämp is today a five-star luxury hotel with a unique market position in Finland and an important landmark in the Helsinki city center.  GLO Hotels, in turn, is the only lifestyle hotel chain in the country, with four popular hotels located in the center of Helsinki, at the Helsinki Airport and in the Sello shopping center in Espoo.  Klaus K is a personal contemporary hotel inspired by Finland’s national epic Kalevala. Kämp Spa - An oasis of ultimate relaxation and rejuvenation.   Hotel Haven is designed to provide homely warmth, exclusive comfort, and high-quality services for the discerning guest. Hotel Fabian is a 58-room boutique hotel with a uniquely welcoming atmosphere. We don't mind if you stay longer. Hotel Lilla Roberts Taking center stage in the service philosophy is the Nordic ""hygge""​ thinking. Hygge is originally a Danish concept, referring to all that is good and pleasant in life. Hotel St. George Opening in summer 2017, St. George is an enchanting Helsinki hotel, characterized by long-lasting elegance – with a twist of the unexpected.",Finland,20.670448,,,
Vanajanlinna,20138688.0,"Finland, Tavastia Proper, Hämeenlinna",https://www.linkedin.com/company/vanajanlinna-oy,vanajanlinna.fi,"Hotel Vanajanlinna is a reputable conference and golf hotel in Hämeenlinna, Finland. The unique castle hotel together with the internationally acclaimed golf course and the surrounding Finnish nature, creates an unbeatable combination.",Finland,20.138688,,,
Clarion Hotel Finland,15733350.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/clarion-hotels-finland,www.strawberry.fi,"Clarion Hotel is more than just a hotel. We create meeting spots that increase the quality of life for our guests. With us, you will always be where it happens, right in the heartbeat of the city.",Finland,15.73335,,,
Krapihovi Oy,15104016.0,"Finland, Uusimaa, Tuusula, 2 Rantatie, 04310",https://www.linkedin.com/company/krapihovi-oy,bit.ly,"Hotelli, Ravintolat, Kulttuuri Krapin herkullinen tarina elää keittiössä. Se syntyy vuodenaikojen kiertokulusta, puhtaista suomalaisista raaka-aineista ja talon historiasta. Hyvään ruokaa laitetaan kaikki mitä on, mitään vähättelemättä, mitään liioittelematta, jokaiseen makuun koko sydän. Ravintola Krapihovin lisäksi pihapiirin puistossa on Krapin Paja, Palvaamo, Aitta, Alitupa, Viinikellari, Ravintola Mankeli & kesäterassi, Hotelli vanhassa navetassa sekä kesäteatteri. Golfkentän läpi mutkittelevan tien päässä Tuusulanjärven rannalla lämpiää savusauna.  Krapin Onnelan alue sijaitsee 800 metrin päässä Krapilta, Tuusulanjärven rannalla, omassa niemenkärjessä. Onnelan vastarannalla siintää Sarvikallio, joka aikoinaan on inspiroinut alueen taiteilijoita, kuten Järnefeltiä, luovaan työhön. Onnelan alueella sijaitsee Toukola, Eino-sali ja Leino-sali, kolme rantasaunaa; Jannen sauna, Elvilä sekä Järvisauna. Majoitustilat Tammisto- ja Viertolarakennuksessa, Männistön mökki, Taabor- ja Tammikabinetti. Lisäksi alkuperäinen Majatalo Onnela-rakennus, Impivaara, jossa Johanna Sofia Björklund piti majataloa taiteilijoiden kultakauden aikaan. Majatalon tunnetuin asukki oli Eino Leino.",Finland,15.104016,,,
Yopuu Yhtio Oy,15104016.0,"Finland, Central Finland, Jyväskylä",https://www.linkedin.com/company/yopuu-yhtio-oy,www.yopuuyhtio.fi,"Yöpuu Yhtiö Oy is a privately held company located in Jyväskylä, Finland. We provide amenities in 2 locations for both, businesses and consumers. Our two hotels and a fine dining restaurant form a compilation of 154 hotel rooms & 9 conference rooms that are ready to serve you with the best possible and always personal service. Boutique Hotel Yöpuu: Boutique Hotel Yöpuu is a historically valuable stone house in calm, peaceful surroundings in the centre of Jyväskylä. Hotel Yöpuu is a cosy culture experience for our guests with individually decorated rooms and attentive service. A first-class breakfast, the flavour journeys of Restaurant Pöllöwaari and our personal wine bar transform a hotel stay into a relaxing and truly enjoyable experience. Restaurant Pöllöwaari: Considerate, first-class service, personal, rewarded selection of beverages. Stylish and atmospheric surroundings, Wine bar and during summertime, Wine yard. Refined dishes, seasonal ingredients, thrilling, surprising journeys of flavour. Urban Hotel Verso: Verso lives in the urban beat of the city. We are here to cherish life-enriching experiences, spontaneous encounters, passing moments. We are unique and free to try something new. We want to offer you urban enjoyment, self-indulgence, home-baked cinnamon rolls and café latte, fresh tastes from local produces, refreshing events and, of course, a good night’s sleep. Our new conference-, meeting and festivity facilities combined with our own kitchen make the best possible home for your meetings and events. Verso Bar: Welcome to our cosy living room, Verso Bar, in the city centre of Jyväskylä. You will find great a variety of Finnish craftbeers and red, white and sparking wines carefully selected by our somlier. We have a wide, first-class selection of alcohol, from Finland and worldwide. Enjoy tasty, salty tapas with your cocktail or just delicious pastries with your cappuccino. Salty snacks and filled bagels are available until late at night.",Finland,15.104016,,,
