Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
The Concierge House | Service Och Tjänster För Företag,509385.0,"Sweden, Stockholm, Stockholm, 10 C/o Cecil Coworking Norrlandsgatan, 111 22",https://www.linkedin.com/company/theconcierge-house,www.conciergehouse.se,Vi erbjuder olika former av concierge-tjänster till företag i Sverige men även till internationella företag som besöker primärt Stockholm och behöver assistance och service - som inte hotell kan erbjuda.,Sweden,0.509385,,,
Soun Basics,1319535.0,Sweden,https://www.linkedin.com/company/soun-basics,www.soun.se,"Get your fix of sustainable premium socks on subscription, so you never have to think about buying your most basic of basics ever again.  Minimizing your impact on the planet with the first ever circular concierge service keeping your basics from ending their life in the trash, and at the same time making it more convenient for you to get your most essential basics without effort. Successful crowdfunding campaign on Kickstarter 2020  Soft launch Christmas 2020  Subscription services launching in the beginning of 2021",Sweden,1.319535,,,
Sheraton Stockholm,31491012.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/sheraton-stockholm-hotel,www.sheratonstockholm.com,"The Sheraton Stockholm Hotel is located in the very heart of Stockholm’s central business district, shopping areas, and attractions – Perfect for both business and leisure guests.  The hotel offers stunning views of Lake Mälaren, City Hall, and Old Town. Whether you are on business or pleasure you will enjoy your stay with us. We have a wide range of rooms and suites, a restaurant and bar in which to dine or relax with friends. Our concierge is available to make sure that you get the most out of your stay in Stockholm. We are located; a two-minute walk from the Old Town and moments away from shopping and night life. The Arlanda Express only takes 20 minutes from the airport, and arrives at the Central Station, a one-minute walk from the hotel. Underground secure-parking is located in direct conjunction with the hotel with a lift that takes you directly to lobby level.",Sweden,31.491012,,,
KONTORET,2702731.0,"Sweden, Stockholm, Stockholm, 2 Birger Jarlsgatan, 11434",https://www.linkedin.com/company/kontorshotell-i-stockholm,www.kontorshotellistockholm.se,"Kontoret erbjuder moderna och flexibla kontorslösningar på fyra strategiskt utvalda platser i Stockholm: Nybroviken på Östermalm, Globen, Solna Centrum och Alviks Strand. Varje kontor är noggrant placerat för att ge optimal tillgänglighet med både bil och kollektivtrafik, samtidigt som de erbjuder inspirerande och funktionella arbetsmiljöer för företag i alla storlekar. Sedan 1996 har vi specialiserat oss på att leverera högkvalitativa kontorslösningar med full service. Vi erbjuder privata kontor, fasta platser och medlemskap, där du får tillgång till bemannad reception, konferensrum, dygnet-runt-öppettider, kaffe och te, samt concierge service. Dessutom kan vi bistå med tjänster som budservice, kemtvätt och IT-support, så att du kan fokusera på din verksamhet medan vi tar hand om detaljerna. Våra kontor har unika fördelar: Kontoret Nybroviken: Beläget på Birger Jarlsgatan, med närhet till både Stureplan och Nybrokajen, erbjuder detta kontor en exklusiv arbetsmiljö mitt i centrala Stockholm. Kontoret Globen: På 12:e våningen med panoramautsikt över Stockholm, får du en inspirerande arbetsplats nära stadens södra knutpunkt. Kontoret Solna Centrum: Perfekt för den som vill ha nära till både centrala Stockholm och alla fördelar Solna erbjuder, med direkt tillgång till handel och service. Kontoret Alviks Strand: Här arbetar du i lugnet vid vattnet med fantastisk utsikt över Mälaren, en idealisk plats för både fokus och kreativitet. Med oss får du ett kontor som anpassas efter dina behov, med flexibilitet att byta rum eller anpassa tjänster när företaget växer. Vi är här för att skapa en arbetsmiljö där du trivs och kan utvecklas.",Sweden,2.702731,,,
Carotte,23737536.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/carotte,www.carotte.se,"Mat & service till ditt evenemang eller kontor Carotte skapar attraktiva lösningar genom flexibel catering, event, bemanning och kontorsstäd. Carotte driver tre specialiserade dotterbolag som enskilt eller tillsammans erbjuder branschledande tjänster för företag och privatpersoner. Carotte Concierge – Soft Facility Services Carotte Food & Event – Catering, restaurang och evenemang Carotte Staff – Bemanning inom kontor och besöksnäring Carotte Housekeeping – Städtjänster för kontor och företag Våra största drivkrafter är kvalitet, kreativitet och att hålla en servicenivå som vida överträffar era förväntningar.",Sweden,23.737536,,,
Crypto Concinnity,439845.0,"Sweden, Stockholm, Stockholm, 36 Mäster Samuelsgatan",https://www.linkedin.com/company/crypto-concinnity,cryptoconcinnity.com,Crypto Concinnity is an concierge service specializing in purchasing and delivering luxury goods using your cryptocurrency of choice. We provide special assistance and tailor-made solutions in accordance with your specific requirements while ensuring complete anonymity.,Sweden,0.439845,,,
Les Clefs D'Or Sweden,1014102.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/les-clefs-dor-sweden,www.shpf.se,"SHPF (Svenska Hotell Portier Föreningen) is the world’s oldest association of its kind and, from its founding in 1926, it has served to foster interest in the hotel industry and to increase the level of service in each hotel. The association is for those who work with guest and customer contact in hotels throughout Sweden. Our international members are all members of Les Clefs d’Or International and are concierge who work at many of the best hotels in Sweden. Easily identified by the golden crossed keys on their lapels, these members are an elite fraternity, globally connected, committed to professional development, and driven to setting new standards for guest service perfection. Among our national members are concierge, front desk staff or who hold other positions in the hotel service sector with guest contact. Through the SHPF – Les Clefs d’Or Sweden you will be able to meet industry colleagues in casual settings to exchange experiences and learn from each other. In addition, it will broaden your network of contacts, both nationally and internationally, which benefits the hotels, its guests and, above all, your personal development – an investment in your future!",Sweden,1.014102,,,
Prettyclose,2517336.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/prettyclose,,"Prettyclose is a high-end social lifestyle network where you share and receive travel inspiration from the best destinations around the world. Each destination includes travel guides, insider tips, top hotels, restaurants, nightlife, shopping, culture and much more. Find ideas about where to stay, what to eat and do. Make seamless reservations though the app and our concierge.  Customize your personal menu by choosing the categories you're most interested in. Follow guides and create your own, share them with friends and followers. Rate places and share experiences with other people in your network.  Make the most of your travel!",Sweden,2.517336,,,
Travel Concept,2028204.0,"Sweden, Stockholm, Stockholm, 37 Kommendörsgatan, 114 60",https://www.linkedin.com/company/big-travel-concept,www.travelconcept.se,"Vårt team av experter hjälper dig med skräddarsydda resor världen över. Idag kan det vara svårt att hitta tid till allt man både vill och måste göra. Det är tidskrävande att boka en resa, särskilt om du vill att den ska nå ens önskemål och förväntningar. Vår mångåriga erfarenhet och goda kontakter ger dig även trygghet och kvalitetssäkring i valet av resmål och leverantörer. Vi skräddarsyr hela resan åt dig, helt efter dina önskemål. Skulle något hända under resan finns vi med längs vägen, vi är ett samtal bort. Som enda resebyrå i Sverige har vi ett unikt samarbete med Quintessentially, världens ledande conciergeservice, så att du har tillgång till den bästa biljetterna, restaurangerna och mycket mer. Our team of experts helps you with tailor-made journeys around the world. In today's fast-paced world, finding time to manage everything you want and need to do can be challenging. Planning the perfect trip is often time-consuming, particularly when aiming to meet specific preferences and expectations. With years of experience and a vast network of trusted contacts, we ensure you receive the highest level of quality and peace of mind when selecting destinations. We handle every detail of your journey, fully tailored to your desires. Should any issues arise during your trip, we're always just a phone call away. As the only travel agency in Sweden with an exclusive partnership with Quintessentially, the world’s leading concierge service, we provide you access to the finest tickets, restaurants, and so much more.",Sweden,2.028204,,,
Sention Health,2770288.0,"Sweden, Stockholm, Stockholm, 49 Hälsingegatan, 11331",https://www.linkedin.com/company/sentionhealth,www.sention.health,"Personal and Organisational Health, Prevention, and Concierge Medicine",Sweden,2.770288,,,
