Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Aegean Airlines,505544784.0,"Greece, Attica, Athens, 31 Viltanioti Str., 145 64",https://www.linkedin.com/company/aegean-airlines,www.aegeanair.com,"For more than 25 years, AEGEAN, a member of Star Alliance, constitutes Greece’s largest airline, providing full service, premium quality short and medium haul services. In 2013 AEGEAN united its strength with Olympic Air; in order to become even better and to offer a wide-ranging network within Greece, as well as abroad supporting Greek regions and ensuring the qualitative access even to the most remote Greek island. AEGEAN connects every corner of Greece with 180 destinations, in 49 countries with 307 routes and a total fleet of 76 aircraft, including the brand-new Airbus A320 and A321 neo, by the end of 2023. The new aircraft facilitate new services for passengers, as well as increased range capabilities, enabling expansion to new destinations and markets. As an outcome in 2023 AEGEAN transferred almost 15.5M passengers, 3.2 million more compared to 2022, an increase of 26%, reaching a new record high. AEGEAN has been announced as the Best Regional Airline in Europe for the 12th consecutive year and 13th time in the last 14 years. Moreover, AEGEAN was named 3rd Best Regional Airline in the World, was ranked 10th in Europe for its cabin crew, was amongst the World's Top 100 Airlines for 2021 (36th) and was amongst the winners of the COVID-19 Airline Excellence Award 2021 category, that rate the COVID-19 standards and best practices for the health and safety measures applied for both passengers and crew on board and on the ground. For more information, visit aegeanair.com.",Greece,505.544784,,,
SKY Express,422661697.0,"Greece, Gr",https://www.linkedin.com/company/sky-express-airlines,www.skyexpress.gr,"SKY express, an IATA and ERA board member, is the Greek multi-awarded airline for excellence and innovation in Europe, which is redefining the landscape of aviation. Apart from operating the largest network in Greece (33 in total), SKY express also flies to a constantly growing network of 27 international destinations:  -Cyprus | Larnaca -Belgium | Brussels -UK | London -France | Paris, Marseille, Nantes, Lyon, Lille -Italy | Rome, Milan -Germany | Munich, Berlin, Frankfurt, Dusseldorf, Hamburg -Poland | Warsaw -Bulgaria | Sofia -Austria | Vienna -Czech Republic | Prague -Turkey | Istanbul -Armenia | Yerevan -Georgia | Tbilisi -Albania | Tirana -Spain | Madrid  -Portugal | Lisbon - Israel | Tel Aviv SKY express modernized its fleet with the acquisition of brand-new aircraft, reaching a total of 29 in 2025:  -Airbus A321neo (x2) -Airbus A320neo (x12) -Airbus 320 ceo  -ATR 72-600 (x10) -ATR 42-500 (x4) With Greece’s youngest fleet, SKY express travels towards a sustainable future, reducing its footprint. Targeting international visitors, SKY express preserves strategic collaborations with international airlines like Air France, KLM, Qatar Airways, Emirates, Delta, American Airlines, Cyprus Airways, Condor, El Al, Turkish Airlines, Middle East Airlines, Royal Jordanian, Air Transat, easyjet, Etihad, British Airways, and more. SKY express has been recognized with three prestigious ERA awards for its remarkable work in innovating and excelling in the Aviation: • ERA Innovation Airline Award 2024 • ERA Airline Excellence Award 2023 • ERA Innovation Airline Award 2023 At SKY express, we are on a mission to turn everyday flying into a modern, comfortable and tailor-made experience, that fits all our passengers’ needs. Find out more: https://www.skyexpress.gr/el",Greece,422.661697,,,
SKYWORLD,159783920.0,"Greece, Attica, Athens",https://www.linkedin.com/company/skyworld,www.skyworld.cc,"Founded in 2013, SKYWORLD is a design and production company of attractions and experiences. The SKYWORLD team works to conceptualize, produce, and operate some of the most innovative rides and attractions in cities throughout the world. SKYWORLD’s mission is to set the standard in the entertainment and attraction industry by delivering world-class services and creating a unique and memorable experience for our guests.",Greece,159.78392,,,
GainJet Aviation S.A,101787794.0,"Greece, Attica, Athens, Vouliagmenis Ave. & 1 Themistokleous St.",https://www.linkedin.com/company/gain-jet,www.gainjet.com,"GainJet Aviation is a leading worldwide private jet charter operator and management company. The company is based in Athens, Greece with an office in London, U.K. Our global network also includes strategic partners all over the world. Our large and versatile fleet offers a wide range of VIP aircraft, positioned throughout Europe, the Middle-East, and Africa to provide our clients with the best VIP travel solution for their requirements. Our fleet includes the following charter aircraft: - VIP Boeing 757-200 Executive Airliner with a stateroom and ensuite - VIP Boeing 737-400 Executive Airliner - Gulfstream G650 Ultra-Long Range Executive Jet - Gulfstream G550 Ultra-Long Range Executive Jet - Gulfstream G450 Long Range Executive Jet - Embraer Legacy 600 Super Mid-Size Executive Jet - Bombardier Challenger 604 Medevac/Executive Jet We at GainJet believe safety and security are our top priorities, and we strictly comply with the rules set by JAA and EASA. We hold worldwide EU-OPS, U.S FAA Part 129 and Canadian FAOC Air Operator Certificates (AOC) which allow us to enjoy the ability to operate globally. So wherever your journey may take you, we fly you where you want and when you want. Our executive aircraft service offers a broad range of flexible terms for individual and group charter, including government, corporate, incentive, showbiz, and sports travel.  Our aircraft management service is powered by a wide array of resources and administered by highly experienced professionals, in order to ease the complex adversity of owning an aircraft and to maximize return on investment. We offer a customized travel experience tailored to your specific needs. Whatever your travel requirements may be, our leading team of professionals is available 24/7 to ensure that these requirements are met with the highest standards of passenger care. So enjoy your flight and let us take care of the rest.",Greece,101.787794,,,
MARATHON AIRLINES S.A.,61072676.0,"Greece, Attica, Glyfáda, 14 Lontou Str., 166 75",https://www.linkedin.com/company/marathon-airlines-s-a,www.flymarathon.aero,"Together, We Soar. Optimum aviation solutions for your ACMI needs, as well as ad-hoc charters for corporate clients, group travel, and sports teams. #MarathonAirlines  |  #FlyMarathon",Greece,61.072676,,,
BlueBird Airways,52234722.0,"Greece, Crete, Irákleion, 71601",https://www.linkedin.com/company/bluebird-airways,www.bluebirdair.com,"“Blue bird airways” is a greek airline company, established on 2008. With a rapid growth and superior customer service. We shoot for the sky when it comes to top quality aviation services in Europe. We are fully committed to provide our services under the strict European standards and doing everything in our power to be the best at what we do for you. “Blue bird airways” was founded with safety in mind and customer care at heart. We know how it all started and we definitely know where we want to take it further. We have a clear vision of how we perceive the modern aviation services and we are here to make it happen. Our direct clients and passengers are the best evidence that we are on the right track. We offer our clients a tangible and flexible business model in order to provide them the best prices for our European standard aviation services. Always responsible , consistently reliable Our goal and aim is to provide our clients and passengers the best and safest traveling solutions. We are customer oriented, always looking for new and better ways to improve our customer care and providing the best travelling experience. We are on a constant search of ways to improve the safety, stability and standards of aviation services. This is why we constantly strive to be the best at what we do. We believe that innovation and agility are the way to operate today, and this is why we deliver each and every time the best solutions- whether its cargo or passengers, we deliver on time. Our Fleet consists of  short to medium range aircrafts, all economy in high density capacity, which meets the highest Standards and Specifications in the aviation industry according to European Aviation Safety Agency (EASA).",Greece,52.234722,,,
Avibright,31466700.0,"Greece, Attica, Athens, 10 Geor. Karistinou & Leontariou, 15351",https://www.linkedin.com/company/avibright,www.avibright.com,"avibright provides smart software solutions that help airlines optimize operations, enhance efficiency, and improve passenger experience. Our journey into the fascinating aviation industry began 13 years ago when Aegean Airlines, Greece's flagship carrier, entrusted us with designing and developing technology that optimizes and automates various functions by leveraging data from critical systems. Our exemplary collaboration with Aegean Airlines over the years has led to a strong and expanding partnership, which has paved the way for us to work with numerous airlines worldwide. Today, a growing number of airlines, regardless of size, rely on our solutions, which include: - Passenger Disruption Management Facilitator - Passengers & Stakeholders Communications Platform - Baggage Management Solutions - Crew Portal - Miles Fraud Detection Tool - Uniforms Management System - Codeshare Management - Business Intelligence Applications CERTIFICATIONS: - ISO 9001 (Quality Management System) - ISO/IEC 27001:2013 (Information Security Management System) - ISO 22301:2019 (Business Continuity Management System)",Greece,31.4667,,,
Magna Aviation,10069344.0,"Greece, Attica, Athens, 108 A. Papandreou Str., 16674",https://www.linkedin.com/company/magna-aviation,www.magna-aviation.com,"Our worldwide charter service arranges both personal and business travel. From an individual wanting to travel Athens - New York, all the way up to 200 passengers on a single aircraft.  Whether you need convenient scheduling, personalized service or continuous corporate identity (for example, fully branded seat customization) we can find the solution.",Greece,10.069344,,,
Orange2fly Airlines,9440010.0,Greece,https://www.linkedin.com/company/orange2fly,www.orange2fly.com,"orange2fly, is a Greek Airline Company based in Athens, Greece, that carries out worldwide operations in Wet Lease and Charter business.  orange2fly, operates under a Hellenic Civil Aviation Authority Air Operator Certificate in accordance with the European Aviation Safety Agency Regulation (EASA)",Greece,9.44001,,,
Life Line Aviation,9312000.0,Greece,https://www.linkedin.com/company/gainjet-ireland,www.lifelineaviation.com,LIFE LINE AVIATION Manager Flight Operation & Training.,Greece,9.312,,,
