Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Austrian Airlines,4028659696.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/austrian-airlines,www.austrian.com,"Austrian Airlines is the flag carrier of Austria, providing a comprehensive range of air travel services to both domestic and international destinations. The airline is committed to delivering a high-quality travel experience, focusing on convenience and efficiency, as demonstrated by its organized boarding process that prioritizes families, passengers with reduced mobility, and frequent flyers. Austrian Airlines aims to connect people and cultures while ensuring customer satisfaction through its attentive service and modern fleet. The airline primarily serves business and leisure travelers, partnering with various global airlines as a member of the Star Alliance network to enhance connectivity and offer a seamless travel experience. With a strong presence in Europe and beyond, Austrian Airlines targets a diverse clientele, including tourists, business professionals, and expatriates.",Austria,4028.659696,,,
Iran Air AT,510389874.0,"Austria, Vienna, Vienna, 1 Opernring, 1010",https://www.linkedin.com/company/18111995,www.iranair.at,"Official page of Iran Air in Vienna, Austria.  Iran Air is the flag carrier of the Islamic Republic of Iran, offering direct flights between Vienna and Tehran since 1974.  Tickets can be booked through www.iranair.at. Follow us on social media to receive weekly updates from our sales team in the heart of Vienna’s city center. → Opernring 1, 1010 Vienna.  instagram/iranairat facebook/iranairat",Austria,510.389874,,,
Flightkeys GmbH,58528062.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/flightkeys,www.flightkeys.com,"Flightkeys - a Vienna based software development company - has been founded in April 2015 by a team of passionate and high profile aviation experts with very specific knowledge and long-term experience in the field of flight planning & optimization: ""Our mission is to completely re-write the science of flight management for the 21st century by precisely meeting the emerging requirements of cost-optimized airline operations, trajectory-based operations and reduction of emissions""",Austria,58.528062,,,
MJET,44682714.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/mjet-gmbh,mjet.eu,"MJET is a leading Austrian business aviation operator, proudly headquartered in Vienna and serving the global aviation market since 2007. Holding an Austrian Operating Licence and an Air Operator Certificate (AOC), MJET is fully authorized to conduct commercial operations. The company adheres to the stringent standards set by the EASA Air Operations (EU Regulation No 965/2012), which governs commercial flight operations across EASA member states. MJET’s 24/7 Operations Control Center ensures that our aircraft are always ready to serve, no matter where in the world they are needed. Our dedicated team goes beyond daily operations, offering a comprehensive suite of aviation services, including operational support, aircraft sales, and pre-purchase inspections. We don't just manage flights—we create exceptional aviation experiences. At MJET, we believe that every journey is personal. Our unwavering commitment to safety, precision, and personalized service ensures that each client’s experience is uniquely tailored to their needs, wherever their destination may be.",Austria,44.682714,,,
Heli Austria GmbH,37550232.0,"Austria, Salzburg, Salzburg",https://www.linkedin.com/company/heli-austria-gmbh,,"Heli Austria, Heli Tirol und die Martin Flugrettung stehen seit über 30 Jahren mit Helikoptern im Dienste unserer Kunden. In dieser Zeit haben wir unser Einsatzgebiet auf ganz Österreich und das angrenzende Ausland sowie unser Leistungsangebot den Anforderungen entsprechend erweitert und perfektioniert.",Austria,37.550232,,,
GlobeAir,35000000.0,"Austria, Upper Austria, Linz",https://www.linkedin.com/company/globeair,linktr.ee,"GlobeAir is a premier provider of on-demand private jet charter services, dedicated to delivering flexible and efficient air travel solutions for both business and leisure clients. The company's mission is to redefine the private aviation experience by offering unparalleled service, safety, and convenience, ensuring that every flight is customized to meet the unique needs of its passengers. With a vision to make private air travel accessible and enjoyable for everyone, GlobeAir leverages advanced technology and maintains a modern fleet of aircraft to enhance the travel experience.  Primarily serving high-net-worth individuals, corporate executives, and travel agencies, GlobeAir partners with various luxury service providers to elevate its offerings and create memorable travel experiences. The company focuses on the European market, targeting clients who value time efficiency and personalized service, making it a preferred choice for discerning travelers. GlobeAir boasts a rapid 15-minute boarding time and access to 984 exclusive destinations across Europe, setting new standards in the industry.  With a commitment to exceptional customer support available 24/7 and competitive pricing, GlobeAir aims to be the go-to choice for those seeking luxury and convenience in air travel. By prioritizing customer satisfaction and safety, GlobeAir continues to enhance its reputation as a leader in the private aviation sector, striving to provide an unmatched travel experience for its clientele.",Austria,35.0,,,
Skyside Aviation,34652377.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/skysidevienna,skyside.aero,"Skyside is an aviation service provider based in Vienna, we are located in one of Europe´s most favourable hubs for commercial air transportation.  Our aircraft management team has the agility, responsiveness and personal attention of a private flight department, while also maintaining access to the resources of a large transportation organization. Whether customers own one aircraft or a fleet, a light business jet or a VIP airliner, fly a few hours annually or want to maximize charter revenue, Skyside possesses the experience and means to ensure a fantastic ownership experience.  Skyside provides round-the-clock support. Higher dispatch reliability and experienced teams help to minimize customer downtime. Our optimum planning techniques combined with our billing transparency make us an effective aviation partner. Services Provided: Aircraft management, Charter operation, Camo services, Aircraft delivery.",Austria,34.652377,,,
Niki Luftfahrt GmbH,33354702.0,"Austria, Lower Austria, Schwechat",https://www.linkedin.com/company/niki-luftfahrt-gmbh,www.flyniki.com,"Die NIKI Luftfahrt GmbH Seit November 2003, dem Gründungszeitpunkt von NIKI, wächst die aus Airbus bestehende Flotte ebenso wie die Zahl der angesteuerten Destinationen kontinuierlich. Ende 2011 hat Niki Lauda seine Mehrheit an NIKI an den bisherigen Mitaktionär airberlin abgegeben. NIKI blieb jedoch eine eigenständige Gesellschaft mit eigener Geschäftsführung.  Das Unternehmen beschäftigt in etwa 1000 Mitarbeiter.",Austria,33.354702,,,
Glorious Group,20138688.0,"Austria, Lower Austria, Schwechat, Steinriegelweg, 1300",https://www.linkedin.com/company/gloriousgroup,www.glorious-group.net,"Glorious Group is a boutique company providing the services of yacht and jet charters, sales and acquisitions for the selected high-end clientelle. Our client service is available 24/7 worldwide. One of our goals is to maximize freedom and flexibility, combined with a special blend of stress-free comfort and style of the highest levels. Glorious Group offers personalized services round the clock, 365 days a year. We know our business inside out and this is the reason we don‘t use the services of brokers. Whatever your individual requirements in aircraft management may be, we provide smart independent management support for you to enjoy the results.  For more information, sales charters or consulting, visit our website or follow us on Facebook (https://www.facebook.com/gloriousjetsandyachts/) and Instagram (https://www.instagram.com/gloriousgroup/). We look forward to welcoming you onboard.",Austria,20.138688,,,
JetClass,15104016.0,"Austria, Vienna, Vienna, 27/top 10 Franz-josefs-kai, 1010",https://www.linkedin.com/company/jetclass,www.jetclass.com,"We provide unparalleled service through our tech-driven, transparent booking platform. Our expertise ranges from sourcing private jets on behalf of our clients to offering unmatched service and impeccable convenience to maximize your travel experience.",Austria,15.104016,,,
ARA Flugrettung,8474888.0,"Austria, Carinthia, Klagenfurt Am Wörthersee",https://www.linkedin.com/company/ara-flugrettung,www.ara-flugrettung.at,Menschen. Leben. Retten.,Austria,8.474888,,,
Skygate_aviation_academy,6728115.0,"Austria, Salzburg, Salzburg, 1 Kasernenstraße, 5071",https://www.linkedin.com/company/skygate-academy,skygate.aero,ATPL ab initio Ausbildung based in Salzburg (AUT),Austria,6.728115,,,
TRIPLE C AVIATION,6293340.0,"Austria, Vienna, Schadekgasse",https://www.linkedin.com/company/triple-c-aviation,www.ccc-aviation.aero,"Triple C Aviation was established to support clients worldwide with over 20 years of experience in the field of Continuing, Initial Airworthiness, Charter Sales, Training, Aircraft Acquisition, Design/Certification, IT solutions and more.  We support our clients from classic CAMO Support, nomination of Postholders, Compliance Monitoring Tasks, Safety Management, Design of Modification incl Certifications, Aircraft Sales up to building an Approval (AOC, CAMO, Part 21,...) from the scratch!",Austria,6.29334,,,
Goldeck-Flug Gesellschaft M.b.H.,5890846.0,"Austria, Vienna, Vienna, Donau-city-straße, 1220",https://www.linkedin.com/company/goldeckflug,www.goldeckflug.at,"Goldeck-Flug ist eines der führenden Unternehmen Österreichs im Bereich Executive Aviation.  Als Ihr verlässlicher Partner in der Luftfahrt bieten wir höchste Sicherheitsstandards und beste Qualität. Egal, ob der Schwerpunkt auf Reichweite, Geschwindigkeit oder Wirtschaftlichkeit basiert - Goldeck-Flug bietet die beste Lösung für sorgenfreies Reisen. Mit unserem Team aus erfahrenen Piloten, Technikern und Experten bieten wir Komplettlösungen in den Bereichen:  Aircraft Charter, Aircraft Management und Private Shared Ownership. Anfragen unter der 24/7 Hotline +43 676 846 323 702 oder fly@goldeckflug.at.",Austria,5.890846,,,
Pilart Air GmbH & Co KG,5745155.0,"Austria, Vienna, Vienna, 2-4 Mattiellistraße, 1040",https://www.linkedin.com/company/pilart-air-gmbh-co-kg,www.pilartair.at,"PilartAir is a private charter company and operator of two PC12NG providing flights throughout all of Europe.  Thanks to the flexibility of the PC12NG we can offer a wide range of possible destination airports having short, unpaved or even grass runways. This flexibility is something that our company can identify itself with, since we are 24/7 available for our customers for short-notice inquiries or any other questions. For more information regarding our operations, please visit our website!",Austria,5.745155,,,
