Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Hydroware,228364812.0,"Sweden, Alvesta, 13 Fabriksgatan, 34232",https://www.linkedin.com/company/hydroware,www.hydroware.com,"På Hydroware är vi specialister på att utveckla, tillverka och sälja driv- och styrsystem för hissar. Sedan starten 1998 har vi behållit vår produktions- och innovationskärna i Alvesta, där allt började.  Idag är vi ett globalt företag med över 200 medarbetare i Sverige, Storbritannien, Tyskland, Italien och Benelux. Vi har en omsättning på cirka 550 MSEK och är inom branschen en av de ledande förespråkarna för cirkulär ekonomi och hållbara produkter som är lämpliga för modernisering. Vi vill att en hiss ska ha samma livslängd som byggnaden",Sweden,228.364812,,,
SMC Automation,99773677.0,"Sweden, Stockholm, Stockholm, 29-31 Ekhagsvägen, 141 71",https://www.linkedin.com/company/smc-automation-sweden,www.smc.nu,"SMC arbetar med industriell automation och är världens största tillverkare av pneumatiska komponenter SMC Corporation grundades 1959 i Tokyo och är idag ett internationellt erkänt varumärke inom industriell pneumatik. SMC bedriver sin verksamhet i samtliga världsdelar och försäljningsnätet omfattar fler än sjuttio länder. Det finns produktionsanläggningar i Japan, Kina, Singapore, Korea, Australien, USA, Kanada, Tyskland, Italien och England. SMC omsätter mer än 45 miljarder kr och har fler än 20 000 anställda. SMC är idag störst i världen när det gäller försäljning, utveckling och tillverkning av pneumatikkomponenter. Lösningarna skräddarsys för varje enskild bransch. Specialtillverkning erbjuds om produkten inte redan finns, oavsett mängd som efterfrågas. 90% av all tillverkning sker i egen regi, vilket gör att man har full kontroll på hela produktionsprocessen. Det i sin tur leder till korta ledtider och snabb produktutveckling.  Sverige Här i Sverige finns vi etablerade sedan 1986 med huvudkontor i Huddinge, regionkontor i Göteborg, Lund, Borlänge och Växjö samt en mängd återförsäljare över hela i landet. Huddingekontoret är dessutom lagerhub och har över 15 000 artiklar i lager.  Ett av våra främsta konkurrensmedel är att skapa mervärden till produkterna. Kompetenta säljare och tekniska rådgivare gör att vi alltid hittar rätt komponent för varje enskild kund. Vi har en mycket engagerad personal och en mycket låg personalomsättning. Andra fördelar är det egna lagret och en omfattande teknisk support.  En av de stora satsningarna hos oss på SMC är på Energy Saving. Många företag inom den svenska industrin använder i dag pneumatik i sin produktion. Ofta finns stora möjligheter till energioptimeringar som snabbt ger goda effekter både i plånbok och i miljön.  Välkomna med frågor till oss! order@smc.nu / 08-603 12 40",Sweden,99.773677,,,
Ljunghäll AB - Sweden,96267120.0,"Sweden, Södra Vi, 41 Norra Storgatan, 59871",https://www.linkedin.com/company/1074052,www.ljunghall.com,"Ljunghäll ägs av italienska Gnutti Carlo SPA och tillsammans bildar vi en global aktör med över 4 000 anställda i Sverige, Italien, Tyskland, Tjeckien, Storbritannien, Österrike, Indien, Kina, USA och Kanada. Ljunghäll pressgjuter aluminiumdetaljer till fordonsindustrin och i vår nisch är Ljunghäll det ledande företaget i norra Europa. Vårt moderbolag, Gnutti Carlo är världsledande inom utveckling och leverans av kraftiga och högpresterande ventilstyrnings- och bränsleinsprutningskomponenter för bygg-, jordbruks-, marin-, generator- och transportmotorer.",Sweden,96.26712,,,
VAPIANO Sweden,54752058.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/vapiano-sweden,www.vapiano.se,"Vår affärsidé är att servera fräsch och vällagad mat till förvånansvärt bra priser i en kontinental miljö, där gästen står i centrum. Med erfarenheter och starka influenser från Italien. Konceptet grundades i Tyskland 2002 och hösten 2007 etablerades Vapiano i Sverige. Vi är alltså inte en restaurang med italienska rötter, hos oss hittar man snarare en salig blandning av nationaliteter och bakgrunder – vi är oerhört stolta över vår mångfald! Det som dock förenar oss är en genuin gemensam nämnare; vår kompromisslösa mission att göra vår passion för italienskt mathantverk och kravlöst umgänge tillgängligt för alla. För lediga tjänster:  https://vapiano.se/om-oss/jobba-hos-oss/",Sweden,54.752058,,,
Rejmes Bil,39648042.0,"Sweden, Halland, Halmstad",https://www.linkedin.com/company/rejmes-bil,rejmesbil.se,"Vi är auktoriserade återförsäljare av Volvo, Renault, Dacia, Citroên samt lätta transporter Renault och Citroën. Vi erbjuder service- och verkstadstjänster, samt reservdelar,tillbehör drivmedel, biltvätt och via Hertz biluthyrning.  I koncernen ingår även Rejmes Transportfordon som säljer och servar tunga transportfordon. Vidare finns också Toyota-Center inom koncernen. Vårt huvudsäte är Halmstad men vi är också representerade i Falkenberg, Torup och Laholm.",Sweden,39.648042,,,
Bilia Söderbergs Bil,27598968.0,"Sweden, Östergötland, Norrköping",https://www.linkedin.com/company/söderbergs-bil,www.bilia.se,"Söderbergs Bil är nu en del av Bilia - denna sida är inaktiv och vi hänvisar våra följare till Bilias Linkedin sida.   Återförsäljare och auktoriserad verkstad för Volkswagen, Audi, SEAT, CUPRA, Skoda och Volkswagen Transportbilar. Biluthyrning genom Europcar.",Sweden,27.598968,,,
Franska Skolan - École Française De Stockholm,19192249.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/franska-skolan,www.franskaskolan.se,"Franska Skolan är en av Stockholms äldsta friskolor. Den grundades 1862 av Sankt Josef-systrarna från Chambéry i Frankrike och dess syfte var att ge fattiga katolska barn en bra utbildning. Redan 1867 blev Franska Skolan en svensk skola men med franska som första främmande språk. Franska Skolan fick ett tydligt uppdrag att undervisa eleverna i den franska kulturen samtidigt som man skulle lära ut det svenska samhällets värderingar. Idag är Franska Skolan en svensk friskola med fransk profil vilket innebär att vi följer den svenska läroplanen, att all undervisning är på svenska men att alla våra elever studerar franska på olika nivåer. Franska Skolan har både förskoleklasser, grundskola och gymnasium. På gymnasiet läser cirka 300 elever. Skolan ligger mitt i centrala Stockholm i de vackra kvarteren runt Johannes kyrka. L’école française à Stockholm (Franska Skolan) est une école suédoise à caractère français. L’école française à Stockholm est une école suédoise indépendante qui suit les programmes nationaux d’enseignement en vigueur en Suède. La spécificité de l’école réside dans son profil à caractère français. Cela signifie que tout l’enseignement est dispensé en suédois. Cependant nos élèves étudient le français en première langue suivant leurs niveaux et leurs compétences. L'école française est une des rares écoles en Suède à proposer un cursus scolaire de l’école primaire au lycée. Nous comptons aujourd’hui environ 950 élèves. L'école française se situe au centre de Stockholm dans le quartier pittoresque de Johannes kyrka. Nous occupons nos locaux depuis 1911.  Bransch:   Företagsstorlek: 100-150 anställda Typ: Utbildningsinstitution  Grundat: 1862 Platser: Döbelnsgatan 9, 111 83, Stockholm, SE",Sweden,19.192249,,,
Travelocity Nordic,15733350.0,Sweden,https://www.linkedin.com/company/travelocity-nordic,www.travelocitynordic.com,"Travelocity Nordic is a leading provider of consumer-direct travel services for the leisure traveller.  Travelocity Nordic customers can access offerings, pricing information about airlines, hotels, car rental companies, vacation and last-minute travel packages, and other travel-related services at competitive prices. Travelocity is part of the Sabre Group which is a global leader in technology for aviation and travel industry.",Sweden,15.73335,,,
Hüllert Maskin,15650773.0,"Sweden, Vara, 56 Torggatan",https://www.linkedin.com/company/hüllert-maskin,www.hullert.se,"Hüllert Maskin är generalagent för Merlo teleskoplastare och har varit marknadsledare i över tio år. Vi är stolta över vårt arbetssätt och vår marknadsposition. Det märks på engagemanget och kunnandet hos alla våra anställda, hos återförsäljare och servicepartners. Det märks också på hur vi satsar. Inget är så bra att det inte kan bli bättre! Därför utvecklar vi arbetet med försäljning, support och service kontinuerligt och med täckning över hela Sverige. AB Hüllert Maskin växer och utvecklas på detta sätt i samklang med kundernas behov! •	Vår strategi har fungerat ända sedan 1945. •	I 75 år har AB Hüllert Maskin sålt maskiner. •	Redan 1979 såldes den första teleskoplastaren. •	Sedan 1995 har vi varit generalagent för Merlo. •	Våra kunder kommer tillbaka till oss, därför att trygghet är en del av leveransen från AB Hüllert Maskin! •	Marknadsledande position sedan 2002. Merlo är unikt på många sätt. Företaget är privatägt och har en hög återinvesteringsgrad (cirka sju procent) för utveckling av nya maskiner och teleskoplastarfunktioner. Utveckling, innovativt nytänkande och framtidstänkande präglar Merlos företagskultur. •	Merlos teleskoplastare tillverkas i Italien och säljs över hela världen. •	Merlo är marknadsledare i många länder (bland annat i Sverige sedan 2002). •	Merlos globala framgång bygger på innovativt tänkande och kontinuerligt utvecklingsarbete. •	Merlo var först med bland annat lågbyggd bom för bättre runtomsikt och runtomsvängande maskiner med tiltbar hytt. Hydrostatisk drift, hög transporthastighet, chassinivellering, sidoförskjutning, kraftuttag och trepunktslyft är andra uppskattade egenskaper som tillförts Merlos teleskoplastare. •	Innovativt framtidstänkande präglar Merlos företagskultur.",Sweden,15.650773,,,
Lind & Co,15292839.0,"Sweden, Stockholm, Stockholm, 8 Hantverkargatan, 11221",https://www.linkedin.com/company/lind-&-co,www.lindco.se,"Lind & Co är ett allmänutgivande förlag som ger ut böcker inom skönlitteratur, fakta och barnböcker. Vi har en bred utgivning och är stolta över att ge ut såväl litterära klassiker som deckare; militärhistoria såväl som handarbetsböcker; sagosamlingar som pysselböcker. Den höga aktualiteten och bredden enar utgivningen. Vi har också en stor ljudboksutgivning med både egna titlar och titlar licensierade från andra förlag. Vi ger även ut ljudböcker i Norge, Finland, Danmark, Island, Polen, Bulgarien, Italien och Nederländerna.",Sweden,15.292839,,,
