Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Brimborg,35985639.0,"Iceland, Capital Region, Reykjavík, 4-6 Bildshofdi, 110",https://www.linkedin.com/company/brimborg,www.brimborg.is,"Brimborg is a car and van importer and dealership for Volvo Cars, Ford, Mazda, Citroën, Peugeot, Opel, Polestar. Brimborg also represents Volvo trucks, Volvo Bus, Volvo Construction Equipment and Volvo Penta marine engines as well as Dieci telehandlers, Hiab trucks cranes and Reisch trailers. Brimborg offers for sale new and used cars, vans, trucks and equipment and service and parts for it´s brands. Brimborg is an importer, retailer and installer of AC charging and DC fast charging equipment for homes and businesses and is also operating it´s own public fast charging network under brand name Bílorka. Brimborg is the independent licensee for Dollar Rent A Car and Thrifty Car Rental in Iceland. MAX1 chain of quick fit workshops in Great Reykjavik area owned by Brimborg is servicing all automotive brands in Iceland for tyres from Nokian, brake repairs, lubrication, car batteries, shock absorbers, wiper blades from Trico, washer fluids and bulbs. Vélaland is Brimborg´s non-authorised chain of workshops offering complete service for all automotive brands in Iceland.",Iceland,35.985639,,,
Geysir Car Rental,13845348.0,"Iceland, Reykjanesbær Reykjanes, 4 Arnarvöllur, 235",https://www.linkedin.com/company/geysir,www.geysir.is,"GEYSIR car rental is a family run company that was founded in 1973. We offer top quality car rental and related services through our dynamic, easy to use website. We keep the quality and experience of low-cost car rental at a level others don't reach, and we do this by offering a range and service we know will satisfy all your needs.",Iceland,13.845348,,,
Go Car Rental Iceland,7210695.0,"Iceland, Capital Region, Reykjanesbær, 43 Fuglavík, 230",https://www.linkedin.com/company/go-car-rental-iceland,www.gocarrental.is,"Go Car Rental Iceland offers first class customer service and new cars for rental. We are a small local company and want you to enjoy Iceland to the fullest. Ask us for tips about where to drive your rental car in Iceland and we'll do our best to customize your trip with you. We offer you to pick up your rental car at Keflavik airport and we also have a free pick up- & drop off service in the Reykjavik area. If you are searching for a car rental in Iceland, you don't need to search any further. You are safe with us",Iceland,7.210695,,,
Scandinavian Travel,6924518.0,"Iceland, Capital Region, Reykjavík, Laugavegur, 105",https://www.linkedin.com/company/scandinavian-travel-services-ehf,www.scandinavianehf.com,"Scandinavian Travel Services exists to bring people closer to the wonders of Scandinavia through a unique travel service experience. Our mission is to partner with adventure-ready individuals and travel experts to create the Scandinavian experience of a lifetime. Through a developed network within the local travel industry, we provide highly-adaptable solutions to accommodate customers’ travel plans.  Our customer-focused team is dedicated to serving travelers from all over the world to create spectacular Scandinavian experiences. Through our intimate knowledge of the region, culture, and adventure across Scandinavia, we deliver tour operations and motorhome, RV, and car rentals for every budget. Focused on improving how travelers engage with the travel industry itself, we are constantly adapting our services to meet the needs of all travelers and networks we partner with. Simply put, we love what we do and we love who we serve.  Sanctioned by the Tourism Board of Iceland and recognized as “Company of the Year” in Iceland every year since 2017, we strive to make both our customer and team experience worthwhile. We offer competitive pay, paid holidays and vacation time, and flexibility to every member of our staff. Join our passionate, adventurous team of experts with a track record for delivering quality travel solutions for the adventure obsessed! https://www.carsiceland.com https://www.reykjavikcars.com https://www.campervaniceland.com https://www.campervanreykjavik.com https://www.campervannorway.com https://www.campervansweden.com",Iceland,6.924518,,,
Blue Car Rental,6038496.0,"Iceland, Keflavík, 3 Blikavellir, 235",https://www.linkedin.com/company/bluecarrental,www.bluecarrental.is,"We at Blue Car Rental set out to provide travelers with the best service possible and we treat them in the same way as we ourselves want to be treated.  Being a local family company gives us an edge. Making us more qualified to provide our customers with a premium service unlike any other in Iceland.  We understand that time is valuable when traveling. Blue Car Rental is the first car rental in Iceland to offer all customers to save time by checking in online before arriving at our office.   Guaranteeing zero waiting time and zero contact delivery before arrival. Getting customers on the road faster than ever and faster than anywhere else.  We strongly believe in our competitive prices and our zero worry policy ensures a carefree experience for our customers.    With this combined and our online reviews, we are confident that we are the best!",Iceland,6.038496,,,
Sixt Rent-a-car Iceland,5215310.0,"Iceland, Capital Region, Reykjavík, 18 Fiskislóð, 101",https://www.linkedin.com/company/sixtrent-a-cariceland,sixt.is,Sixt rent a car Iceland is the exclusive licence holder for Sixt in Iceland. Sixt provides high quality rental cars at affordable prices.,Iceland,5.21531,,,
Orange Car Rental Iceland,4644548.0,Iceland,https://www.linkedin.com/company/orange-car-rental-iceland,www.orangecarrental.is,"We are an small independent family owned company and operated by team of car enthusiasts, that grew up in the car rental-sales business and have over 35 years of experience under our belt, offering a broad range of professional Car Rental - Car Hire services. We are a local company and therefore know a lot about Iceland, we can advise you on travelling through Iceland’s wildly magnificent and varied landscape. You can choose from our large fleet of quality and luxury cars. All our cars are 2016 model well equipped for your travel in Iceland. If you have any questions regarding what car best suits your needs or want to get some help planning where to go and what to see in Iceland do not hesitate to contact us via email and we will be in touch. Our friendly staff at Orange Car Rental is always welcome to help, we know that good customer service is the most important thing, our mission is to help people experience all the best Iceland has to offer. Our rental office is located in Keflavik only 5 minutes drive from Keflavik Int. Airport. The arrival hall at Kef.Int. Airport  is open 24/7. If you have just arrived in Iceland and are picking up a car in our Keflavik Office, for a reasonable price, a representative from Orange Car Rental shuttle service will be waiting in the arrival hall at Keflavik Int. Airport with a sign with your name.",Iceland,4.644548,,,
Avis Iceland,3748032.0,"Iceland, Capital Region, Reykjavík, Holtavegur, 104",https://www.linkedin.com/company/avis-iceland,www.avis.is,"Since 1989, Avis Iceland has been a trusted name in car rentals, providing seamless mobility solutions and unforgettable travel experiences. As one of the largest car rental providers in Iceland, we are proud to be part of the globally recognized Avis brand, consistently awarded for excellence—including the 2024 Business Traveller Awards for Best Car Rental Company in the World and Best Car Rental in Europe. With a diverse team of over 100 employees representing 10+ nationalities, we are passionate about delivering top-tier service, ensuring every journey is as smooth as the Icelandic roads allow. More Than a Car. A Key to Iceland. Short & Long-Term Rentals – Flexible solutions for travelers and businesses. A Modern Fleet – Over 3,000 vehicles in 2025 for every road and season. Unparalleled Service – A dedicated team committed to making your trip stress-free. Your Gateway to Iceland We partner with both local and international companies to provide hassle-free mobility solutions across Iceland. Whether you're here to chase Northern Lights, explore rugged highlands, or travel for business, we ensure you have the right vehicle for your adventure.",Iceland,3.748032,,,
Lava Car Rental,2852671.0,"Iceland, Southern Peninsula, Keflavík, 23 Flugvellir, 230",https://www.linkedin.com/company/lava-car-rental,www.lavacarrental.is,"We at Lava Car Rental are a local and small family-owned car rental company based in Iceland. Since we were founded in 2016, we have been offering a great selection of rental cars for your road trip. With a fleet of more than 250 vehicles, including economy cars, 4x4 cars, jeeps and campervans, we happily serve a range of travellers, from those looking for a budget-friendly ride to those seeking an all-encompassing camping solution. We offer a wide range of brand new cars of different categories, gear transmission, features and price ranges, always at affordable rates to satisfy your needs. All our rental cars come with additional perks such as discounts on fuel, included insurance, unlimited mileage and free pickup at Keflavik Airport. Our office is conveniently located just by Keflavik International Airport and we are ready to welcome you for your trip to Iceland as you land.  Despite being a small company, we are proud to say that we have successfully partnered with the largest car rental marketplaces in Iceland and have received many positive reviews from our former clients. Our priority is to continue giving you the best service on your trip to Iceland and making your car rental experience flexible, quick and easy in all the stages. If you have any questions about renting a car in Iceland or you are a company and are interested in collaborating with us, you can reach out to us at info@lavacarrental.is. We will be happy to hear from you. For updates and information about Iceland and renting a car, you can follow us on our social networks below: Website: https://www.lavacarrental.is/ Facebook. https://www.facebook.com/lavacarrental Instagram: https://www.instagram.com/lavacarrental/ Twitter: https://twitter.com/lavacarrental YouTube: https://www.youtube.com/channel/UCnIAEgvOdbjAR9EqAPedk9Q",Iceland,2.852671,,,
Orbit Car Hire,2235956.0,"Iceland, Capital Region, Reykjavík",https://www.linkedin.com/company/orbit-car-hire,www.orbitcarhire.com,"Orbit Car Hire is an independent Icelandic car rental broker, where it is possible to compare prices with well known and local car rental companies on more than 25 000 locations worldwide. We are young, quality-oriented team all together looking at over 30 years of expertise in the Car Rental Industry with a great vision to help travelers make confident car rental decisions. Our mission is to give our customers the highest choice, absolute transparency, great value and very helpful customer service at all points of travelers journey.  As we are truly located in the “Sweet Spot” of understanding the changing customer wishes, partner demands and supplier needs, we’re achieving constant growth and high level of customer’s trust.",Iceland,2.235956,,,
Bilaleiga Reykjavikur,2086124.0,"Iceland, Capital Region, Reykjavík, 2 Knarrarvogur, 104",https://www.linkedin.com/company/bilaleiga-reykjavikur,www.reykjavikrentacar.is,"Reykjavik rent a car is a car rental service in Iceland offering a wide range of both high-performance premium cars and environmentally-friendly Smart cars. Our main concern is simplicity in booking a car and giving clear and detailed information on our wide range of rental cars. Our website is very user friendly, with a simple online booking form which lets customers book in just a few easy steps.",Iceland,2.086124,,,
Icerental 4x4,1832566.0,Iceland,https://www.linkedin.com/company/icerental-4x4,www.icerental4x4.is,"Icerental4x4.is is newly established car rental company specializing in renting out only 4x4 vehicles.  We are locally owned by 2 partners, and are comitted to offer used quality 4x4 vehicle´s at compatible rates, and with service based on personal relationship with each of our customers.  We run our business from Keflavik area and offer delivery at Keflavik International airport and to any address - Hotel in Reykjavik or Keflavik area.",Iceland,1.832566,,,
Northbound,1802673.0,"Iceland, Reykjanesbær Reykjanes, 941 Flugvallarbraut, 262",https://www.linkedin.com/company/northbound-ehf,www.northbound.is,Northbound was established in 2015 with the main principles of quality service and traveller experience in mind and is now one of the leading car rental platforms in Iceland.,Iceland,1.802673,,,
Happy Campers Ehf,1697395.0,Iceland,https://www.linkedin.com/company/happy-campers-ehf,www.happycampers.is,Happy Campers is Iceland's favorite and most loved camper van rental company. It is owned and operated by a Happy Icelandic family who love what they do and meeting new adventurous people.  Why not visit us and explore the land of Ice & Fire in your own Happy Camper ? Happy Campers was founded in 2009 and is the fastest growing car rental company in Iceland.,Iceland,1.697395,,,
Nordic Car Rental Campers,1161137.0,"Iceland, Southern Peninsula, Njarðvíkur",https://www.linkedin.com/company/nordic-campers,www.nordiccampersiceland.com,Icelandic Car Rental located in Keflavík. We rent out campers and motorhomes.,Iceland,1.161137,,,
Go Iceland Car Rental,1043062.0,"Iceland, Capital Region, Reykjavík, 31 Fiskislóð, 101",https://www.linkedin.com/company/10294685,www.goiceland.com,"Go Iceland Car Rental is a car rental company in Iceland, offering a wide variety of cars for its clientele. The main office is situated in Reykjavik, offering hotel pick up and drop offs. The second office is situated in Keflavik where the garage is also found.  The company was founded back in 2012 and strives to meet any demand from customers ranging from types of cars, personal service to a 24 hours emergency service.",Iceland,1.043062,,,
Du Lich Iceland,901336.0,Iceland,https://www.linkedin.com/company/du-lich-iceland,dulichiceland.net,"An Icelandic based travel company that caters to Vietnamese travellers. Services provided include various of travel aspects to make the most of the Icelandic experience such as day tours, local host, Vietnamese speaking tour guides, car rental, culinary experiences etc... Any travel consultation can be done online through our social media (Facebook, instagram, Linkedin) or our application ""Du Lich Iceland"".",Iceland,0.901336,,,
Stuck In Iceland Travel Magazine,629334.0,"Iceland, Capital Region, Reykjavík, 108",https://www.linkedin.com/company/stuck-in-iceland,www.stuckiniceland.com,"The Stuck in Iceland travel magazine is edited and run by Jon Heidar Ragnheidarson and was founded in 2012.  My mission is to help you to save on Iceland tours. I am pleased to offer you the most extensive selection of discount promo codes for Iceland tours, camper van rentals, and car rentals. I am independent of anybody in the travel industry, and my incentive is only to enable you to book and enjoy high-quality tours. My objective is to help Icelandic travel companies keep more of what they earn from their hard work I want to help Icelandic travel companies minimize their booking costs. While the Icelandic travel industry has grown tremendously in the past decade, a large part of what local companies earn goes to fees for large booking sites. These fees can run up to 40% of the tour price. That adds up!  Creating a win-win situation for travelers and tour companies I want to do things differently. Since there is only one of me and my overhead costs are low, I can help travelers save on quality tours and ensure that Icelandic tour companies keep more of what they earn. Unlike the big booking sites, I have no management or team to pay. And no investors are demanding a high return on their investment. It is just me working in my free time on a project that I enjoy tremendously. If you book a trip using my promo codes, I will not receive an exuberant share of the booking amount. My share is only 5%. The travel company gives a discount which reduces the price for travelers. Often this discount is 10%, So the tour company typically keeps 85% of their cost, unlike the 70% left behind when the booking sites have taken their fees. Join the hundreds of people who have been able to save significantly on their Iceland adventure by signing up for the Stuck in Iceland newsletter, which gives you access to dozens of discounts for top-rated Icelandic tours and activities.",Iceland,0.629334,,,
Around Iceland,624672.0,"Iceland, Capital Region, Reykjavík, 18b Laugavegur, 101",https://www.linkedin.com/company/around-iceland,aroundiceland.is,"Around Iceland is one of the leading travel agency in incoming tourism in Iceland. Located on the main shopping street, Laugavegur 18, you can book guided tours and specialized trips around Iceland with assistance from experienced guides. Additionally you can make hotel reservations, book airline tickets, car rentals and make dining reservations. Our goal is to share with our customers a little part of the world that few people have ever experienced. Encounter the beauty of the nature, waterfalls, glaciers, geysers, and volcanoes. Iceland has its share of natural wonders, geological anomalies, the northern lights and beautiful vistas, and there’s so much for you to explore!",Iceland,0.624672,,,
Nice Cars Ehf,596525.0,"Iceland, Capital Region, Kópavogur, 4a Smidjuvegi, 200",https://www.linkedin.com/company/nice-cars-ehf,www.nicecars.is,"Nice Cars car rental is an Icelandic car rental company that offers nice cars — nice but not brand new. Most of our fleet consists of 3 to 15 year old cars that are well maintained and clean. Our car rental service is different in many ways from any other Icelandic companies. Here are some points which set us apart: Most of our staff have decades of experience traveling around Iceland. When traveling in Iceland, one of the biggest decisions to make is how to best use your time to visit the best spots in Iceland. With us, you can rent a car and ask our staff about the best spots to visit! Renting a 4×4 truck in Iceland is not like renting a regular vehicle. Even though it can make your journey safer, you also need to learn the ropes. Our experienced staff will assist you and give you instructions on how to drive the car (it is easier than you think!).",Iceland,0.596525,,,
Alliance Française De Reykjavík,564654.0,"Iceland, Capital Region, Reykjavík, 8 Tryggvagata, 101",https://www.linkedin.com/company/alliance-française-de-reykjavík,af.is,École de français et centre culturel au cœur de Reykjavík en Islande.,Iceland,0.564654,,,
CheapJeep Car Rental,557518.0,Iceland,https://www.linkedin.com/company/cheapjeep-car-rental,www.cheapjeep.is,"CheapJeep Car Rental Iceland is renting out vehicles for road and off road driving. Our fleet is slightly older than the average car rental company, our prices are however 25-50% below market prices. We work closely with our sister companies Reykjavik Backpackers and Arctic Adventures.",Iceland,0.557518,,,
FunIceland,557518.0,"Iceland, Capital Region, Reykjavík, 6a Hátún, 105",https://www.linkedin.com/company/funiceland,www.funiceland.is,"Fun Iceland is an online booking and information service offering activities, accommodation and car rentals in Iceland. Fun Iceland aims to provide expert and useful information to customers and personal service. Our goal is to meet the needs of our customers by providing a wide range of services available all year round. Our web page is simple, easy to navigate and full of information for people travelling in Iceland.",Iceland,0.557518,,,
99 Electric Car Rental,557518.0,"Iceland, Southern Peninsula, Keflavík",https://www.linkedin.com/company/99-car-rental,99carrental.is,First of its kind! 99 Electric Car Rental is a new innovative company that specializes in providing environmentally friendly operation. Zero emission and low extra cost´s on your journey around Iceland. 99 Car Rental was established before the spring of 2021 and is owned and operated out of Keflavík. We pride our self in being able to offer environmentally friendly car rental and the same time being able to provide our customers with first class service and luxury vehicles.,Iceland,0.557518,,,
NORTHBOUND.is,557518.0,"Iceland, Reykjanesbær, 941 Flugvallabraut, 262",https://www.linkedin.com/company/northbound-car-rental-iceland,www.northbound.is,"Northbound are a close-knit team of people with a shared vision, dedicated to providing our customers with the very best in car rental services across Iceland. Founded in 2015, Northbound offer a comprehensive range of vehicles from Economy to 4x4's Jeeps, Family salooons, Campervans & Motorhomes, including Minivans & Busses. Our easy to use website https://www.northbound.is has over 6,000 verified customer reviews, and you can rest assured that your car rental booking is made with one of Iceland's most reputable companies.  You will aso find a good selection of feature articles on planning your trip, roads and driving conditiions across Iceland, Icelandic culture, must see places of interest from National Parks to things to do, food and so much more. And to cap it all, our *Best Price Guarantee* will ensure that our customers always get the best car rental rates with NO hidden surcharges or extra fees to worry about. In short, the team at Northbound prides itself on the sky-high quality of service that it has set over its' many years in operation and an industry-leading high percentage of repeat customers that it enjoys as a result.   Visit Northbound.is today & feel the difference a car rental booking with us will make to your peace of mind!",Iceland,0.557518,,,
MK Car Rental,521531.0,Iceland,https://www.linkedin.com/company/mkcarrental,mkcarrental.is,"MK Car Rental has 26 years of experience in renting 4x4 campers in Iceland. We specialize in 4x4 pick up trucks with pop-up campers, suitable for highland driving. All our cars have special reinforcement made for the road conditions in Iceland and all come on reinforced all-terrain tires. Our headquarters are by the international airport in Keflavik and we offer free shuttle service to and from the airport daily from 9am - 6pm. We are committed to offer personal and professional service. Contact us today for a free consultation and estimate.",Iceland,0.521531,,,
FairCar Rental Iceland,416448.0,"Iceland, Keflavík",https://www.linkedin.com/company/faircar,www.faircar.is,"Car Rental in Iceland, located in the vicinity of Keflavik Airport. We provide our customers with a FREE Shuttle Service between our Office and Keflavik Airport as well as Hotels in Reykjanesbaer. Founded in 2011, Faircar Iceland is a family owned and operated car rental company established on the lasting principles of honesty, integrity, and loyalty. Our mission is to rent out quality cars, both used and new at fair prices while satisfying every customer. As well as creating lasting relationships and repeat customers. All of our vehicles go through a thorough examination before rented out, and are systematically maintained. By doing so we prevent unnecessary breakdowns and ensure our customers safety.",Iceland,0.416448,,,
TotalHost,411238.0,Iceland,https://www.linkedin.com/company/totalhost,www.totalhost.is,"TotalHost enables hosts on sites like AirBnB and booking.com etc. to earn commission by referring tours, activities and car rentals",Iceland,0.411238,,,
ISAK 4x4 Rental In Iceland,208224.0,"Iceland, Mosfellsbær Mosfellsbær, 8 Desjamýri, 270",https://www.linkedin.com/company/isak-4x4-superjeep-rental,www.isak.is,"ÍSAK 4x4 car rental in Iceland offers classic 4x4 vehicles for hire. Our vehicles are specially equipped for overland journeys and will take you to all the best-hidden places in Iceland.  Our fleet of cars includes the iconic Land Rover Defender and Toyota Land Cruiser 76. ÍSAK 4x4 rental has the largest fleet of modified Land Rover Defenders in Iceland, equipped with 38"" tyres, snorkel and other features that get you to where you want to go, without limitations. Our tours and vacation packages in Iceland are available for groups and individuals all year round. ÍSAK tours range from one-day getaways to longer tailor-made highland journeys and overland expeditions in Iceland. You can choose between self-drive packages or guided convoy tours, with full service.   Tours and vacation packages can be combined with 4x4 lessons and other activities. You can book your vehicle rental or vacation package online here on our website, or contact one of our travel consultants via email info@isak.is or call us on +354 419 4000",Iceland,0.208224,,,
