Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
SaynConsult E.U.,877923.0,"Austria, Vienna, Vienna, 36 Reisnerstraße, 1030",https://www.linkedin.com/company/saynconsult-e-u,www.saynconsult.com,"SaynConsult specializes in providing tailored consulting services for businesses and individuals in the hunting industry. Their main services include: •	Business Consulting: Supporting retailers, wholesalers, and manufacturers in entering new markets, particularly in Germany and Austria, leveraging an extensive network and industry expertise. •	Hunting Concierge Service: Organizing and arranging hunting equipment, exclusive hunting trips, and possible hunting leases. With an international network of outfitters, gunsmiths, and specialty stores, they cater to individual needs. •	New Hunter Guidance: Assisting newly licensed hunters with their initial steps into the hunting world, including equipment analysis, accompanied shopping, and practical hunting experiences. With years of experience in the hunting sector and a vast network, SaynConsult offers customized solutions for hunting enthusiasts and businesses alike.",Austria,0.877923,,,
Schlosshotel Ischgl GmbH,484657.0,"Austria, Tyrol, Ischgl, 85 Dorfstrasse, 6561",https://www.linkedin.com/company/schlosshotel-ischgl-gmbh,schlosshotel-ischgl.com,"Schlosshotel Ischgl GmbH is a prestigious five-star superior hotel nestled in the breathtaking Tyrolean Alps, dedicated to delivering an exceptional vacation experience for its guests. The hotel seamlessly blends luxury, comfort, and high-quality service, ensuring that every aspect of a guest's stay—from reservation to check-out—is marked by ease and satisfaction. With a strong emphasis on culinary excellence, Schlosshotel Ischgl features a Michelin-starred restaurant alongside a variety of dining options that cater to diverse dietary preferences, allowing guests to indulge in exquisite fine dining. The hotel aims to create unforgettable moments for discerning travelers seeking both relaxation and adventure in a stunning alpine setting. Schlosshotel Ischgl GmbH offers a range of high-end accommodations, including spacious suites and apartments equipped with modern comforts such as free Wi-Fi, minibars, and private balconies that provide stunning mountain views. Guests can enjoy a rich breakfast buffet and a comprehensive all-inclusive service that includes à la carte meals and access to the exclusive SCHLOSS SPA, which focuses on wellness and relaxation. The hotel also features a private underground parking facility and an in-house ski shop, catering primarily to winter sports enthusiasts and luxury vacationers. In addition to its luxurious offerings, Schlosshotel Ischgl collaborates with local partners to enhance the guest experience, providing exclusive amenities such as concierge services and various recreational activities. The hotel's mission is to ensure that every stay is marked by comfort, elegance, and exceptional service, making it a premier destination for those looking to experience the beauty and adventure of the alpine region. With its commitment to excellence, Schlosshotel Ischgl GmbH continues to attract a clientele that values high-quality service and unforgettable experiences in one of Austria's most picturesque locations.",Austria,0.484657,,,
THE AMBASSY,11800209.0,"Austria, Vienna, Vienna, 27 Beatrixgasse, 1030",https://www.linkedin.com/company/the-ambassy,www.theambassy.com,Exklusives Wohnen am Stadtpark: THE AMBASSY Herzlich Willkommen in Ihrem neuen Zuhause. THE AMBASSY bietet Ihnen eine außergewöhnliche Wohlfühlatmosphäre in den eigenen vier Wänden in Kombination mit Top-Services. Lernen Sie uns kennen und überzeugen Sie sich auch gerne persönlich von den Vorteilen: •	Fußläufig in die Wiener City •	Großzügige Freiflächen (Balkone und Terrassen) •	Concierge Services und Sicherheitskonzept •	Privatkino im Haus •	Beste technische Ausstattung für Ihr persönliches Wohlgefühl,Austria,11.800209,,,
YOUR OFFICE - Managed Business Services GmbH,9403245.0,"Austria, Vienna, Vienna, 71 Landstraßer Hauptstraße, 1030",https://www.linkedin.com/company/yourofficembs,www.youroffice.at,"Your premier addresses for New Work. Flexible. Service-oriented. Prestigious. YOUR OFFICE develops, operates, services, and leases smart office solutions for agile companies at the forefront of modern work environments. Since 1998, our serviced and flex office concepts have been actively shaping the future of work. We deliver office solutions that are prestigious, immediately operational, flexibly scalable, and consistently service-driven. What we offer: Smart Spaces (2–60 people) — ready-to-use and scalable Full-Service Offices / Single-Tenant Solutions — discreet & exclusive Conference & Event Spaces including meeting management Virtual Office / Business Address & Back-Office Support Workplace Consulting: rightsizing, hybrid strategies, implementation What sets us apart: We combine architecture, technology, and hospitality with ESG standards. Our on-site teams create an atmosphere of productivity and well-being, while community zones encourage both interaction and focus. Why YOUR OFFICE? Premium product & prime locations – move-in ready, no long-term commitments Flexible lease models & scalable office layouts Hospitality & wellbeing – motivating environments with concierge service ESG-compliant – efficient systems, fresh air, sustainability Cost transparency – up to 40% savings compared to in-house setups Discretion & individuality – separate units, confidential processes Balance-sheet advantages with lease terms under 12 months Risk and operations transfer & fast market entry options Innovation & employer branding impact Locations: Leopold Quartier, 1020 Vienna Albert Hall, 1080 Vienna QBC, 1100 Vienna Euro Plaza, 1120 Vienna Peak Vienna, 1210 Vienna IZD Tower, 1220 Vienna Arena Graz, 8041 Graz More at youroffice.at | Contact: michael.graf@youroffice.at",Austria,9.403245,,,
Erdmann Tourismus E.U.,1033098.0,"Austria, Tyrol, Brixen, 66 Dorfstraße, 6364",https://www.linkedin.com/company/erdmann-tourismus,www.erdmann-tourismus.at,"Ferienvermietung by immocare - Ihr kompetenter & persönlicher Ansprechpartner im Raum Tirol und Salzburg rund um die Ferienvermietung. Wir richten Ihre Ferienunterkunft auf diversen Buchungsportalen wie Booking.com, Feratel, Airbnb, Fewo-Direkt uvm. zur sofortigen Buchbarkeit ein, bieten einen Fernwartungsservice zur Instandhaltung Ihrer Ferienwohnung und schulen Sie auf unseren ausgewählten Channel-Manager, damit Sie langfristig erfolgreich vermieten! Kontaktieren Sie uns für ein Beratungsgespräch und erfahren Sie mehr!",Austria,1.033098,,,
MAX LUX TRAVEL,3241476.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/maxlux-travel,www.maxlux-travel.com,"Starting from the belief that travel holds limitless possibilities, all journeys are bespoke to each client, and so is our service. Your Personal Account Manager will learn your lifestyle preferences and tailor your service to exceed your expectations every time you travel, bringing you an unparalleled Elite Travel Concierge Service from day one. Specialising in elite travel management, your luxury travel concierge will support every request to ensure you enjoy a perfect journey, using our local knowledge of worldwide destinations to deliver an unrivalled blend of culture and luxury. Before travelling, you will receive a dedicated phone number for personal support for any requests during your stay – we have phone, email, text and WhatsApp providing our very special clients 24/7 luxury travel concierge services for the duration of your journey.  The Membership  MAXLUX TRAVEL is a fee-free service designed to meet the bespoke travel needs of high net worth individuals. Membership is limited, so if you or your family are regular leisure travelers and would like to discuss your longer-term travel needs, we would welcome the opportunity to have a conversation and discuss if membership is suited to you. Private Security  From experience we know that the client has his own security, but when traveling in different destinations, local security is always needed. Local security has the advantage of knowing the locations, having details of the local crime, having the local contacts the client needs. And since everyone's interest is that the Client has maximum security, without worrying about anything, just enjoying their trips, a collaboration is always good for everyone.",Austria,3.241476,,,
B2B Travel Management,543850.0,"Austria, Styria, Graz",https://www.linkedin.com/company/b2btravelmanagement,www.btma.at,"Welcome to B2B Travel Management; an independent company providing innovative and cost-effective travel solutions for business travel. Do you or your employees travel for business and need a cost-saving, efficient, and best-in-class travel management service? You might not know to manage the whole business trip or you don’t have time to manage all things, that’s where we can help.  B2B Travel Management is a visionary company, which spares no effort to achieve the satisfaction of customers. With a focus on the quality and excellence of our services, we offer complete solutions in business travel management, with safety and convenience. With over 15 years of experience, we are delivering high-end and tailored service for our customers. We are delivering professional, exceptional, and personal service whilst striving to reduce our clients' travel expenditure through recommendations that we propose. The customer is our main asset and the reason for our existence. Always seeking to exceed your expectations, we have a highly qualified team with a highly proactive and positive attitude, always with a focus on the strategic and financial results of our customers and partners. At B2B Travel Management we start with the analysis of your travel needs and then propose a personalized solution based on your needs and demands. Our work methodology is based on the establishment of a close relationship with our customers. We have a worldwide travel network and will organize for you: ⭐️ Flights ⭐️ Jets ⭐️ Visas ⭐️ Transfers ⭐️ Accommodations ⭐️ Rental Cars ⭐️ Concierge Services ⭐️ International Courier Services We deliver solutions exceeding your expectations while maintaining transparency at all levels.  📝Contact us and convince yourself of our excellent service!  Website💻: https://www.btma.at/  Email📧: office@btma.at  Phone📞: +43 (0)660 44 07 997 Contact Person👩💼: Mirjam Sragalj (General Manager)  We hope you'll enjoy our service as much as we enjoy offering it!!!",Austria,0.54385,,,
Wependio,2058224.0,"Austria, Tyrol, Wattens",https://www.linkedin.com/company/wependio,www.wependio.com,"Wependio is an AI-driven travel intelligence platform that empowers travel brands with the ability to offer hyper-personalized travel recommendations. Our travel-as-a-service solution functions as a digital, scalable concierge, curating bespoke travel itineraries and contextual suggestions based on each traveler's unique preferences and interests. Our software seamlessly integrates with existing systems to provide real-time, personalized travel planning, enhancing the customer experience. With Wependio, travel brands can deliver targeted offers, improve conversion rates, and capitalize on comprehensive data analytics for smarter sales and superior service. Unique Selling Propositions: Advanced Personalization: Leveraging AI and data science, Wependio tailors every travel recommendation to the individual, ensuring a highly personalized experience that meets specific needs and preferences. Comprehensive Integration: Wependio integrates effortlessly with your CMS and DMS systems, enabling smooth data flow and efficient management of travel content and bookings. Enhanced Upselling Opportunities: Our platform not only improves conversion rates but also boosts revenue per guest through intelligent upselling strategies. Flexible White-Label Solution: Offer our advanced travel technology under your own brand, maintaining your identity while benefiting from our cutting-edge systems. Real-Time Data Utilization: Continuous feedback and interaction data enhance personalization over time, creating an ever-improving user experience. Transform your travel service offerings with Wependio, ensuring convenience, personalization, and increased customer satisfaction.",Austria,2.058224,,,
Goodguys gmbh,1353528.0,"Austria, Vienna, Vienna, 20 Moeringgasse, 1050",https://www.linkedin.com/company/goodguys-gmbh,ai-concierge.com,"Viele Unternehmen und Behörden stehen vor dem gleichen Problem: KI-Systeme liefern unsichere Antworten, sind nicht DSGVO-konform und verursachen hohe Kosten.  Mit dem AI-Concierge bieten wir eine Wissenslösung, die zuverlässige Ergebnisse liefert, volle Datenhoheit garantiert und Compliance sicherstellt - gerade dort, wo Datenschutz und Compliance entscheidend sind. Unsere Mission: KI muss korrekt, DSGVO-konform und leistbar sein. Sie soll Prozesse vereinfachen, Fehler minimieren und echte Entlastung schaffen. Darauf vertrauen bereits Institutionen wie das AMS Österreich, Tourismus Österreich und Zürich Tourismus. Testen Sie den AI-Concierge live - Demo im Fokus-Bereich anfordern. Oder profitieren Sie als Partner von unserem Reseller-Programm. Sie möchten Teil des Reseller-Programms werden und KI für alle Ihren Kunden nutzen? Schreiben Sie uns eine Anfrage an: office@goodguys.ai Impressum: https://ai-concierge.com/impressum/ Datenschutzerklärung: https://ai-concierge.com/wp-content/uploads/2024/12/2024-10-22-datenschutzerklaerung-ai-conciergecom-202412.pdf",Austria,1.353528,,,
POCO,451176.0,Austria,https://www.linkedin.com/company/pocketconcierge,www.dynamic-deals.com,"Your City, Sorted. Launching in Q4 2020, POCO Pocket Concierge is an AI-based hospitality and lifestyle app, designed by tech and hospitality leaders who want to see every leisure and business traveler as well as local residents, supported by a trusted 24/7 concierge, available in their pocket! POCO is the perfect travel companion – drawing on the knowledge, experience and expertise of local insiders and fleeting citizens of the world’s cities, who have first-hand information and insights for the city you are visiting and what to do once you get there. With POCO, your key to the city is sorted! It’s interactive, integrated and individualized service at your fingertips – with centralized access to some of the most exclusive offers available across the world’s major cities. POCO offers its members easy access to its trusted global partners and local affiliates who use the app to deliver tailored information and experiences based on personal preferences, geo-locations, available time and the purpose of the user’s visit.",Austria,0.451176,,,
