Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Iarnród Éireann Irish Rail,476205980.0,"Ireland, Leinster, Dublin, Amiens Street, d01 v6v6",https://www.linkedin.com/company/iarnrod-eireann-irish-rail,www.irishrail.ie,"Iarnród Éireann (Irish Rail) is the national railway system operator of Ireland. Established on 2 February 1987, it is a subsidiary of Córas Iompair Éireann (CIÉ). It operates all internal intercity, commuter and freight railway services in the Republic of Ireland, and, jointly with Northern Ireland Railways, the Enterprise service between Dublin and Belfast.",Ireland,476.20598,,,
Transdev Ireland,133046320.0,"Ireland, Leinster, Dublin, Naas Road",https://www.linkedin.com/company/transdev-ireland,www.transdevireland.ie,"Transdev is one of the largest public transport operators in Europe with a reputation for delivering high quality local public transport. Transdev is active in all aspects of public transport provision from the organisation and management of major projects to the development of passenger services and the operation of networks. Every year 3.3 billion passengers' travel on Transdev's tram, metro, train, transport on demand, bus and coach networks. In Ireland we operate Luas  - Dublin’s Light Rail Tram System. Last Year 48.5 million passenger journeys were made on  Luas. Our teams here and abroad use our wealth of local knowledge and international experience to bring public transport services to the heart of communities.  Whether you're commuting to work or school, or just taking a leisurely trip, we work hard to make your journey smooth and enjoyable!",Ireland,133.04632,,,
CIÉ - Córas Iompair Éireann,92286465.0,"Ireland, Leinster, Dublin, d08 e2cv",https://www.linkedin.com/company/córas-iompair-éireann,www.cie.ie,"Córas Iompair Éireann (CIÉ) is a commercial semi-state company and the largest provider of public transport services in Ireland.  In excess of 281 million passenger journeys are undertaken annually on the CIÉ network and the group employs over 10,000 people nationwide. CIÉ provides services through its subsidiary companies: Bus Átha Cliath / Dublin Bus (https://www.dublinbus.ie) provides bus services in the greater Dublin area  Bus Éireann (https://www.buseireann.ie) provides intercity and regional bus services outside of Dublin as well as city bus services in Cork, Galway, Limerick and Waterford Iarnród Éireann  / Irish Rail (https://www.irishrail.ie) provide Intercity, commuter and DART rail services throughout the country and jointly together with Northern Irish Railways the Dublin to Belfast Enterprise Service  In addition, CIÉ Tours (https://www.cietours.com) is Ireland and Britain’s largest tour operator offering inclusive and fully guided vacations into Ireland and the UK.  CIÉ is proud of the part we continue to play in the provision of public services the difficult times of Covid-19 and grateful for the efforts of all members of staff across the group during this time. Through the operation of our public transport services, the development of our lands based upon Transport Orientated Development principles and the roll out of our new Sustainability Strategy, we will play an increasingly important role in contributing to the State’s economic, environmental and social goals especially during the recovery phase from Covid-19.",Ireland,92.286465,,,
Aircoach,82288764.0,"Ireland, Leinster, Dublin, Dublin Airport",https://www.linkedin.com/company/5240661,www.aircoach.ie,"Aircoach is Ireland's leading private bus and coach operator and provides a range of high frequency, quality scheduled coach services to and from Dublin City Centre and Dublin Airport.  We operate 6 key services connecting Dublin Airport with Dublin City Centre and its suburbs, as well as non-stop express services connecting Dublin Airport with Cork and Derry/L'Derry via Belfast.  Across the UK and Ireland, First's bus businesses provide approximately 2.5 million journeys a day for customers across a broad range of operating environments. This wide range of services includes commercial urban bus networks, inter urban routes, Park & Ride services, private hire, rail replacement services and further key airport connections including Heathrow RailAir, Glasgow Shuttle and Bristol International Flyer. Aircoach is committed to delivering high quality public transport services and has been instrumental in increasing the level of public transport usage in Ireland over the last number of years. We also have extensive experience of providing car park and shuttle bus services including operating all car park shuttle bus services on contract to Dublin Airport Authority. We are forecasting to carry over 2 million passengers this year on our high quality services to and from Dublin City Centre and Dublin Airport. Our current services include: Dublin Airport Bus – Dublin City Centre – Donnybrook - Leopardstown Dublin Airport Bus - Dublin City Centre  Dublin Airport Bus - Port Tunnel - Ballsbridge – Booterstown – Blackrock – Dalkey Cork - Dublin City Bus – Dublin Airport Derry/L'Derry Bus - Maghera - Belfast International Airport - Belfast – Dublin Airport – Dublin City",Ireland,82.288764,,,
PONY EXPRESS COURIERS,56640060.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/pony-express-couriers,www.ponyexpress.ie,"PONY EXPRESS COURIERS SAME DAY BIKE COURIERS SAME DAY VAN COURIERS NATIONWIDE INTERNATIONAL MEDICAL COURIERS CONFIDENTIAL SHREDDING SERVICES Pony Express is the market leader in Dublin, Ireland for couriers and transport services. Pony Express provides urgent same day deliveries for documents, parcels, pallets and freight. Our overnight division provides nationwide delivery of parcels and pallets to all 32 Counties of Ireland. Pony International provides a Economy Road deliveries to Europe, and Express Air service for documents and parcels to Worldwide destinations. We also offer a worldwide import/export service, including a rail service from China to Ireland. Pony Express, also operate a full haulage division, operating a mixed fleet of rigid and 40"" trucks, with our primary market being temperature controlled distribution. Pony Express also provides on site and off site confidential document shredding services.",Ireland,56.64006,,,
National Transport Authority,18562993.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/national-transport-authority_2,www.nationaltransport.ie,"The NTA keeps Ireland moving. We’re a statutory, non-commercial, organisation reporting to the Department of Transport and responsible to the people of Ireland. Our job is to supervise the provision and regulation of public passenger land transport services, including state-subsidised bus and rail services through Bus Éireann, Dublin Bus, Go-Ahead Ireland and Irish Rail. We also provide Luas tram services in Dublin by contract, license commercial bus services and regulate the small public service vehicle sector (taxis, hackneys and limousines).  On the national stage, the NTA manages the Rural Transport Programme and transport co-ordination units (TFI Local Link). We provide integrated / multi-modal ticketing (TFI Leap Card), journey planning information, real-time-passenger-information, mapping, and are improving integration of public transport fares. We prepare submissions on regional planning guidelines and on other significant planning proposals throughout Ireland, undertake strategic planning of transport investments in all public transport infrastructure and develop the effective management of traffic and transport demand.  To keep you in the picture, we collect and publish statistics and information on transport and enforce EU passenger rights in rail, maritime and bus and coach transport. The NTA also undertakes a number of functions on a non-statutory basis, including planning and funding sustainable transport projects in Cork, Galway, Limerick and Waterford, administering the Smarter Travel Workplaces programme, managing the Green Schools Travel programme and providing accessibility funding to transport operators and other relevant bodies. And that’s how we keep Ireland moving.",Ireland,18.562993,,,
Port Of Waterford,13216014.0,"Ireland, Munster, Waterford, 3rd Floor Marine Point",https://www.linkedin.com/company/port-of-waterford,www.portofwaterford.com,"Port of Waterford : The cargo gateway to Ireland’s South East Region. Ireland’s closest multi-modal port to continental Europe, is connected by road and rail to a national transport system that can get goods to their destination in a prompt and efficient manner.  As a port we aim to play a key role in the economic development of the region.   Location The main centre of operations is at Belview Port on the River Suir, 8km downstream from Waterford city. The Port of Waterford is a modern efficient port, operates 24 hours a day over 7 days and is the closest Irish lift-on lift-off and bulk port to mainland Europe. We have a national rail link running through the port and excellent road connections to the rest of Ireland. For more information, contact us on +353-51-899 800",Ireland,13.216014,,,
Dun Laoghaire Marina,5034672.0,"Ireland, Leinster, Dún Laoghaire, Harbour Road",https://www.linkedin.com/company/dun-laoghaire-marina,www.dlmarina.com,"Dun Laoghaire Marina is an award winning marina located in the historic harbour of Dun Laoghaire on the south shore of Dublin Bay. Dun Laoghaire Marina opened for business on the 17th of March, 2001.  With the capacity for 820 boats the Marina is home to a large racing and cruising fleet as well as the gateway location to Dublin for visiting boats from around the world.  The Marina has 24/7 access and a full range of marina services are available. Boats from 6m to 30m can be accommodated in the large and historic harbour.  Friendly and knowledgeable staff that are always on hand to assist you, is part of what makes Dun Laoghaire Marina special. Dun Laoghaire is conveniently situated within a short distance of Dublin city centre. There are train and bus connections to the city that stop in front of the marina. There is also a direct coach transfer from Dun Laoghaire to Dublin airport with a journey time of just 45 minutes.",Ireland,5.034672,,,
Veolia Transport Dublin Light Rail,4405338.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/veolia-transport-dublin-light-rail,www.veolia-transport.ie,"Europe's leading private operator of public transport Veolia Transport Ireland operate LUAS, Dublin’s light rail tram system on behalf of Railway Procurement Agency, the government agency with responsibility for Luas and other transport projects. Our group vision is to set the standard for managing safe and sustainable mobility solutions. We do this daily operating Luas and our colleagues internationally set the standard in many different types of transport systems from light rail to trains, taxi’s, boats, metro’s, coaches and buses. As a transport group we are committed to excellent customer service and quality systems and here in Ireland we hold an ISO 9001: 2008 certificate. In addition to this Behaviour & Attitudes, a market research company conducted face to face interviews with 1,000 Luas passengers in February / March 2009 and the statistics recorded 85% customer satisfaction. Being part of Veolia Environnement our commitment to the environment is an integral part of our transport vision, we demonstrate this in many ways and are proud as Luas operator to hold an ISO 14001: 2004 Environmental Management Certificate. Veolia Environnement is the world leader in environmental solutions. In Ireland the divisions are represented by Veolia Transport, Veolia Water, Veolia Environmental Services and Dalkia. Together we employ over 1,000 employees in public private partnerships. We are growing our Irish operations and are committed to sustainable development.   You can find out more information from Veolia Transport Ireland by calling. Phone: 01 461 4910 Email: info@veolia-transport.ie",Ireland,4.405338,,,
Gary Keville Transport Ltd,3845269.0,"Ireland, Leinster, Dublin, Rosemount Business Park, d11 xt02",https://www.linkedin.com/company/gary-keville-transport-ltd,www.gkt.ie,"Operating since 1993, GKT has placed a strong emphasis on continuous investment in people and technology. As a result, GKT has established itself as a leading heavy haulage company in Ireland. Undoubtedly, the company’s ability to adapt to the ever-changing world of heavy haulage and abnormal load transport allows all client needs to be met. Heavy Haulage Sectors GKT operates across a wide range of industry sectors, including Power Generation, Wind Farms, Rail, Marine, Aviation, Plant & Machinery. Heavy Machinery Relocation GKT has for many years now been performing heavy machinery and specialist equipment moves, including the swapping out of old machinery for new.  Using our own crane equipped trucks and specialised equipment, we have performed many complex machinery moves, many of which were in confined spaces.  Crane Hire We have a fleet of trucks equipped with Palfinger knuckle boom cranes. These cranes are fast, efficient, precise, radio-controlled, and can be used across a variety of industries. For the most remote locations,  we have a radio-controlled crawler (tracked)  Knuckleboom crane.  Storage Our sister Company, ContainExperts, operates a large storage facility in Dublin 12 which includes 10' ,20', 40' containerised storage with 24 hour onsite security and 24 hour access for clients. Traffic Management Our other sister company Gary Keville Traffic Management offer both low & high speed traffic management solutions across the country.",Ireland,3.845269,,,
