Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
AskHenry,9694009.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/askhenry.pl,www.askhenry.pl,"AskHenry – więcej czasu na to, co ważne Codziennie pomagamy firmom i osobom prywatnym uwolnić się od zadań, które pochłaniają ich cenny czas. Łączymy inteligentną logistykę miejską z elastycznym wsparciem administracyjnym, realizując setki spraw szybciej, wygodniej i bardziej ekologicznie. Dla Twojej firmy AskHenry to sposób na większą efektywność bez konieczności zatrudniania dodatkowych osób. Przejmujemy zadania administracyjne i operacyjne, dzięki czemu Twój zespół może skupić się na tym, co naprawdę przynosi wartość. Zarządzanie biurem, obsługa floty, organizacja podróży służbowych czy digitalizacja dokumentów – wiemy, jak to zrobić sprawnie i bez zbędnego angażowania Twoich pracowników. Benefit, który realnie pomaga AskHenry jako benefit pracowniczy to nie kolejna karta sportowa – to wsparcie, które odciąża pracowników w ich codziennym życiu. Odbiór przesyłek, serwis auta, planowanie podróży, zakupy czy sprawy urzędowe – dzięki AskHenry Twoi pracownicy mają więcej czasu dla siebie, mniej stresu i lepszą równowagę między pracą a życiem prywatnym. To benefit, który faktycznie wpływa na komfort życia i lojalność zespołu. Twój osobisty asystent na co dzień Dzięki AskHenry klienci indywidualni mogą cieszyć się wygodą osobistego asystenta, który zna ich preferencje i styl życia. Dedykowany asystent przejmuje zadania, od organizacji codziennych spraw, po wyszukiwanie najlepszych ofert czy planowanie wyjątkowych wydarzeń. Wystarczy jedno zgłoszenie, by AskHenry załatwił sprawę – a wszystko to elastycznie, wtedy, kiedy jest potrzebne. Łączymy trzy filary Nasza usługa to połączenie concierge, logistyki miejskiej i wsparcia administracyjnego. Działamy w oparciu o sprawdzonych partnerów i wypracowane procesy, które pozwalają nam realizować zadania szybciej i bardziej efektywnie. Niezależnie od tego, czy chodzi o codzienne obowiązki, zadania firmowe czy organizację życia prywatnego – AskHenry daje czas na to, co naprawdę się liczy.",Poland,9.694009,,,
Business International Group Sp. Z O.o.,2498688.0,"Poland, Mazovia, Warsaw, Al. Jana Pawla Ii, 00-133",https://www.linkedin.com/company/business-international-group-sp-z-o-o,,"Business International Group a diverse group of companies that successfully providing full-cycle employment and development opportunities in Europe. Our group consists of BIG Consulting, BIG Outsourcing, and BIG Development.  BIG Outsourcing conducts HR-related activities, payroll and consulting services for manufacturing, construction, and HORECA companies. As part of the tasks, BIG Outsourcing performs, our company takes over all or part of the duties of our clients related to the execution of the functions performed by the HR and recruitment departments. BIG consulting services include on-going consulting and problem-solving related to the labor market, movement of labor, organization of legal conditions for residence and work in European countries.  BIG Development is a devoted real estate development company with a focus on smart technologies and green initiatives. It covers full-cycle of project development including construction management, urban planning, distribution and property management, concierge service, etc.  With more than 30 employees in 4 countries, we strive to build straightforward and transparent relationships with our clients in order to exceed their expectations.",Poland,2.498688,,,
DlaKlinik.pl,1030870.0,"Poland, Łódź Voivodeship, Łódź, 25 Polskiej Organizacji Wojskowej",https://www.linkedin.com/company/dlaklinik-pl,dlaklinik.pl,"Jesteśmy grupą zakupową dla placówek medycznych, który dzięki wykorzystaniu inteligentnej platformy chcą kupować mądrzej i taniej. Jesteśmy zakupowym concierge i realizujemy wszystkie potrzeby zakupowe naszych członków. Działamy dla dużych jak i mniejszych placówek.",Poland,1.03087,,,
VIPS CONCIERGE Sp. Zo.o.,1030870.0,"Poland, Pomerania, Gdańsk, Aleksandra Dulin'a, 80-180",https://www.linkedin.com/company/vips-concierge-sp-zo-o,www.vipsconcierge.eu,"VIPS CONCIERGE - your business and personal concierge, the professional networker.",Poland,1.03087,,,
ShopinBit,3118330.0,"Poland, Lesser Poland Voivodeship, Kraków, 15 Al. Powstania Warszawskiego, 31-539",https://www.linkedin.com/company/shopinbit,shopinbit.com,"Welcome to ShopinBit.  We are a premium services provider and e-commerce platform offering bespoke and private solutions for businesses and individuals. Pay with Bitcoin, Monero, Altcoins, or Euros. BUSINESS CONCIERGE:  White-label concierge – the ultimate reward for your top performers. Tailored rewards for affiliate, loyalty, and VIP programs. Cars, travel and luxury experiences – easily integrated into your crypto wallet, app, or platform.  IT equipment procurement. Business travel services, including logistics, event planning, and team retreats. INDIVIDUAL CONCIERGE Buy anything with Bitcoin, Monero or crypto. Everyday cars to exotic supercars – sourced and shipped worldwide. Travel concierge and premium travel packages, including Silversea cruises and private jet charters. At ShopinBit, privacy matters. No marketing analytics. Optional customer account. We are committed to providing a secure and private shopping experience. Explore the future with us!",Poland,3.11833,,,
InVilla - Premium Real Estate Agency,1310670.0,"Poland, Pomerania, Sopot",https://www.linkedin.com/company/invilla-nieruchomości,invilla.pl,"InVilla is a premium real estate agency specializing in luxury property rentals in Warsaw, particularly in prestigious locations such as Złota 44. The company is dedicated to providing exceptional living experiences through modern, thoughtfully designed apartments that feature advanced amenities, including smart home technology and concierge services. InVilla's mission is to connect discerning clients with exclusive properties that offer both comfort and luxury, catering to individuals and families seeking high-end living spaces in the heart of the city. The agency collaborates with a network of partners to ensure a seamless rental experience, targeting affluent professionals and expatriates who value quality and convenience in their living arrangements. With a commitment to excellence, InVilla aims to redefine the standards of luxury real estate in Poland.",Poland,1.31067,,,
Rentier Concierge,1258668.0,"Poland, Mazovia, Warsaw, 1/61 Ul. Jana Iii Sobieskiego",https://www.linkedin.com/company/rentier-concierge,www.rentierconcierge.pl,"Rentier Concierge powstało w odpowiedzi na zapotrzebowanie na inwestycje generujące comiesięczne, atrakcyjne stopy zwrotu. Naszą specjalizacją są wyłącznie lokale komercyjne z najemcą, przynoszące wysoki i stabilny zysk przez wiele lat. Poszukujemy nieruchomości z sieciowym najemcą, długoterminową umową najmu oraz w dobrej lokalizacji. Reprezentujemy Fundusz Inwestycyjny, co zapewnia sprawną i szybką transakcję. © 2015 Rentier Concierge. All Rights Reserved. Belair Investment Sp. z o.o. z siedzibą w Warszawie (02-975), przy ul. Jana III Sobieskiego 1/61, zarejestrowana pod numerem KRS 0000191616 w rejestrze przedsiębiorców prowadzonym przez Sąd Rejonowy dla m.st. Warszawy, XIII Wydział Gospodarczy Krajowego Rejestru Sądowego ,posiadająca nadany numer NIP: 526 274 24 90",Poland,1.258668,,,
Zakolovers,1423320.0,"Poland, Greater Poland, Poznań, 3 Zwierzyniecka, 60-813",https://www.linkedin.com/company/zakolovers,www.zakolovers.pl,"Jesteśmy pionierami w budowie prestiżowych eko – nieruchomości. Tworzymy designerskie, zeroemisyjne osady nieruchomości, które przeznaczone są dla rodzin z dziećmi. Zapewniamy turystom dyskrecję, bezpieczeństwo, butikowy komfort, spersonalizowaną obsługę i moc atrakcji o każdej porze roku. Zapraszamy osoby zainteresowane kupnem nieruchomości do inwestycji w modelu biznesowym KUP&ZARABIAJ, oferując osiągnięty zysk ze zwrotu wartości, na poziomie od 7 do 11% w skali roku.  +Dodatkowo oferujemy: Kompleksową obsługę inwestycji Realizację budowy pod klucz Zarządzanie nieruchomością Swobodną możliwość sprzedaży Inwestycja Cyrhla Villas: Cyrhla jest nowoczesną osadą 52 w pełni wyposażonych, luksusowych apartamentów, graniczących z Tatrzańskim Parkiem Narodowym. Kompleks powstaje w najwyżej położonej dzielnicy Zakopanego, która jest pozbawiona smogu i turystycznego zgiełku. Kształt zarówno osady, jak i nieruchomości, został nadany przez wielokrotnie nagradzane biuro architektoniczne Modelina. Nazwa nawiązuje do miejscowości, w której budujemy i pochodzi ona od procesu wypalania suchych gałęzi, które również wykorzystujemy do naszej realizacji.  Cyrhla Villas to potężny projekt i pierwsza budowana przez nas osada góralska, dla której poszukujemy nowych właścicieli. Wspieramy od początku do końca nowych nabywców, którzy mają możliwość czerpania zysku z wynajmu oraz na wzroście wartości nieruchomości w czasie. W ramach osady, oferujemy wiele atrakcji, które zapewnią inwestorom cash flow związany z wynajmem nieruchomości na czas ich nieobecności. Wszystko możesz - nic nie musisz - my zajmujemy się formalnościami, Ty dostajesz zwrot z inwestycji i fantastycznie zorganizowany czas w ramach naszej osady.   +W ramach osady zapewniamy: Usługę concierge SPA Zewnętrzne przestrzenie do yogi i kalisteniki Leśną plażę Wiaty grillowe Alpakarnię Warsztaty Wydarzenia artystyczne Gastronomię i room service Transport  Pełną obsługę nieruchomości",Poland,1.42332,,,
HULAHOOP Software Digital Amenities Platforms For Modern Residential Living,1034666.0,"Poland, Mazovia, Warsaw, 44 Grochowska, 04-282",https://www.linkedin.com/company/hulahoop-software,hulahoop.software,"HULAHOOP exists to redefine what premium living feels like — by designing the digital layer every modern building deserves. Most property apps are clunky, fragmented, and disconnected from how residents actually live. Why? Because they’re built around vendor needs — not people, not experience, and definitely not brand. We build something different: Fully branded, cloud-native digital platform that unify access, services, communications, and community into one seamless experience — crafted specifically for your building, your brand, and your residents. Smart access. EV charging. Amenity bookings. Maintenance. Notifications. AI concierge. Community features. Automation. All beautifully designed, owned by you, and built to feel effortless. We don’t sell SaaS. We build digital infrastructure — the kind that becomes part of your asset value, like the lobby or HVAC system. Just digital. Used by developers, operators, and asset managers who know: The future of great living isn’t just physical. It’s digital too.",Poland,1.034666,,,
White Wood Nieruchomości,1491291.0,"Poland, Pomerania, Gdynia, 24/11 Armii Krajowej, 81-372",https://www.linkedin.com/company/white-wood-properties,www.whitewood.pl,"White Wood Nieruchomości – lider segmentu premium w Trójmieście. Biuro, które powstało z prawdziwej pasji do nieruchomości. Naszym celem jest jakość obsługi klienta na poziomie concierge. To co nas wyróżnia to kultura, wiedza i transparentność w biznesie. Wysokie kompetencje, ponad 25-letnie doświadczenie w pracy na rynku polskim i międzynarodowym, są potwierdzeniem skuteczności w działaniu naszego zespołu. Oferta White Wood Nieruchomości obejmuje pośrednictwo w obrocie nieruchomościami w zakresie: sprzedaży, zakupu, a także wynajmu długoterminowego.",Poland,1.491291,,,
