Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Mobivia,3989160000.0,"France, Hauts-de-france, Villeneuve-d'ascq, 2a Boulevard Van Gogh, 59650",https://www.linkedin.com/company/mobivia-groupe-s-a-,www.mobivia.com,"Mobivia is a leading player in the automotive and mobility sector, dedicated to providing sustainable mobility solutions for over 50 years. The company's mission is to ""open sustainable mobility to all,"" emphasizing its commitment to reducing carbon footprints and promoting eco-friendly practices across its diverse portfolio of brands, including Norauto, Midas, and Carter-Cash. With a workforce of approximately 23,500 employees, Mobivia operates in three main sectors: automotive services, distribution of automotive parts and tires, and new mobility solutions through its innovative startups. The company serves a wide range of clients, including over 50 million individual drivers and B2B customers across 17 countries, ensuring that mobility is accessible, safe, and environmentally friendly. Mobivia's vision is to lead the transition towards cleaner and more responsible mobility solutions, particularly in response to the rise of electric vehicles and connected mobility. The company actively engages with various stakeholders, including public authorities, mobility associations, and startups, to foster innovation and enhance accessibility in the automotive industry. Through initiatives like the Mana Ara program, Mobivia supports low-income individuals in maintaining their mobility, contributing to their employment and social inclusion. In addition to its focus on customer satisfaction, Mobivia is committed to creating an inclusive and supportive work environment that values diversity and employee well-being. The company emphasizes continuous learning and development, offering a digitalized training catalogue to prepare its workforce for the evolving demands of the digital job market. By integrating sustainable practices into all its operations and collaborating with partners to promote responsible consumption, Mobivia aims to create a positive impact on both people and the environment, ensuring a resilient and adaptive ecosystem in the rapidly changing automotive landscape.",France,3989.16,,,
Euromaster,2131636019.0,"France, Hauts-de-france, Clermont, 7 Place Heni Dunant, 63038",https://www.linkedin.com/company/28940,www.euromastergroup.com,"1. Who We Are Founded in 1991, Euromaster is a wholly-owned Michelin’s Group subsidiary. Our mission is to offer tyres services and fast-fitting maintenance with no compromise on safety. We are committed to deliver a best in class experience to drivers and fleets. Our interactions and actions are driven by our core values: honesty, customer care and expertise. Our ambition is offer to our customers more simplicity, hassle free experience, immediacy and proximity.   2. Customer Experience We offer a full range of tyre and maintenance services to both private and professional customers, adapted to their specific needs, stakes and type of vehicles (light, heavy, agricultural, earthmover and industrial). 3. One Network Euromaster is present in 18 countries in Europe (Austria, Bulgaria, Czech Republic, Finland, France, Germany, Italy, Lithuania, Moldova, Netherlands, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Turkey and United-Kingdom,) thanks to its own subsidiaries and a large network of franchisees. 4. Our Safety Commitment In 2019, the Group decided to go a step further by taking a strong commitment translated into “No Compromise on Safety” that encompassed all its internal and external stakeholders. Our aim is to become a safety reference for our customers and the market. Our “No Compromise on safety” commitment relies on two key winning attitudes that animate everyone in the Company: ⦁ “Always alert” meaning that “safety should lead every of my actions” ⦁ “All for one” meaning that “I pay attention to my colleagues and my customers and do not hesitate to react if they don’t act safely.",France,2131.636019,,,
Norauto France,1000000000.0,"France, Hauts-de-france, Villeneuve-d'ascq",https://www.linkedin.com/company/49690,www.norauto-recrute.fr,"Norauto France is a leading automotive service company dedicated to providing comprehensive vehicle maintenance and repair solutions. With a strong commitment to environmental responsibility, Norauto aims to enhance the customer experience while promoting sustainable practices within the automotive industry. The company operates 631 centers globally, including 141 franchises across five countries, and employs over 10,600 professionals, with a significant focus on internal promotion for leadership roles. Norauto is also a proud technical partner of the Tour de France, reflecting its dedication to high-performance standards and brand visibility. The company targets a diverse clientele, including individual vehicle owners and businesses, and strives to create memorable experiences for both customers and employees through unique opportunities and team-building events.",France,1000.0,,,
Feu Vert France,687935070.0,"France, Auvergne-rhône-alpes, Écully",https://www.linkedin.com/company/feu-vert-france,www.feuvert-group.com,"Feu Vert - Notre passion pour l'automobile, notre engagement envers nos employés ! 🚗 Avec plus de 50 ans d'histoire, nous avons consolidé notre position en tant que leader dans le domaine de l'équipement et de l'entretien automobile en France. Notre succès est le fruit de l'engagement et du talent de notre équipe de près de 4 800 passionnés, présents dans nos bureaux, notre plateforme logistique et nos 350 centres auto à travers le pays. Chez Feu Vert, nous croyons fermement que notre réussite découle de notre équipe engagée et passionnée. Chaque membre de notre équipe est valorisé, et nous nous engageons à fournir un environnement de travail épanouissant et stimulant. Nous prônons la diversité, l'esprit d'équipe et l'opportunité de développement professionnel. Rejoindre Feu Vert, c'est intégrer une entreprise qui encourage l'innovation, la collaboration et la croissance personnelle. Si vous partagez notre passion pour l'automobile et que vous aspirez à faire partie d'une entreprise leader qui place ses employés au cœur de ses préoccupations, alors Feu Vert est fait pour vous. Suivez notre page LinkedIn pour rester informé des dernières actualités, explorer nos projets passionnants et découvrir les opportunités de carrière chez Feu Vert. Ensemble, nous pouvons tracer un avenir stimulant pour nos collaborateurs et offrir une expérience client unique. 👉 Retrouvez-nous également sur :  • Facebook : https://www.facebook.com/FeuVert • Instagram : https://www.instagram.com/feuvertfrance/ • TikTok : https://www.tiktok.com/@feuvertfrance • X (Twitter) : https://x.com/feuvert_fr • YouTube & YouTube Shorts : https://www.youtube.com/c/FeuVertFrance",France,687.93507,,,
EUROMASTER FRANCE,547201583.0,"France, Montbonnot, 180 Avenue De L'europe, 38330",https://www.linkedin.com/company/euromaster-france,www.euromaster.fr,"Euromaster France, a wholly-owned subsidiary of the Michelin Group, specializes in tire distribution and vehicle maintenance services for both the general public and professional markets. With over 400 service centers across France, including 120 franchises, and a fleet of 800 mobile workshops, the company caters to a diverse clientele, serving approximately one million private customers and over 100,000 professional clients annually. Euromaster's mission is to prioritize safety and customer satisfaction, supported by a dedicated team of over 2,500 employees who are committed to delivering high-quality service. The company aims to be the leading partner for vehicle equipment and maintenance, fostering a culture of diversity and inclusion while providing opportunities for employee development and growth. Euromaster has been recognized as the ""Best Auto Center"" by consumers in 2017-2018, reflecting its commitment to excellence in the automotive service industry.",France,547.201583,,,
Groupe Distri Cash Accessoires,410323760.0,"France, Nouvelle-aquitaine, La Rochelle",https://www.linkedin.com/company/groupe-distri-cash-accessoires,www.districash.com,"Le groupe Districash, grossiste pneus et pièces détachées pour les professionnels. Depuis plus de 30 ans, Distri Cash met sa réactivité, sa disponibilité et un important choix de marques de pneumatiques au service de ses 15 000 clients. Composé des filiales AC Négoce, Hibou Pneu, JAP Distribution, DCA Plateforme et Logic System, avec un effectif de 575 personnes, le groupe Distri Cash fait partie des leaders du marché du pneu professionnel. C’est le 1er grossiste français en pneus tourisme, camionnette et 4X4. La richesse de Distri Cash, entreprise familiale, c’est d’abord celle des hommes et des valeurs qu’ils portent : service, écoute, réactivité, proximité. Notre croissance nous amène régulièrement à recruter dans tous les domaines qui touchent notre activité et sur nos différents sites : télévendeur pièces auto/ pneus, chauffeur livreur, préparateur de commande manutentionnaire, comptable, assistant(e) des achats, assistant(e) RH, assistant(e) administratif, technicien(enne) informatique, commercial, gestionnaire SAV...  Envoyez votre CV en candidature spontanée via LinkedIn ou sur notre site https://www.districash.com/candidature-spontanee/",France,410.32376,,,
MIDAS FRANCE,369338382.0,"France, Île-de-france, Rueil-malmaison",https://www.linkedin.com/company/midas-france-sas,www.midas.fr,"Spécialiste de l'entretien automobile de proximité, MIDAS est une marque d'origine américaine créée en 1956. Enseigne du groupe MOBIVIA depuis 2004, MIDAS compte aujourd'hui près de 350 centres en France et poursuit son développement au niveau national et international. Le concept MIDAS repose sur la combinaison d'un réseau important de franchises et d'un réseau de succursales. Professionnelle de l'entretien de véhicules multimarques, l'enseigne propose une gamme de services diversifiée. Quelques chiffres clés - Plus de 600 points de vente en Europe - 2 700 centres dans le monde répartis sur 20 pays - 60 ans d'existence de la marque - 40 ans d'expérience en France",France,369.338382,,,
Speedy France,209053670.0,"France, Provence-alpes-côte D'azur, Avignon",https://www.linkedin.com/company/speedy-france,recrutement.speedy.fr,"Speedy France is a leading automotive service provider specializing in comprehensive vehicle maintenance and repair. With nearly 500 centers located throughout France, including the Speedy Courbevoie location on Rue de Colombes, the company offers a wide range of services such as diagnostics, oil changes, tire replacements, and more. Speedy France's mission is to ensure customer satisfaction by delivering efficient service, transparent pricing, and expert advice, making vehicle maintenance accessible and hassle-free for all. The company caters to a diverse clientele, including individual car owners, businesses, and fleet operators, positioning itself as a trusted partner for all automotive needs. Speedy collaborates with reputable automotive brands to provide high-quality parts and services, ensuring that customers receive reliable solutions for their vehicles. The company is committed to professionalism and customer care, striving to build lasting relationships based on trust and transparency. Despite some customer feedback highlighting concerns about pricing and service consistency, Speedy remains dedicated to improving its offerings and addressing these issues.  The target market for Speedy France includes everyday drivers seeking quick and effective automotive care, as well as businesses requiring maintenance for their fleets. With a focus on rapid response to urgent needs, such as battery changes and tire repairs, Speedy has established itself as a go-to destination for motorists in search of reliable service. Overall, Speedy France aims to be a leader in the automotive service industry, continuously enhancing its reputation through quality service and customer satisfaction.",France,209.05367,,,
PROVAC,112941987.0,"France, Provence-alpes-côte D'azur, Rognac",https://www.linkedin.com/company/provac-france,www.provac.fr,"Avec plus de 40 ans d'expérience, PROVAC est le spécialiste en équipements, outillages et consommables au service du pneumatique en proposant plus de 2.500 produits pour tout type de véhicules ! Provac dispose d'un service après-vente efficace et propose une offre complète de services (contrats de maintenance, extensions de garantie, contrats Full services, formations). - Un service commercial ""terrain"" : 30 commerciaux proches de vous ! - Un service après-vente présent dans toute la France : 30 techniciens itinérants ! - 8 familles de produits (Montage, Serrage/Gonflage, Équilibrage, Géométrie, Levage, Réparation, Air comprimé, Produits hivernaux). - Certification ISO 9001. - 7500 m2 d'entrepôt et 1500 m2 de bureaux.",France,112.941987,,,
EXADIS,102543580.0,"France, Occitanie, Sète, 52 Rue Jean Zay, 69800",https://www.linkedin.com/company/exadis,www.exadis.com,"EXADIS est un opérateur national, spécialiste de la logistique-amont sur le marché de la rechange automobile indépendante multimarque depuis 2006. Son actionnariat se compose de participations de Renault Group, du Groupement des Concessionnaires Renault, et de Mobivia.  Avec près de 150 personnes dont 30 en « front-office » : commerciaux terrain, techliners, téléconseillers, marketers, EXADIS est un logisticien-commerçant, proche de ses clients avec 8 plateformes de proximité, totalement interconnectées.  Exadis est membre de Nexus France.",France,102.54358,,,
