Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
The New Luxury Residences,626883.0,"Croatia, City Of Zagreb, Zagreb, 31000",https://www.linkedin.com/company/chic-resort-residences,www.thenewluxuryresidences.com,"Boutique residential agency offering bespoke, concierge-style service with a keen focus on our clients. Our exclusive portfolio consists of lifestyle residences and investment opportunities at some of the most respected resorts on the Adriatic coast. Buyers are treated to benefits including professional management, rental pool income, on-site resort amenities, off-plan purchases and great potential capital gains.",Croatia,0.626883,,,
Another Way Consulting D.o.o. - Adriatic Soul Travel Agency,1020422.0,"Croatia, City Of Zagreb, Zagreb, 118/2 Srebrnjak, 10000",https://www.linkedin.com/company/another-way-consulting-adriatic-soul-travel-agency,www.adriatic-soul.com,"Another Way Consulting is a project-oriented marketing consulting agency with a network of professionals in various industries as fashion, textile, tourism, hospitality. Adriatic Soul is a concierge/VIP travel agency offering individually tailored holiday or business services for an unforgettable time in Croatia.",Croatia,1.020422,,,
T.P.I. Solutions,453283.0,Croatia,https://www.linkedin.com/company/tpisolutions,thepassportinvestor.com,"Business Consulting, Marketing & Investment Opportunities promotion in realestate & companies. Promotion of FDI-CBI & RBI Programs for licensed agents, immigration/expat consulting & concierge services in the Balkans.  We provide business solutions for companies in real-estare, finance, tech & immigration, connect them with other businesses and clients.",Croatia,0.453283,,,
BEHAVE,2040844.0,"Croatia, City Of Zagreb, Zagreb, 4b Ulica Charlesa Darwina, 10000",https://www.linkedin.com/company/behave-agency,www.behave.agency,"Award-winning communication consultancy & training studio. We advise leadership, train your people, and write high-stakes messages—using behavioral psychology—so your teams communicate clearly and your customers say “Yes.”  PROOF  • 🥇 #1 CX in the World (T-Com, 2020) • 🥇 #1 CRM in Europe (Raiffeisen, 2025) • 600+ projects • 7500+ people trained • 10 years 💛 our clients. WHAT WE DO 1️⃣ TRAININGS FOR YOUR TEAMS:   ➤ Active Communication → Active listening. Clear writing. Persuasive presenting. ➤ Change Psychology → Make change understandable, durable, even inspiring. ➤ Behavioral Copywriting Academy → External copy that wins attention & trust. 2️⃣ CUSTOMER-FACING COMMUNICATION: ➤ CRM → Behavioral segmentation. Psychological messages.  ➤ CX360° → Redesign and rewrite UX, EX, and CX. ➤ Voicebook → Brand voice system: tone, rules, templates. 3️⃣ LEADERSHIP OPTIONS: ➤ Concierge 1:1 Coaching → On-call support for high-stakes communication. ➤ Keynote Talks → 30–60 min inspiration on mind, communication, and change. WHY BEHAVE?  Because words don’t just describe reality. They create it.  NEXT STEP  😎 Book a 30-min call → www.behave.agency",Croatia,2.040844,,,
Balkans Luxury Concierge DMC,629334.0,Croatia,https://www.linkedin.com/company/balkansluxuryconcierge,www.balkansluxuryconcierge.hr,"Balkans Luxury Concierge Group has been founded in 2020. In 2022 acquired Prolingua Travel DMC -Western Balkans' Destination Management Company founded in 2012.  The only Halal Certified travel agency in Western Balkans providing unique tours which meet Halal requirements.  Run by experienced local tourist guides and with extended knowledge of destinations of Croatia, Montenegro, Serbia, Bosnia and Herzegovina, Northern Macedonia, Slovenia, Albania and Kosovo, Balkans Luxury Concierge successfully combines culture, gastronomy and adventure to provide its clients with bespoke experience.  Specialist in luxury and MICE segment and VIP tailor-made tours targets high-end clients and adventure/outdoor lovers.",Croatia,0.629334,,,
Private Villas Of Croatia,468983.0,"Croatia, Split-dalmatia, Split, 85 Kralja Zvonimira, 21000",https://www.linkedin.com/company/18570388,www.privatevillasofcroatia.com,"At Private Villas of Croatia you will find full support and assistance in finding the villa you are searching for and the best service you can imagine. We know how important your vacation is and that is why with great dedication and passion we do our best to accommodate all your requests. We will go the extra mile to make your search as short as possible and your holiday experience unforgettable. Our team consists of young, devoted vacation lovers full of life and most importantly passion for this job, so there is no service that will be left behind. We grew up and live in Croatia, a small, but beautiful Mediterranean country that will leave you breathless once you see the treasures it offers and you will want to come back for sure. Whether you are searching for fantastic beaches with azure blue and crystal clear sea, or you’re a fan of cultural and historical places with the most delicious culinary tradition, Croatia has it all. Whatever the reason for visiting our wonderful country and having your vacation here, with our 24/7 service, you can be sure you will get exactly what you need in no time. Private villas, private transfers, luxury yachts, boat trips, chefs and concierge services, wedding organization – we can do it all for you. Let us know when you are ready to have a lifetime vacation experience. We are happy and ready to answer all your questions. Feel free to contact us any time via email: booking@privatevillasofcroatia.com or phone +38598659496",Croatia,0.468983,,,
ARCHIPELAGO,1041120.0,"Croatia, City Of Zagreb, Zagreb, 10 000",https://www.linkedin.com/company/archipelago-zadar,www.archipelago.travel,"Archipelago is unique 'all-inclusive' luxury adventure concept. Organizing tours and day activities from Zadar, Dalmatia and Rovinj, Istria - It is one of the leading boutique tour operator. Contact us for: *Day trips & Excursions *Boat Rental & Yacht Charter with full-service itineraries *Special & Customized Events as: Client Incentives, Milestone Celebrations, Team Buildings, Gala Dinners... *Land-Sea-Air Logistics with 360° concierge service Organization is recognized by supreme service, which is built on maritime experience, knowledge and most importantly – strong values, shared through organization and network of partners. Our mission is to provide premium vacations by taking care of all details so you can simply relax and enjoy every second of it.",Croatia,1.04112,,,
Adria Luxury,2517336.0,"Croatia, City Of Zagreb, Zagreb, 8a Ivana Broza, 10000",https://www.linkedin.com/company/adria-luxury,www.adrialux.eu,"We provide Concierge and Provisioning services in the Northern Adriatic region. However, what we really excel at is creating an unforgettable experience for you. Croatia is an amazing place with great offers, we are merely here to simplify things and make everything run smoothly for you… provide suggestions regarding your preferences and add… that value that you will remember and come again. We find every moment of your life special and we are pleased to assist you with all your needs and heart’s desires. We know that luxury is a personal experience and your dreams have no limitations with us. Our vast knowledge, experience and detail-oriented approach is the key to our clients’ complete fulfillment. All you need to do is to ask and… enjoy.",Croatia,2.517336,,,
Terranautika,962332.0,"Croatia, Dubrovačko-neretvanska, Dubrovnik, 10 Antuna Barca, 20000",https://www.linkedin.com/company/terranautika,www.terranautika.eu,"Terranautika operates as a Destination Management Company since 2006 in entire Croatia out of the historic town of Dubrovnik and in Montenegro out of its branch office in Tivat. We rely on a multidisciplinary team of professionals with worldwide experience, strong area expertise enhanced with a solid nautical background to guide you through this fabulous region with rich historical, natural and cultural heritage.  What we do best: - Incentives, seminars and congresses (MICE) - Corporate events and team building activities - Tailor made programs for groups and individuals (cultural, adventure & ECO tours) - Exclusive concierge services - Shore excursions, offer yachting and cruising solutions along the Adriatic coast.",Croatia,0.962332,,,
SPLIT VIP AGENCY,416448.0,"Croatia, Split-dalmatia, Split, 34 Vranjicki Put, 21000",https://www.linkedin.com/company/split-vip-agency,www.splitvipagency.com,"We proudly present you our offerings: VIP villas, exclusive houses, suits and apartments, luxurious real estates, discrete and not so discrete destinations, providing the best of the best in the Mediterranean. Furthermore, we offer you luxury yachts charters (different categories, sizes and standards), rental crew services, and rental services (exclusive cars, motorcycles). In addition, we can offer you VIP concierge services, including reservations in the best restaurants and VIP clubs, beach parties, insurance services, private chefs, masseuses, personal shopping assistants, private doctors and medical care, and nanny on location. Also, we can organize business meetings and accommodation for groups, private events and private chefs with their staff (romantic dinners, family meetings, group celebrations), private events at VIP beach clubs and/or night clubs. And we will arrange transfers to the sites, VIP hosts, table and other reservations, complete organization of private events: anniversaries, weddings, bachelorette / bachelor parties, birthday parties at popular locations, trips and excursions, etc. EXPERIANCE Our experience is huge and longlasting. We employ experts coming from various industry branches: tourism, hotel management, economy, marine activities, gastronomy, culture, showbiz and other service activities. INSPIRATION We are inspired by the life itself. Inspiration comes from the nature and its phenomenons or humans and their behaviors. Doesn't matter. We are motivated, agile, eager and ready to please you. QUALITY The quality of our services is of paramount importance. Every challenge is an opportunity to be better and one step closer to a perfection. That's why we are lifting standards with every past minute. Even now while you read this. Your Split VIP Agency team",Croatia,0.416448,,,
