Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Pleo,727751992.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/10275909,www.pleo.io,"Pleo is a leading spend management platform designed to simplify and automate the way businesses handle company expenses. With a mission to empower employees and finance teams alike, Pleo leverages advanced technology, including generative AI, to create tailored spending guidelines that enhance clarity and compliance. The platform allows employees to manage their own expenses while providing finance teams with real-time visibility and control over spending patterns. Pleo serves a diverse clientele across various industries, helping over 40,000 businesses streamline their financial processes and improve operational efficiency. By fostering a culture of responsible spending, Pleo aims to transform traditional finance practices and support organizations in navigating the complexities of modern business expenditures.",Denmark,727.751992,,,
Lunar,368417008.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/lunarbank,lunar.app,"Lunar is a pioneering Nordic challenger bank founded in 2015, dedicated to transforming the banking experience for over one million private and business users across Denmark, Sweden, and Norway. With a mission to provide innovative, tech-driven financial services, Lunar aims to bridge the gap between traditional banking and next-generation financial solutions. The company recently launched Moonrise, a dedicated payments infrastructure entity, to enhance its offerings and establish itself as a leading payments partner for fintechs, payment service providers, and banks in the Nordics. Lunar's strategic partnerships, including collaborations with PPRO, CurrencyCloud, and Trustly, position it for significant growth in the rapidly evolving financial landscape. By leveraging cloud-native technology and a commitment to real-time, integrated banking solutions, Lunar is set to redefine the financial ecosystem in the region.",Denmark,368.417008,,,
MobilePay,83641950.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/mobilepay-nordics,mobilepay.dk,"Hi, we're MobilePay! 💙 We make it very, very easy for our 7.5 million users across Denmark and Finland to send money, shop online, log in, pay bills, send gifts, donate to charity, raise money, create wish lists, share expenses, shop in the store and pay at flea markets. Made in the Nordics, with love for simplification. A part of Vipps MobilePay.",Denmark,83.64195,,,
Clearhaus,35000000.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/clearhaus,www.clearhaus.com,"Clearhaus provides simple, innovative, and straightforward acquiring services to online merchants. We are determined to innovate and develop our services for the future. Clearhaus A/S is licensed as a Payment Institution by the Danish Financial Services Authority and a Principal Member of Visa and Mastercard. Read more on www.clearhaus.com.",Denmark,35.0,,,
BEC Financial Technologies,330787529.0,"Denmark, Zealand, Roskilde",https://www.linkedin.com/company/bec,www.bec.dk,"BEC Financial Technologies is a leading Danish fintech company that specializes in providing comprehensive IT solutions tailored for the banking sector. With a mission to be the foremost fintech integrator for Danish banks, BEC is dedicated to enhancing the digital banking experience through innovative, secure, and efficient technology. The company partners with various fintech firms and technology leaders to deliver a cohesive suite of services, including core banking systems, digital channels, and advanced investment tools. BEC serves a diverse clientele of 17 member banks, such as Nykredit and Spar Nord, collectively supporting millions of active bank accounts in Denmark. The company focuses on operational stability and efficiency, ensuring that its IT solutions are secure and user-friendly, which is essential for maintaining the trust of its clients and the broader financial community. BEC's vision emphasizes collaboration with market-leading technology partners to create an open and scalable architecture, allowing for the integration of modern, cloud-based solutions. Through initiatives like the Scoutz innovation hub, BEC fosters technological advancements and accelerates the development of shared IT solutions, ensuring that both large and small financial institutions can thrive in a rapidly evolving digital landscape. With a workforce of approximately 1,700 employees across Denmark and Poland, BEC is committed to delivering high-quality IT solutions that drive efficiency and improve customer experiences in the financial sector. The company actively invests in cyber resilience and compliance, adapting to new regulatory requirements while combating financial crime and enhancing data protection. BEC's commitment to corporate social responsibility is evident in its focus on sustainability, diversity, and community engagement, making it a key player in the Danish financial ecosystem. By leveraging economies of scale in IT operations and development, BEC aims to empower its clients to compete effectively in the evolving financial landscape.",Denmark,330.787529,,,
Blue Finance Denmark ApS,4287892.0,"Denmark, Central Jutland, Århus, 26 Nørreport, 8000",https://www.linkedin.com/company/blue-finance-denmark,www.bluefinancegroup.com,"Blue Finance Denmark is a fintech company, specialized in offering consumer and business loans. The mother company Blue Finance Oy was founded in 2011 and is headquartered in Turku, Finland. Denmark was the first country to be launched in the ambitions for Blue Finance to becoming an international Fintech player. The launch of our first Danish brand, KreditNU.dk, was a reality in April 2019 and in April 2021 we launched our business loan brand, Virksomhedslånet.dk Like the parent company, Blue Finance Denmark is striving to be a responsible and trustworthy company. In every credit decision, we do, we carry out an investigative and in-depth creditworthiness assessment which ensures that the consumer or customer has the financial capability to fulfill their obligations towards the credit agreement. Internationally brands under Blue Finance Group: kreditnu.dk // Consumer loan service in Denmark virksomhedslånet.dk // Business loan service in Denmark bluefinance.fi // Consumer and business loan service in Finland nexu.es // Consumer loan service in Spain bluefinancegroup.com // Group website osinkotuottoa.fi (our services for investors - we will pay up to 7 % yearly interest for your investment)",Denmark,4.287892,,,
Cardlay,12467660.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/cardlay,cardlay.com,"Cardlay is a Danish FinTech company with a clear purpose of driving effortless spending, making it easy for businesses to handle cards, payments and expenses. We are a strategic partner to banks, card issuers, processors and other financial institutions in the digital transformation process. Our software is aimed at helping companies automate business processes, by leveraging the integration between payment cards (virtual and plastic), card management, expense management and automated VAT reclaim. At the same time we run our own virtual card program to complement our software suite. We have offices in Tech Town in Odense and in Central Copenhagen. We are 50+ passionate and skilled people, who strive to do our best to serve our customers and partners every day. We continue to search for new ideas and better experiences in everything we do. And we do it together. We are looking exactly for YOU if you have that high level toolbox and the Cardlay-factor mindset. See you soon! https://cardlayas.hr-on.com/",Denmark,12.46766,,,
CMC Finans ApS,2515768.0,"Denmark, Capital Region, Charlottenlund, 2 Charlottenlund Stationsplads, 2920",https://www.linkedin.com/company/cmc-finans-aps,www.cmcfinans.com,CMC Finans ApS er et FinTech selskab med fokus på automatisk kreditscoring. Vores kreditmotor henter data fra offentlige registre og andre tilgængelige kilder og udregner en score på 5-8 sekunder.  kreditmotoren er taget i i brug i tandlægebranchen med subbrandet Denti ApS og intentionen er at tilpasse kreditmotoren til andre brancher løbende.,Denmark,2.515768,,,
Copenhagen Fintech,25727357.0,"Denmark, Capital Region, Indre By, 7 Applebys Plads",https://www.linkedin.com/company/copenhagen-fintech,www.copenhagenfintech.dk,"Copenhagen Fintech is a non-profit, award-winning* innovation hub founded in 2016 in Denmark, with the mission to foster innovation within the financial sector, by building a thriving fintech ecosystem. We support new financial technologies with potential to shape the future, by creating connections throughout all levels of industry - from start-ups to financial institutions, research organisations, governments, NGOs and individuals who want to make a difference. By connecting changemakers within the industry, we foster a thriving innovation ecosystem. We support every step of the development process with tailored offerings, with great success stories of scaled solutions at international level. *ECEI GOLD Label “Excel in Cluster Excellence” in August 2022 _______ Communication activities supported by ”Innovationskraft 23-24: Finans og Fintech“ project, by the European Regional Fund and the Danish Board of Business Development.",Denmark,25.727357,,,
Corporate Funding Partner,628942.0,"Denmark, Capital Region, Copenhagen, 9a Wilders Plads, 1403",https://www.linkedin.com/company/corporate-funding-partner,www.c-fp.dk,"Corporate funding Partner A/S er en dansk FinTech virksomhed,  der har specialiseret sig i at sikre optimale finansieringsforhold for virksomheder med lånebehov over DKK 10 millioner. Vi er virksomhedernes uvildige eksterne finansieringspartner, der alene varetager deres interesser og honoreres kun ved succesfulde opgaver med et resultatafhængigt honorar, hvilket sikrer fuld interessesammenhæng mellem os og virksomhederne. Vi løfter opgaverne via vores online platform, CfP Portalen, der sikrer en professionel og brugertilpasset kundeoplevelse,  med højt sikkerhedsniveau, fuldt overblik og indblik i processen.",Denmark,0.628942,,,
CrossNordic,2289693.0,"Denmark, Capital Region, Copenhagen, 3a 2 Gammel Mønt, 1117",https://www.linkedin.com/company/neofx,crossnordic.com,"At Cross Nordic, we help European businesses dramatically reduce their foreign exchange costs by offering better FX rates than traditional banks. Our clients save tens to hundreds of thousands of euros annually. We’re a Nordic fintech serving exporters and importers across Europe with annual FX volumes from €10 million to €2+ Billion. Transparent pricing, expert support, and seamless execution are at the core of what we do. Want to become a client, partner, investor — or join the team? Visit www.crossnordic.com to learn more.",Denmark,2.289693,,,
Debtor A/S,1886826.0,"Denmark, Capital Region, Charlottenlund, 2 Charlottenlund Stationsplads, 2920",https://www.linkedin.com/company/debtor,www.debtor.dk,"Debtor er et FinTech selskab, der blev skabt ud fra en idé om at innovere virksomheders adgang til likviditet ved brug af teknologi. Fakturaen er et aktiv, som alt for få virksomheder benytter til at forbedre deres løbende cash flow og drift. Det har vi forsøgt at lave om på, så flere virksomheder kan få gavn af de mange fordele ved fakturakøb. Debtor tilbyder supplerende finansiering, som vi mener, det skal fungere. Digitalt, nemt, hurtigt, sikkert, fleksibelt og frem for alt tilgængeligt ved behov og uden om banken. Debtor hed oprindeligt Dansk Faktura Børs, men skiftede navn til Debtor i begyndelsen af 2019. Dansk Faktura Børs var en pioner på kapitalmarkedet indenfor alternativ finansiering og FinTech. Vi var en af verdens første fakturabørser og er i dag blandt de førende platforme for fakturakøb i Europa. Ved at kombinere finans og teknologi var vi først med 100% digital finansiering omfattende både kundevalidering (KYC), hvidvask (AML) og aftaleindgåelse m.v. godkendt af Finanstilsynet. Vi formidlede Danmarks første crowdfundede fakturakøb i maj 2012, og i 2017 lancerede vi Invoice One, som er Skandinaviens første alternative investeringsfond, der udelukkende investerer i fakturaer.",Denmark,1.886826,,,
Fintech,7656951.0,"Denmark, Capital Region, Frederikssund, 3600",https://www.linkedin.com/company/fintechregnskab,www.fintechno.dk,"Moderne regnskabsføring og bogholderi stiller store krav, ikke mindst til brugen af økonomistyringssystemer. Derfor kan rådgivning om hvordan man opstiller regnskaber, udfører bogføring, laver budgetter og beregninger samt optimerer de interne forretningsgange være guld værd for mange, specielt mindre og mellemstore virksomheder. Som erhvervsdrivende er det vigtigt at have et professionelt og erfarent bogholderi, der kan sikre, at det regnskabs- og bogføringsmæssige arbejde for virksomheden altid er, som det skal være. Fintech tilbyder professionel hjælp fra erfaren bogholder for virksomheder i Sjælland og Storkøbenhavn.",Denmark,7.656951,,,
