Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Manguard Plus,38783500.0,"Ireland, Leinster, Naas",https://www.linkedin.com/company/manguardplus,www.manguardplus.ie,"4-Time OSPA Winners (Outstanding Contract Security Company) 2022 - 2025 Manguard Plus is a privately owned, Irish Security company focused exclusively on the provision of Manned Guarding Services. Established in 1996, with operations across all 32 counties of Ireland, we employ in excess of 1200 people. We have a reputation for our customer centred, proactive, flexible, innovative and cost efficient security service, built around our Control Room remote capability and bespoke software We provide the following services: - Manned/ Static Guarding  - Security Consultancy - Remote CCTV & Systems Monitoring - GPS Controlled Mobile Patrol Services - Emergency Alarm Response - Integrated Security Solutions - Security Receptionists/ Porters - Event Security Personnel - Car Park Management - Concierge - Receptionists - Building Managers - Alarm Receiving Centre - Lone Worker Management & Monitoring - Building Opening/ Closing  - Vacant Property Inspections - Property Recovery Services - Helpdesk Operations",Ireland,38.7835,,,
SOS Group,36738428.0,"Ireland, Leinster, Dublin, 62 Heather Road Sandyford Business Park, d18ca37",https://www.linkedin.com/company/sos-cleaning-&-property-services,sosgroup.ie,"SOS Group is a leading FM services company that provides best in class Cleaning, Security and Guest Services - Concierge solutions. We operate throughout Ireland from our base in Sandyford, Dublin and offer a cost effective, professional, comprehensive and reliable service. SOS Group are accredited to ISO9001;2015,  ISO14001;2015 and The PSA, and are active members in the most important professional associations in our industry sector including ICCA, BICSc and IBEC.",Ireland,36.738428,,,
Integrity Security,20331288.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/integritydublin,integritysecurity.ie,"Professional security in Ireland. 25 years of experiences. PSA licensed. 100% Irish. Specialized in festivals, large-scale events, film sites, and concierge security. Licensed by The Private Security Authority. PSA License Number 10058",Ireland,20.331288,,,
Hayfield Manor,24395762.0,"Ireland, Munster, Cork, Perrott Avenue College Road, t12ht97",https://www.linkedin.com/company/hayfield-manor,www.hayfieldmanor.ie,"5 Star City Centre Hotel in Cork City, Co. Cork, Ireland. Featuring 88 Bedrooms, 2 Restaurants with capacity for 120 diners, conference facilities for up to 120 delegates, Elemis Spa, Complimentary Wifi, Complimentary Car Parking, Concierge, 24 hour Reception, Business Centre and Secretarial Services available. As Cork city’s premier 5 star hotel, Hayfield Manor provides all the charm of a country house, uniquely posed within two-acres of beautiful gardens, and just a pleasant stroll to the heart of Cork city. The hotel is also located alongside the historic University College Cork.  A visit to Hayfield Manor is an experience Beyond the Best. We believe that we have something special to offer to our guests where exceeding expectations is the utmost priority. We make guests feel at home during their stay by providing a place of welcome and relaxation for the ultimate luxury experience. As well as luxurious & spacious accommodation which is individually designed with your comfort in mind, guests of Hayfield Manor also enjoy exclusive access to The Beautique Spa which features the full range of Elemis Spa Therapy.  Hayfield Manor is home to two award-winning restaurants; Perrotts Garden Bistro is the hotel’s popular casual dining venue with a menu inspired by world food trends & peppered with the best of local produce & Hayfield Manor’s signature restaurant, Orchids, features the finest in contemporary Irish cuisine set within a dramatic & glamorous backdrop, inspired by the eponymous flower. Residents of Hayfield Manor experience exceptional hospitality with staff dedicated to providing individual & memorable service alongside every modern comfort. Whether your stay is for leisure or business, it is our pleasure to attend to every detail for you. Combining grandeur and authentic Irish service, guests of Hayfield Manor are provided with a 5 star experience and the distinctive character of a manor home.",Ireland,24.395762,,,
Capital Dock,1253766.0,"Ireland, Leinster, Dublin, Sir John Rogerson's Quay, d02 hd32",https://www.linkedin.com/company/capitaldock,capitaldock.ie,"RIVER CITY LIVING The chance to rent an apartment in Dublin's most exciting new city centre neighbourhood will soon be yours. Capital Dock's 190 new 1-3 bedroom and penthouse living spaces will be ready to welcome residents this November. Be part of a community that will enjoy a five-star lifestyle experience that sets a new standard for Dublin. A dedicated concierge team will be on hand to cater for your every need, from parcel-collection to booking a dinner party in the plaza suite, plus you have access to all the upscale amenities for which Kennedy Wilson are renowned including gym, cinema and games rooms, lounges, a Masterchef kitchen and dining room and fully-appointed business pods.  Featuring Ireland's tallest building and offering spectacular views of city, sea and mountains the campus is designed for outdoor living, its parkland and plaza fringed with boutique stores and cafe terraces.  From your prime location in Dublin Docklands - on the Liffey riverfront and adjacent to Grand Canal Square - you have freedom of the city with Luas and DART public transport in easy reach.      This is a unique opportunity to enjoy an exceptional quality of life in the heart of Dublin's modern city. For further information, please contact Fergal Hopkins at Lansdowne Partnership, +353 1 660 1922.",Ireland,1.253766,,,
Lisney Sothebys International Realty,11945261.0,"Ireland, Leinster, Dublin, 103 Upper Leeson Street",https://www.linkedin.com/company/lisney-sotheby’s-international-realty,www.lisneysir.com,"Local experts, worldwide reach. Best-in-class concierge real estate services for the Irish residential market. PRSA: 001848",Ireland,11.945261,,,
Rhatigan Real Estate,1767743.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/rhatigan-real-estate,www.rre.ie,"Rhatigan Real Estate is Ireland’s premier property buying concierge. We act solely for buyers, representing high-net-worth individuals, professionals, expats, and business owners seeking homes or investments. Expert negotiation, end-to-end management and with access to off-market opportunities,  we save clients time, stress, and on average 8% of purchase value. Trusted for discretion, expertise, and results, we make buying effortless. We find the unfindable!",Ireland,1.767743,,,
Lansdowne Place,5015064.0,"Ireland, Leinster, Dublin, Lansdowne Place, dublin 4",https://www.linkedin.com/company/lansdowne-place-ballsbridge,www.lansdowneplace.ie,"Lansdowne Place is a beautifully orchestrated set of apartments and penthouses in Ballsbridge, Dublin’s most desirable neighbourhood only ten minutes walk from the city centre. Each residence is designed, built and finished to the very highest specifications. Together with a 24-hour concierge service and purpose-built private Residents’ Suite with cinema, lounge, dining room and gymnasium, Lansdowne Place offers unparalleled luxury living in a beautifully landscaped setting.  Lansdowne Place is a premier residential scheme developed by Chartered Land one of the largest property development and investment companies in Ireland. Led by Executive Chairman Joe O’Reilly and Chief Executive Andrew Gunne Chartered Land is responsible for delivering a number of the most prestigious and innovative real estate developments in Ireland including Dundrum Town Centre; the Bord Gais Energy Theatre and the Grand Canal Square office scheme in Dublin’s docklands.",Ireland,5.015064,,,
Grafter,6390984.0,"Ireland, Leinster, Dublin, 11a Fitzwilliam Street Lower, d02",https://www.linkedin.com/company/grafter-house,www.grafterhouse.com,"Grafter is more than a workspace. It's an elevated work-lifestyle experience, bringing together the best in beautifully designed, fully furnished and serviced private offices and a hospitality offering sure to inspire your best work. Whether you're looking for a fully-serviced private office for a growing team, meeting room space to connect and collaborate, or a lounge space to work in comfort, Grafter has a solution that will work for you. All of our buildings are beautifully refurbished and centrally located, and come with our elevated serviced offering. Our kitchens come fully-stocked with coffees, teas, continental breakfast and more. We offer our members a wealth of breakout space, members' lounges and phone booths for flexible, communal working, and you'll be greeted on arrival by our on-site concierge team to help with whatever you need throughout your day. Work goes beyond the four walls you occupy from 9-5. Grafter has established partnerships with over 65 of some of the best dining and entertainment in Ireland - giving you exclusive access and discounts to restaurants, bars, hotels, spas, gyms and more. Entertain clients over a delicious meal or meet a colleague for a celebratory cocktail. From day to night, we believe work and life are not mutually exclusive, but rather mutually beneficial. Get in touch to see how we can help your business thrive.",Ireland,6.390984,,,
Website Concierge,532387.0,"Ireland, Munster, Co.cork",https://www.linkedin.com/company/website-concierge,www.websiteconcierge.ie,"Website Concierge  is an Irish-Based  business that provides Internet marketing services  to  businesses using  strategic lead generation methods to help create  more sales for  their businesses. We believe that many business owners have identified internet marketing as the best way to market their products and services. However, they do not have enough time or expertise to explore this area further , Website Concierge offers a service to bridge that gap for business owners who would rather spend their time doing what they do best , that is running their business.",Ireland,0.532387,,,
