Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Bitpace,17828550.0,"Bulgaria, Sofia-capital, Sofia, 40 Tsarigradsko Shose Blvd., 1750",https://www.linkedin.com/company/bitpace1,www.bitpace.com,"Bitpace is an industry-leading payment gateway providing seamless and reliable payment solutions. Developed by a team of fintech, payment, and product experts, Bitpace’s payment offerings empower businesses to accept crypto from their customers with fewer volatility or liquidity risks. Its diverse services facilitate global settlements in more than 70 crypto and 40 fiat currencies for sectors like e-commerce, finance, and real estate. Unlock the future of payments at www.bitpace.com. Bitpace™ services are offered to businesses only and may vary (or even been unavailable) in certain jurisdictions. www.bitpace.com is operated by Q500 Europe EOOD, company number 206635600, Evropark building, 40 Tsarigradsko Shose Blvd., 2nd floor, 1750 Sofia, Bulgaria, registered as a virtual assets service provider (“VASP”) by the National Revenue Agency (NRA) in Bulgaria; Q500 Estonia OÜ, company number 16564979, Maakri tn 19/2, Tallinn 10145, Estonia, authorised to operate as a VASP by the Financial Intelligence Unit (FIU) in Estonia, licence number FVT000552.",Bulgaria,17.82855,,,
Bulgarian Fintech Association,5660478.0,"Bulgaria, Sofia-capital, Sofia, 76a James Bourchier, 1407",https://www.linkedin.com/company/fintech-bulgaria,fintechbulgaria.org,"Our mission is to create a platform bringing together all parties in Bulgaria with interest in Financial Technologies and provide a common ground for communication and exchange of ideas. In our initiatives, we bring together large Fintechs, SMEs, and supporting industries, as well as the respective authorities and academia to create favorable conditions for the development of digital finance solutions. The BFA's ultimate goal is to establish Bulgaria as a leading Fintech Hub in the region of Southeastern Europe.",Bulgaria,5.660478,,,
Cash Credit,164907973.0,"Bulgaria, Sofia-capital, Sofia, 15 Sveta Troitsa, 1309",https://www.linkedin.com/company/cash-credit,www.cashcredit.bg,"Cash Credit is an innovative FinTech company offering micro-finance services in cooperation with mobile telecom operators and other partners. The company was founded in 2011 in Bulgaria and has expanded internationally, launching operations in Africa, and South-East Asia, and exploring opportunities in other markets around the world. Proprietary, innovative and automated credit scoring process based on analysis of mobile operators’ and other partners’ big data, unique technical solutions, and rapid credit decisions are some of the key pillars of Cash Credit unique offering. At the end of 2013 Cash Credit Group received international recognition for its innovative model and raised 25 million U.S. dollar financing from Delta Partners Capital Limited. The company has strategic partnerships with MTN Group in Africa and Voyager Innovation, the digital financial and commerce arm of Smart Communications, in the Philippines. Cash Credit’s pioneering expertise in aggregating, analyzing and applying data is used there to offer innovative financial services. Cash Credit is growing rapidly globally and aspires to augment its enablement of a responsible financial and economic inclusion of the unbanked population in the developing markets. The company continuously invests in new technologies and recruits and develops top talent, offering fast careers in the most thrilling industry in the 21st century: FinTech.  Our values: • Trustworthiness and transparency • Sustainability • Social responsibility • Visionary attitude • Deliverability",Bulgaria,164.907973,,,
Catalea Trading,713142.0,"Bulgaria, Sofia",https://www.linkedin.com/company/catalea-trading,www.cataleatrading.com,"Catalea Trading is a FinTech company focused on applying the latest advances in Artificial intelligence on Financial Markets. The firm generates alpha for its clients via custom builded quantitative and market microstructure models which optimise the trading results.  Catalea develops and delivers professional trading software for a wide variety of users including hedge funds, proprietary traders, investment management firms and oension funds.  The team behind Catalea have a common mission - to empower Capital Markets by revolutionising the algorithmic trading and reinventing the applications of Artifical Intelligence.  Catalea connects and develops the best and brightest minds in  trading, technology, quantitative strategies, and software engineering.",Bulgaria,0.713142,,,
Decoin,5660478.0,"Bulgaria, Sofia-capital, Sofia",https://www.linkedin.com/company/decoin-xde,,"Founded in 2017, Decoin is an exchange designed at its core by the crypto community for the crypto community. Our mission is to provide the most transparent and innovative Pro social Trading platform for our top traders, with maximum-security elements. Our exchange has an easy-to-use interface, for novice users, and advanced trading features for industry veterans. Decoin’s ecosystem also includes a coin called ""DTEP"", which is powered by an independent blockchain using a “PoS” consensus algorithm. We are led by an experienced team of fintech experts, financial professionals, and experienced traders on a global scale.",Bulgaria,5.660478,,,
EXA Dynamic,6293838.0,"Bulgaria, Sofia-capital, Sofia, 40 Bulevard Tsarigradsko Shose",https://www.linkedin.com/company/exadynamic,www.exa-dynamic.com,"EXA Dynamic is a world-class fintech provider of innovative one-stop trading solutions and state-of-the-art trading platforms, designed to offer business owners the ability to optimize trading and client engagement. With expert knowledge of the market and cutting-edge technologies, our team of industry professionals, complying with our three core values – Innovation, Simplicity, Quality, always strives for Excellence. EXA Dynamic provides complete turnkey and integrated solutions to build, manage and grow your entire fintech business. We offer an array of innovative top-notch trading and investment tools and features.",Bulgaria,6.293838,,,
FinTech Observe,356571.0,Bulgaria,https://www.linkedin.com/company/fintechobserve,fintechobserve.com,"FinTech Observe is an independent fintech media group delivering reliable, insightful, and user-focused content across multiple platforms. Our mission is to help individuals and businesses navigate the fast-evolving world of financial technology through in-depth reviews, practical guides, expert analysis, news coverage and educational resources. We cover digital banks, investment & trading platforms, crypto services, cards, personal finance apps, and more — always with transparency, accuracy, and reader-first ethics. We currently operate: 🌐 FinTechObserve.com – Our global platform in English,  🇧🇬  FinTechBulgaria.com – Localized coverage for the Bulgarian fintech market 🔹 More regional platforms coming soon – expanding our reach and relevance across Europe and beyond. We are committed to editorial independence, fact-checked content, and transparent affiliate practices — helping users make confident, well-informed financial decisions. Whether you're a fintech user, investor, founder, or just curious about smarter ways to manage money — FinTech Observe helps you stay informed, confident, and in control. 📍 Based in the EU | Serving a global audience",Bulgaria,0.356571,,,
Fram Fintech,1257884.0,Bulgaria,https://www.linkedin.com/company/fram-fintech,framfintech.com,"𝗙𝗿𝗮𝗺 𝗙𝗶𝗻𝘁𝗲𝗰𝗵 is a company focused on providing 𝘥𝘪𝘨𝘪𝘵𝘢𝘭 𝘥𝘦𝘴𝘪𝘨𝘯, 𝘥𝘦𝘷𝘦𝘭𝘰𝘱𝘮𝘦𝘯𝘵, 𝘢𝘯𝘥 𝘮𝘢𝘳𝘬𝘦𝘵𝘪𝘯𝘨 𝘴𝘰𝘭𝘶𝘵𝘪𝘰𝘯𝘴 exclusively for the financial sector.  Over the past three years, we have helped over 30 banking, insurance, and cryptocurrency companies and Startups position their brand online, attract new clients, and boost customer satisfaction. 𝗦𝗲𝗿𝘃𝗶𝗰𝗲𝘀: ☑️ UX design for web, mobile applications; ☑️ Conversion-centred web and landing page design; ☑️Graphic design - Infographics, banners, presentations, brochures, and others; ☑️Digital brand design; ☑️ Development (Web/Mobile) ☑️  Online Marketing - social media, SEO, ad campaigns, content creation Our work is recognized around the world. 📍 USA, ISRAEL, SWITZERLAND, AUSTRIA, GERMANY 𝘍𝘳𝘢𝘮 𝘍𝘪𝘯𝘵𝘦𝘤𝘩 𝘪𝘴 𝘱𝘢𝘳𝘵 𝘰𝘧 𝘍𝘳𝘢𝘮 𝘊𝘳𝘦𝘢𝘵𝘪𝘷𝘦 Our services include: 📱 UX design for web, mobile applications; 🎯 Conversion-centred web and landing page design; ✏️Graphic design - Infographics, banners, presentations, brochures, and other; Digital brand design; 💻 Development (Web/Mobile) 🏆  Online Marketing - social media, SEO, ad campaigns, content creation Fram Fintech is part of Fram Creative",Bulgaria,1.257884,,,
Gate2Payments България,1152059.0,"Bulgaria, Sofia-capital, Sofia, 4 Ул. Лозенец, 1460",https://www.linkedin.com/company/gate2payments-bulgaria,www.gate2payments.bg,"Евтини и лесни решения за разплащане във всички интернет магазини в световен мащаб. Gate2Payments е европейска FinTech компания, която предлага глобални платежни решения за електронни продажби във всички сектори. Gate2Payments Ви спестява до 80% от текущите разходи, като Ви предлага договор с глобални и местни финансови институции, както и собственото си решение за разплащане с кредитни и дебитни карти в интернет.",Bulgaria,1.152059,,,
ICard,159122326.0,"Bulgaria, Varna, Varna, 9009",https://www.linkedin.com/company/icardofficial,icard.com,"iCard is a fintech company delivering innovative end-to-end payment solutions to more than 1.8 million clients in over 30 countries in Europe. We constantly reinvent the relationship between people, money, and technology with one main goal – to make everyday payments easier, more accessible, and more secure. iCard is among the first fintech ventures in Europe. Founded in 2007 by a team of only 7 people, 16 years later, the e-money institution has more than 250 employees making the digital future of the financial world possible for millions. We welcome you to a new banking experience – more straightforward and more effective. Our fintech portfolio spans not only the iCard digital wallet – our financial super-app is available for Android, iOS, Huawei, and desktop, but also offers dozens of products and services – iCard for Business, card issuing and transaction processing with iCard Direct, cash machines from iCard ATM, prepaid cards from GiftCard™, and many more.  iCard Digital Wallet: https://icard.com/ https://www.facebook.com/iCard.Digital.Wallet/ https://play.google.com/store/apps/details?id=eu.mobile.icard&hl=en https://itunes.apple.com/bg/app/icard-app/id1322347923?mt=8 iCard for Business: https://icard.com/en/business https://www.facebook.com/iCard.Business/ https://play.google.com/store/apps/details?id=eu.mobile.icard.business https://itunes.apple.com/bg/app/icard-business/id1449603432?mt=8 Read latest product and industry news, tips, and updates: https://blog.icard.com/ Enter iCard: https://icard.com/",Bulgaria,159.122326,,,
