Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
SANI RESORT,763066516.0,"Greece, Sani, 63077",https://www.linkedin.com/company/155308,www.saniresort.gr,"Sani Resort is a luxurious landscape stretching across fragrant pine forests, golden sands and crystal clear waters. This is the awe-inspiring thousand-acre natural backdrop to Sani Resort, home to five multiple-awarded 5-star hotels recognized around the globe by leading travel organizations. Five stunning properties all within walking distance of each other, yet far enough away to create a real sense of individuality. While the beating heart of Sani is the vibrant, glamorous Marina with its sumptuous restaurants, bars and boutiques. Employees are the most valuable asset at Sani Resort and our aim is to develop staff skills and help them to reach their potential. We are always on the outlook to identify, recruit and maintain the people with the greatest smile and passion to provide exceptional guest services, which characterises the whole company  Do you enjoy smiling? Join our team!",Greece,763.066516,,,
COSTA NAVARINO,721343560.0,Greece,https://www.linkedin.com/company/costanavarino,www.costanavarino.com,"Costa Navarino is a sustainably driven destination in the Mediterranean, located in Messinia in the southwest Peloponnese of Greece.  Graced with a breath-taking seaside landscape, this is a region shaped by 4,500 years of history. The Costa Navarino philosophy is driven by a genuine desire to preserve the natural beauty and heritage of Messinia. The destination comprises several distinct sites featuring five-star hotels, luxury private residences, a world-class golf experience, and many year-round activities. Navarino Dunes is home to The Romanos, a Luxury Collection Resort, The Westin Resort Costa Navarino and Costa Navarino Residences. Navarino Bay is the setting for Mandarin Oriental, Costa Navarino, W Costa Navarino and Navarino Agora, a curated marketplace. Both sites have signature golf courses, while at Navarino Hills there are two further signature golf courses.",Greece,721.34356,,,
Mitsis Group,521073368.0,"Greece, Attica, Athens, 12 Filotheis, 11147",https://www.linkedin.com/company/mitsis,www.mitsis.com,"As Greece’s largest privately-owned hotel chain, MITSIS has been a tourism pioneer for 50 years now, making its own mark on Greece’s tourist industry, driven by a customer - centered philosophy and the promise of an unparalleled holiday experience.  With 24 hotels in our portfolio in Athens, Chalkidiki, Corfu, Crete, Kamena Vourla, Kos, Rhodes, Piraeus and Santorini, we aspire to stand out as the preferred portfolio of hotels & resorts in Greece offering excellent service, great locations, impeccable facilities, sophisticated dining and a broad spectrum of options for our clientele.  We bring to life enriching experiences for our guests, making the most of our unparalleled family touch and genuine Greek essence, always seeking to be flexible and adaptable to individual customer needs and the mindset of new generations.  Transforming each visitor into a special guest is the key to our success.  Mitsis Group has been awarded several prizes by local and international tour operators and travel organizations in recognition of the high quality of the services provided, its contribution to upgrading local tourism and its respect for the environment. We are proud to be named Great Place To Work® Certified™ thanks to our people.",Greece,521.073368,,,
Scorpios,270735629.0,"Greece, Paraga, 84600",https://www.linkedin.com/company/scorpios-mykonos,www.scorpios.com,"Never sitting still at the intersection of hospitality, gastronomy, architecture, design, music and visual art, Scorpios is a constellation of gathering places that brings cultural experimentation to sublime natural surroundings. Dreamed up in 2015 on a sun-drenched southern tip of Mykonos, the brand's flagship project soon became synonymous with the revival of the Greek island's left-field electronic music scene as a community organically blossomed, bringing mindfulness, visual art, fashion, and craft into the fold. Catching the attention of Soho House in 2019, Scorpios then set its sights further afield.  In 2024, Scorpios unveiled its new flagship location on a secluded peninsula along Turkey’s Bodrum Aegean coast, introducing its first accommodations and wellness offerings to deliver a round-the-clock experience. By nurturing the community, prioritising wellbeing in all its forms, encouraging creative collaboration, and framing nature's beauty, the Scorpios and Soho House partnership looks forward to opening projects in Athens and Dubai.",Greece,270.735629,,,
SantAnna,248586930.0,"Greece, Mykonos, 84600",https://www.linkedin.com/company/santanna-mykonos,www.santannamykonos.com,"SantAnna offers unpretentious luxury and sophisticated entertainment on the prominent island of Mykonos.  Located on Paranga Beach on the south of the island, protected from the Mykonian winds, boasts a Beach Club, 3 restaurants with revisited Mediterranean cuisine, sushi and a raw bar and one of the biggest seawater swimming pools in Europe, retail shops, a wellness center and many different lounge areas are also available for the constant indulgence of the visitors with a choice of exclusive services upon request.  SantAnna is the most diverse project of the Nice-n-Easy Restaurant Group which includes eight successful organic restaurants; Nice-n-Easy Mykonos at the island’s town and Nesaea with contemporary creative Greek island cuisine on Agia Anna Beach at Kalafatis, two Nice-n-Easy restaurants in Athens in Kolonaki and Kifissia & the Italian bistro & bar Frankie in Athens. In May 2018, the newest addition to the group, ""nice n easy"" Seaside, debuted in the Greek capital’s most iconic location, Astir Beach. ""Nice n easy"" group is also operating the “Exquisite Catering,” which is a leading catering service on Mykonos for private villas and hotels, offering its services across Greece.",Greece,248.58693,,,
Aldemar Resorts,216032197.0,"Greece, Attica, Athens, 262 Kifissias Ave., 14562",https://www.linkedin.com/company/aldemar-hotels-&-spa,www.aldemar-resorts.gr,"With over 35 years in the tourism industry, Aldemar Resorts, owned by the Angelopoulos family, delivers exceptional hospitality and unique guest experiences through a people-centered approach. Aldemar Olympian Village is a luxurious seafront grand resort in Ilia, near Ancient Olympia, offering premium facilities, high-end gastronomy, wellness at the Elements Spa, and state-of-the-art conference and events services at the Ilis Congress Center. Committed to quality, innovation, and sustainability, Aldemar Resorts creates memorable experiences while respecting the environment and supporting local communities.",Greece,216.032197,,,
Domes Resorts,201197368.0,"Greece, Central Macedonia, Thessaloníki, 10 Vas Olgas, 54640",https://www.linkedin.com/company/ledra-hotels-and-villas,www.domesresorts.com,"Cultures connected, Destinations celebrated. The leading lifestyle hospitality brand in Greece, and one of the fastest up-and-coming in Europe. We handpick destinations with a culture to share, and inspire by creating curated concepts, signature experiences, and meaningful, innovative brands. Crete – Ionian Islands – Chalkidiki – Cyclades – Athens - Portugal",Greece,201.197368,,,
Astir,160480170.0,"Greece, Attica, Athens, 8 Anagyrountos Av. Vari/",https://www.linkedin.com/company/astir-palace-vouliagmenis,www.astir.gr,"Located in the Athenian Riviera, one of the most coveted areas in Greece, the iconic Astir has long been favored by an elite clientele, as a landmark destination of international stature. Since the 1960s, this instant classic has been offering an exclusive environment of elegant, timeless luxury. In 2016, the company is acquired by Jermyn Street Real Estate Fund IV LP, an investment fund whose investors comprise two sovereign state funds from Abu Dhabi and Kuwait, other Arab investors and the Turkish Dogus Group.  Our redevelopment plan involves the Hotel's complete renovation, a significant upgrade of Astir Marina, the development of up to 13 private villa residences and the renovation of Astir Beach.  In 2017, Astir Palace Vouliagmeni S.A. and Four Seasons Hotels and Resorts, the world's leading luxury hospitality company, announced plans to bring the first Four Seasons hotel to Greece on the Astir peninsula. Following extensive upgrades to the existing hotels, the new hotel will debut as Four Seasons Astir Palace Hotel Athens. Now, Astir is setting a new benchmark for luxury hospitality in the country, best serving our vision to be a top luxury destination in the wider Mediterranean region that will harmoniously combine timeless elegance with modern luxury, providing a truly unique hospitality experience. In addition to the Hotel, Astir features high-end retail and dining options, including cosmopolitan Matsuhisa Athens by Nobu; Astir Beach, an alluring seaside concept that boasts 800 sunbeds and impeccable hosting services and Astir Marina, with mooring capacity of 103 vessels. Always a pioneer in concepts & services, the cornerstone of Astir’s success lies in our friendly, dedicated team’s unwavering commitment to integrity, innovation and quality in all facets of hospitality practices. Astir is an equal opportunity employer.",Greece,160.48017,,,
Club Hotel Casino Loutraki,135936144.0,"Greece, Peloponnese, Loutráki, Poseidonos, 203 00",https://www.linkedin.com/company/club-hotel-casino-loutraki,www.clubhotelloutraki.gr,Club Hotel Casino Loutraki was founded in 1995 and employs 1600 staff. It is the top casino in Greece and one of the largest and most successful casino resorts in Europe.,Greece,135.936144,,,
Myconian Collection Hotels & Resorts,132160140.0,Greece,https://www.linkedin.com/company/myconian-collection-hotels-&-resorts,www.myconiancollection.gr,"We are a family-owned group of fourteen leading luxury hotels on Mykonos, including four Relais & Châteaux, two Leading Hotels of the World, three Design Hotels, two Preferred Hotels & Resorts, a Small Luxury Hotels of the World and one The Set. The Myconian Collection lays claim to some of the island’s most beautiful settings, capturing the essence of the incomparable Myconian charm and beauty which attracts travellers from across the world. Founded in 1979 by George and Elefteria Daktylides, the hotels are run today by their four sons Panos, Markos, Vangelis and Marios. As a genuine Myconian family, we welcome guests with warmth and attentiveness and create the ultimate hospitality experience that comes straight from the heart. We offer discerning guests a choice of the most spectacular locations and spacious design interiors. Our gourmet restaurants, state-of-the-art Thalasso spa centres and superb terrace bars set the stage for unbeatable vacations, exceptional events and the most glamorous weddings in the Mediterranean. We are also internationally renowned for our supreme service standards born from family values and refined over decades at the forefront of the island’s hotelier elite. Yet while consistent excellence runs through our superb spas, gourmet restaurants, outstanding conference facilities and glamorous wedding venues, each one of our hotels retains its own distinctive personality, a diverse range of accommodations, entertainment options and rates.",Greece,132.16014,,,
