Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
THY MARCINELLE,117942160.0,"Belgium, Wallonia, Charleroi",https://www.linkedin.com/company/thy-marcinelle,www.thy-marcinelle.com,"Le groupe Riva est le premier opérateur sidérurgique italien au monde et l'un des principaux groupes européens du secteur de l'acier. Fondé en 1954 par Emilio Riva, pionnier de la sidérurgie dans l'Italie de l'après-guerre, le Groupe s'est historiquement spécialisé dans la production de produits ""longs"" avec des aciéries à arc électrique et, en plus de 60 ans d'activité, a réussi à atteindre un leadership reconnu au niveau international - en se développant dans les principaux pays européens - grâce à ses normes de production élevées et à une stratégie précise et constante de croissance et d'investissements. Dirigé depuis juin 2014 par Claudio Riva, le groupe dispose de capitaux entièrement privés et emploie plus de 5 300 personnes, avec une présence de plus en plus qualifiée de diplômés et de jeunes diplômés universitaires, opérant avec des sites de production situés dans les pays suivants : Italie, France, Allemagne, Belgique, Espagne et Canada.",Belgium,117.94216,,,
Belcar,65524090.0,"Belgium, Flanders, Aartselaar",https://www.linkedin.com/company/belcar,www.belcar.be,"Belcar Automotive Services est une entreprise spécialisée dans la location de véhicules, offrant des solutions flexibles et personnalisées pour les entreprises. Avec une flotte en pleine expansion de plus de 1 000 véhicules, Belcar propose des options de location à court et à long terme, ainsi que la possibilité de passer à des contrats de leasing, répondant ainsi aux besoins variés de ses clients. La mission de Belcar est de fournir un service rapide et efficace, avec une équipe dédiée prête à accompagner les entreprises dans leurs demandes spécifiques, qu'il s'agisse de véhicules pour des projets temporaires ou d'une expansion d'équipe. Les clients de Belcar incluent des entreprises de divers secteurs, qui bénéficient de véhicules récents, y compris des modèles hybrides et électriques, ainsi que d'une assistance routière et d'une assurance incluses. Grâce à son expérience de plus de 60 ans, Belcar s'engage à optimiser la mobilité de ses clients tout en garantissant un service de qualité.",Belgium,65.52409,,,
Renta,46416259.0,"Belgium, Flanders, Zaventem, 369 Leuvensesteenweg, 1932",https://www.linkedin.com/company/renta,www.renta.be,"Renta is the Belgian Vehicle Rental Association, representing 95% of long-term and short-term vehicle rental companies with a total fleet of more than 550,000 vehicles. Renta works with lawmakers, regulators, companies, the media and the public to promote the societal benefits of rental and company cars. Our mission towards our members is also to advise, inform, organise networking and training, and to guard the Renta code of conduct.  Renta is de Belgische Federatie van Voertuigen Verhuurders  en vertegenwoordigt zo’n 95% van de lange-termijn en korte-termijn verhuurbedrijven in België, met een gezamenlijke vloot van meer dan 550,000 wagens. Renta werkt nauw samen met wetgevers, toezichthouders, bedrijven, de media en de bevolking om de maatschappelijke voordelen van huur- en bedrijfswagens te promoten. Onze missie? Onze leden adviseren en informeren, networking, het organiseren van trainingen en de gedragscode van Renta bewaken.  Renta est la Fédération Belge des Loueurs de Véhicules. Elle représente 95% des sociétés de location à court terme et à long terme, avec une flotte totale de plus de 550.000 voitures. Renta travaille en collaboration avec le législateur, les instances de régulation, les entreprises, les médias et le public dans le but de promouvoir les bénéfices sociétaux des véhicules de location et voitures de société. Nous assurons aussi pour nos membres une mission de conseil, d’information, de networking et de formation et sommes garants du code de déontologie de Renta.",Belgium,46.416259,,,
Europcar Belgium,40952556.0,"Belgium, Flanders, Zaventem",https://www.linkedin.com/company/europcar-belgium,www.europcar.be,"Europcar Belgium is a leading car rental service that provides a diverse range of vehicles, including compact cars, luxury SUVs, vans, and trucks, catering to both business and leisure travelers. With a mission to offer exceptional mobility solutions, Europcar aims to enhance the travel experience by providing convenient rental options and top-notch customer service across its numerous locations in Belgium, including major airports and city centers. The company is committed to flexibility, offering rentals from hourly to long-term, and features competitive rates along with special deals for loyal customers. Europcar Belgium serves a wide array of clients, from individual travelers to corporate partners, ensuring that everyone can explore the beautiful landscapes and vibrant cities of Belgium with ease. With a focus on customer satisfaction and a seamless rental process, Europcar Belgium is dedicated to making every journey memorable.",Belgium,40.952556,,,
Uniglobe Robins Travel,32252530.0,"Belgium, Flanders, Kontich, 7 C Prins Boudewijnlaan, 2550",https://www.linkedin.com/company/uniglobe-robins-travel,robinstravel.uniglobe.be,"Since 1994, Robins Travel has grown to a well known professional travel agency in the Antwerp area with over 25 professional and motivated employees.  Our services are unlimited: flight tickets, hotel reservations, car rental, incentives, guided group travel, cruises, city trips and leisure travel. Robins Travel is a part of the Uniglobe Travel Group, an international travel organization which offers a personal and high standard service. Professionalism and loyalty to our clients are our main concern. Robins Travel has been specializing in business travel management. We engage ourselves to long term partnerships with our clients and try to find them the best travel solutions and savings.  The complete travel procedure from price offer to invoice is arranged by one person… your own personal travel assistant.  Our services are not limited to flight tickets alone. We take care of your train tickets, as well as your hotel and car rental reservations, local transfers and visa application. Thanks to our professional business consultants and the latest technologies, we are able to realize savings up to 20% of your travel expenses. Interested? Do not hesitate to contact us, our sales representatives are happy to tell you more about our high standard services and are able to show you how to cut down your travel expenses.  Robins Travel: your travel partner !",Belgium,32.25253,,,
Glazing Bus & Trucks,26076550.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/glazing-bt,www.glazing-bt.com,"Glazing Bus & Trucks est le leader français pour la réparation et la pose de pare-brise, vitres, glaces latérales et lunettes arrières bus et poids lourds. Glazing Bus & Trucks c'est la force d'un réseau national: Judicieusement réparties et implantées à proximité des principaux bassins routiers, les agences Glazing vous accompagnent partout ! Elles possèdent un stock permanent des produits les plus courants garantissant un service réactif ! Glazing Bus & Trucks  c'est des véhicules-ateliers qui assurent un service irréprochable même dans les lieux les plus isolés! Glazing Bus & Trucks s'engage à utiliser au quotidien des matériaux écologiques, des produits respectueux de l'environnement et des processus verts pour toutes ses activités de pose, de remplacement et de réparation! Glazing Bus & Trucks c'est aussi un contrat annuel incluant des visites régulières et préventives sur votre site .  Pour tout contact, composez le N° Central 0 820 820 310 et tapez le numéro de votre département!",Belgium,26.07655,,,
DS Store Mons,23858804.0,"Belgium, Wallonia, Mons",https://www.linkedin.com/company/ds-store-mons-by-svs-motors,omniacars-mons.be,"Le Salon 1955, l'entrée en scène de l’objet culte qui marquera la seconde moitié du XXème siècle   Le jeudi 6 octobre 1955, visiteurs, journalistes et concurrents découvrent avec stupeur et ravissement la voiture qui éclipse toutes les autres, tant ses lignes futuristes et ses technologies d’avant-garde révolutionnent le monde de l’automobile et du design. 12 000 DS 19 seront déjà vendues à la fin de la journée… À la fermeture du salon dix jours plus tard, quelque 80 000 commandes fermes auront été prises LA DS SÉDUIT LE MONDE ENTIER      Les regards se retournent sur son passage. Partout les admirateurs s’attroupent pour percer le secret du confort inégalé de la suspension hydropneumatique et la puissance extraordinaire du freinage à assistance hydraulique LA DS PRÉSIDENTIELLE, L'AMBASSADRICE, La voiture officielle de la France choisie par le général de Gaulle accueille avec fierté à son bord tous les grands de ce monde.  La DS règne sur le monde depuis vingt ans lorsque qu’elle tire sa révérence en juillet 1975 La SM présentée au Salon de Genève en 1970 est la GT à la française que le monde de l'automobile attendait. Ligne futuriste, qualité DS et moteur à six cylindres en V : elle incarne la quintessence de l’esprit DS. La création de la marque DS s’est imposée comme une évidence.        Officiellement créée le 1e juin 2014, DS devient une marque et affirme son ambition : incarner dans l’automobile le savoir-faire français du luxe.La marque automobile française DS s’appuie sur un héritage exceptionnel, celui de la DS 19 née il y a tout juste 60 ans. Cette voiture légendaire porte les valeurs d’innovation, d’excellence et d’avant-garde.            Héritière de la Citroën DS de 1955, les DS d’aujourd’hui marient style remarquable et technologie, confort et dynamisme, matériaux nobles et raffinement.",Belgium,23.858804,,,
DOCKX GROUP,22656024.0,"Belgium, Flanders, Antwerpen",https://www.linkedin.com/company/dockx-group,www.dockx-group.be,"Dockx Group is made up of a number of independent companies that offer high-quality total solutions to measure in the following areas: - DOCKX RENTAL -            Vehicle rental - DOCKX MOVERS -           National and international moves - DOCKX LOGISTICS -     Logistics, forwarding, customs, road transport, rail transport, sea cargo and air freight - DOCKX SELECT -               Last mile retail solution",Belgium,22.656024,,,
Luxauto Verhuring - Location,14938170.0,"Belgium, Flanders, Waregem, 109 Roterijstraat, 8790",https://www.linkedin.com/company/luxauto,www.luxauto.be,"Luxauto is a rental company which offers short term car rental of passenger cars, vans and trucks generating more than 25 million euro turnover through 17 offices, thereby offering a unique national coverage among local players.  Luxauto stands for flexible rental solutions from 1 hour up to 2 years. When you think off a replacement car, courtesy car, an appropriate response for your pool or cafeteria plan, we can be of service. We provide recent vehicles from our fleet supplied by Mercedes and the PSA Group.  What are you looking for in your quest when rental or leasing is needed? Luxauto provides a customized rental solution according to your needs. -   extensive network of 17 agencies all over Belgium -   wide range of recent vehicles -   various flexible delivery and pick-up options -   drop off possible on location other than departure -   management information tailored to your company NEW FROM 2017   ->SMARTRENT<- -   Full lease ( insurance, maintenance, taxes, ...) -   2 years contract with the possibility to cancel after 1 year without penalty. -   Market-based rates -   Delivery off a new vehicle without advertising",Belgium,14.93817,,,
Brother International NV/SA,13216014.0,"Belgium, Groot-bijgaarden, 8 't Hofveld, 1702",https://www.linkedin.com/company/brother-international-belgium,www.brother.be,"Brother International (Belgium) maakt deel uit van de Brother Global Group en is sedert 1971 actief in België en Groot-Hertogdom-Luxemburg. Het Belgische filiaal staat in voor verkoop, marketing, distributie en dienst-na-verkoop met helpdesk en hersteldienst. Brother biedt een assortiment van (all-in-one) printers, mobiele en labelprinters, scanners voor professioneel en thuisgebruik, alsook originele verbruiksproducten en accessoires. De meeste toestellen beantwoorden aan de moderne mobiele en webtoepassingen. Netwerkprinters of scanners kunnen door meerdere personen gedeeld worden. Voor ondernemingen voorziet Brother ook oplossingen, zoals kostenbesparende beheeroplossingen, informatiebeveiliging en software om af te drukken vanuit een eigen applicatie naar Brother-printers. Dankzij het recyclageprogramma van Brother kunnen klanten lege toners, drums en inktpatronen gratis terugsturen voor recyclage of herfabricage -- Brother International (Belgium) fait partie du Brother Global Group. Depuis 1971, la filiale belge est active sur le marché belge/luxembourgeois, responsable de la vente, du marketing, de la distribution et du service-après-vente avec ses propres helpdesk et atelier de réparation. Brother offre une gamme d’imprimantes (tout-en-un), d’imprimantes mobiles, d’étiqueteuses et de scanners pour usage professionnel et domestique, ainsi que des consommables et accessoires originaux. La plupart des appareils répondent aux applications web et mobiles modernes. Les imprimantes et scanners réseau peuvent être partagés par plusieurs personnes. Pour les sociétés, Brother offre des solutions de gestion rentables et de sécurité de l’information, et des logiciels pour imprimer à partir de leurs propres applications vers des imprimantes Brother. Grâce au programme de recyclage gratuit permet aux clients de renvoyer les toners, tambours, cartouches d’encre vides pour recyclage ou refabricage.",Belgium,13.216014,,,
