Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Deutsche Bahn,50086120000.0,"Germany, Berlin, Berlin",https://www.linkedin.com/company/deutschebahn,www.deutschebahn.com,"Welcome! Deutsche Bahn is an international provider of mobility and logistics services and active in over 130 countries. We design and operate the transport networks of the future. With the integrated operation of transport and infrastructure and the intelligent linking of all modes of transport, we move people and goods – on the rails and roads, by sea and by air. With some 300,000 employees, of which roughly 200,000 are based in Germany, we are one of Germany’s largest and most diverse employers. Each year we seek to fill jobs in more than 500 different occupations with up to 8,000 enthusiastic new employees, who help us to connect people and markets. Together we want to change mobility. Do you want to be on board? Welcome!  Learn more:  Information about Deutsche Bahn: www.deutschebahn.com  Careers at Deutsche Bahn: www.deutschebahn.com/karriere Impressum & Legal notice: http://www.deutschebahn.com/impressum-datenschutz",Germany,50086.12,,,
Noerpel-Gruppe,750000000.0,"Germany, Baden-württemberg, Ulm, 22 Ernst-abbe-straße, 89079",https://www.linkedin.com/company/noerpelgruppe,www.noerpel.de,"Noerpel bringt´s – und das seit über 140 Jahren. Bis heute ist unser Unternehmen inhabergeführt und wir sind stolz darauf, dass in der Noerpel-Gruppe Innovation und Wachstum mit Tradition Hand in Hand gehen. Vertrauen und Verantwortungsbewusstsein gegenüber Kunden und Mitarbeitern sind die Basis unseres Unternehmenserfolgs.  Rund 3.700 Mitarbeiterinnen und Mitarbeiter begeistern unsere Kunden täglich mit umfassendem Know-how und Leidenschaft für das, was sie tun und erwirtschafteten dabei einen Umsatz von rund 710 Mio. €. Karriere bei der Noerpel-Gruppe Sie denken unternehmerisch, handeln selbstständig und sind lösungsorientiert? Sie haben Ideen und sind bereit neue Wege zu gehen? Sie arbeiten mit Leidenschaft an Ihren Aufgaben und übertreffen gerne die Anforderungen? Wir freuen uns darauf, Sie kennenzulernen. Transport - Noerpel bringt's Ihr Herz schlägt für Dynamik und Bewegung? Sie sind ein Macher und packen proaktiv an? Sie denken grenzenlos und brennen für spannende Aufgaben in einem dynamischen Umfeld? Dann bringen Sie mit uns 5,3 Millionen Sendungen im Jahr auf die Straße, die Schiene, die See oder in die Luft und bewerben sich bei uns. Logistik – Noerpel kann’s Sie wissen grundsätzlich immer wo Ihr Schlüssel ist, Sie nutzen Stauräume optimal und haben immer den Überblick? Sie mögen Struktur und leben Logistikprozesse im Alltag? Erleben Sie Logistik in einem professionellen Unternehmen und bewerben Sie sich bei Noerpel. Personaldienstleistungen – Noerpel schafft’s Wir vermitteln täglich Helden des Alltags: fleißige Hände, hochqualifizierte Kräfte, lösungsorientierte Macher und Experten ihres Faches. Sind Sie eine/r dieser Heldinnen und Helden? Dann kontaktieren Sie uns oder unterstützen Sie als Profi bei der Vermittlung von Fachkräften.",Germany,750.0,,,
Chemion Logistik GmbH,513529000.0,"Germany, North Rhine-westphalia, Leverkusen",https://www.linkedin.com/company/chemion-logistik-gmbh,www.chemion.de,"Chemion Logistik GmbH, based in CHEMPARK Leverkusen, specializes in providing efficient logistics solutions, particularly in the transportation and handling of goods via rail and road. The company is committed to streamlining logistics processes through innovative technologies, such as its GATE system, which offers automated truck processing for quick and hassle-free entry into the CHEMPARK. Chemion's mission is to enhance operational efficiency for its clients by minimizing wait times and simplifying the logistics experience, thereby reducing stress for drivers and operators alike. The company serves a diverse clientele, including businesses in the chemical and manufacturing sectors, and collaborates with various partners to ensure comprehensive logistics services. With a focus on safety and compliance, Chemion is dedicated to maintaining high standards in the handling of goods, including hazardous materials, while fostering a user-friendly environment for all stakeholders involved.",Germany,513.529,,,
Abellio Rail Mitteldeutschland,444611270.0,"Germany, Berlin, Berlin, 51 Magdeburger Straße, 06112",https://www.linkedin.com/company/abelliomitteldeutschland,www.abellio.de,"Die Abellio Rail Mitteldeutschland GmbH ist ein Eisenbahnverkehrsunternehmen mit Sitz in Halle (Saale) und „DIE Eisenbahn in der Region“. Das zu Abellio Deutschland gehörende Unternehmen betreibt seit Dezember 2015 das Saale-Thüringen-Südharz-Netz (STS). 640 Mitarbeiterinnen und Mitarbeiter sorgen auf insgesamt 12 Linien, die u.a. von Halle bis nach Saalfeld und Kassel-Wilhelmshöhe sowie von Leipzig bis Erfurt und Eisenach führen, für sichere, verlässliche und komfortable Mobilität der Reisenden. Auf dem 1.096 km langen Liniennetz erbringt Abellio ein jährliches Leistungsvolumen von 10,4 Mio. Zugkilometern. Es kommen 38 moderne Triebfahrzeuge zum Einsatz. Eigentümer von Abellio ist die BeNEX GmbH, eines der führenden Beteiligungsunternehmen für den Bahnverkehr der Zukunft. Neben Abellio hält der BeNEX-Konzern Beteiligungen an sechs regionalen Bahnunternehmen in Deutschland (WestfalenBahn, agilis, cantus, nordbahn, metronom und ODEG) sowie an der BeNEX Akademie.",Germany,444.61127,,,
TX Logistik AG,340186700.0,"Germany, North Rhine-westphalia, Troisdorf",https://www.linkedin.com/company/tx-logistik-ag,www.txlogistik.de,"TX Logistik AG is a private railway logistics company founded in 1999, specializing in intermodal rail freight services across eleven European countries. As a subsidiary of Mercitalia Logistics, part of the Ferrovie dello Stato Italiane group, TX Logistik is committed to providing efficient and tailored rail solutions for both continental and maritime transport. The company operates a robust network, recently expanding its services between Lübeck and Italy, with a focus on transporting trailers, containers, and tank containers. With a workforce of 650 employees and a significant operational capacity, TX Logistik aims to meet the growing demand for intermodal transport solutions, ensuring timely and reliable service for its clients, including major logistics partners like Spedition Bode. The company's mission is to enhance connectivity and sustainability in freight transport, leveraging modern locomotives and a dedicated team of professionals to deliver high-quality logistics services.",Germany,340.1867,,,
Albtal-Verkehrs-Gesellschaft MbH,284571750.0,"Germany, Baden-württemberg, Karlsruhe",https://www.linkedin.com/company/albtal-verkehrs-gesellschaft-mbh,www.avg.info,"Albtal-Verkehrs-Gesellschaft MbH (AVG) is a leading transportation company based in Karlsruhe, Germany, that specializes in the operation of public transport services, including trams and trains. Established in 1957, AVG has been instrumental in the development of the ""Karlsruhe Model,"" which effectively integrates urban tram networks with regional rail services, significantly enhancing connectivity for commuters and travelers. The company's mission is centered on providing efficient, sustainable, and customer-oriented transport solutions, while also fostering a positive learning environment for its employees through diverse training and apprenticeship programs. AVG serves a diverse clientele, including daily commuters, students, and tourists, and collaborates with various partners within the Karlsruhe Transport Association (KVV) to ensure seamless mobility across the region. The company is dedicated to environmental responsibility and community engagement, aiming to contribute to the sustainable development of public transport in the area. AVG operates modern dual-system city trains and regional transport services, focusing on enhancing mobility by providing reliable public transportation solutions that connect urban and rural areas. In addition to its core services, AVG actively engages in community initiatives, such as training programs for refugees to become train drivers, reflecting its commitment to social responsibility and workforce development. By fostering partnerships with local authorities and suppliers, AVG continuously seeks to improve service quality and operational efficiency. With a strong emphasis on promoting sustainable transport options, AVG is well-positioned to meet the evolving needs of the Karlsruhe area and its residents.",Germany,284.57175,,,
NordWestBahn GmbH,235538000.0,"Germany, North Rhine-westphalia, Paderborn",https://www.linkedin.com/company/nordwestbahn,www.nordwestbahn.de,"NordWestBahn GmbH is a regional railway company operating in Germany, primarily focused on providing reliable and efficient train services across various routes in the Weser-Ems region. The company aims to enhance public transportation accessibility and promote sustainable travel options, aligning with its mission to connect communities and support local economies. NordWestBahn serves a diverse clientele, including daily commuters, tourists, and families, while partnering with local municipalities and transportation authorities to ensure seamless travel experiences. With a commitment to customer satisfaction and environmental responsibility, NordWestBahn is dedicated to improving the quality of rail transport in its target market, fostering a more connected and eco-friendly future.",Germany,235.538,,,
Üstra Hannoversche Verkehrsbetriebe ag,193182830.0,"Germany, Lower Saxony, Hannover",https://www.linkedin.com/company/-stra-hannoversche-verkehrsbetriebe-ag,www.uestra.de,"ÜSTRA Hannoversche Verkehrsbetriebe Aktiengesellschaft (ÜSTRA) is a leading public transportation company based in Hannover, Germany, specializing in the operation of city buses and light rail services within the Hannover metropolitan area. With a workforce of 2,328 employees, including 1,644 commercial workers, ÜSTRA is dedicated to providing reliable, efficient, and environmentally friendly transport solutions to its customers. The company serves over 470,000 passengers daily, making it a vital component of the public transport network in the Hannover region. ÜSTRA's mission is to enhance urban mobility while promoting sustainability and innovation in public transport, ensuring safety and comfort for all passengers. The company collaborates closely with regional authorities and partners, including the Greater Hannover Transport Association (GVH), to develop integrated transport services that meet the needs of local commuters, students, tourists, and residents. ÜSTRA is committed to sustainability, as evidenced by its ongoing transition to electric buses and the introduction of affordable ticket options like the nationwide Deutschlandticket. The company's vision focuses on fostering a modern and accessible public transport network that adapts to the evolving mobility needs of the community. Despite facing financial challenges, ÜSTRA continues to innovate and improve its services, with plans to form a joint operation with regiobus starting January 1, 2025, aimed at streamlining services and enhancing connectivity for passengers. The company's dedication to customer satisfaction is reflected in its repeated recognition for high service quality. Through strategic initiatives and ongoing investments in infrastructure and technology, ÜSTRA strives to contribute to a greener and more accessible urban environment, positioning itself as a leader in the public transport sector.",Germany,193.18283,,,
ODEG - Ostdeutsche Eisenbahn GmbH,180877468.0,"Germany, Mecklenburg-vorpommern, Parchim",https://www.linkedin.com/company/odeg-ostdeutsche-eisenbahn-gmbh-verkehrsunternehmen,odeg.de,"ODEG - Ostdeutsche Eisenbahn GmbH is a prominent regional railway company operating primarily in northeastern Germany, specifically in the states of Berlin, Brandenburg, and Mecklenburg-Vorpommern. The company specializes in providing both passenger and freight services, with a strong commitment to enhancing mobility and accessibility for all. ODEG's mission revolves around delivering reliable and comfortable transportation options, catering to a diverse clientele that includes daily commuters, tourists, and local residents. The company actively engages in community initiatives, offering special programs aimed at older adults and career changers, thereby fostering inclusivity in public transport. In collaboration with local authorities and partners, such as the Verkehrsgesellschaft Mecklenburg-Vorpommern (VMV), ODEG continuously seeks to expand its services and improve the overall travel experience for its clients. The company places a high priority on environmental sustainability, exemplified by projects like the eco-friendly Bitterfeld station, which incorporates a photovoltaic system and green roofing. ODEG serves approximately 27.7 million passengers annually, connecting urban and rural areas through efficient and sustainable public transportation solutions. The company is dedicated to social responsibility, as demonstrated by its training programs for future train drivers and service staff, ensuring a skilled workforce to meet the growing demands of the regional transport network. ODEG fosters a family-like work environment, welcoming new talent and encouraging employee participation in shaping the future of mobility. With a focus on customer satisfaction and community engagement, ODEG aims to be a key player in the ongoing transformation of public transportation in the region, emphasizing compliance with ethical standards and environmental responsibility in all its operations.",Germany,180.877468,,,
Eurobahn GmbH & Co. KG,179202677.0,"Germany, North Rhine-westphalia, Düsseldorf, 65b Immermannstraße, 40210",https://www.linkedin.com/company/eurobahn,www.eurobahn.de,"Seit 1999 betreiben wir unter dem Markennamen „eurobahn“ modernen öffentlichen Schienenpersonennahverkehr (SPNV). Seit dem 01. Januar 2022 lautet unser Unternehmensname analog unserem Markennamen, die eurobahn GmbH & Co.KG. Wir verantworten insgesamt vier Verkehrsnetze in Nordrhein Westfalen, Niedersachsen und grenzüberschreitend in die Niederlande. Das gesamte Streckennetz umfasst rund 16,7 Millionen Zug-Kilometer. Seit Dezember 2016 bedienen wir zudem die innerdeutsche Strecke des Thalys zwischen Köln, Aachen und Dortmund. Um den internationalen Hochgeschwindigkeitszug mit bis zu 320 Stundenkilometern steuern zu dürfen, werden unsere Triebfahrzeugführer*innen zusätzlich hochqualifiziert weitergebildet.  Mit rund 900 Mitarbeitern (Stand: Januar 2023) – davon knapp 2/3 im Bordbereich tätig– befördern wir täglich rund 100.000 Reisende im Regionalverkehr.",Germany,179.202677,,,
