Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Tickets Travel Network,119040000.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/tickets-travel-network,www.ticketstravelnetwork.com,"Tickets Travel Network (TTN) is а dynamically growing travel holding which manages a portfolio of brands like Tickets, Kissandfly, Mytickets, and Travelfrom in more than 30 international markets. The holding provides a wide range of travel services such as flight tickets, railway and bus tickets, hotel accommodation, car rental, insurance and other travel services.  Over 35 million travellers a year search and find the best travel offers on our websites. To comply with the highest standards of client service, own research and development we implement progressive technologies and generate innovation solution in travel experience which allows users to find desirable offer to any destination.  More than 700 people in our offices in different countries with passion and pride work on providing smart and easy ways to travel and focus on delighting our customers and partners. We target our main mission as to make opportunity to travel more accessible for everyone.  To read more about who we are visit https://ticketstravelnetwork.com/about_us",Austria,119.04,,,
Europcar Österreich ARAC GmbH Porsche Holding,25602974.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/europcaraustria,www.europcar.at,"Europcar Österreich: Der Schlüssel zur Mobilität.  Mit aktuell 2.200 Fahrzeugen an 16 Standorten ist Europcar derzeit das führende Autovermieter-Unternehmen in Österreich. Und damit das auch so bleibt, arbeiten wir ständig an der Weiterentwicklung alternativer Mobilitätskonzepte.  Mobilität ist ein komplexes Thema und von unterschiedlichen Faktoren abhängig. Diese Faktoren haben internationale Experten erforscht und Kriterien zur Prüfung und Optimierung der Mobilitätskette geschaffen. Wir haben uns diese Komplexität als Herausforderung genommen, um mit unseren Kooperationspartnern aktiv nachhaltige Lösungen und Konzepte zur Meisterung dieser zu entwickeln.  Das Wissen um die Bedürfnisse von Privat- als auch von Business-KundInnen, sowie das Engagement für eine lebenswerte Umwelt, macht Europcar Österreich zu einem besonders kompetenten Partner für die Zukunft. Hier ein kurzer Überblick unserer Milestones in puncto alternativer Mobilitätskonzepte und deren Anwendungsbeispiele: 2008 – und bis heute besteht die Partnerschaft mit klima:aktiv  2010 – Start eines Europcar e-Mobility Pilotprojektes 2011 – Europcar ist die erste Mietwagengesellschaft in Österreich, die e-Fahrzeuge in der Flotte präsentiert 2012 – Realisierung des e-Mobilitätsprojektes „e-Car-Sharing für Pendler“ (in Kooperation mit Energieregion Weiz-Gleisdorf und gfa Consulting GmbH) 2013-2015 – und bis heute wurde der Fuhrpark laufend mit e-betriebenen Fahrzeugen erweitert 2015-2016 – Ein großer Schritt in Sachen Digitalisierung. Europcar bietet Unternehmen, Gemeinden und Bauträgern eine Carsharing-Lösung für Communities 2016 – Start des einjährigen Pilotprojektes ECARREGIO für E-Carsharing in Gemeinden NÖ´s 2017 – Es folgen weitere Digitalisierungsmaßnahmen; sharetoo by Porsche Bank wird internationalisiert 2018 – Mit dem Produkt Fleet on Demand bietet das Flottenmanagement ab sofort Europcar den KundInnen der Muttergesellschaft Porsche Bank kurzfristige Mobilität",Austria,25.602974,,,
Guttomat - DSA Door Systems GmbH,7700667.0,"Austria, Burgenland, Güssing, 58 Wiener Straße, 7540",https://www.linkedin.com/company/guttomat-sektionaltore-gmbh,www.guttomat.at,"Seit über 30 Jahren produzieren wir einzigartige Garagen- und Industrietore höchster Qualität und am neusten Stand der Technik. Dabei legen wir größten Wert auf beste Funktionalität und hochwertige Materialien. Wir wissen, dass unsere Kund:innen das Besondere lieben, und unsere Leidenschaft, gerade diese Tore zu bauen. Den Massenmarkt überlassen wir gerne den anderen. Wir setzen lieber die Standards in unserer Branche. In der Technik, bei Design und Qualität. Das Ergebnis ist immer ein individuelles Garagentor mit höchstem Komfort und überdurchschnittlich hoher Lebensdauer. Mit Europas größter Vielfalt an einzigartigen Garagentoren. Das Ergebnis ist immer ein individuelles Garagentor mit höchstem Komfort und überdurchschnittlich hoher Lebensdauer. Erhältlich in Österreich – Deutschland – Frankreich – Ungarn – Slowenien – Niederlande – England – Luxemburg – Belgien – Schweiz – Italien",Austria,7.700667,,,
It Fits Transport GmbH,6699165.0,"Austria, Tyrol, Ebbs",https://www.linkedin.com/company/it-fits-transport-gmbh,it-fits-trans.com,"WE CAR(E)RY YOUR GOODS! Unser Motto sagt eigentlich schon alles! Wir transportieren Ihre Güter nicht nur sondern kümmern uns darum, dass diese auch pünktlich und schadenfrei an Ihrem Bestimmungsort ankommen. Dabei zählt Handschlagqualität, Erfahrung als auch Transparenz so dass ein für alle Seiten passendes Paket geschnürt werden kann: it fits! Egal ob Sie Waren von England nach Italien oder von Italien nach Deutschland transportieren wollen, wir finden die passenden Transportlösungen. Lassen Sie uns, die it fits Transport GmbH, Ihr Transportpartner sein und wir werden Sie mit unserem Transport Service überzeugen.",Austria,6.699165,,,
HENDI Food Service Equipment GmbH,6293340.0,"Austria, Salzburg, Salzburg",https://www.linkedin.com/company/hendi-austria,www.hendi.at,"HENDI Austria ist DER Anbieter und Hersteller von Non-Food-Produkten für den Gastronomie- und Großküchenbedarf. Unser Sortiment reicht von Catering- über Buffet- und Tabletop-Produkten, bis hinzu Küchenhelfern und Kleingeräten in Elektro- und Gasausführung. Ausgehend vom Stammsitz in Lamprechtshausen/Österreich bedienen wir nunmehr seit 20 Jahren die Märkte in Bosnien & Herzegowina, Bulgarien, Italien, Kosovo, Kroatien, Malta, Montenegro, Schweiz, Serbien, Slowakei, Slowenien, Tschechien, Ungarn, Zypern und Österreich. Unsere Kernaktivitäten sind die Entwicklung und Produktion, sowie der Verkauf und Vertrieb einer breiten Palette von Gastronomieprodukten. Dabei legen wir besonderen Wert auf kontinuierliche Innovation und stehen für: •    ein breites Sortiment an Produkten •    Qualität zu erschwinglichen Preisen •    kundenorientierter Service •    direkte Lieferung ab Lager •    Entwicklung und Herstellung von OEM-Produkten HENDI Austria - Ihr zuverlässiger Partner in Sachen Gastronomie !!",Austria,6.29334,,,
Autonoma,5196656.0,"Austria, Upper Austria, Linz, 6 Rudolfstraße, 4040",https://www.linkedin.com/company/autonoma-iot,autonoma.cloud,"Raise the value of your machines through your digital customer platform and smart services. Autonoma helps industrial machinery- and plant building manufacturers to fully digitalize their service portfolio. With our white labelled platform, they can sell their customers a branded interface with their design to deepen their customer relationship and engagement. Customers can simulate data of machines and digital services first, to test them with customers directly. Once they create a benefit, they can invest into connecting their machines to collect and visualize all data easily, and build smart services on top of them, such as the predictive maintenance and a digital representation of their machines. As a result, customers can generate service revenues with new and retrofitted machines within weeks.",Austria,5.196656,,,
SPRINGER Kommunal- Und Umwelttechnik GmbH,4428049.0,"Austria, Carinthia, Rangersdorf, 107 Lainach, 9833",https://www.linkedin.com/company/springer-kommunal-und-umwelttechnik,www.springer-kommunal.at,"Die SPRINGER Kommunal- und Umwelttechnik GmbH entwickelt seit über 50 Jahren innovative Produkte im Bereich der Kommunal- und Umwelttechnik. Das am Fuße des Großglockners im Kärntner Mölltal ansässige Familienunternehmen ist einer der führenden Anbieter und Österreichs größter Hersteller von Pflügen, Streu- und Anbaugeräten für den kommunalen Winterdienst im Alpenraum. Mehr als 10.000 Pflüge- und Streulösungen von SPRINGER sorgen in Österreich, Italien, Deutschland, Frankreich und der Schweiz für zufriedene Kunden und sichere Straßen. Die SPRINGER Kommunal- und Umwelttechnik GmbH ist Teil der international agierenden SPRINGER Gruppe.",Austria,4.428049,,,
A.P. Andere Perspektive,3958605.0,"Austria, Vienna, Vienna, 29/6 Absberggasse, 1100",https://www.linkedin.com/company/andere-perspektive,www.andere-perspektive.com,"Premium Büroplanung aus Wien. Professionelle Beratung, Büroplanung und Büroeinrichtung – alles aus einer Hand. Seit über 30 Jahren setzen wir einzigartige Bürokonzepte um. Was uns auszeichnet? Ein ganzheitlicher Ansatz – von der Beratung bis zum fertigen Büro. Wir entwickeln Ideen, übersetzen sie in ein maßgeschneidertes Konzept, wählen die passenden Materialien und Produkte und bringen alles durch 3D-Visualisierungen zum Leben. Dank eines Netzwerks von rund 100 Lieferanten, die von Skandinavien bis Italien reichen, können wir vielfältige Lösungen in unterschiedlichen Preiskategorien anbieten.",Austria,3.958605,,,
Sentup GmbH,3776004.0,"Austria, Vienna, Vienna, 30 Hohlweggasse, gl2h",https://www.linkedin.com/company/sentup-at,www.sentup.at,"Gestartet vor 10 Jahren als Kleinunternehmer mit nur einem Mitarbeiter entwickelten wir uns zu einem der führenden Anbieter von Home Delivery- und Montagediensleistungen in Österreich. Mit über 70 Transport- & Montageteams stehen wir Ihnen auch in Deutschland, Schweiz, Italien und Slowenien zur Verfügung. Derzeit erweitern wir unser Portfolio mit der kompletten Palette an Speditionsleistungen und eröffnen dafür 2 weitere Standorte in Österreich. Die Eröffnung unserer neuen Büros in der Steiermark und in Kärnten erfolgt im Oktober.",Austria,3.776004,,,
Drautrans Speditions- Und Transport GmbH,3661477.0,"Austria, Carinthia, Fürnitz",https://www.linkedin.com/company/drautrans-speditions-und-transport-gmbh,www.drautrans.co.at,"Logistikspezialist, größtes Containerterminal im Süden Österreichs. Lager. Zoll. Verkehrsgebiete: Italien, Österreich, Balkan, Osteuropa, Kaukasus, Iran, Irak",Austria,3.661477,,,
Kuratorium Pfahlbauten,3571477.0,"Austria, Vienna, Vienna, 7 Burgring, 1010",https://www.linkedin.com/company/kuratorium-pfahlbauten,palafittes.at,"Das Kuratorium Pfahlbauten ist die Trägerorganisation des Österreichischen Anteils des UNESCO-Welterbes Prähistorische Pfahlbauten um die Alpen.  Pfahlbauten sind Überreste prähistorischer Siedlungen an Seen, die heute größtenteils unter Wasser liegen. Aufgrund dieser Lage bieten diese archäologischen Stätten hervorragende und außergewöhnliche Erhaltungsbedingungen für organische Materialien.  Unsere Hauptaufgabenbereiche umfassen denkmalpflegerische Aspekte in Zusammenarbeit mit dem österreichischen Bundesdenkmalamt, die Vermittlung und Beteiligung der Bevölkerung am Welterbe sowie die Erforschung der Pfahlbauten und anderer Kulturgüter unter Wasser.  Im Kuratorium Pfahlbauten sorgen Vertreter:innen des zuständigen Bundesministeriums (derzeit Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport), der Länder Oberösterreich und Kärnten sowie der Wissenschaft für die Strategieentwicklung und Zielkontrolle des Managements des UNESCO-Welterbes. Ebenso ist das Kuratorium Pfahlbauten nationaler Ansprechpartner im Rahmen des internationalen Koordinationsgremiums des gemeinsamen Welterbes mit Deutschland, Frankreich, Italien, Slowenien und der Schweiz.",Austria,3.571477,,,
Executive Cruises PSR For Royal Caribbean Germany/Austria/Switzerland,3241476.0,Austria,https://www.linkedin.com/company/executivecruisesdach,www.royalcaribbeankreuzfahrten.com,"Executive Cruises ist der internationale Repräsentant in Malta und Italien für Royal Caribbean International und seit Ende 2022 präferierter Vertriebspartner in Deutschland, Österreich und der Schweiz.",Austria,3.241476,,,
ÖBM - Österreichischer Bundesverband Für Mediation,3144255.0,"Austria, Vienna, Vienna, 36/3 Lerchenfelder Staße, 1080",https://www.linkedin.com/company/öbm-österreichischer-bundesverband-für-mediation,www.oebm.at,"Größter Mediationsverband in Europa Der Österreichische Bundesverband für Mediation (ÖBM) ist der größte Mediationsverband in Europa und wurde 1995 gegründet. Das Bundesministerium für Justiz sowie das Bundesministerium für Frauen, Familie, Jugend und Integration sind wichtige Kooperationspartner des ÖBM. Bundesweite Tätigkeit Der ÖBM ist der einzige österreichische Mediationsverband, der bundesweit organisiert ist und dem auch Mediator*innen verschiedenster Grundberufe und Spezialisierungen angehören. Neben dem Vorstand besteht in jedem Bundesland eine eigene Landesgruppe. Die Haupttätigkeit im ÖBM-Team erfolgt ehrenamtlich. Internationale Ausrichtung Der ÖBM hat rund 2000 Mitglieder in Österreich, Deutschland, Liechtenstein, Italien und der Schweiz. Mit eigenen Gruppen im Ausland ist der ÖBM weit über die Grenzen Österreichs tätig. Der ÖBM steht im ständigen Austausch mit anderen Mediationsverbänden im deutschsprachigen Raum und hat mit der Wiener Erklärung den internationalen Tag der Mediation ins Leben gerufen, der jährlich am 18. Juni stattfindet. Zielsetzung Mit seinem Slogan ""Mediation löst Konflikte"" spricht der ÖBM eine breite Öffentlichkeit an. Der ÖBM unterstützt seine Mitglieder mit gezielten Maßnahmen, um ihre Marktpositionierung zu stärken. Des Weiteren soll Mediation noch weiter in der Gesellschaft integriert und als wesentlicher Bestandteil der österreichischen Konfliktkultur verankert werden. Mitgliederservice Der ÖBM gilt mit seinem umfangreichen Serviceangebot (zahlreiche kostenlose Fortbildungen, stark vergünstigte Berufshaftpflichtversicherung mit kostenloser Erweiterung, kostenloser Eintrag in das Mediator*innen-Verzeichnis, kostenloser Mitgliederbereich auf der Website, kostenlose Newsletter, kostenlose Fachzeitschrift) als erste Anlaufstelle für Mediation in Österreich.",Austria,3.144255,,,
CARL Autovermietung GmbH,3101639.0,"Austria, Vienna, Vienna, 66 Brünner Straße, 1210",https://www.linkedin.com/company/carl-autovermietung-gmbh,www.rentacarl.at,Mietwagen - Rent A Carl - DAS Auto zum monatlichen Fixpreis! Mobilität war noch nie so einfach. Alles Inklusive. Außer Treibstoff. #Autovermietung #Mietauto #B2BCars #MietautoWien #Mietfahrzeug #Mietwagen #Ford #Nissan #Volvo #Fiat,Austria,3.101639,,,
GHMedia GmbH,3101639.0,"Austria, Lower Austria, Scheiblingkirchen, 287 Altenheimstraße, 2831",https://www.linkedin.com/company/ghmedia,www.ghmedia.at,"Seit 1989 beschäftigen wir uns mit Satelliten- und Multimediatechnik. Bald darauf erfolgte die zusätzliche Spezialisierung auf die Installation von Satelliten- und Mediensteuerungstechnik für Wettbüros. Bereits 2015 installierten wir unsere Technik in mehr als 200 Wettbüros in den Ländern Österreich, Deutschland, Rumänien, Bulgarien, Dänemark, Spanien und Italien. GHMedia GmbH installiert und repariert für Privatkunden, so wie für Firmenkunden Satelliten- und Multimediaanlagen von klein bis groß.",Austria,3.101639,,,
Color Drack GmbH & Co KG,3101639.0,"Austria, Salzburg, Schwarzach, 8 Baderstraße, 5620",https://www.linkedin.com/company/color-drack-gmbh-&-co-kg,www.colordrack.at,"COLOR DRACK, eines der größten Fotolabors in Österreich, ist bereits seit über 50 Jahren in Familienbesitz. Rund 50 routinierte Mitarbeiter unter der Führung des Inhabers Gerhard Schiechl, MAS (Geschäftsführer) sowie Mag. Alois Stöckl (Prokurist) decken das ganze Spektrum der analogen und digitalen Fotografie ab. Unsere Leistungen Wir beliefern täglich rund 1.000 Geschäfte, davon 400 Geschäfte mit einem Ab- und Zustellservice in ganz Österreich. Durch die günstige Lage und ein hervorragendes Abholdienst-Netz können wir unsere Kunden österreichweit mit einem verlässlichen Lieferservice bedienen.  Weiters exportieren wir auch in verschiedene Länder, wie Schweiz, Frankreich, Deutschland, und Italien. Mit unserem Digitalonline-Bestellservice können wir bei Online-Aufträgen eine Lieferzeit von einem Labortag anbieten. Alle Einformataufträge in der Standard-Oberfläche Glanz (9 x 13 und 13 x 18), die bis 10 Uhr am Vormittag bei uns eintreffen, werden an diesem Tag noch ausgeliefert. 10 x 15 Aufträge, welche bis 12 Uhr bei uns eintreffen, werden ebenso noch am selben Tag produziert und ausgeliefert. Wir haben eine Produktionsleistung von über 10.000 Aufträgen bzw. fast ½  Million Bilder pro Tag. Zu unseren Kunden gehören der Foto-Fachhandel, Technical Superstores, Supermärkte, Großmärkte, Drogerie-Ketten, Filialisten und Studios. Seit über 20 Jahren - bisher lediglich für den Fotohandel - ist der Großhandel mit Fotoartikel und –Zubehör an unser Labor angegliedert. Verlässliche Lieferungen, wie auch die Unterstützung unterschiedlicher Aktionen und Aktivitäten gehören dabei zu unseren Vorzügen. Als Distributionspartner von Kodak, Olympus, Canon, Sony und Nikon liefern wir über unser Lager alle diesbezüglichen Produkte wie Fotoartikel, Filme, Kameras, Drucker und vieles mehr, an die Großabnehmer des Handels sowie den Fotofachhandel. In Schwarzach, unserem Firmensitz, unterhalten wir eine spezielle Großhandelsabteilung bzw. Serviceabwicklungsstelle.",Austria,3.101639,,,
