Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Cyprus Airways,62933400.0,"Cyprus, Larnaka, Larnaca, 7101",https://www.linkedin.com/company/cyprusairways,www.cyprusairways.com,"Cyprus Airways is based at Larnaca International Airport.  The company's mission is to build a strong and reliable airline, offering safe and enjoyable flights to and from Cyprus. The company’s long term goal is to contribute in the increase of tourism in Cyprus, while at the same time broadening the horizon for local travelers.",Cyprus,62.9334,,,
TUS Airways,66080070.0,"Cyprus, Larnaka, Larnaca, 3 Artemidos, 6025",https://www.linkedin.com/company/tus-airways,tusairways.com,"Founded in 2015, TUS Airways is an airline based in Larnaca, Cyprus.  At present, we operate scheduled and charter services between destinations in Cyprus, Israel and Greece, as well as charter operations to Central Europe, the Middle East and Africa. Our fleet currently consists of 5 Airbus A320 with a capacity of 180 seats.  Our mission is to exceed customer expectations through our professionalism and values. Due to our lean organization, a cost-efficient operation and a high degree of flexibility, we are in a position to offer outstanding quality at attractive conditions.",Cyprus,66.08007,,,
Orthodoxou Group Of Companies,7552008.0,"Cyprus, Larnaka, Larnaca, Inomenon Ethnon 5&6, 6042",https://www.linkedin.com/company/19120746,www.orthodoxougroup.com,"Orthodoxou Group of Companies has been innovating and leading since 1995, proudly growing into a global organization with diverse expertise.  From travel and aviation to recruitment and insurance, our 9 companies - 5 in Cyprus and 4 abroad - deliver excellence across sectors.  With over 250 dedicated professionals in Cyprus and abroad, we’re committed to offering tailored, high-quality services that meet your unique needs. Guided by a passion for innovation and customer care, we aim to keep growing while staying true to the values that built our reputation.  Experience the Orthodoxou difference—where global reach meets personal service.",Cyprus,7.552008,,,
Aviator Flight Center,6731174.0,Cyprus,https://www.linkedin.com/company/aviator-flight-center,aviator.com.cy,Aviator Flight Center is an airlines/aviation company based out of Cyprus.,Cyprus,6.731174,,,
Dento Group,4405338.0,"Cyprus, Larnaka, Aradíppou, Acropoleos 18, 7103",https://www.linkedin.com/company/dento-aviation,www.dentoaviation.com,"DENTO Group is an EASA approved Training Organisation (ATO) certified with approval CY.ATO.005 and GBR.ATO.0559. DENTO ATO specializes on a number of Type Rating Courses, Airbus CCQ, ZFT, Base Training, Instructor & Examiner Courses. Additionally specializes in e-learning through its own LMS platforms.",Cyprus,4.405338,,,
Easylinkz Limited,4065870.0,"Cyprus, Nicosia, Nicosia, 1 Stasinou, 1060",https://www.linkedin.com/company/easylinkz,easylinkz.com,Revenue management and NDC aggregator - We help travel agencies make more $$ on every issued ticket!,Cyprus,4.06587,,,
Kilroy Aviation,3776004.0,"Cyprus, Nicosia, Nicosia, 11 Boumpoulinas Street, 1060",https://www.linkedin.com/company/kilroy-aviation,www.kilroy.aero,"Kilroy Aviation is specialised in Flight Crew Recruitment, Aircraft Brokerage, Airline Consultancy and Demonstration and Ferry flights. Our offices are located in Switzerland and Cyprus.Most of our clients are from Europe, Middle East and CIS countries.",Cyprus,3.776004,,,
Orthodoxou Aviation,3146670.0,"Cyprus, Larnaka, Larnaca, 44 United Nations Street, 6046",https://www.linkedin.com/company/orthodoxou-aviation,www.orthodoxouaviation.com,"As a company specialised in offering aviation services to travel agents, tour operators, airline companies and individuals, we strive to provide the finest aviation management and charter services, on and off the ground. This mission encapsulates the highest safety standards, world-class service, and integrity in all operations to deliver a service that captures the confidence and loyalty of customers today and into the future. Our goal is to provide to all customers a total quality driven service, providing at any moment, products within the shortest lead time and in the most cost-effective manner.",Cyprus,3.14667,,,
A.C.E Aviation,3146670.0,"Cyprus, Nicosia, Aglandjia, 75 Leoforos Lemesou, 2121",https://www.linkedin.com/company/ace147camo,ace-aviation.com,"A.C.E. Aviation Consultancy Expertise Ltd was founded by private interests in Dec 2006.  The Board of Directors consists of three permanent members representing the three shareholder parties. These are: a) The Chairman, who is the initial founder of the company b) The Executive Director c) The CEO The company is based in the beautiful Mediterranean island of Cyprus. Known for its superb geographic location among three continents (Europe, Asia and Africa) and with the Republic of Cyprus being a member of the European Union family, it provides unique advantages in serving our clients, most of whom come from Europe, the Middle East and North Africa regions in proximity. However, the company does undertake assignments also from other geographic areas such as Russia and Asian countries. Our vision and mission is to provide our customers with excellence in dedicated support, tailor-made aviation business solutions and specialised consultation services. Apart from our own professional teams of aviation people, we team up with our diverse range of partners and associates to offer unparallel, on-time and effective advisory and consultancy services. Our aim is to assist our customers to meet their targets and support them in all the activities for as long as it is necessary and required, to achieve their goals. The success and achievements of our customers is our own success and personal satisfaction.",Cyprus,3.14667,,,
Zela Aviation,3098845.0,"Cyprus, Limassol, Limassol, 3035",https://www.linkedin.com/company/zela-aviation,www.zelaaviation.com,"Since 2006 the company has expanded successfully, establishing long-term relationships with a number of airlines and Tour Operators throughout the EU, Middle East, and Africa and more recently in the USA and Canada. Our portfolio now includes major pan European Tour Operators through to medium-sized and small specialist independent Tour Operators. Additionally, our ACMI team have had great success and forged lasting and mutually beneficial relationships with a number of key EU, Middle East, USA and African airlines and placed a number of aircraft on both short and long term ACMI wet and damp lease projects. The Zela Aviation team is made up of professionals who come from both Airline and Tour Operating backgrounds, all of them bringing a wealth of experience and skills to our business and all of them committed to teamwork and the successful expansion of our business. Our philosophy is one of mutual respect, courtesy and fairness in dealing with our suppliers and Customers.",Cyprus,3.098845,,,
Synesis Aviation,1888002.0,"Cyprus, Larnaka, Larnaca, 25 Akropoleos St, 7000",https://www.linkedin.com/company/synesis-aviation,synesisaviation.com,"Synesis Aviation Ltd is a new entrant in the off-shore aviation market with a strong heritage. Synesis is part of a dynamic and diverse group with century-long expertise in the automotive, transportation and shipping industries.",Cyprus,1.888002,,,
Fly Orion Airways,1888002.0,"Cyprus, Larnaka, Larnaca",https://www.linkedin.com/company/fly-orion-airways,flyorionairways.com,"Situated in South Eastern Europe and based in Cyprus, Orion Airways promises to deliver an ""over and beyond the horizon""​ flying experience to all our travelers! Our goal is to connect South Eastern Europe to the middle-East, Asia and the whole of Europe so people can fly safely at the most reasonable cost. We are deeply customer-centric and the whole ORION experience prior, during and after the flight aims to put passengers in the spotlight.",Cyprus,1.888002,,,
MOTUS.aero,1888002.0,"Cyprus, Strovolos Nicosia, 47 Strovolou Ave, 2018",https://www.linkedin.com/company/aimotus,www.motus.aero,"We enable brands to connect with people in a unique array of platforms and gain invaluable insights via our patent-pending Consumer Travel Graph and human-driven data analytics. Motus is a patent pending solution that creates an experience across a passenger’s journey by providing a seamless delivery of advertisement, introducing new revenue streams for airlines and airports. So far the means to engage with travelers has been very limited, keeping away airlines and advertisers from a pool of $200bn of ancillary revenue from digital advertising.  Using AI algorithms and data analysis, Motus creates the ROI that advertisers seek, enhancing the passenger experience and increasing airline revenues.  Motus is the future of cross platform advertising enabling the connection between brands and transumers* before, during and after the flight. *consumers in transit",Cyprus,1.888002,,,
