Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Promenade Hotel,130901472.0,"Latvia, Liepāja, Liepāja, 40 Veca Ostmala, 3401",https://www.linkedin.com/company/promenade-hotel,www.promenadehotel.lv,"Original and unique, Promenade Hotel has a beautiful canal-side setting with a yacht centre, an interesting lobby that doubles as an art gallery and a restaurant serving renowned European and Latvian cuisine. A stunning former warehouse in Latvia's hippest city, now - a Small Luxury Hotels of the World property. All of this is within easy reach of the city sights and Liepaja s Blue Flag beach.",Latvia,130.901472,,,
Mogotel Hotel Group,61678272.0,"Latvia, Riga, Riga, lv-1063",https://www.linkedin.com/company/wellton-hotel-group,www.mogotel.com,"Mogotel Hotel Group is an international hotel operator headquartered in Riga, Latvia, with expertise in delivering high-quality hospitality services.  Since our inception in 2002, we have consistently demonstrated our ability to grow profits and manage a diverse portfolio of accommodation properties across various target markets.  Our operations span across Eastern and Northern Europe, offering a variety of hotel types to meet the unique needs of every guest. At Mogotel Hotel Group, we pride ourselves on our high standards, wide range of services, and a friendly approach to each customer.  In addition to operating our own brands, we collaborate with some of the world’s most renowned hotel management chains, including Wyndham, Accor, and IHG, ensuring that our guests experience top-tier hospitality during every stay.",Latvia,61.678272,,,
Grand Palace Hotel,60416064.0,"Latvia, Riga, Riga, 12 Pils Iela, lv-1050",https://www.linkedin.com/company/grand-palace-hotel-riga,grandpalaceriga.com,"Grand Palace Hotel is built-in 1877 as the Central Bank of Latvia, it was turned into a boutique 5-star superior hotel with 56 rooms in the year 2000 offering a place of warmth and comfort, accompanied by attentive and impeccable service. Voted as Latvia’s Leading Boutique Hotel for the past 24 years by World Travel Awards, the magnificent Grand Palace Hotel is located in the business, shopping, and sightseeing district – Riga Old Town. In May 2015 the official rating for the hotel has been upgraded from 5-star to 5-star Superior. Grand Palace Riga Hotel is the only member of “Small Luxury Hotels of the World” in Latvia since February 2025 www.grandpalacehotel.com Follow us on Instagram @grandpalaceriga",Latvia,60.416064,,,
SEMARAH HOTEL GROUP,33984036.0,"Latvia, Riga, Riga, 7 K-1 Skanstes Street, lv-1013",https://www.linkedin.com/company/semarah-hotels,www.semarahhotels.com,"Semarah Hotels is a hotel chain founded in Latvia: resort hotel Lielupe in Jurmala, and five-star design hotel Grand Poet in Riga.  Lielupe**** – Nestled among the almost dreamy Jurmala’s pine tree forest near the sea, the hotel is a step out of the daily routine - vibrant and mindful at the same time. Lielupe is perfect destination for an exciting and attractive feast to senses. From wellness, spa and pools, chatty dinners in circle of friends to exquisite banquets, using convention facilities for your creative events private or grand - immerse yourself in this lively experience offered by hotel Lielupe. Presents 264 stylish accommodations, restaurant & lobby bar, summer terrace, spa treatment rooms, wellness centre, summer outdoor swimming pool for leisure and events, 13 professional conference and event rooms. Grand Poet*****- most inspiring design hotel in Riga. Located with the walking distance of almost everything the hotel will surprise by perfect location. Its exceptional design is a celebration of contemporary art and bohemian-inflected luxury.  Lovers of design, admirers of cultural experiences, enthusiasts of life - the Grand Poet welcomes you. We will set new standards of style, service and excellence. Offers 168 superior accommodation rooms, spacious wellness centre and spa treatment rooms, restaurant & bar, lounge, cafe, courtyard, private dining, collection of 6 meeting rooms.",Latvia,33.984036,,,
Baltic Beach Hotel & SPA,16268471.0,"Latvia, Jūrmala, Jūrmala, 23/25 Jūras Iela",https://www.linkedin.com/company/balticbeachhotel,www.balticbeach.lv,"Nestled directly on the shore of the Baltic Sea, the 5-star Baltic Beach Hotel & SPA has a unique location in Jurmala amidst the dunes and lushly pine-trees. Offering direct access to the fully equipped private beach with catering service, it is ideally located in the heart of Jurmala. The hotel boasts 165 contemporary rooms and suites, many with fantastic views and private balconies. Guests can enjoy over 400 treatments at our certified medical Baltic Beach SPA, featuring unique in Latvia 25m sea water pool and modern fitness centre. Gourmet restaurants serve Europian and Italian cuisine with a wide range of fresh seafood dishes. Lobby Bar offers a wide selection of cocktails and popular desserts. In summer guests can enjoy open-air Beach Bar & Grill and Seafood & Oyster terrace, all with sea view.",Latvia,16.268471,,,
OK Hotel,10698678.0,"Latvia, Riga, Riga, 12 Slokas Iela, 1048",https://www.linkedin.com/company/ok-hotel,www.okhotel.lv,"OK Hotel offers practical accommodation for companies hosting employees in Riga. From shared and private rooms to apartment-style units, we provide flexible options to match different roles, budgets, and stay durations. Located near the city center with easy access to public transport and parking, OK Hotel is a convenient base for both short-term trips and long-term projects. All guests benefit from free WiFi, weekly housekeeping, and access to a self-service kitchen and laundry room. We also offer a small meeting room for team sessions or workshops, and select units with kitchens are available for extended stays.",Latvia,10.698678,,,
Hotel Jelgava,10069344.0,"Latvia, Jelgava, Jelgava, 6 Lielā Iela, lv-3001",https://www.linkedin.com/company/hotel-jelgava,hoteljelgava.lv,"Hotel „Jelgava” **** is situated in the very centre of Jelgava, 40 km from Riga, 40 km from the seaside town Jurmala, 50 km from Riga airport, 0.5 km from Jelgava Palace and 0.2 km from the Tower of Holy Trinity church of Jelgava, where Jelgava regional tourism centre is located. The construction of the hotel building was started in the year 1938, and it was designed by architect Alfreds Laukirbe. The building work was finished in 1940, and the hotel Jelgava became one of the most elegant hotels in Latvia. Currently the building is nominated as Latvia’s state cultural monument. In the summer garden of the Sauna complex, next to the streamlet, there is a secret passage to the Jelgava Palace and fragments of the foundation of the ancient Knights’ building. In the hotel “Jelgava”, 41 comfortable apartments are available, capable to accommodate up to 80 guests. Our clients are offered to use the premises for conferences and banquets with catering services, as well as various beauty salons.",Latvia,10.069344,,,
Mosaic Hotel,9440010.0,"Latvia, Riga, Riga, 31a Elizabetes Iela, lv-1010",https://www.linkedin.com/company/mosaichotel,mosaic-hotel.net,"Mosaic Hotel is situated in the heart of Riga; in the most respectable and quiet part of the city - the embassy district, surrounded by monuments of architecture style Art Nouveau included in the Culture Foundation of UNESCO also referred as the most beautiful part of Riga - “Quiet Centre” or „The Golden Mile”.  Nowadays the „Quiet Centre” is a favored place for relaxation by the citizens of Riga. Elizabetes street along with the other neighboring streets create a unique art and culture environment where men and women of virtue can enjoy the architectural pearls of Jugendstil and Art Nouveau in the very centre of Riga. Museums, concert halls and theatres are just in a five-minute walking distance along the charming “Kronvalda”, “Esplanāde” and “Viestura” parks. Old city is only a 10-minute walk away. Decorated in a minimalism style, all rooms feature beds and shared bathroom and shower facilities, include bed linen and towels. Free WiFi. There is a large double bed or twin beds in the room, blackout curtains, wardrobe, mirror, and desk. One of the main advantages of the rooms is their compact and excellent layout space. The hotel has a common living area with sofas and a flat-screen TV 42-inch. Facilities (shower and toilet) are on the floor. 24 hour reception, parking (on request). The Mosaic Hotel’s front desk is open and ready to assist guests 24 hours a day. We expect you to enjoy your stay with us to the fullest, making sure that you'll be provided with all of the modern amenities and supplies necessary. We hope you'll have a memorable time while staying here with us.",Latvia,9.44001,,,
AVALON HOTEL & Conferences,8810676.0,"Latvia, City Centre, 19 13.janvāra Iela, lv-1050",https://www.linkedin.com/company/20085574,hotelavalon.eu,"Superior class AVALON HOTEL & Conferences features an array of 111 comfortably furnished rooms, including suites, non-smoking rooms and rooms for disabled guests, all with free WI-FI and rich breakfast buffet. Hotel is certified by Green Key, HotelStar Union. Hotel successfully blends modernity and tradition, welcoming guests to enjoy new comforts in the medieval charm of the Old Town.",Latvia,8.810676,,,
Jūrmala Spa Hotel,8706722.0,"Latvia, Jūrmala, Jūrmala, 47/49 Jomas, 2015",https://www.linkedin.com/company/hoteljurmalaspa,www.hoteljurmala.com,"JŪRMALA SPA Hotel is a 4**** hotel, where to combine work with spa relaxation!  The modern spa & conference centre is located in one of the oldest and the most beautiful resort towns in Baltic States - Jurmala. The hotel is only 15 km from Riga International airport RIX and 25 km from the capital of Latvia – Riga.  JŪRMALA SPA HOTEL offers 190 comfortable rooms, conference centre with 7 various size event rooms, spacious restaurant JURMALA with a wide summer terrace and cocktail lounge SEASIDE on the top floor with excellent view over the resort town Jurmala and Baltic sea, WELLNESS OASIS centre with 3 pools and 6 different saunas, gym.  Stay with us!  http://www.hoteljurmala.com/en Get a great offer from us for your event! conference@hoteljurmala.com  Explore us on social media! https://www.facebook.com/HotelJurmalaSpa/ https://www.instagram.com/hoteljurmala/ https://www.youtube.com/user/HotelJurmalaSPA",Latvia,8.706722,,,
