Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
NoHo Partners Denmark,417051900.0,"Denmark, Capital Region, Copenhagen, 40 Gammel Strand, 1202",https://www.linkedin.com/company/noho-partners-denmark,www.nohopartners.dk,"NoHo Partners Denmark is a prominent player in the restaurant and entertainment sector, operating as part of the larger NoHo Partners Plc group, which was established in 1996 and is headquartered in Finland. The company specializes in providing a diverse range of dining experiences, from casual eateries to fine dining establishments, and is dedicated to delivering high-quality service and memorable customer experiences. With a vision to become the leading restaurant operator in Northern Europe, NoHo Partners Denmark focuses on sustainable growth and profitability, leveraging its unique partner model that combines local expertise with the benefits of scale. The company serves a wide array of clients, including corporate customers who utilize its business account services for streamlined ordering and invoicing, as well as individual patrons seeking exceptional dining experiences. Through its innovative approach and commitment to quality, NoHo Partners Denmark aims to expand its footprint in the competitive restaurant market while fostering strong relationships with its partners and customers. The company's mission emphasizes the importance of sustainability and social responsibility, aligning its operations with the United Nations Sustainable Development Goals. NoHo Partners Denmark operates a diverse portfolio of approximately 300 restaurants across Denmark and other Nordic countries, featuring well-known concepts such as Friends & Brgrs and Holy Cow!. The company is committed to minimizing food waste, enhancing energy efficiency, and fostering a diverse and inclusive workplace culture. By collaborating with various partners and suppliers, NoHo Partners Denmark ensures compliance with ethical practices and maintains high standards in food quality and customer service. Targeting a broad demographic, including local patrons, tourists, and corporate clients, NoHo Partners Denmark aims to create enjoyable dining experiences that align with evolving consumer preferences and sustainability goals. With a focus on continuous improvement and operational excellence, the company is well-positioned to navigate the challenges of the restaurant industry while contributing positively to the communities it serves.",Denmark,417.0519,,,
Arp-Hansen Hotel Group,228342365.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/arp-hansen-hotel-group,www.arp-hansen.dk,"Welcome to Copenhagen's largest hotel chain: The Arp-Hansen Hotel Group has more than 5,000 rooms & suites in Copenhagen and Aarhus. We represent around 21% of the room capacity in Copenhagen and we have more than +70 meeting and conference rooms at our disposal. The Arp-Hansen Hotel Group consists of privately owned and centrally located hotels, including: Phoenix Copenhagen, 71 Nyhavn Hotel, Copenhagen Strand, Imperial Hotel, The Square, Tivoli Hotel & Congress Center, Copenhagen Island, Gentofte Hotel and Wakeup Copenhagen Hotels, as well as Copenhagen's luxury hostels; Steel House Copenhagen and Next House Copenhagen. Hotels with character and style at the best addresses: Arp-Hansen Hotel Group has quality as a keyword and we take pride in delivering quality in everything we do. We nurtures the individuality as well as the luxuriousness and modernity of our hotels. The hotels are top-class and, as a guest, you will find everything your heart desires of amenities. The city’s many offerings will also be located just around the corner.",Denmark,228.342365,,,
KILROY,214857990.0,"Denmark, Capital Region, Copenhagen, 1450",https://www.linkedin.com/company/kilroy,www.kilroy.net,"KILROY International A/S is a prominent European company that specializes in travel, educational counseling, and student benefits, operating under various brands across eight markets. The company is dedicated to helping customers realize their dreams of studying abroad, exploring new cultures, and achieving personal growth through transformative travel experiences. With a mission to create unique journeys, KILROY serves a diverse clientele, primarily focusing on students and young travelers aged 23 to 31. The company emphasizes sustainability and social responsibility, striving to benefit not only its customers but also the environment and the broader community. KILROY offers expertly curated group trips that include essential travel logistics, allowing clients to immerse themselves in diverse destinations while forming lasting friendships. By fostering meaningful connections with local cultures and communities, KILROY goes beyond typical tourist activities to provide extraordinary adventures. The company collaborates with various partners in the travel industry, including educational institutions and travel service providers, to enhance its offerings and ensure high-quality services.  With over 400 employees, KILROY is committed to adapting to the evolving needs of its customers and maintaining a strong presence in the travel industry. Its target market consists of adventurous young travelers seeking personal growth and memorable experiences, making KILROY a trusted choice for those looking to explore the world in a more profound way. Through its innovative approach and dedication to customer satisfaction, KILROY continues to inspire and empower the next generation of global explorers.",Denmark,214.85799,,,
Comwell Hotels,191634910.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/comwellhotels,comwell.com,"Comwell Hotels is a Danish-owned hotel chain with a robust presence across Denmark and a location in Sweden, dedicated to delivering exceptional hospitality and service. With over 55 years of experience, Comwell specializes in four key areas: meetings and conferences, business stays, private stays, and spa experiences. The company’s mission is to create unique and memorable experiences for both leisure and business travelers, ensuring that every guest enjoys a personalized stay, whether attending a corporate event, indulging in a spa retreat, or savoring gourmet dining. Comwell has pioneered the modern meeting package concept, offering tailored solutions for corporate events, training programs, and social gatherings, all set in scenic locations that include nature and waterfronts. Sustainability is at the core of Comwell's operations, with a commitment to achieving carbon neutrality by 2030 and extending this goal throughout its entire value chain by 2040. The hotel chain caters to a diverse clientele, including business travelers, event organizers, and leisure guests, providing approximately 2,500 rooms and 320 meeting spaces designed to meet various needs. Comwell actively engages in various Environmental, Social, and Governance (ESG) initiatives, reflecting its dedication to social responsibility and environmental stewardship. The company collaborates with educational institutions and local suppliers to enhance its service offerings and promote sustainable practices, making it a preferred choice for businesses seeking professional meeting environments. Comwell's target market encompasses both individual travelers and corporate clients, with a focus on fostering a diverse and inclusive environment for all guests and employees. With a professional staff committed to high-quality service, Comwell Hotels ensures that every guest feels at home during their stay, making it a premier destination for those looking to combine work with leisure.",Denmark,191.63491,,,
Villa Copenhagen,96917436.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/35505668,www.villacopenhagen.com,"Villa Copenhagen is a distinguished venue located in the heart of Copenhagen, offering a unique blend of timeless elegance and modern amenities for meetings and events. With a mission to provide an intimate and impactful setting, the company specializes in hosting executive meetings and intimate gatherings in its beautifully designed Boardroom, which retains its original charm from 1912 while incorporating contemporary design elements by Shamballa Jewels. The venue is equipped with modern audiovisual technology and features a private bar, ensuring a sophisticated experience for its clients. Targeting corporate clients and event planners, Villa Copenhagen aims to create memorable moments that matter, making it an ideal choice for those seeking a refined atmosphere for their events. The company is committed to excellence in service and hospitality, positioning itself as a premier destination for conferences and special occasions in the region.",Denmark,96.917436,,,
Guldsmeden Hotels,91253430.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/guldsmeden-hotels,guldsmedenhotels.com,"Nouveau-Boheme eco-certified boutique hotels with the best locations in Copenhagen, Aarhus, Oslo, Reykjavik, Berlin, Bali & Menton. Warm and personal hospitality, luxurious simplicity, and an unpretentious atmosphere define our values. Our dedication to fostering a focus on sustainability and holding eco-certification guides our operations, ensuring we contribute positively without overstating our achievements. Over the past 18 years, Guldsmeden Hotels has organically evolved, establishing a distinct brand identity that marries our commitment to a focus on sustainability with genuine hospitality, unique design, and a cozy atmosphere. We aim to offer our guests a wonderful stay with as little negative environmental impact as possible while contributing to the common pool of knowledge regarding sustainable practices within daily operations. Guldsmeden Hotels is a part of the founder group of EcoHotels.com, a booking platform designed for sustainably-minded hotels worldwide, facilitating the exchange of innovative ideas within the hospitality industry. As a company founded in an entrepreneurial spirit, we are in constant development - but our core strength will always be to provide a warm and personal experience, and saying goodbye to our guests has given them the satisfaction of a wonderful stay, a feeling of having been cared for, a wish to return - and hopefully a few good tips and ideas for a more environmentally sound everyday life. Discover more about us and join our journey: * Facebook: www.facebook.com/GuldsmedenHotels * Instagram: www.instagram.com/guldsmedenhotels * Pinterest: www.pinterest.com/GuldsmedenHotels * Become Friends of the Family here: https://guldsmedenhotels.com/da/friends-of-the-family/",Denmark,91.25343,,,
Danhostel,86848092.0,"Denmark, Capital Region, Frederiksberg, 32 Vodroffsvej, 1900",https://www.linkedin.com/company/danhostel-danmarks-vandrerhjem,www.danhostel.dk,"Danhostel is a trade association for hostels in Denmark, which currently has 68 members, and is a member of Hostelling International. Danhostel offers relaxing accommodation in an informal setting at budget prices. Guests receive great customer experience and service, memorable holidays, sports and group accommodation, locations for meetings and school camps, and last, but not least, a good night's sleep. All of Danhostel’s facilities are modern and comfortable. Read more at www.danhostel.dk/en. Press material: https://www.skyfish.com/p/danhostel",Denmark,86.848092,,,
D'Angleterre Copenhagen,59610214.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/d'angleterre,www.dangleterre.com,"D'Angleterre Copenhagen is a luxurious hotel renowned for its exquisite accommodations, featuring 92 individually designed rooms and suites that blend contemporary comfort with timeless elegance. The hotel's mission is to provide an unparalleled experience of light-drenched luxury and privacy, catering to discerning travelers seeking both relaxation and sophistication. With a focus on artistry and attention to detail, each space is thoughtfully composed, offering guests a unique charm through tasteful touches and rich textures. D'Angleterre's clientele includes both leisure and business travelers, as well as families, with tailored packages and special offers designed to enhance their stay. The hotel also partners with local attractions, such as Tivoli Gardens, to create memorable experiences for its guests, making it a premier destination in the vibrant city of Copenhagen.",Denmark,59.610214,,,
Hotel Vejlefjord,54752058.0,"Denmark, Stouby, 26 Sanatorievej, 7140",https://www.linkedin.com/company/hotel-vejlefjord,www.hotelvejlefjord.dk,"FANTASTISK BELIGGENDE KONFERENCE- OG SPAHOTEL I TREKANTOMRÅDET Naturen her er smilende og af enestående skønhed” sagde professor Chr. Saugman, da han i år 1900 grundlagde Vejlefjord. I dag rummer de historiske bygninger bl.a. møde og konferencefaciliteter, hotel og spa-afdeling samt ”De Termiske Bade”, unikke i Nordeuropa. Alle KONFERENCELOKALERNE har et smukt lysindfald, ligesom der er udsigt og direkte adgang til den omgivende park og natur fra lokalerne i grundplan. I det største lokale ”Kongesalen” er der plads til 240 personer. Alle plenumlokaler er udstyret med højttalere, mikrofoner og AV-udstyr. Hotellets teknikere gennemgår udstyret sammen med jer og yder hotline-service under hele arrangementet. Ønsker I at krydre jeres arrangement med ENERGIGIVENDE PAUSER OG AKTIVITETER er der rig mulighed for dette i Hotel Vejlefjords fantastiske omgivelser. 43 hektar park, skov og strand byder på forskellige højt-til-loftet-oplevelser, som giver kreativitet og ny energi. Den store spaafdeling står for forskellige afstressende velværeaktiviteter. Prøv fx et besøg i De Termiske Bade, som er et skønt sted at reflektere over dagens faglige input. SPA- OG WEEKENDOPHOLD Vores forkælende spa- og weekendophold er altid inklusiv adgang til De Termiske Bade, samt forplejning morgen og aften. Til opholdene kan tilkøbes spabehandlinger, garanti for udsigt, velkomstpakker m.m. I ferieperioder har vi ekstra gode tilbud på spaophold og Bed and Breakfast. DE TERMISKE BADE er unikke og bygget af det smukkeste granit midt i skovens dybe stille ro. Syv bassiner, sansebrus, saunaer og dampbade giver oplevelser til alle sanser. Forskellige temperaturer øger velværet og blodgennemstrømningen. Det handler om at være god ved sig selv og være sammen med andre.  I SPAAFDELINGEN tilbyder vi ud over plejende og forkælende spa- og kosmetologbehandlinger, forskellige dagsarrangementer hvori adgang til De Termiske Bade indgår sammen med fx saunagus, let massage, forplejning.",Denmark,54.752058,,,
Bellagroup,51316169.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/bella-group,bchg.dk,"Bellagroup er blandt Danmarks største virksomheder inden for hospitality. Bellagroup har som udgangspunkt to forretningsben: Venues og hoteller.  Venuedelen består af Bella Center Copenhagen, Bella Arena og Bella Sky Conference & Event, CIFF Showrooms og International House. Bellagroups egenproducerede store events er bl.a. CIFF (Copenhagen International Fashion Fair), Bogforum og LEGO World. I hoteldelen driver Bellagroup tre hoteller med internationalt anerkendte brands: Crowne Plaza Copenhagen Towers, AC Hotel Bella Sky Copenhagen og Copenhagen Marriott med til sammen næsten 1.600 værelser.  Bellagroup har over 160 møde- og konferencelokaler og samlet ca. 200.000 kvadratmeter, med plads til over 30.000 gæster.  Læs mere på www.bellagroup.dk",Denmark,51.316169,,,
