Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Medusa Restaurants,106986780.0,"Slovakia, Bratislavský, Bratislava, 2a Svätoplukova, 82108",https://www.linkedin.com/company/medusarestaurants,www.medusarestaurants.sk,"Medusa je už viac ako 20 rokov lídrom v oblasti zážitkovej gastronómie na Slovensku a prevádzkovateľ 45 gastrozariadení na Slovensku, v Česku, Rakúsku a Spojených arabských emirátoch. V roku 2024 zaznamenala skupina tržby vo výške 56,6 milióna eur a zamestnáva viac ako 1 200 ľudí. Do siete skupiny Medusa patria značky Dock7, Lúnico, Primi, Werk, Rio, Mint, La Pala, Como Cafe, Klubovňa, Kubu, Nox, Barrock, Trafo, Epic, Presto. Na základe franšízy aj značka wagamama. Skupina prevádzkuje aj samostatnú cateringovú divíziu Medusa Catering, unikátny vernostný program Medusacard či vlastnú vzdelávaciu platformu Medusa Academy. Závodné stravovanie zastrešuje pre také spoločnosti ako sú Volkswagen Slovakia alebo Amazon Slovakia. Viac informácií nájdete na: www.medusarestaurants.sk.",Slovakia,106.98678,,,
Makanan Coffee&snack,30837366.0,"Slovakia, Bratislavský, Bratislava",https://www.linkedin.com/company/makanan-snack-coffe,www.makanan.sk,"Kaviareň Makanan snack&coffee je miesto, kde v príjemnom prostredí s lahodnou vôňou kávy môžete krok za krokom posunúť svoj biznis od podnikateľského zámeru k efektívne rastúcej firme. Kaviareň Vám ponúka priestory pre Vaše stretnutia, školenia i spoločenské podujatia. Konajú sa tu školenia osobnostného rozvoja i prednášky obohacujúce Váš kultúrny život a voľný čas. Príjemný personál, chutné koláče doplňujúce, jedinečnú chuť výbornej kávy, čerstvých čajov, či práve odšťavených džúsov spríjemňujú, tiež Vaše  prezentácie v spoločenskej potrebne vybavenej miestnosti s kapacitou 80-100 osôb.",Slovakia,30.837366,,,
Grand Hotel Kempinski High Tatras,20837310.0,"Slovakia, Prešovský, Prešov, 6 Kúpeľná, 05985",https://www.linkedin.com/company/grand-hotel-kempinski,kempinski.com,Grand Hotel Kempinski High Tatras,Slovakia,20.83731,,,
Best Hotel Properties A.s.,16992018.0,"Slovakia, Bratislavský, Bratislava, 2 Hodzovo Namestie, 81106",https://www.linkedin.com/company/best-hotel-properties-a.s.,www.besthotelproperties.sk,BEST HOTEL PROPERTIES ispublicly-traded company making investments in Central and Eastern Europe hotel industry.,Slovakia,16.992018,,,
DoubleTree By Hilton Bratislava,13216014.0,"Slovakia, Bratislavský, Bratislava, 27/a Trnavska Cesta, 83104",https://www.linkedin.com/company/doubletree-by-hilton-bratislava,doubletree-bratislava.sk,"Opened in 2011, DoubleTree by Hilton is a modern hotel located in the historic Slovak capital of Bratislava. Situated at the crossroads of the city's business, cultural, sports, and historical districts, our hotel offers the ideal choice for both business and leisure travelers. We offer 120 comfortable rooms, 12 conference rooms with the largest capacity in Bratislava, 2 restaurants, a fully equipped fitness and wellness area, and complimentary Wi-Fi throughout the hotel.",Slovakia,13.216014,,,
WELLNESS & SPA HOTEL KASKADY,13216014.0,"Slovakia, Banskobystrický, Banská Bystrica, 19 Letecka, 962 31",https://www.linkedin.com/company/hotel-spa-resort-kaskady,www.hotelkaskady.sk,"The stay at Wellness & Spa Hotel Kaskady means enjoying every moment. Relax. Find inspiration. Be fascinated. Family 4* hotel since 2005 with 49 comfortable rooms and 30 suits, 3000 m2 wellness center based on thermal spring, 5 congress halls, hotel area 39.000 m2. All situated in the middle of Slovakia that makes us accessible destination.",Slovakia,13.216014,,,
Hotel Sitno - Trinity Hotels & Resorts,11957346.0,"Slovakia, Vyhne, 103 Vyhne",https://www.linkedin.com/company/hotelsitno,www.hotelsitno.sk,"Hotel SITNO **** – Forest Resort situated in the picturesque natural setting of mountains Štiavnické vrchy. Its location – almost 6 km away from the major motorway connection between Bratislava and Banská Bystrica – and its distance of only 165 km from Bratislava make it an easily accessible site from any place in Slovakia. The hotel underwent a massive renovation project and at present it offers 329 beds in neatly furnished rooms and apartments. Our modern congress centre comprises 12 congress halls with the capacity of up to 880 persons and is adjusted to meet business clients’ demanding requirements. Two restaurants with terraces, a day and night bowling bar and Grill & Sport Bar present enticing venues for refreshment, repose or entertainment.",Slovakia,11.957346,,,
APLEND,8411282.0,"Slovakia, Veľký Slavkov, Tatranská, 05991",https://www.linkedin.com/company/18336107,www.aplend.com,"APLEND is a leading provider of holiday apartments, cottages, restaurants, and now also city hotels – including the Best Western Hotel Prešov and APLEND CITY Hotel Perguia.  The company has built a strong name in the holiday accommodation industry in The High Tatras. The brand does not represent only accommodation, but also the quality of apartments and services. We strive every day to provide the best experience to our customers, aiming not only to maintain but continuously improve the quality of accommodation and service. To the most popular APLEND accommodations belong: WELLNESS HOTEL BOROVICA****, Štrbské Pleso RESORT BEATRICE, Tatranská Lomnica HOTEL LUJZA MAJOR, Tatranská Lomnica KOLIBA KAMZÍK, Starý Smokovec TATRY HOLIDAY RESORT, Veľký Slavkov VILA OLÍVIA, Nový Smokovec HOTEL KUKUČKA, Tatranská Lomnica HOTEL OVRUČ, Štrbské Pleso LAKE RESORT, Štrbské Pleso In 2016, APLEND expanded its services to city hotels and apartments under the new brand APLEND CITY. In August 2016, we opened our first city hotel – APLEND CITY HOTEL PERUGIA, a small boutique hotel in the historical centre of Bratislava. In 2024, the portfolio grew further as APLEND became the operator of the globally recognized hotel brand Best Western through the Best Western Hotel Prešov",Slovakia,8.411282,,,
Hotel Elizabeth,8377635.0,"Slovakia, Trenčiansky, Trenčín, 2 M. R. Stefanika, 91101",https://www.linkedin.com/company/hotel-elizabeth-trenčín,www.hotelelizabeth.sk,"Hotel Elizabeth, originally named “Erszebet Szalo”, was built by Baron Armin Popper.  It started its operations on January 1, 1902 and it immediately became part of the social and cultural life of the city of Trenčín. In 1921, the hotel was renamed “Hotel Tatra”. Nobility met here with perfect comfort and service of the Viennese facilities. The year 2001 was unique for the hotel; it celebrated its 100th anniversary. The hotel underwent extensive reconstruction in 1987 and 1994 when it again opened its doors to guests. From 2010 to 2012 the hotel underwent extensive reconstruction to become a modern business and wellness hotel, which will captivate even the most demanding business clientele while retaining the original charm of the art nouveau style architecture and its unique historical atmosphere",Slovakia,8.377635,,,
Grand Hotel Bellevue High Tatras,6974972.0,"Slovakia, Vysoké Tatry, 21 Horný Smokovec, 062 01",https://www.linkedin.com/company/grand-hotel-bellevue-high-tatras,www.hotelbellevue.sk,"GRAND HOTEL BELLEVUE is located in the oldest settlement of the High Tatra Mountains – Starý Smokovec – at the altitude of 1,010 metres above the sea level. It's a conference and wellness hotel with 140 rooms, conference room for 650 people, wellness centre and various sports activities at disposal. It´s an excellent venue for your business, leisure and sports. CONGRESS CENTER of the hotel boasts one of the largest congress halls in Slovakia offering a 600-seat capacity. The Multipurpose congress hall Grand Bellevue, together with 5 smaller function rooms with flexible layout is an excellent place for organizing cultural, social or corporate events or family reunions. Total floor space of 1,000 square metres is suitable for international events, exhibitions and business presentations. Latest technical equipment of the Congress Center, technical and servicing personnel as well as assistance will guarantee a success of your event. ROOMS are tastefully and fashionably furnished and spacious. Modern four-star hotel offers 140 hotel rooms: 117 double-bed rooms, 7 single-bed rooms, 14 suites 2 luxurious suites.  Main hotel restaurant SAVARIN serves a wide choice of meals of international cuisine. Taste original Slovak meals in the SLOVAK RESTAURANT, enjoy the relaxed atmosphere of an informal meeting in the Lobby Bar or spend a nice evening in the Lucullus night club. If you can refresh yourself in the hotel SWIMMING POOL that is one of the biggest in High Tatras. SAUNA, STEAM ROOMS and TREATMENTS are beneficial to vital body functions, such as ability of correct reaction of skin veins, healthy function of heart, kidneys, lungs and nervous system, metabolism, as well as regulation of body temperature. In the FITNESS CENTER you can find equipment for cardiovascular exercises. Enjoy a game of SQUASH and you can play BILLIARDS.",Slovakia,6.974972,,,
