Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Iceland Hotel Collection By Berjaya,117008138.0,"Iceland, Capital Region, Reykjavík, 52 Nautholsvegur, 101",https://www.linkedin.com/company/berjaya-iceland-hotels,www.icelandhotelcollectionbyberjaya.com,"Iceland Hotel Collection by Berjaya is a leading hotel provider in Iceland. Through our collection of unique Icelandic Hotels we offer the most extensive and diverse range of hotel brands in Iceland. We secure a wide choice of accommodation, restaurants, and spas to cater to a broader clientele with a portfolio of seventeen brands that consists of: Seven hotel brands Nine restaurants Three health and wellness spas",Iceland,117.008138,,,
Íslandshótel,77763172.0,"Iceland, Capital Region, Reykjavík, Hallgerðargata 13, 105",https://www.linkedin.com/company/hotels-of-iceland---íslandshótel,www.islandshotel.is,"Largest hotel chain in Iceland with 18 unique locations throughout the country. From the vibrant heart of Reykjavík to the enchanting landscapes of the West Region, North Iceland, Eastfjords, and South Iceland, we offer Exceptional Hospitality to guests from all walks of life. Our brand portfolio features Fosshotel and Hotel Reykjavík under the Íslandshótel umbrella. Our 18 hotels offer up to 2.000 hotel rooms and more than 27 distinctive meeting and event venues across an array of hotels in Iceland.  At Íslandshotel we are a collaborative and thriving team of hospitality professionals who provide excellent service and exceed the exceptions. We are dedicated to fostering a supportive working environment for our employees. Among many notable recognitions Íslandshótel has received certificates for  the Equal pay policies and currently the company has embarked on the process of Rainbow Certification.  Íslandshótel’s commitment to sustainability, quality and environmental measures is unwavering. We constantly work towards reducing water & energy consumption, prioritizing purchasing locally produced and environmentally friendly products and promoting a positive environmental impact through education and information sharing. Most of our hotels are FEE´s Green Key certified, furthermore, Hótel Reykjavík Grand has also the Nordic Swan ecolabel.",Iceland,77.763172,,,
Center Hotels,53493390.0,"Iceland, Capital Region, Reykjavík, 14 Þverholt, 101",https://www.linkedin.com/company/centerhotels,www.centerhotels.com,"Welcome to Center Hotels, where hospitality feels like a warm family embrace! We're not just any hotel chain; we're a cozy, Icelandic, family-operated ensemble nestled right in the heart of Reykjavík's lively center. We began our journey with a small guesthouse back in 1994 and have, over the years, blossomed into a city-centered hotel chain with a family of 9 hotels in total, each boasting various services such as restaurants, bars, meeting rooms, and spa facilities. But here's the real cherry on top: every single one of our hotels is situated right in the heartbeat of Reykjavík. That means you're smack-dab in the middle of all the cool stuff – the artsy vibes, the mouth-watering eats, and the can't-miss cultural spots. And because we're all about keeping it real, our team is made up of folks who live and breathe Iceland. Whether you're here to explore your roots or just soak up the Icelandic charm, we're on a mission to make sure your stay feels nothing short of genuine. Trust us to be your home away from home and your insider guide to everything Icelandic.",Iceland,53.49339,,,
Keahotels,44332276.0,"Iceland, Northeast, Akureyri, 18 Skipagata, 600",https://www.linkedin.com/company/keahotel-ehf,www.keahotels.is,"Keahotels welcomes you to Iceland.  Keahotels is one of the largest hotel chains in Iceland operating ten hotels. Our ten hotels are placed in key locations around Iceland, granting you a full access to the most attractive places: Reykjavík city, Siglufjörður, Akureyri town, Grímsnes and Vik in Mýrdal on the south coast.  Each hotel has its own atmosphere and touch and offers a unique experience.  We invite you to share with us all the best of what our country has to offer and look forward to welcoming you.",Iceland,44.332276,,,
Petit St Vincent - Private Island Resort,16992018.0,"Iceland, Psv Resort",https://www.linkedin.com/company/petit-st-vincent---private-island-resort,www.petitstvincent.com,"Petit St. Vincent, known locally as PSV, is one of the Caribbean Islands, 40 statute miles south of St. Vincent in her Grenadine islands. It consists of softly rolling hills spread over 115 acres (46 ha) surrounded mostly by two miles (3 km) of white powdered sand beaches and is home to a ‘small luxury hotels of the world’ property.  PSV consists of 22 ocean view cottages, half are elevated on various bluffs offering stunning views of the archipelago and the remainder being beach front villas. All cottages and villas are extremely spacious, have bedrooms with super-king size beds, lounges and ample sun-decks or beach front gardens. With a staff count of over 100, this boutique resort offers a staff to guest ratio of 3:1. The guest cottages are all air conditioned, they come fitted with Bose Ipod docks, Nespresso coffee machines, Italian 300+ thread count linen, soft Mascioni towels and even BVLGARI bathroom amenities come as a standard. The resort follows an unplugged, no news no shoes concept and does not have televisions in the guest cottages. PSV offers an elegant approach to all inclusive resorts. PSV appeals to a variety of clientèle from all parts of the world, with daily direct flights from Toronto, New York, Miami and three flights a day from London Gatwick all heading into neighbouring Barbados, the journey couldn't be easier. PSV has partnered with local aviation specialist, Mustique Air, offering guests a private plane service for the last short hop from Barbados.   The personalized attentive service coupled with the ultimate privacy of the hillside cottages and luxury beach front villas offers an ideal option for those seeking magical honeymoon destinations as well as guests looking for all inclusive holidays but with the impeccable service one would expect from exclusive resorts. For reservations and booking enquiries please contact info@petitstvincent.com  / Phone +1 954 963 7401 http://www.petitstvincent.com http://facebook.com/petitstvincent",Iceland,16.992018,,,
ION Hotels,16362684.0,"Iceland, Capital Region, Reykjavík, 29 Síðumúli, 108",https://www.linkedin.com/company/ion-hotels,ioniceland.is,"ION Hotels are two sustainable design hotels based in Iceland. The award-winning ION Adventure Hotel is located in the middle of the Icelandic wilderness where exotic adventures meet luxurious accommodations. It‘s little sister, ION City Hotel is located right in the heart of Iceland´s capital, where guests breath in the urban culture and metropolitan lifestyle. Also pertaining to the ION conglomerate are Silfra restaurant, Sumac restaurant and Opal Apartments.",Iceland,16.362684,,,
Hotel Hafnarfjordur,13845348.0,"Iceland, Capital Region, Hafnarfjörður, 72 Reykjavíkurvegur, 220",https://www.linkedin.com/company/hotel-hafnarfjordur,www.hotelhafnarfjordur.is,Hotel in Hafnarfjordur - Iceland,Iceland,13.845348,,,
Shearwater Resort,13216014.0,Iceland,https://www.linkedin.com/company/shearwater-resort-&-marina,www.shearwater.ca,"**In the process of being updated**2022** Shearwater Resort LLP & Shearwater Fuel LP, a Fishing & Eco-tour Resort, as of July 2021 now owned and operated by the Heiltsuk Nation. Our location is the hub of the central coast , the inside passage, of British Columbia. A short ride from the community of Bella Bella BC. Our resort encompasses the; Cedar Lodge, Shearwater Lodge, Limited Vacation Rentals, Bar and Grill, moorage, fuel dock, shipyard with a travel lift and dry dock, grocery store, liquor store, hardware store, laundromat with public washrooms and showers. We also have a Seabus that travels, regularly, between our communities of Denny Island and Bella Bella, and a Water Taxi available to take you to the surrounding communities.",Iceland,13.216014,,,
Hotel Husafell Iceland,12354896.0,"Iceland, Husafell, Borgarbyggd, 311",https://www.linkedin.com/company/hotel-husafell,www.hotelhusafell.com,"Located on the edge of the uninhabited highlands of West Iceland, four-star Hotel Husafell is an eco-friendly oasis of luxurious comfort and contemporary design that embraces local artistry and the Icelandic wellness lifestyle at its finest. Located just twenty minutes from Langjokull Glacier we offer easy access to Into the Glacier Ice Caves, as well as Caving adventures in the world’s largest lava tube and endless hiking opportunities in the surrounding woodlands. Guests of Hotel Husafell resort enjoy relaxing in our outdoor geothermally heated swimming pools and playing Midnight Golf on our 9-hole course open 24-hours in summer. First-class dining in our renowned restaurant is an unforgettable experience with locally sourced ingredients and glacier views from the floor-to-ceiling windows. Our 48 well-appointed guestrooms feature unique details like heated floors, paintings by local artist Pall Gudmundsson and bath amenities made from Icelandic herbs. The property is family owned and operated by locals whose roots in Husafell date back seven generations. Hotel Husafell is the only hotel in Iceland that is fully self-sustainable, running on 100% clean, renewable energy produced in our on-site hydro-electric and geothermal power generators. Proud member of National Geographic Unique Lodges of the World.",Iceland,12.354896,,,
Hotel Holt,11328012.0,"Iceland, Capital Region, Reykjavík, 37 Bergstadastraeti, 101",https://www.linkedin.com/company/hotel-holt,www.holt.is,"Hotel Holt is an established and well-known luxury hotel in the heart of Reykjavik.  The hotel has a good reputation due to the outstanding customer service, great location, and luxurious rooms. Our guests are well received by our multi-lingual employees.  We strive to make their stay at Hotel Holt a memorable and enjoyable one. Hotel Holt is a beautiful hotel, located on a quaint little street close to the city center.  Reykjavik is a small and friendly city, which is easy to navigate and the location of the hotel is excellent with regards to reaching the heart of the city. The hotel is known the world over for its art collection, which is the largest privately-owned art collection in Iceland, which makes the hotel even more unique.",Iceland,11.328012,,,
HI Iceland,10901379.0,"Iceland, Capital Region, Reykjavík, 34 Sundlaugavegur, 105",https://www.linkedin.com/company/hostelling-international-iceland,www.hostel.is,"Hostelling International Iceland - Farfuglar ses is a nonprofit organization founded in 1939 to promote international understanding of the world and its people through hostelling. Today it is a network of 23 welcoming hostels all around the country. They range from modern, fun, and funky gateway hostels to small more remote ones in rural settings.    HI Iceland, in cooperation with other national associations worldwide, belongs to Hostelling International (HI). This entire network,, offers more than 3,000 hostels in over 60 countries. The blue triangle with the tree and hut is the trademark and seal of approval of the  HI assuring travelers quality, affordable accommodations that are routinely inspected and travel programs worldwide.",Iceland,10.901379,,,
Pearl South Padre,10350862.0,Iceland,https://www.linkedin.com/company/pearl-south-padre,pearlsouthpadre.com,"Nestled on the island's southern tip, the Pearl South Padre Island Resort is a premier oceanfront resort for families and couples who want to experience tranquil views and soft sand beaches in South Texas. Warm rays of sunshine and tropical breezes await your arrival. From the moment you drive down the palm tree lined brick road and discover our lush landscaping and pristine beaches, you'll know why the Pearl South Padre is South Texas' ""Best on the Beach"" resort destination.",Iceland,10.350862,,,
