Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
BH Air Ltd.,13249448.0,"Bulgaria, Sofia-capital, Sofia, 7a Dyakon Ignatii Str., 1000",https://www.linkedin.com/company/bh-air-ltd,www.bhairlines.com,"Our History   We were in 2001 as a new Bulgarian Air company - BH Air.   BH Air is a private charter airline with a main base in Sofia. In the summer the company operates flights from Bourgas and Varna airports to the UK, Scandinavia, Italy and other European countries. Also, flights to Africa, Asia and the Middle East are operated for groups travelling in connection with cultural and sports events and on business. Furthermore, BH Air provides wet lease operations to several airlines. BH Air is structured around a team of dedicated professionals who are steadily building the company’s reputation of being totally committed to its customers and passengers, thus maintaining exclusive safety standards and outstanding customer service – Service Excellence. The airline currently employs a staff of 250 (herein 150 flight deck and cabin crew) committed to our vision to deliver sustained performance, service and growth.   Since its first flight in February 2002, BH Air has been focusing on the development of a genuine 21st-century air company that will have the power to redefine the aviation standards in Bulgaria. It has always been led by innovation and forward thinking and that is one of the secrets of BH Air’s amazing success story.   BH AIR provides its passengers with comfort, safety and remarkable service on board.",Bulgaria,13.249448,,,
Bulgaria Air,329197845.0,"Bulgaria, Sofia-capital, Sofia, 1 Brussles Bvld., 1540",https://www.linkedin.com/company/bulgaria-air,www.air.bg,Bulgaria Air is the National air carrier of Republic of Bulgaria based at Sofia Airport /SOF/. The airline also operates scheduled and charter flights from its secondary bases in Varna /VAR/ and Bourgas /BOJ/. We have a very well established route-network to over 30 destinations across Europe and Asia with convenient and cost effective transfer links to over 780 worldwide destinations in cooperation with our airline partners. We operate a modern fleet of Airbus A320 family and Embraer E-190 aircraft offering high level of comfort in both our Economy and Business Class cabins.,Bulgaria,329.197845,,,
European Air Charter,31085245.0,"Bulgaria, Sofia-capital, Sofia, 35 Ulitsa Pavel Krasov, 1138",https://www.linkedin.com/company/bulgarian-air-charter,bgaircharter.com,"Bulgarian Air Charter Jsc. is a charter airline based in Sofia, Bulgaria. Bulgarian Air Charter has offices in Sofia, Berlin, Varna, Burgas and Rome.",Bulgaria,31.085245,,,
Fly2Sky Airlines,35416796.0,"Bulgaria, Mladost, 64 Building A02 Bulevard Hristofor Kolumb, 1592",https://www.linkedin.com/company/fly2sky,www.fly2sky.aero,"Fly2Sky is an EASA and IOSA certified charter and ACMI operator as well as an expert aircraft management services provider. From our base in Bulgaria, we serve clients within the Europe and globally.",Bulgaria,35.416796,,,
SkyRefund,17621352.0,"Bulgaria, Triadica Sofia-city, 24e Slavovitsa, 1404",https://www.linkedin.com/company/skyrefund,www.skyrefund.com,"SkyRefund is a company determined to empower air passengers and provide them with a simple, quick and easy way of upholding their rights. With a team of internationally recognized lawyers by prestigious rankings such as The Legal 500 and Chambers & Partners, excellent software developers and determined claims specialists, we help air passengers receive the compensation that is rightfully owed to them in cases of delay, cancellation, denied boarding and downgrade.",Bulgaria,17.621352,,,
Sofema Aviation Services,16167461.0,"Bulgaria, Sofia-capital, Sofia, 19 Ulitsa Yakubitsa, 1164",https://www.linkedin.com/company/sofema-aviation-services,www.sassofia.com,"Since 2008, Sofema Aviation Services (SAS) has been at the forefront of aviation regulatory training, delivering comprehensive and practical solutions tailored to meet global compliance standards. Our extensive portfolio spans multiple regulatory jurisdictions, including EASA, FAA, UAE GCAA, OTAR, and beyond, empowering both organizations and individuals to achieve success. With over 125,000 enrollments to date, we’ve become a trusted partner in aviation training excellence. Our worldwide reach ensures flexibility, offering training through interactive webinars and classroom-based courses, all delivered by seasoned aviation professionals with 20+ years of experience. Many of our instructors are multilingual, ensuring accessibility for a global audience. Leveraging 50+ years of industry expertise, we focus on more than just compliance—we deliver training designed to drive real organizational improvements. SAS remains committed to innovation and customer satisfaction, continuously enhancing our programs to meet the ever-evolving needs of the aviation industry. Are you ready to develop your team’s expertise and performance? Contact us today at team@sassofia.com and discover how our tailored training solutions can make a measurable impact on your organization. Let us guide you on your journey to achieving operational excellence!",Bulgaria,16.167461,,,
AeroContractor,12586680.0,"Bulgaria, Sofia-capital, Sofia, 1528",https://www.linkedin.com/company/aerocontractor,aerocontractor.bg,AeroContractor LTD,Bulgaria,12.58668,,,
Bul Air,11720666.0,"Bulgaria, Sofia, Brussels Blvd",https://www.linkedin.com/company/10935436,www.bulair.bg,"History BUL AIR charter carrier (ICAO code: BVL) was originally founded in 1954 as part of the famous Bulgarian TEXIM corporation, a company which surpassed its time. At that time BUL AIR successfully operated six IL-18 aircraft on charter destinations around Europe, Asia, Africa and the the USSR, and after merging with the Bulgarian national carrier TABSO became part of BALKAN –Bulgarian Airlines. Today In 2015 the brand BUL AIR was revived as a privately-owned company to provide the best in class quality, safety and comfort on charter services. We are going to achieve this in close cooperation with proven European partners in aviation sector.",Bulgaria,11.720666,,,
Aerotour MM,6922674.0,"Bulgaria, Sofia-capital, Sofia, 34 Shipka Street 9 Tsar Osvoboditel Blvd. Sofia, 1504",https://www.linkedin.com/company/aerotour-mm,aerotourmm.com,"Aerotour MM is a company based in Bulgaria. IATA agent since year 2000 we are in top 5 in air ticketing producing companies in Bulgaria. We offer TripCon, a non IATA agencies system by Travelport Bulgaria and serve corporate clients. Visas and excursion to Russia and other countries from the ex Soviet Union are our trademark. Since 1994 we believe, that responsible attitude creates trust in our customers and partners.",Bulgaria,6.922674,,,
Route Aviation,5664006.0,"Bulgaria, Sofia-capital, Sofia, 104 Hipodruma, 1612",https://www.linkedin.com/company/route-aviation,www.routeaviation.com,"Route Aviation provides online training and recruits aviation personnel. Route Aviation is part of Aviation Brothers Ltd. A company created by professionals with long aviation experience for professionals, who are looking for the easiest and most pleasant way to stay current in the aviation market.  We recruit aviation personnel for permanent or contract jobs.  We recruit for the following positions:  Pilots, Licensed Engineers (CAT A, B1, B2, C), Airframe/Engine Fitters, Cabin Mechanics, Avionics Technicians, Workshop Technicians, Sheet Metal Workers, Painters, Composite and NDT Technicians. We provide online training courses for aircraft staff: - EWIS 1 & 2 - EWIS 4 & 5 - EWIS 6,7 & 8 - Human Factors (Initial + Recurrent) - Fuel Tank Safety 1 & 2 We perfectly understand  the needs of our colleagues all over the world, that’s why our Route Aviation online training can provide them a quality service that they can rely on.",Bulgaria,5.664006,,,
