Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
8topuz Wealth Fintech,3773652.0,"Cyprus, Limassol, Limassol, 55 6g Gladstone Str, 3040",https://www.linkedin.com/company/8topuz-consulting,www.8topuz.com,"8TOPUZ Wealth Fintech: pronounced “Octopuz” is an Artificial Trading Intelligence FinTech company. Benefit from some of the most advanced trading systems and trading tools available in the market, to help you to succeed. Risk Disclaimer: Your capital is at risk Bloomberg LEI: https://lei.bloomberg.com/leis/view/254900H5PFF51J6TYH33 Our Privacy Policy can be found here:  https://8topuz.com/wp-content/uploads/2019/06/Privacy-Policy-8topuz.pdf 8topuz is an official trading partner of FX Capital. FX Capital MA Ltd is not independently regulated by the FCA. FX Capital MA Ltd is a signal provider to Pelican Trading.  Pelican Trading is a trading name of London & Eastern LLP, authorized and regulated by the Financial Conduct Authority in the UK, ref 534484. Registered address: 85 Great Portland Street, First Floor, London, W1 W7LT.",Cyprus,3.773652,,,
Abacio,628942.0,"Cyprus, Limassol, Limassol, 37 Spirou Kyprianou, 4154",https://www.linkedin.com/company/abacio,www.abacio.com,"Abacio is a fintech startup with a global aspiration that wants to be part of the revolution happening in the Finance industry. Our vision is to offer savings, micro-investment and wealth management services to everyone. Our team of extremely capable and experienced people bring years of experience in global startups and in the finance industry.",Cyprus,0.628942,,,
ADAX Exchange,2517336.0,"Cyprus, Nicosia, Nicosia",https://www.linkedin.com/company/adax-tech-limited,adaxtech.com,"Trade or list security tokens with access to a global marketplace. Regulated by the Cagayan Economic Zone Authority (CEZA, a leading location for fintech innovation, ADAX exchange provides a stringent investor diligence portal and transaction services for regulated alternative assets.",Cyprus,2.517336,,,
ADNetwork Global,3172179.0,"Cyprus, Larnaka, Larnaca",https://www.linkedin.com/company/adnetwork-global,www.adnmea.com,Accelerate business growth with digital and fintech integrations to offer multi-channel and seamless payments interactions.,Cyprus,3.172179,,,
Axios Holding,2819715.0,Cyprus,https://www.linkedin.com/company/axiosholding,axiosholding.com,"Axios Holdings is a FinTech incubator, fathering companies from a range of verticals.  Our mission is to create the most innovative, comprehensive and embracive FinTech hub in the world. Whether we’re developing products and services from scratch or nurturing the ideas of other creative minds in our space, we want to be the go-to brand for FinTech solutions.  The way we plan to turn our vision into reality is by leveraging our knowledge and technology.  The company's innovation and growth is directly correlated to the growth and stimulation of our people. What brought us to the dance and what will continue to fuel our quest for excellence is the motto of “Always question, learn and improve.'' Companies are nothing without people and we are firm believers in empowering people to be themselves.",Cyprus,2.819715,,,
Broctagon Prime,360759.0,"Cyprus, Limassol, Limassol",https://www.linkedin.com/company/broctagonprime,www.broprime.com,"Build a Brokerage. Bridge with Broctagon. As a member of the Broctagon Fintech Group, Broctagon Prime is a leading prime services provider based in Cyprus. Here at Broctagon our clients have the ability to tailor their own brokerage solutions while having access to second-to-none liquidity for FX, Binary Options and other Derivatives.  Broctagon is the industry’s first provider of MT4 Binary Options. After identifying the evident need for an advanced and all-inclusive platform, Broctagon can now offer its innovative solutions worldwide. Our mission is to give our clients ultimate control over their own brokerage operations, by providing a full suite of tools to start, build and maintain your firm. Set-up has never been so streamlined. We deliver every aspect that an investor requires to build a brokerage; from the MT4 platform with our cutting-edge MT4 Binary Options Plugin, to Risk Management, CRM and Back-Office software. Not only can we provide access to Tier 1 banking liquidity, but we also provide the bridge to access it. Broctagon will be there for support and assistance every step of the way.",Cyprus,0.360759,,,
CB ECOMMERCE PROCESSING,352464.0,"Cyprus, Larnaka, Agios Theodoros, 10 Kosta Michaelide, 7730",https://www.linkedin.com/company/cb-ecommerce-processing,cb-ecommerce-processing.com,"CB eCommerce Processing is owned by Mr. Christian van Biezen and managed by a core team of experts with 70 years of combined experience in payment processing and banking technology. Mr. van Biezen has worked in several Tier one FinTech's, has helped many merchants in his career and many stayed with him because he always put the client first and support them when needed. WorldPay, Nuvei, EmerchantPay are a few of his old employees and has gained tons of global experience because of his positions at those FinTech's. We provide support, advice or consult any client in any vertical market, such as Gaming, Gambling, Forex, Crypto and many others. We also consult for our partners who provide industry in depth knowledge, which are looking for professional investing advise for top tier investors in low, medium and high risk industries.  We handle small, medium and enterprise sized companies with their online business. This means advising which AML provider or acquirer to use for your business needs. If its a bank account, processing, adding payments, expanding in additional markets, we can advise and consult in line with your business needs. Companies like WorldPay, Checkout.com, eMerchantPay and several others are our partners and the best in the business. We can provide a better pricing than when a client would go directly, because of the low cost price CB-ECOMMERCE-PROCESSING has, because of the amount of clients and traffic we send. The company has several consultants dealing with any vertical market out there. Our network contains of the highest caliber payment professionals globally and all have been working in a high demand space. We believe in transparent, genuine, honest, long term partnerships. We believe in fast onboarding, lowering prices, increasing card acceptance ratio & increasing clients net-income. Our team members are agents and consultants in their own right, and they have worked with many FinTech market leaders over the years.",Cyprus,0.352464,,,
Dolphin And Whales Consulting,5991894.0,"Cyprus, Limassol, Anastasi Shoukri",https://www.linkedin.com/company/dolphinwhale,dnw-consulting.com,"D&W Holding, an international financial advisory company in collaboration with a prominent neobank, is championing an innovative banking solution that supports IBANs, SEPA, SWIFT transfers, and crypto settlements, specifically targeting underbanked customers in Europe, the UK, South East Asia, and the Middle East",Cyprus,5.991894,,,
Eclair Capital Consulting,1169857.0,"Cyprus, Limassol, Limassol",https://www.linkedin.com/company/eclair-capital-consulting,www.eclaircapital.com,"Éclair Capital Consulting is born from the idea that experience goes with expertise and bringing solutions to our clients needs.  We created a One stop shop boutique consulting and advisory firm offering a gateway to the know-how and experience of exclusive selections of services and products within the Corporate, Banking, Financial and Fintech Businesses. Through extensive experience within the banking, Online brokerage, Fintech and International Arbitration and Commercial Dispute, our team would be ready to offer a customised approach and solutions to your needs.",Cyprus,1.169857,,,
ECOMMBX,29254545.0,"Cyprus, Nicosia, Nicosia, 27 Pindarou Street, 1060",https://www.linkedin.com/company/ecommbx,www.ecommbanx.com,"ECOMMBX represents the new age of fintech, revolutionizing the way businesses handle their global transactions.   We specialize in e-account management, cross-border payments, personal & business cards, acquiring, and multi-currency conversions, all through our ECOMMVERSE, A PLATFORM TO RULE THEM ALL. And when we say that, we mean it! Because the ECOMMVERSE is a single, innovative and intuitive platform that gives you instant access to all of ECOMMBX's services.   To ensure the most cost-effective and efficient execution of all your e-banking transactions, our innovative serving model is based on four cornerstones: cutting edge technology designed for the global banking industry; customized connections with banking partners around the world; stringent security; and maximum operational speed.   In short, our ECOMMVERSE is your go-to address for e-accounts and all related products as well as a series of other services and benefits that make your business smoother and your life easier.",Cyprus,29.254545,,,
