Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Albjerk Bil AS,47908035.0,"Norway, Buskerud, Drammen",https://www.linkedin.com/company/albjerk-bil-as,www.albjerk.no,"Albjerk Bil ble grunnlagt i 1973, den gang under navnet Albjerk Auto, og består av bilselskapene Albjerk Bil Drammen, Albjerk Bil Lier, Albjerk Bil Ringerike, Albjerk Bilutleie og Albjerk Bil Outlet.  Vi selger 5. 500 nye og brukte biler i året, og har 250 dedikerte og dyktige medarbeidere. Vi setter alltid kunden først og ønsker å levere den beste kundeopplevelsen i bransjen. Vi har skapt en kultur basert på samarbeid, inkluderende holdning og et genuint ønske om å levere den beste tjenesten. På den måten opplever vi svært gode tilbakemeldinger fra kundene våre, både når det gjelder salg og service. Albjerk Bil er merkeforhandler av Audi, ŠKODA, Volkswagen og Volkswagen Nyttekjøretøy, hvilket gjør oss til den største forhandlergrupperingen av våre merker i regionen, og en av landets største privateide merkeforhandlere.",Norway,47.908035,,,
Bil-Service AS,33354702.0,"Norway, Vestfold, Sandefjord",https://www.linkedin.com/company/bil-service-personbiler-as,www.bilservice.no,"Bil-Service AS er en solid forhandler av Volvo og Ford, i tillegg til merker som Polestar, Mazda, BYD og MG. Bil-Service AS tilbyr nybilsalg, bruktbilsalg, verkstedsdrift inkl. skadeverksted, dekkhotell og bilpleie. Samlet i delkonsernet Drive tilbyr personbilvirksomheten i tillegg bilutleie og salg av bildeler. Vi har avdelinger i Holmestrand, Tønsberg, Sandefjord, Larvik, Kongsberg og Notodden. Vår fellesadministrasjon er lokalisert på Pindsle i Sandefjord.  Bil-Service er en del av Cognia-konsernet, som opererer innen seks forretningsområder: personbil, lastebil, helse og beredskap, eiendom, teknologi samt kapitalforvaltning. Konsernet har store ambisjoner, og søker å være innovative og offensive i sin tekning.",Norway,33.354702,,,
Firda Billag AS,26679084.0,"Norway, Sogn Og Fjordane, Førde",https://www.linkedin.com/company/firdabillagas,www.firda-billag.no,"Firda Billag AS is transport company, consisting of Firda Billag Buss AS (buss company), Transferd AS (Truck Logistics), and Fjordane Bilutleige AS (AVIS car rental)",Norway,26.679084,,,
Ticket Feriereiser AS,23846660.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/ticket-feriereiser-as,www.ticket.no,"Ticket Feriereiser AS is the largest travel agency chain in the Nordic region, offering a comprehensive range of travel services through physical stores, phone sales, and online platforms. The company collaborates with leading charter companies, travel organizers, cruise lines, airlines, hotels, and car rental services, providing customers with access to over 400 travel options. With 68 stores across Norway and Sweden and online sales in ten countries under the brands Ticket, AirnGo, and Charter, Ticket aims to deliver exceptional travel experiences. Owned by the investment company Braganza, Ticket Feriereiser is committed to an omnichannel strategy that combines personalized service with the convenience of online booking. The company targets a diverse clientele, including families, young travelers, and adventure seekers, while continuously adapting to market trends and customer preferences.",Norway,23.84666,,,
Birger N. Haug AS,9603877.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/birger-n-haug-as,www.bnh.no,"Birger N. Haug, Norges største Nissan- og Subaru-forhandler, ble etablert i 1947 og hadde 75 års jubileum i 2022. Det som startet som et verksted på Bislett utviklet seg raskt. I dag er Birger N. Haug også forhandler av Hyundai, MG, BYD, Seres, Isuzu og Maxus og har avdelinger i Oslo, Asker og Bærum (Rud), Lillestrøm, Ski, Drammen, Gardermoen og Røyken. Fordelt på våre avdelinger er 350 ansatte innenfor salg av nybil, bruktbil, verksted, skadeavdeling, bilutleie og klargjøring. Våre kjerneverdier har siden 1947 vært kvalitet og omtanke. Kvalitet fordi det skal være kvalitet på alt vi leverer, og aller viktigst kvalitet på det arbeidet vi utfører. Omtanke fordi vi bryr oss om miljøet, mennesker og deres utvikling. Vi viser interesse, har toleranse og respekt for andre –både kunder og medarbeidere.",Norway,9.603877,,,
Delko Mo AS,3826924.0,"Norway, Nordland, Mo I Rana, 13 Nordre Gate, 8622",https://www.linkedin.com/company/delko-mo-as,delko-mo.no,"Delko Mo AS is a package/freight delivery company based out of Nordre Gate 13-17 (Helgelandsterminalen) Delko Mo also provides Car Hire through Sixt Car Rental Mo i Rana We have over 20 years of experience in the transport business. Our experience ranging from everyday deliveries consisting of DHL/DANX/JETPAK, to express deliveries on demand within the entire Nordic region.",Norway,3.826924,,,
Sixt Norge,3475007.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/sixt-bilutleie-norge,www.sixt.no,"Sixt Bilutleie er en internasjonal bilutleie kjede med 4500 utleiestasjoner i 105 land over hele verden. I Norge har vi 80 utleveringssteder og er tilstede på alle de store Norske flyplassene. Sixt i Norge har mer enn 40 års bilutleie erfaring og har drevet landsdekkende utleiekjede i 20 år. Sixt er verdens største BMW kunde og er kjent for å tilby premium biler i hele verden. Sixt er en premium utleiekjede med sterk fokus på service, kvalitet og sikkerhet.",Norway,3.475007,,,
Bergen Bilutleie AS,3146670.0,"Norway, Nesttun, 28 Ulsmågvegen, 5224",https://www.linkedin.com/company/bergen-bilutleie-as,www.bergenbilutleie.no,"Bergen Bilutleie AS is a car rental company located at Nesttun in Bergen. Bergen Bilutleie AS was founded in 1993, and today we have 7 employees with many years of experience in the business. Our great variety of cars makes us class-leading in the West coast of Norway. We offer economy cars, estates, automatic cars, electric cars, premium cars, vans, people carriers, cars with four-wheel drive, minibusses and trucks.",Norway,3.14667,,,
Europcar Norge,2517336.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/europcar-norge,www.europcar.no,"Europcar er markedsleder i Europa, og har vunnet prisen ""Europe's Leading Car Rental Company"" i World Travel Awards 14 år på rad (2003-2016). Sammen med våre partnere er vi en del av verdens største bilutleienettverk med mer enn 3.300 stasjoner i over 140 land. Europcar Norge eies og drives som en franchisetaker av Europcar International gjennom selskapet Interrent AS. Som franchisetaker er Europcar Norge 100% integrert med Europcar International's internasjonale nettverk og organisasjon verden over. Europcar Norge har  40 utleiestasjoner fordelt over hele landet og er tilgjengelig på alle flyplasser med kommersiell drift. Vi har en bred og allsidig flåte av person- og varebiler. Bilene våre har en gjennomsnittsalder på 6-10 måneder, og majoriteten av flåten har fem stjerner i Euro NCAP (minimum fire). Vi har fokus på miljø, og jobber kontinuerlig med å redusere vår miljøpåvirkning. Vi tilbyr biler med relativt lavt utslipp, i tillegg til et utvalg miljøvennlige hybridbiler som er delvis e-drevne. Europcar har vunnet prisen ""World's Leading Green Transport Solution Company"" åtte ganger - og hvert år siden 2010.",Norway,2.517336,,,
Rogaland Bilutleie AS,2395401.0,"Norway, Rogaland, Sandnes, 1a Myklabergveien, 4314",https://www.linkedin.com/company/rogaland-biluleie-as,www.rogalandbilutleie.no,"Rogaland Bilutleie AS´s roots go all the way back to 1932, when a young man borrowed NOK 5,000 from his father to start his own business. Today, the third generation of our family operates the company, and it has become one of Norway´s largest rental companies for vans, trucks, cars, minibuses and pickups. We also offer chauffeured transportation. In a free-standing, family-run company based on the same principles and enthusiasm as the founder had almost nine decades ago everyone is closely involved. The decision-making paths are short and the flexibility great, something our clients appreciate. Many of the major companies in the region, especially in the oil and gas sector, have already benefitted from this for decades.",Norway,2.395401,,,
