Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Mega Sprint Guard,5479817.0,"Greece, Attica, Athens, 29 Paradeisou Zagoras Paradeisos",https://www.linkedin.com/company/mega-sprint-guard,www.megaguard.gr,"Mega Sprint Guard is a leading provider of integrated security services in Greece. Established in 1994, Mega Guard provides a diverse range of security services including port and airport security, hospital and company security, concierge services, security training, VIP security and maritime security, event security. We serve all types and sizes of companies with pride, responsibility and efficiency, and also offer access control systems, cash in transit security, risk assessment and remote video solutions. Η Mega Sprint Guard είναι ηγέτης στην παροχή υπηρεσιών φύλαξης και προστασίας ανθρώπων και αγαθών στην Ελλάδα. Με περισσότερα από 22 χρόνια στον χώρο των ολοκληρωμένων λύσεων ασφάλειας, η Mega Sprint Guard, χάρη στο έμπειρο και εξειδικευμένο ανθρώπινο δυναμικό της, παρέχει υπηρεσίες ασφαλείας και φύλαξης με αξιοποστία και υπευθυνότητα. Ενδεικτικά οι υπηρεσίες μας συμπεριλαμβάνουν: ►Υπηρεσίες Ασφάλειας υψίστης ασφαλείας NATO/ΑΠΟΡΡΗΤΟ  ►Ασφάλεια αερολιμένων και αεροσκαφών  ►Ασφάλεια πλοίων και λιμένων  ►Ασφάλεια λιμένων και αερολιμένων  ►Ασφάλεια υποδομών εθνικής άμυνας  ►Φύλακες και συστήματα αποτροπής κλοπών  ►Παροχή συμβουλών σε θέματα ασφαλείας  ►Προστασία — Ασφάλεια Επίσημων Προσώπων ►Εξειδικευμένη επανδρωμένη φύλαξη  ►Εκπαίδευση σε θέματα ασφαλείας ►Υπηρεσίες Περιπολίας ►Υπηρεσίες υποδοχής  ►Υπηρεσίες ναυαγοσωστικής ►Υπηρεσίες Ασφαλείας Χρηματαποστολές ►Ανάλυση Κινδύνου ►Λύσεις απομακρυσμένης εποπτείας — κλειστά κυκλώματα ασφαλείας ►Συστήματα Συναγερμού ► Συστήματα ελεγχόμενης πρόσβασης ► Συστήματα πυρανίχνευσης και διαρροής αερίων ► Συστήματα πυρόσβεσης  Η εταιρία μας έχει βραβευθεί για την αξιοπιστία και αποτελεσματικότητα των παρεχόμενων υπηρεσιών της από διεθνή οργανισμούς. Social Media links: Pinterest: www.pinterest.com/megaguard/ facebook: www.facebook.com/MEGA-SPRINT-GUARD-AE-171084546291111/timeline Twitter: www.twitter.com/Mega_Guard Google+: https://plus.google.com/108062852917423203107/posts",Greece,5.479817,,,
Beyond Mykonos,1239155.0,"Greece, Attica, Athens, 18 Charilaou Trikoupi, 106 79",https://www.linkedin.com/company/beyond-mykonos,beyondmykonos.com,"We are Beyond Mykonos, a leading rental company in Mykonos having our offices based in Mykonos, Athens and London. Beyond Mykonos is not just another agency in the undisputedly over-commercialized sector of villa rentals and concierge in the island of Mykonos. Growing up between Greece and the UK, we experienced Mykonos from a customer’s standpoint for many years before the island reached the glory it is experiencing nowadays. Being world travelers from an early age, we carry with us international influences and experiences which helped us shape our values in the hospitality sector. Our attention to detail and unparalleled care on the concierge side of our business, result in high quality VIP services that meet the standards of our high-profile clients. In more detail, before any collaboration with property owners, we thoroughly inspect the villas and all the services that are included so as to guarantee top quality services. The experienced Beyond Mykonos team takes care of every single detail of our clients’ vacations so that they have a relaxing, luxurious and flawless travel experience. Our specialized VIP team makes sure that everything runs smoothly for the client’s convenience. Private jets, yacht rentals, personal chefs, personal trainers and VIP transfers on the island are some of our tailor-made services. Our goal is to make our guests part of the Beyond Mykonos family, listen and understand their needs for their much-needed vacation. Beyond Mykonos is there 24/7 to make the VIP clients experience unforgettable on the island of Mykonos. We take pride in our 100% client retention rate once they have experienced our services and we are also excited about the fact that through the experience we create for our clients, they then become ambassadors of Greece worldwide.",Greece,1.239155,,,
Homart | The Property Experts,626883.0,"Greece, Attica, Athens, 4 Avras, 16673",https://www.linkedin.com/company/homartgr,www.homart.gr,"In Homart We take good care of your property. Professional Airbnb management, from booking to cleaning. We carefully select properties in excellent locations. We either help you create the best listing, or we fully manage your property in the most professional way.  We are experienced Airbnb hosts for more than 5 years. Being a host can be a complicated task, but we have been there, learned from our mistakes and managed to maximize our bookings and boost our revenues. Trust your property to our expert team and create significant income immediately.  Airbnb is the most successful online tool for short-term rentals in the world. It is totally transparent, secure and effective. Guests love Airbnb, but hosts love it even more. Homart creates the best listings and Airbnb does the rest. We know Airbnb's secrets better than anyone and that's why we are getting paid. Homart manages unique properties in continental Greece and overseas, as long as properties cover specific qualifications. A meeting with our team will explain and reveal all potential opportunities that lie with your property. Areas, such as the Cycladic Islands, Sporades complex, Crete, the Ionian Islands, as well as Peloponnese and Evoia, are destinations of extremely high tourist demand. In “Rest of Greece” category, our team offers only the Homart BASIC service. Services Account Creation We create your account, edit the content and pick the best photos, so that your listing increases visibility and attracts more bookings.  Account Management We check prices daily, respond to requests, answer questions and settle bookings. We update your calendar constantly and arrange the scheduling of each booking.  Emergency We are available with 24/7 guest support to give solutions in urgent situations. Key management We will be there to welcome your guests and provide all necessary information, from house instructions to regulations. Professional Cleaning We coordinate cleaning and laundry between stays, with our expert cleaning team.  Payments We collect payments and make sure you are getting paid on time and with full report.  Extra Services Tourist License (EOT) We organize all necessary papers and submit your folder to the Ministry of Tourism, so you can obtain the official tourist license by EOT. Insurance Coverage We arrange for you the insurance of your furniture and belongings, in case of a potential damage. A legitimate insurance company takes over with the minimum cost. Property Valuations Our RICS certified partners will valuate your property for selling or rental purposes. Homart Concierge We will book on your behalf anything you wish to experience right away. Choose among our wide list of recommended restaurants, clubs and bars, sports and leisure activities. We will also organize your private transportation by land, sea and air.  Add the most mesmerizing moments to your holidays and become an ambassador of Greek good life to your friends back home.  Homart Concierge will provide the most sophisticated local tips for customers with exquisite and cosmopolitan tastes.",Greece,0.626883,,,
BLUE BROWN,1253766.0,"Greece, Attica, Glyfáda, 16 Pandoras Str., 16674",https://www.linkedin.com/company/blue-brown,www.bluebrown.gr,"Established in 2010, Blue Brown is a fast growing real estate brokerage, consulting, and management firm with head offices in Athens, Greece. Based on a fresh, forward-looking approach leveraging expert knowhow and a host of market insights, we soon became a leading player, offering a range of top-notch services. The key to our success is our focus on the specific needs, requirements, and expectations of each client, and our commitment to building lasting relationships of mutual trust based on professional discretion. Starting from the Athens Riviera and leveraging a dedicated team of expert consultants, Blue Brown is expanding its horizons to include select properties in Athens and across Greece with development and investment potential. A certified member of the International Real Estate Federation (FIABCI), Blue Brown has a strong client base, developed mainly through personal referrals from Greece and abroad, and offers a select portfolio of real estate assets, including a list of exclusive engagements. We focus on the specific needs and requirements of each client and we build lasting relationships of mutual trust based on professional discretion. Leveraging a vibrant network of specialized professionals—lawyers, accountants, translators, engineers, appraisers, architects, interior designers—we offer fully customized real estate services, including:   •    Lease or sale of residential, commercial and investment property •    Lease or sale of land •    Property valuation •    Seasonal leasing •    Real estate development •    Property management  •    Property exchanges •    Staging open house events •    Property furnishing upon request •    Technical support (repairs, maintenance, restoration) •    Interior design services by specialized professionals •    Concierge services  •    Yacht rentals •    Exclusive engagements",Greece,1.253766,,,
OLIAROS,9403245.0,"Greece, Attica, Athens, 42 Amalias Avenue, 10558",https://www.linkedin.com/company/oliaros,www.oliaros.com,"OLIAROS began as a personal project in 2001, when founder Iasson Tsakonas bought his first plot of land on Antiparos — a tiny, untouched island in the center of the Cyclades. Our first residential development project included seven houses on the west coast of the island, and introduced the concept of high quality, low impact properties to Antiparos. Our vision has always been to develop responsibly, creating architecture-led homes, while building neighborhoods and communities that are seamlessly integrated into the local landscape and existing social fabric. The Antiparos Project has now grown to more than 50 properties, working with more than 25 architects over 20 years, and has helped to turn the island into a landmark residential destination. OLIAROS Villa Rentals was launched in 2013, combining exceptional houses — many of which are exclusive to our portfolio — with high end concierge services led by a local team.",Greece,9.403245,,,
The Olon,3227435.0,"Greece, Attica, Voúla, 32 Vouliagmenis Avenue, 16673",https://www.linkedin.com/company/theolon,www.theolon.com,"Olon is a boutique development and lifestyle firm redefining what it means to live, invest, and experience with purpose. We go beyond traditional real estate. Our integrated services span ultra-premium property development, strategic real estate acquisitions, investor advisory, and elevated hospitality experiences — all delivered with discretion, precision, and refined taste. Whether you're a global investor seeking off-market opportunities, a future homeowner envisioning a bespoke residence, or a cosmopolitan traveler in search of tailored luxury, Olon offers a seamless, holistic experience. From strategic site selection to construction, marketing, and post-completion asset care, we manage every detail. Our hospitality arm curates design-led stays and immersive experiences that celebrate contemporary Athenian living — with dedicated concierge services and personalized attention tailored to the modern nomad seeking an unparalleled lifestyle. At Olon, we don’t just build. We design value, craft environments, and curate journeys. Always with the goal of elevating lifestyle and legacy. Live the Olon experience. Discover a new way to live, invest, and belong.",Greece,3.227435,,,
Liv Homes Greece,5980028.0,"Greece, Attica, Athens, 38 Leoforos Vasileos Konstantinou, 116 35",https://www.linkedin.com/company/livhomes-greece,livhomes.gr,"At Liv Homes, we make real estate investment in Greece simple, safe, and smart. Based in Athens, we are a real estate advisory firm specializing in modern residential developments, income-generating properties, and exclusive homes across the country. Whether you’re looking to buy your first property in Greece, expand your portfolio, or explore short-term rental opportunities, Liv Homes offers end-to-end support. From sourcing plots and entire buildings to legal coordination, rental setup, furnishing, refurbishment, taxation, and more;  we handle every detail so you don’t have to. Our portfolio includes contemporary apartments, luxury residences, turnkey investment units, and handpicked villas on the Greek islands; ideal for both lifestyle buyers and investors seeking premium holiday rentals. We also offer concierge services and access to our private yacht charter,  available for daily and weekly escapes ensuring your experience in Greece is seamless from property to lifestyle. We focus on strategic locations with strong rental yields and long-term growth. What sets us apart is our commitment to transparency, quality, and personalized service. We work with trusted developers, legal teams, and local professionals to ensure every transaction is secure and aligned with your goals. Thinking about Golden Visa? We’ve helped dozens of investors obtain residency in Greece through smart property purchases. Liv Homes is your trusted partner on the ground; offering insight, access, and peace of mind.",Greece,5.980028,,,
Smart Holidays,6319329.0,"Greece, Attica, Távros",https://www.linkedin.com/company/smartholidays,www.smartholidays.gr,"Our services vary from minimum to maximum, start before and expand after the investment aiming to best facilitate your personal needs and preferences. Real Estate in Greece Golden Visa Property Management VIP Concierge Services Event & Wedding Planing",Greece,6.319329,,,
Pelargos IVF,1566488.0,Greece,https://www.linkedin.com/company/pelargos-ivf,www.pelargosivf.com,"Pelargos IVF is a leading fertility clinic specializing in assisted conception and reproductive health. We provide a wide range of personalized, all-inclusive, and holistic services, including: - In Vitro Fertilization (IVF) - Egg Donation - Surrogacy - Egg Freezing - Preimplantation Genetic Testing (PGT-A) Our multidisciplinary team of doctors and paramedics collaborates with the top embryology labs in Athens, ensuring the highest standards of care. We are dedicated to enhancing patient satisfaction and improving success rates through cutting-edge treatments and personalized care. For international patients, we offer complimentary concierge services in partnership with Elixir Medical Concierge, making cross-border IVF treatments in Athens seamless and stress-free. In addition to fertility treatments, we provide advanced aesthetic gynecology services at our Kolonaki headquarters and offer high-end private obstetrics and gynecological endoscopic surgery at state-of-the-art day surgery units. At Pelargos IVF, we are committed to helping our patients achieve their dreams of parenthood with compassion, expertise, and innovation.",Greece,1.566488,,,
Minicards Athens,987128.0,Greece,https://www.linkedin.com/company/minicards-athens,www.minicards.gr,"Your Hotel Info Partner Our service is FREE to qualifying locations! Our fees are paid by the advertisers whose MINICARDS we distribute to our MINICARDS Display Locations! Minicards offers advertisers direct reach to Millions of consumers visiting Athens each year! The cards provide tourists with information at a glance for Archeological SItes, Shopping Destinations, Attractions, Museums and Restaurants. Our displays are often near the concierge or directly in the lobby providing a wealth of information about the city. In some cases the concierge staff will use MINICARDS to directly recommend your attraction, museum, tour, restaurant, shop, service or venue.",Greece,0.987128,,,
