Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Aerotravel,99434772.0,"Romania, Bucureşti, Bucharest, Nr. 31 Str. Mântuleasa, 023961",https://www.linkedin.com/company/1273778,www.aerotravelcorporate.ro,"With 25+ years of activity on the local market, Aerotravel is one of the most powerful travel companies from Romania, supplying business travel and M.I.C.E. services. Proudly serving more than 120 000 customers who travel with us every year, Aerotravel has been focusing on growth and development. Thus, Aerotravel can serve even more customers, in ways that better fulfill their travel needs and dreams. Aerotravel Group includes the national network specialized in business travel, the leisure agencies organized under the Fabrica de Vacante brand and AeroVacante and CruiseHub tour operators. A new leap in Aerotravel’s development! In the first semester of 2019, Aerotravel has signed the partnership with Travel Leaders and thus become the exclusive representative in Romania for the largest network of travel agencies in the USA. For Aerotravel is essential to anticipate and answer the shifting realities of travel industries, in order to ensure customer satisfaction. In this respect, the partnership with Travel Leaders represents a unique opportunity to upgrade operational and technological capabilities. •	exclusive representative of Travel Leaders in Romania •	ability to provide business travel and M.I.C.E. solutions all over the world •	adoption of cutting-edge technological solutions, with tangible and quantifiable benefits for corporate clients •	access to the most important global travel service providers •	the guarantee that travel services meet the same quality standards, regardless of the destination where they are delivered. Travel Leaders Network is the largest network of travel agencies in North America with nearly 7,000 locations producing annual sales of more than $20 billion. According to the annual Business Travel News survey, Travel Leaders is the highest-ranking travel management company for seven straight years.",Romania,99.434772,,,
Ana Hotels Romania,79925418.0,"Romania, Bucureşti, Bucharest, 1 Poligrafiei, 013704",https://www.linkedin.com/company/ana-hotels,www.anahotels.ro,"Everything except the ordinary in hospitality services for any of your trips to Bucharest, Poiana Brasov or to the Black Sea. Whatever your preferred style or touristic destination, we welcome you to InterContinental Athénée Palace Bucharest or Crowne Plaza Bucharest to Poiana Brasov, to our seaside resort in  Eforie Nord or the state-of-the-art Ana Health Spa. Just name it and we get it for you: comfort, relaxation, adventure, therapies, beauty centers, fine international dining and so much more!   Discover our hotels and make the bet for your well being! https://www.anahotels.ro InterContinental Athénée Palace Bucharest Crowne Plaza Bucharest ANA Wellness & Spa at Crowne Plaza Bucharest Ana Hotels Europa Eforie Nord Ana Health Spa Eforie Nord Techirghiol Pool Eforie Nord Ana Hotels Sport Poiana Brasov Ana Hotels Bradul Poiana Brasov Ana Hotels Poiana Poiana Brasov Ana Wellness & Spa Poiana Brasov",Romania,79.925418,,,
Ramada Hotel & Suites By Wyndham Bucharest North,71744076.0,"Romania, Bucureşti, Bucharest, 44a Daniel Danielopolu St.",https://www.linkedin.com/company/ramada-hotel-&-suites-bucharest-north,www.ramadanorth.ro,"Ramada Hotel & Suites Bucharest North is a four star property, situated in a new residential and quiet area in the Northern part of the city.   Ramada Hotel & Suites Bucharest North is a classic hotel with a perfect location, close to down town and only 9 km away from Henri Coanda International Airport.   Whether you are a business or leisure traveler or you are looking for a medium or long term stay, we can meet all your expectations by offering you different types of rooms (De Luxe, Business, and Suites), and different facilities: from free high-speed internet to the relaxing hamam passing through international-Mediterranean flavors.   Whether you are organizing a large-scale conference, a special event, an unforgettable wedding or a confidential dinner; the contemporary and versatile meeting rooms (Sapphire, Agate, Opal, Topaz, Onyx, Quartz, and Emerald), the elegant Diamond and the precious Crystal Ballrooms, the trendy Amethyst Club and the intimate Executive Boardroom will provide with the ideal setting. You surely want to make every event unique. That means more than just selecting a hotel; it’s about choosing one with character and style – one that will open you and your guests to new experiences.   Ramada Hotel & Suites Bucharest North is “the home away from home” of every our guests who would like to experience the excellent services combined with the stylish and cozy location of the property.",Romania,71.744076,,,
Crystal Palace Hotel,65930632.0,Romania,https://www.linkedin.com/company/crystal-palace-hotel,www.crystalpalacehotel.ro,Our hotel offers high quality services and tries its best to comply to the most rigurous standards.,Romania,65.930632,,,
Sky Blue Hotel & Spa,54122724.0,"Romania, Prahova, Paulestii Noi Păuleștii Noi, Principala St., 107403",https://www.linkedin.com/company/skybluehotelandspa,skybluehotel.ro,"Sky Blue Hotel & Spa is an exclusive concept designed to offer a range of premium services and facilities for our guests. The complex melds a complete set of services and features: wellness & spa hotel, hamam, artificial saline- Himalaya salt, conference and business-meeting rooms, a restaurant, fitness room, beauty salon, bowling & billiards, infinity swimming pool.",Romania,54.122724,,,
Bistrita SA,52234722.0,"Romania, Bistriţa-năsăud, Bistriţa, Nr 2 Piata Petru Rares, 420087",https://www.linkedin.com/company/bistrita-sa,www.hotel-bistrita.ro,"The `BISTRITA` Hotel lies in a quiet area in the old historic center of the city of Bistrita. A modern building, with utilities at European standards, large parking space, are at your disposal. We offer accommodation for groups of tourists, room for conferences, symposiums. The "" BISTRITA"" HOTEL offers its clients 97 places in apartments, double bed rooms, rooms with two beds, equipped appropriately. We offer accommodation for tourist groups participants in symposiums, conferences and any type of cultural, political, social activity.",Romania,52.234722,,,
RIN Airport Hotel,50976054.0,"Romania, Ilfov, Otopeni, 255a Calea Bucureștilor, 075100",https://www.linkedin.com/company/rin-hotels,www.rinairporthotel.ro,"Located just minutes from Henri Coandă International Airport and close to Bucharest’s northern business district, RIN Airport Hotel is a 4 ★ experience for travelers and corporate guests looking for comfort, accessibility, and professional services. Recognized as a conference and business center, the hotel offers 11 fully equipped meeting rooms that can host up to 250 participants, supported by our team of dedicated event specialists. Guests benefit from a complete wellness center with jacuzzi, sauna, and indoor pool, as well as 24/7 parking with 540 spaces and free airport transfer for maximum convenience. Part of Romanian hospitality group with over 20 years of experience since 2003, RIN Airport Hotel represents a reliable partner for companies seeking quality, efficiency, and accessibility in business accommodation and event services Business ready. Transit-friendly. Always on time.",Romania,50.976054,,,
Bilancia,50346720.0,"Romania, Ilfov, Corbeanca, 46 Balantei Str., 077067",https://www.linkedin.com/company/bilancia-exim-srl,www.bilancia.ro,"BILANCIA este una dintre cele mai importante companii din Europa ce activeaza in sectorul distributiei de utilaje si accesorii pentru industria ospitalitatii. BILANCIA s-a infiintat in 1992 si este o societate cu capital integral romanesc. In prezent, numara in total peste 170 de angajati in Bucuresti si in sucursalele din Brasov, Iasi, Constanta, Craiova, Timisoara, Sibiu, Cluj, Bacau, Suceava, Arad, Tulcea si in punctul de lucru Buzau. BILANCIA ofera peste 74000 de articole din domeniul utilajelor si accesoriilor profesionale. Colaboram cu 150 de parteneri din 28 de tari situate in Europa, America si Asia. Pe langa o gama variata de produse, BILANCIA ofera si numeroase servicii clientilor: consultanta de specialitate (realizarea ofertelor adaptate la nevoile clientului, training specializat pe utilaje si specificul locatiei), proiectare, finantare, mentenanta service, transport utilaje la locatie si punerea lor in functiune.",Romania,50.34672,,,
Alpin Group,48478406.0,"Romania, Braşov, Braşov, 9 Strada Poiana Doamnei, 500001",https://www.linkedin.com/company/hotel-alpin-poiana-brasov,www.alpinconference.ro,"Alpin Group is a Romanian hospitality brand with a strong tradition, based in Poiana Brașov. It brings together premium destinations such as Hotel Alpin, Alpin Apartments, and the K2 Conference Center, offering integrated services for leisure tourism, corporate stays, and special events — all set against a stunning mountain backdrop.",Romania,48.478406,,,
Hotel Fortuna,48458718.0,"Romania, Constanța, Eforie Nord",https://www.linkedin.com/company/hotel-fortuna,www.hotel-fortuna.ro,"Amplasat intr-un cadru natural de exceptie, avand o pozitie privilegiata in centrul statiunii Eforie Nord, Hotel Fortuna ofera turistilor posibilitatea petrecerii unui sejur relaxant si odihnitor la malul marii, fiind situat la numai 10 minute de plaja. Complet renovat in anul 2011, hotelul dispune de urmatoarele facilitati: loc de joaca exterior pentru copii, gradinita celor mici (in interiorul hotelului), Club Biliard, divertisment pentru copii, carucioare si patuturi gratuite pentru copii cu varstele intre 0-3ani, mini centru SPA (masaj,sauna) ,piscina pentru adulti si copii, sala de fitness, terasa amenajata in exteriorul hotelului, business corner, internet wireless in tot hotelul. NOU: - GRATUIT!! PISCINA PENTRU ADULTI SI COPII - Piscina pentru adulti si copii este cu acces gratuit pentru oaspetii hotelului! Accesul se face pe baza de bratari si se asigura prosoape. Sezlongurile sunt oferite in limita disponibilitatii. - GRATUIT!! Business Corner – serviciul este gratuit pentru oaspetii hotelului si este disponibil 24h/24h (laptopuri in limita disponibilitatii). Hotelul Fortuna va ofera o diversitate a serviciilor de masa invitandu-va in gama de restaurante situate atat in apropierea hotelului cat si pe faleza. Masa se serveste in regim de “bonuri valorice”, la urmatoarele restaurante: Coralis, Donelli,Dana,Grand,Litoral,Lebada si Panoramic.",Romania,48.458718,,,
Grand Hotel Bucharest,47508838.0,"Romania, Bucureşti, Bucharest, 4 Nicolae Balcescu Blvd., 010051",https://www.linkedin.com/company/intercontinental-bucharest,www.grandhotelbucharest.ro,"Grand Hotel Bucharest is a five-star landmark of the city, the highest hotel in town, unique for the stunning views from the guest rooms’ balconies.  The hotel is located downtown, a few minutes’ walk from the Old City Centre, the main tourist attractions, the subway and the business district. The hotel’s 257 rooms and suites are elegantly designed, with High Speed and wireless Internet access, a generous desk, comfortable beds with the best quality linen and even a pillow menu.  With its fully equipped gym, indoor swimming pool, steam and dry sauna, Jacuzzi and magnificent open air terrace, the Health Club 22nd Floor – the highest in town, is the perfect place to relax and have some time off.  Designed in a contemporary style, the Club Grand Hotel Bucharest Lounge on the 21st floor is open for the Club Rooms’ or Suites’ guests or for the ones looking for a private space to invite their business partners.  The famous Ronda Ballroom, the unique Fortuna Ballroom on the 21st floor, the elegant Rapsodia Ballroom or the meeting rooms with open terraces and natural light are venues where our team organises memorable events.  When it comes to great cuisine, the hotel stands out with its Corso Brasserie & Terrace, offering the best Sunday Brunch in Bucharest and the premium Modigliani – pasta/ carne, one of the top Italian restaurants in the city. Intermezzo Bar is the perfect place to support your favourite sport team or to enjoy a live piano music in the evening.",Romania,47.508838,,,
Ramada Parc & Plaza Hotels,45569701.0,Romania,https://www.linkedin.com/company/ramada-plaza-bucharest-&-ramada-bucharest-parc,www.ramadaplazabucharest.ro,"Private company operating 2 hotels: one 4 stars deluxe and the other 4 stars , totally 576 rooms.",Romania,45.569701,,,
