Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
ADEO,30417345000.0,"France, Hauts-de-france, Ronchin",https://www.linkedin.com/company/groupe-adeo,www.adeo.com,"ADEO is a leading international company in the home improvement and DIY sector, recognized as the largest in Europe and the third largest globally, with sales reaching €30.7 billion in 2023. Operating a network of over 1,000 stores and online platforms across 20 countries, ADEO provides innovative solutions for home improvement projects, catering to both individual consumers and professionals. The company's mission, ""We make home a positive place to live,"" reflects its commitment to enhancing the quality of life through sustainable and accessible products and services. ADEO emphasizes sustainability and energy efficiency, focusing on responsible sourcing, waste reduction, and the promotion of second-hand goods as part of its commitment to a circular economy. The company collaborates with various partners, including the Solar Impulse Foundation, to develop eco-friendly solutions, while its brands, such as Leroy Merlin and Bricoman, integrate technology to optimize energy consumption in homes. With a workforce of 110,000 employees, ADEO fosters a culture of empowerment, inclusivity, and continuous learning, ensuring that its employees are well-equipped to meet the evolving needs of the market. ADEO serves a diverse clientele, including DIY enthusiasts, professional contractors, and various non-profit organizations, while actively engaging with local communities to promote environmental awareness and social responsibility. The company's vision encompasses a commitment to reducing its carbon footprint and promoting sustainable living, aligning with global sustainability goals to create a positive impact on both homes and the planet. Through initiatives like the ADEO Solidarity Fund, the company supports employees and their families facing difficult situations, reinforcing its dedication to community engagement. By prioritizing ethical practices and collaboration with suppliers and local artisans, ADEO aims to democratize access to quality habitat solutions, ensuring that its offerings are beneficial for both customers and the environment.",France,30417.345,,,
Castorama,2878027692.0,"France, Templemars, 59175",https://www.linkedin.com/company/castorama,emploi.castorama.fr,"Castorama is a leading home improvement retailer specializing in a comprehensive range of DIY products, home renovation materials, and gardening supplies. The company is dedicated to empowering customers to create and enhance their living spaces by providing high-quality tools, building materials, and expert advice. With a mission to make home improvement accessible to everyone, Castorama aims to inspire creativity and innovation in home projects while fostering a culture of sustainability. The company serves a diverse clientele, including homeowners, DIY enthusiasts, professional contractors, and interior designers, ensuring that it meets the varied needs of its customers. Castorama collaborates with various suppliers and manufacturers to offer a wide selection of products that cater to different tastes and budgets. Its target market includes individuals looking to undertake personal renovation projects, as well as professionals in the construction and landscaping industries seeking reliable materials for larger jobs. The company emphasizes customer satisfaction and actively engages in social responsibility initiatives, addressing issues such as environmental sustainability and community support. With over 50 years of experience in the industry, Castorama is committed to providing exceptional customer service and tailored solutions, including installation and project planning services. The brand's vision includes a focus on reducing its carbon footprint and promoting eco-friendly practices, making it a trusted partner for all home improvement needs. Through its extensive product offerings and dedication to quality, Castorama continues to be a vital player in the home improvement sector, inspiring customers to transform their homes into reflections of their individual styles and functionalities.",France,2878.027692,,,
Bricomarché,2820271375.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/bricomarche,www.bricomarche.com,"Bricomarché is a prominent retail chain specializing in home improvement and gardening supplies, offering a wide range of products including tools, garden equipment, and home maintenance items. The company's mission is to provide quality products at competitive prices, catering to both DIY enthusiasts and professional contractors. With a focus on customer satisfaction, Bricomarché aims to create a welcoming shopping experience through knowledgeable staff and a diverse product selection. Its target market includes homeowners, gardeners, and tradespeople, while its partnerships with various suppliers ensure a steady supply of reliable and innovative products. Bricomarché is committed to sustainability and community engagement, making it a trusted choice for customers looking to enhance their living spaces.",France,2820.271375,,,
BRICO DÉPÔT,1330898180.0,"France, Île-de-france, Longpont-sur-orge, 30 Rue De La Tourelle, 91310",https://www.linkedin.com/company/51187,www.recrute.bricodepot.fr,"Brico Dépôt is a leading retailer in the home improvement sector, specializing in the sale of building materials and home renovation products. The company is committed to providing an exceptional shopping experience for its customers, focusing on simplicity, sincerity, and proximity in its operations. With a diverse range of job opportunities across various sectors, including commerce, logistics, and digital, Brico Dépôt aims to foster professional growth and development among its 9,000 employees in France. The company serves a wide clientele, from DIY enthusiasts to professional contractors, and partners with suppliers to ensure high-quality products at competitive prices. Brico Dépôt also emphasizes its responsibility towards the environment through its ""Net Positive"" program, reflecting its dedication to sustainable practices in the retail industry.",France,1330.89818,,,
Bricorama France,1090545000.0,"France, Île-de-france, Villiers-sur-marne, 21a Boulevard Jean Monnet, 94350",https://www.linkedin.com/company/bricorama-france,www.bricorama.fr,"Bricorama France is a prominent retail company specializing in home improvement and DIY products. The company aims to provide high-quality tools and materials to both professional and amateur builders, ensuring that customers have access to reliable and affordable solutions for their projects. Bricorama's product range includes a variety of items, from gardening tools to decorative stickers, catering to a diverse clientele that includes homeowners, DIY enthusiasts, and professionals in the construction industry. The company partners with reputable brands, such as Makita, to offer innovative and environmentally friendly products that enhance the user experience while minimizing ecological impact. With a commitment to customer satisfaction, Bricorama strives to be a go-to destination for all home improvement needs, fostering a community of creativity and craftsmanship.",France,1090.545,,,
ManoMano,287707871.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/manomano,www.manomano.fr,"ManoMano is a leading French e-commerce platform that specializes in DIY, home improvement, and gardening products. The company is dedicated to empowering both professionals and individual consumers by offering a vast selection of high-quality tools, materials, and home decor items. With a mission to make home improvement accessible and enjoyable, ManoMano serves over 7 million customers, including DIY enthusiasts and professional contractors. The platform simplifies the shopping experience by providing features such as free delivery and returns for up to 100 days, ensuring customer satisfaction and convenience. ManoMano collaborates with a diverse range of partners, including recognized brands and specialized vendors, to guarantee a wide array of products that meet various needs and preferences. The company emphasizes innovation and user experience, striving to create a seamless online shopping environment. Its vision is to become the go-to destination for all home and garden needs, fostering a vibrant community of passionate DIYers and home improvement aficionados. By focusing on quality, affordability, and exceptional service, ManoMano aims to solidify its position as the leader in the European online DIY market.",France,287.707871,,,
Wendel,49864500.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/wendellesespacesconfort,www.wendel.fr,"Wendel is a regional family-owned company specializing in home improvement and renovation solutions, offering a wide range of products including tiles, bathroom fixtures, heating and air conditioning systems, and flooring options. The company is dedicated to providing personalized service and expert advice to help clients realize their home projects, whether through in-store consultations or advanced 3D visualization services. Wendel partners with a network of qualified professionals to ensure seamless installation and customer satisfaction. With a commitment to quality and eco-friendly products, Wendel serves both individual homeowners and professionals in the construction and renovation sectors, aiming to create harmonious living spaces that enhance well-being.",France,49.8645,,,
HOZELOCK EXEL,39594059.0,"France, Auvergne-rhône-alpes, Arnas, 891 Route Des Frênes, 69400",https://www.linkedin.com/company/26152707,www.hozelock-exel.fr,"C’est en plein cœur du Beaujolais, que nous fabriquons et commercialisons une large gamme de produits pour le jardinage, le bricolage et le bâtiment sous nos marques reconnues du grand public comme Hozelock, Berthoud et Laser Industrie. 👨🏽🌾Hozelock Exel, une entreprise du groupe familial Exel Industries. Suite au rachat de la société Hozelock par notre groupe en 2012, nous devenons un des principaux fabricants européens de matériel de jardinage. 🥇Leader en pulvérisation grand public et professionnelle en France. 🐓Également le seul fabricant français dans cette catégorie, 🥈 N°2 de l’arrosage grand public en France avec la marque Hozelock (🥇 N°1 au Royaume-Uni). 🌱Précurseur et leader du jardinage au naturel : En 2017, c’est la naissance d’Hozelock PURE pour un jardinage toujours plus naturel. En 2021, Hozelock Exel a créé Nature With Us, une start-up proposant des produits écologiques sans plastique. En 2024, elle intègre cette initiative à son nom, renforçant son engagement pour des solutions écoresponsables. 🏆Champions en matière d’innovation : Exel Industries a obtenu la 3e place au Palmarès des principaux déposants de brevets à l’INPI en 2021 et 2022 et figure dans le classement des 50 1ers déposants français de brevets dans le monde. 💫 Un déploiement constant : Synonyme de fiabilité et développement, GF Garden, se profile en tant que précurseur dans le développement des matériaux recyclés. La société italienne de jardinage, a rejoint le groupe en 2022. On retrouve alors des produits avec les mêmes maitres mots : faciles d’utilisation, élégants et de haute qualité. En 2023, Devaux fait son entrée. Cette entreprise nous offre l'opportunité d'élargir notre gamme d'outils de jardin, incluant des produits tels que la fourche écologique, ainsi que des articles orientés vers la cheminée (Ardufeu). Prêts à découvrir vos outils de demain ? 😉",France,39.594059,,,
Leroy Merlin Vannes-Theix,20999070.0,"France, Brittany, Theix-noyalo",https://www.linkedin.com/company/leroy-merlin-vannes-theix,www.leroymerlin.fr,"Magasin de bricolage, décoration, jardinage et aménagement de la maison.",France,20.99907,,,
DUCATILLON,20232870.0,"France, Hauts-de-france, Lesquin, 571 Rue De La Louvière, 59810",https://www.linkedin.com/company/ducatillon,www.ducatillon.com,"VENTE A DISTANCE Fondée en 1997, DUCATILLON est le leader français de la vente à distance d’articles de chasse, d’élevage et de loisirs extérieurs. La société, qui propose plus de 22.000 références et qui compte plus de 500.000 clients, dispose d’un positionnement de multi-spécialiste unique en France : vêtements et accessoires de chasse, matériel d’élevage, articles de jardin, de cuisine, accessoires canins et matériel de pêche. Située à Lesquin, dans le Nord de la France, la société distribue ses articles à travers trois canaux de distribution complémentaires, en vente à distance (catalogues et e-commerce) et en magasin. DISTANCE SELLING Founded in 1997, DUCATILLON is the French leader in the distance selling of hunting, hobby farming, and outdoor leisure. Selling over 22.000 references, Ducatillon has over 500.000 customers and the company is positioned as a unique multi-specialist in France in the fields of hunting apparel and accessories, farming equipment, gardening tools, cookware, dog accessories and fishing equipment.",France,20.23287,,,
Outiror & Espace Trading,20195283.0,France,https://www.linkedin.com/company/outiror-&-espace-trading,www.outiror.com,"Two French companies (owned by a British turnaround PE fund) distributing a large range of do-it-yourself, gardening, tools, leisure products. Innovative, astute and practical products at reasonnable prices are offered through catalogs and then delivered in mid-size cities via large trucks.  Over 4 million customers in database, 2 web sites, 8 ""Oyé Oyé"" shops in French overseas territories.",France,20.195283,,,
