Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
PAYBACK Österreich,750000000.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/payback-oesterreich,www.payback.at,"PAYBACK Österreich is a leading travel agency that specializes in providing customers with rewarding travel experiences through its unique loyalty program. With a mission to enhance the joy of travel, the company allows clients to earn PAYBACK °Punkte for every booking made, whether for dream vacations, city trips, or wellness weekends. PAYBACK Österreich partners with various travel service providers to offer exclusive deals and personalized travel consultations, ensuring that every journey is memorable and fulfilling. Targeting families, spontaneous travelers, and adventure seekers, the company operates 30 branches across Austria, recognized for its exceptional service and tailored travel solutions. As a test winner among travel agency chains, PAYBACK Österreich is committed to making travel planning both enjoyable and rewarding for its clients.",Austria,750.0,,,
ADMIRAL Group,376463696.0,"Austria, Lower Austria, Wr. Neudorf, 15 Griesfeldstraße, 2351",https://www.linkedin.com/company/admiral-sportwetten-gmbh,www.admiral.ag,"ADMIRAL Group, established in 1991 and headquartered in Lower Austria, is a leading provider of sports betting and gaming services in Austria, boasting nearly 200 locations including sports bars. The company is committed to delivering top-notch entertainment through fair and responsible gaming practices, ensuring a safe environment for its customers. ADMIRAL's mission revolves around providing an engaging experience with the latest technology and a welcoming atmosphere, where patrons can enjoy live sports on HD screens and a variety of gaming options. The company caters to a diverse clientele, including sports enthusiasts and gaming aficionados, and partners with various stakeholders to enhance its service offerings. With a focus on customer satisfaction, ADMIRAL also emphasizes responsible entertainment, making it a trusted name in the industry.",Austria,376.463696,,,
Loxone Campus,300000000.0,"Austria, Upper Austria, Kollerschlag, 4154",https://www.linkedin.com/company/loxonecampus,loxone-campus.com,"LOXONE CAMPUS – ENJOY INSPIRATION Das innovative Hotel am Loxone Campus verspricht Ihnen einen unvergleichbaren Aufenthalt der besonderen Art. Inmitten der Mühlviertler Hügellandschaft und umgeben vom majestätischen Böhmerwald genießen Sie Ihre wohlverdiente Auszeit bei uns ganz wie Sie möchten: Entspannung pur verspricht unser Infinity Pool, die beiden Saunen mit Panoramablick oder das Fitnessstudio. Genießen Sie im „Glorious Bastards“ knusprige Pizzen, saftige Burger und zarte Steaks.",Austria,300.0,,,
Tristar Austria GmbH,236114830.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/tristar-austria-gmbh,www.tristar-hotelgruppe.de,"tristar is an owner-managed hotel group that specialises in operating brand-affiliated hotels. As a 'white-label operator,' we operate all our hotels under an internationally recognized brand. We collaborate with the world's largest hotel chains, allowing us to combine the strengths of a globally operating hotel corporation with those of a local hotel operator.",Austria,236.11483,,,
FMTG | Falkensteiner Michaeler Tourism Group,231334530.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/fmtg-falkensteiner-michaeler-tourism-group,www.falkensteiner.com,"FMTG | Falkensteiner Michaeler Tourism Group is a premier hospitality company specializing in luxury hotels and resorts that offer a unique blend of wellness, culinary experiences, and outdoor activities. With a mission to provide exceptional service and create memorable experiences for guests, the company focuses on delivering high-quality accommodations and wellness services, including its renowned Acquapura SPA. FMTG caters to a diverse clientele, including families, sports enthusiasts, and pet owners, with tailored offerings such as golf packages, family-friendly activities, and dog-friendly accommodations. The company partners with local attractions and service providers to enhance guest experiences, ensuring that every stay is filled with adventure and relaxation in stunning natural settings. FMTG's vision is to be a leader in the tourism industry by promoting sustainable and enriching travel experiences that connect guests with the beauty of their surroundings.",Austria,231.33453,,,
JUFA Hotels,163201000.0,"Austria, Styria, Graz",https://www.linkedin.com/company/jufa-hotels,jufahotels.com,"JUFA Hotels is a prominent hospitality company that specializes in providing family-friendly accommodations across Austria and neighboring countries. With a mission to create memorable experiences for guests of all ages, JUFA Hotels focuses on offering comfortable, affordable lodging combined with a variety of recreational activities and amenities. The company aims to foster a welcoming environment that encourages families, sports enthusiasts, and nature lovers to explore and enjoy their surroundings. JUFA Hotels collaborates with local partners to enhance guest experiences and is committed to sustainability and community engagement. Its target market includes families, school groups, and sports teams seeking quality accommodations in scenic locations.",Austria,163.201,,,
ARCOTEL Hotels,99729000.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/arcotel-hotels,www.arcotel.com,"ARCOTEL Hotels is a prominent hotel chain that offers a unique blend of comfort, modern design, and exceptional service across its various locations in Germany and Austria. The company is dedicated to providing memorable experiences for its guests, focusing on hospitality and culinary excellence, as exemplified by its in-house restaurants and bars that serve a diverse range of high-quality beverages and snacks. With a mission to foster a welcoming atmosphere, ARCOTEL Hotels aims to create a home away from home for travelers, whether they are on business or leisure trips. The target market includes both domestic and international guests seeking quality accommodations and personalized service. Additionally, ARCOTEL Hotels values its employees, offering numerous opportunities for professional development and a supportive work environment, which contributes to its reputation as a desirable employer in the hospitality industry.",Austria,99.729,,,
Hilton Hotels In Vienna,98868000.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/hilton-austria,www.hiltonaustria.at,"In Österreich verfügt Hilton Hotels & Resorts über drei Hotels: Hilton Vienna Park, Hilton Vienna Plaza, Hilton Vienna Waterfront. HILTON VIENNA PARK Mit 663 Zimmern und über 3500m² an flexiblen Veranstaltungsräumen sind wir Europas größtes Downtown Meeting & Event-Hotel. Nach einer aufwendigen Renovierung, haben wir ein einzigartiges Hotelerlebnis geschaffen, das den zauberhaften Charme der Stadt einfängt. Die direkte Flughafenverbindung mit dem City Airport Train und das umfassende Angebot an angrenzenden öffentlichen Verkehrsmitteln bedeutet besonders für Businessgäste großen Komfort. HILTON VIENNA PLAZA Inspiriert von der goldenen Ära der 1920er-Jahre und des Art Nouveau, erwartet Sie hier an der historischen Ringstraße ein ganz besonderes Flair. 1988 als erstes Designerhotel der Stadt eröffnet, vereint das Hotel heute, wieder exklusive Ausstattung mit einzigartigem Service. HILTON VIENNA WATERFRONT Wiens einziges Hotel direkt an der Donau beeindruckt mit einzigartigem Panorama. Moderne und elegante Ausstattung, erstklassige Gastronomie und ein breit gefächertes Meetingraum-Angebot verbinden sich hier zu einem ansprechenden Gesamtkonzept mit einem atemberaubenden Außenbereich.",Austria,98.868,,,
Austria Trend Hotels,82616379.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/austria-trend.at,www.austria-trend.at,"Austria Trend Hotels is a prominent hotel chain in Austria, offering a diverse range of accommodations across major cities including Vienna, Salzburg, Linz, Graz, Innsbruck, and Ljubljana. The company is dedicated to providing exceptional hospitality experiences that blend modern comfort with local charm, catering to both business and leisure travelers. With a mission to ensure guest satisfaction through high-quality service and innovative amenities, Austria Trend Hotels focuses on creating memorable stays for its clients. The target market includes tourists seeking cultural experiences, business professionals attending conferences, and families looking for comfortable lodging.  The chain collaborates with various partners to enhance guest experiences, including local attractions and transportation services, ensuring that visitors can fully enjoy their time in Austria. Renowned for its strategic locations near iconic landmarks such as Schönbrunn Palace in Vienna, Austria Trend Hotels is committed to providing guests with unforgettable experiences through high-quality facilities and remarkable architecture. The professionalism and friendliness of its staff exemplify the brand's dedication to outstanding service.  Austria Trend Hotels aims to create a welcoming atmosphere for all visitors, including those traveling with pets, and strives to meet the diverse needs of its clientele. With a focus on comfort and convenience, the hotels are well-connected to public transport, making it easy for guests to explore the vibrant culture and attractions of the cities they are in. The brand's mission is to ensure that every stay is memorable, fostering a loyal customer base that returns for the exceptional service and quality offered.",Austria,82.616379,,,
Schloss Ambras Innsbruck,59395270.0,"Austria, Tyrol, Innsbruck",https://www.linkedin.com/company/schloss-ambras-innsbruck,www.schlossambras-innsbruck.at,Ambras Castle is one of the most beautiful sights in Austria & the first museum in the world.,Austria,59.39527,,,
