Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
SŽ,155445498.0,"Slovenia, Ljubljana, Ljubljana, 11 Kolodvorska Ulica, 1506",https://www.linkedin.com/company/s-,www.slo-zeleznice.si,"Slovenian rail freight and passenger operator and infrastructure manager. Passenger transport division – Provides the inland and international transport of passengers and offers many attractive possibilities for private and official journeys by train. Freight transport division – Offers the transport of goods in Slovenia and abroad, and not just on the railway but also in combination with other types of transport.  Infrastructure division – Takes care of the running and general repairs of the Slovenian railway infrastructure, and of railway traffic management.",Slovenia,155.445498,,,
ALFA SP LOGISTIKA d.o.o.,10698678.0,"Slovenia, Ljubljana, Ljubljana, 16 Letališka Cesta, si-1000",https://www.linkedin.com/company/alfa-sp-d-o-o--international-freight-forwarding-agent,www.alfasp.eu,"full stack logistics services - air, sea, road, rail, warehousing operationally present in all ex-Yugoslavian countries, with operational capacities for the entire South Eastern and Central Eastern Europe",Slovenia,10.698678,,,
Špedicija GOJA d.o.o.,3185742.0,"Slovenia, Ptuj, Ptuj, 22 Rajšpova Ulica, 2250",https://www.linkedin.com/company/špedicija-goja-d-o-o,spedicija-goja.si,"Špedicija Goja d.o.o. is a privately owned logistics company headquartered in Ptuj, Slovenia. It was founded in 1991. Through the years, it has developed into one of the leading providers of road transportation and customs representation services. In recent years, the company has successfully developed warehousing and other logistics-related activities.  The company boasts a fleet of 60 own road transport vehicles, mostly consisting of classical articulated lorries and road trains for the transportation of general goods on regular routes within all EU countries and Switzerland, and also owns dumpers for domestic and international carriage of bulk goods as well as lorries dedicated to domestic distribution services. Agencies located at major border crossings between Slovenia and Croatia (Obrežje and Gruškovje), specialize in all customs activities and representation procedures, while a fully-equipped warehousing facility at company’s headquarters at Ptuj offers a variety of solutions for storage, cross-docking, commissioning and delivering to final clients.  Špedicija Goja takes pride in stable long-term cooperation with many internationally renowned companies like Talum, Fragmat, Glencore, Impol, RDB Plastics, Paloma, TPV trailers and others. Besides own fleet vehicles, the company operates an extensive network of domestic and international subcontracting partners in road transport and related activities. Working in alliance with one of global logistics players, Špedica Goja is now able to undertake complex logistics projects with which it overcomes the boundaries of the continent of its origin.  Since 2012, Špedicija Goja d.o.o. has been a member of Finakos Group.",Slovenia,3.185742,,,
SEA GULL d.o.o.,2517336.0,"Slovenia, Koper-capodistria, Koper, 6000",https://www.linkedin.com/company/sea-gull-d-o-o,www.seagull.si,"Seagull transport agency makes business flow. We support industry and trade in the global exchange of goods through land transport, worldwide air and ocean freight. Sea Gull is the organiser of goods transport international and domestic traffic. We offer the organisation of individual types of transport or the best combination of different types of transport to our clients: land transport, sea transport, rail transport. We operate with Slovenian railways and Port of Luka Koper which are well connected with all worldwide cities.",Slovenia,2.517336,,,
PELOT Logistika Ltd.,2517336.0,"Slovenia, Koper-capodistria, Koper, 7 Ankaranska Cesta, 6000",https://www.linkedin.com/company/pelot-logistika,www.pelot-logistika.si,"PELOT Logistics is a new company and member of Pelot Group of Companies, established to provide comprehensive logistics support to existing customers, and at the same time our goal is to expand our business and number of satisfied customers in the field of complete logistics services, shipping agency services and in the sale of various types of goods. MARITIME AGENCY - Port Shipping Agency for bulk and general cargo ships, RO-RO ships and tankers - Protective / Husbandry agency services - Yachting agency services CHARTERING AND BROKERAGE - dry bulk and break bulk cargoes, OOG/project cargoes, RO-RO, liquid cargoes, IMO, liner cargo container bookings, barge/river transportation arrangements Rhein - Main - Danube   COMPLETE OFFER OF LOGISTICS SERVICES - Organization of all types of transport (sea / road / rail / river / air) - Port forwarding - Transhipment of all types of goods - Warehousing - Customs formalities (import / export / transit) - Booking and complete organization of transport of goods in containers TRADING OF VARIOUS TYPES OF GOODS - Salt, Cereals, fertilizers, minerals, raw materials, semi-finished products ...",Slovenia,2.517336,,,
Ensigne d.o.o.,1776627.0,"Slovenia, Koper-capodistria, Koper, 30a Vojkovo Nabrežje, 6000",https://www.linkedin.com/company/ensigne-d-o-o,www.ensigne.si,"We are a neutral logistics company in Slovenia, who can help you with customised solutions that meet the specific needs of your business. Our offices are located on strategic locations: in Koper, near the port and in Obrežje on the Slovenian-Croatian border. Our goal is to ensure the success of your business through reliable and efficient solutions. CUSTOMS BROKERAGE We are recognized as a safe and reliable partner with AEO certification. Our services: *Import/export customs clearance at 20 locations throughout Slovenia with   authorization for the simplified procedure * Issuance of transit documents for destinations in the EU, Northern Macedonia,   Serbia, Turkey, Norway, Iceland, Switzerland, the United Kingdom, Andorra and   San Marino * Consulting on procedures, classification of goods  * Fiscal representation  * Phytosanitary / veterinary / health inspection of cargo CARGO HANDLING professional service for loading and unloading of conventional and special cargoes (from planning to final execution) TRANSPORT LAND transport  	truck service (container/FTL/LTL/OOG) and rail service OCEAN transport 	import/export FCL, LCL, OOG AIR transport   	import/export",Slovenia,1.776627,,,
Alpine-Western Balkan Rail Freight Corridor,1468704.0,"Slovenia, Ljubljana, Ljubljana, 214 B Zaloška Cesta, 1000",https://www.linkedin.com/company/alpine-western-balkan-rfc,www.rfc-awb.eu,The Alpine – Western Balkan Rail Freight Corridor provides capacity  for international freight trains on the form of Pre-arranged Paths (PaP) and Reserve Capacity.,Slovenia,1.468704,,,
IDL LOGISTIKA,1218091.0,"Slovenia, Kranj, Kranj, 12 Oldhamska Cesta, 4000",https://www.linkedin.com/company/idl-logistika,www.idl.si,"IDL Company seeks to facilitate and relief workers in the company in the field of logistics. With the advent of IDL's global market, the company workers in logistics are no longer needed. IDL Team wishes through competitive pricing and excellent and responsible actions to unload your cargo.   Transportation sector share in air transport, maritime transport, rail transport and road transport. The company has compiled a database of the various operators to compete in the market. Our solution provides transportation partially full, full and mixed loads. In the context of solid global transport network are also carried out air and maritime transport.  We are a transport and logisticscompany to sort out and offer a wide choice of transport combinations.",Slovenia,1.218091,,,
Petrans d.o.o.,11681055.0,"Slovenia, Ljubljana, Ljubljana, 234 Jurčkova Cesta, 1000",https://www.linkedin.com/company/petrans-d-o-o-,petrans.si,"We specialize in the provision of international transport and related comprehensive logistic services.  Our main objectives are business excellence, high-quality services, competitive prices, and tailoring our services completely to the needs of our customers.  Our activities include: -    International transport in the territory of Western Europe, particularly Great Britain, -    Sale of KÖGEL trailers, -    Sale of HUMBAUR trailers, -    Goods storage and transhipment, -    Sale of ferry tickets, -    Transmission, storing and archiving of data from digital tachographs",Slovenia,11.681055,,,
Pulchra Mare d.o.o.,7552008.0,"Slovenia, Koper-capodistria, Koper, 30 Vojkovo Nabrezje, 6000",https://www.linkedin.com/company/pulchra-mare-d.o.o.,www.pulchramare.com,"A company operating as shipping management and agents incorporated and based in Koper, Slovenia. The company offers Full Commercial, Technical, Crewing & Purchasing management to shipping groups and owners. The management team have operated in the Maritime industry for 20 years covering a wide scope of projects but with specific experience of all European territories (but not restricted to this geography) with niche expertise in RoRo passenger ferry ships and line operations.",Slovenia,7.552008,,,
