Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Marina Hotels,41536044.0,"Bulgaria, Varna, Varna",https://www.linkedin.com/company/marina-hotels,www.marina-hotels.com,"Marina Hotels, cadena hotelera mallorquina fundada en 1982, año tras año ha consolidado su prestigio y reconocimiento en el mercado turístico y durante casi tres décadas ha sido un referente de calidad en servicio, profesionalidad, sostenibilidad ambiental y viabilidad empresarial en las Islas Baleares. Marina Hotels is a Mallorcan hotel chain, founded in 1982. Year after year it has consolidated its prestige in the tourist market and, for almost three decades, it has been a reference for quality of service, environmental sustainability and business viability in the Balearic Islands. Hoteles en Mallorca: Hotel Marina Luz 4*, Cala Estancia Hotel Marina Pax 3*, Magaluf Hotel Marina Barracuda 3*, Magaluf Hotel Marina Torrenova 4*, Palmanova Hotel Marina Delfín Verde 3*, Pto. Alcudia Hotel Marina Continental Park 3*, Playa de Muro Hotel Marina Corfu 3*, Cala d'Or Hotel Marina Skorpios 3*, Cala d'Or Hoteles en Ibiza: Hotel Marina Panorama I & II 3*, Es Canar",Bulgaria,41.536044,,,
GRIFID Hotels,31271204.0,"Bulgaria, Varna, Varna, 9000",https://www.linkedin.com/company/grifid-hotels,www.grifidhotels.com,"GRIFID Hotels present an exclusive portfolio of 8 hotels, united under 4 diverse concepts. Our unique properties include family hotels, luxury hotels, adults-only hotels, and Medi Spa hotels. A NEW addition to our collection is GRIFID Noá - a 5-star luxury hotel, offering unparalleled experiences for our guests. GRIFID Arabella - The perfect choice for a family vacation. GRIFID Bolero (Aqua Club) - Ideal for families seeking comfort and coziness. GRIFID Marea - Experience the wonders of vacationing with the family at Marea. GRIFID Moko Beach - Perfect for families who love the sea breeze and the beach. GRIFID Vistamar - Offering a combination of family and concept rooms with areas suitable for adults only. GRIFID Encanto Beach - The perfect blend of family vacation and Medi Spa treatments. GRIFID Metropol - Adults only, offering an elegant ambiance and seclusion. GRIFID Foresta - Exclusively designed for adults seeking tranquility and relaxation. Join us and discover the best experiences in the world of GRIFID Hotels.",Bulgaria,31.271204,,,
Glacier Park Inc.,30208032.0,"Bulgaria, Montana, Montana",https://www.linkedin.com/company/glacier-park-inc-,www.glacierparkinc.com,"Glacier Park, Inc. is an independent hotel operator providing Lodging, Dining, and Retail services to guests at Glacier Park Lodge in East Glacier Park, Montana, St. Mary Lodge & Resort in St. Mary, Montana, West Glacier Village Properties in West Glacier, Montana, Apgar Village Inn, Cedar Tree Gift Shop, and Motel Lake McDonald in Glacier National Park, Prince of Wales Hotel in Waterton Lakes National Park, Alberta, and Grouse Mountain Lodge in Whitefish, Montana. Glacier Park, Inc. gateway and park properties operate seasonally May - September; while Grouse Mountain Lodge operates on a year-round basis.",Bulgaria,30.208032,,,
Albena Resort Bulgaria,28382961.0,"Bulgaria, Dobrich, Albena, 9620",https://www.linkedin.com/company/albenaresort,www.albena.bg,"Тhe convenient location, along with the beautiful weather and modern facilities, have turned Albena into a favorite place for a number of sport and cvultural events. As an international resort with strong chess traditions, each year Albena draws a lot of people from all over the world. Everything starts in the early 1969 with the first official chess tournament to ever be played in Albena. Since then, there have been many local and international chess tournaments organized for all ages. For the past 15 years Albena is well known for hosting the “International Workers’ Sports Festival” where chess is one of the highlights. Over the years, most of the chess gross masters have visited and played in Albena in one or another chess event. Some of the few to mention are Mikhail Tal, Nona Gaprindashvili and the Polgar sisters. Last but not least, the symbols of the Bulgarian chess federation – Vesselin Topalov and Antoaneta Stefanova have begun their careers right here in Albena.",Bulgaria,28.382961,,,
MPM Hotels Bulgaria,26432028.0,"Bulgaria, Sofia-capital, Sofia, 1700",https://www.linkedin.com/company/mpm-hotels-ltd-,mpmhotels.bg,"MPM Hotels – Redefining Hospitality in Bulgaria MPM Hotels is a dynamic hotel chain specializing in both summer and winter tourism, offering premium hospitality experiences in Bulgaria’s top destinations. With properties in the mountain resorts of Bansko and Pamporovo, as well as the seaside resorts of Sunny Beach and Nessebar, we provide tailored stays for every traveler. Our winter hotels are designed for ski enthusiasts and relaxation seekers alike, with prime locations near ski lifts, heated indoor pools, and wellness services. In the summer, our Ultra All-Inclusive seaside resorts offer exceptional dining, entertainment, and family-friendly experiences in some of Bulgaria’s most vibrant coastal destinations. At MPM Hotels, we focus on delivering comfort, quality, and outstanding service, ensuring that every guest enjoys a seamless and memorable stay. Our commitment to sustainability drives our operations, with eco-friendly initiatives that enhance responsible tourism. Join us in creating exceptional travel experiences. 📍 Discover MPM Hotels – Where Hospitality Meets Excellence.",Bulgaria,26.432028,,,
INTERNATIONAL Hotel Casino & Tower Suites,23594370.0,"Bulgaria, Varna, Varna, Front Beach Alley, 9007",https://www.linkedin.com/company/international-hotel-casino-&-tower-suites,www.hotelcasinointernational.com,"INTERNATIONAL is a brand that has been operating on the travel market, while successfully applying the concept of a casino – hotel as a one single and complete product, for the past 8 years and more. The company monitors and successfully adapts to the market changes through constant company portfolio and product development, applying best practice benchmarking with some of the world leading brands. In 2012 INTERNATIONAL Hotel Casino & Tower Suites will open doors as the one-of-a-kind complex that includes:  New 18-storey tower as a luxurious addition to the present five-star hotel part; The largest Conference, Event and Incentive Center in Eastern Bulgaria; New modern Spa Center; Shopping Center; Original combination of thematic restaurants and public places; Renovated and bigger casino with unique design; Our purpose is to combine the traditional and alternative into one unique hospitality product through effectively utilizing the capabilities of the new complex. We as a team always aim at developing our present markets and expanding to new ones, where the teamwork, the innovative and dynamic thinking and the ability to make things happen, are key factors for success.",Bulgaria,23.59437,,,
FPI Hotels & Resorts,22656024.0,"Bulgaria, Sofia-capital, Sofia, 4 Budapeshta St, 1000",https://www.linkedin.com/company/fpi-hotels&resorts,www.fpihotels.com,"Established in 2006, FairPlay Properties Management EOOD (FPPM) is the registered company that stands behind the FPI Hotels & Resorts brand. The company is part of the portfolio of FairPlay International JSC (FPI), one of the most prominent investment companies in Bulgaria, with a history of more than 20 years. FPPM inherited FPI’s earlier hospitality investments and grew the initiative into a prosperous business. Currently, FPI Hotels & Resorts operates several hotels in Sofia, Bulgaria, including the Arena di Serdica Residence Hotel, the Crystal Palace Boutique Hotel and Hill Hotel Sofia, as well as 2 holiday resorts – Santa Marina Holiday Village in the Black Sea town of Sozopol, Bulgaria and the St. Ivan Rilski - Hotel & Apartments in the ski resort Bansko, Bulgaria. In addition to its main hospitality business, the company is also active in property management, offering services which include property and resort maintenance and rental management. FPI Hotels & Resorts’ high service standards and individual approach to every guest are the main factors, which distinguish the group among other hotels in Bulgaria. Characterized by their own individual style and providing modern comfort, the group’s properties offer boutique services and special care to all guests.",Bulgaria,22.656024,,,
Sense Hotel Sofia,20768022.0,"Bulgaria, Sofia-capital, Sofia, 16 Bulevard Tsar Osvoboditel, 1000",https://www.linkedin.com/company/sense-hotel-sofia,www.sensehotel.com,"Sense Hotel Sofia is the Bulgarian capital’s first upscale design hotel with a matchless location on the city’s main boulevard Tzar Osvoboditel. Many of the 71 rooms offer breathtaking views stretching well beyond the neighboring stunning 19th and 20th century architecture, historical monuments and buildings as National Assembly, St Alexander Nevski Cathedral, Sofia’s biggest church and Sofia University, one of the most significant buildings in the country. The area also offers numerous trendy restaurants, bars and theatres, as well as an easy walk to the main shopping area and the Opera House. The Mediterranean fusion restaurant popular with locals offers delicate, creative and refreshingly healthy cuisine equally suited to meat-lovers and vegetarians. Indulge yourself in the rooftop bar and simply enjoy the stunning panoramic view over the city. Discovering Sense hotel is a unique experience, combining warm interiors and exceptional service, luxury and lightness, pleasure and an offbeat vision.",Bulgaria,20.768022,,,
HRC Culinary Academy Bulgaria,20138688.0,"Bulgaria, Sofia-capital, Sofia, 59 Tsar Boris Iii Blvd.",https://www.linkedin.com/company/hrc-culinary-academy,www.hrcacademy.com,"HRC Culinary Academy is Eastern Europe's Premier Culinary and Hospitality Institute, based in Sofia the capital of Bulgaria. Our dynamic programs are developed by educational and industry leaders to combine extensive hands-on training with upper-class practices at fine restaurants and well-known hotels around the world.   HRC Academy offers a state-of-the-art facility, international teaching staff of the highest standard and programs fully taught in English! The HRC Academy is internationally accredited by the renowned American Culinary Federation and Worldchefs -  World Association of Chefs' Societies. Students at HRC Culinary Academy come from 30+ countries around the globe and have a chance to experience Europe and the USA all at once! Paid internships take place at some of the finest hotels and Michelin-rated restaurants and prepare students for a truly international career in the industry.",Bulgaria,20.138688,,,
Hotel Rila Borovets,18250686.0,"Bulgaria, Borovets, 2010",https://www.linkedin.com/company/hotelrilaborovets,www.rilaborovets.com,"The four-star Rila Hotel is the classic ski-in/ski-out hotel and the most impressive in Borovets. The fully renovated Rila Hotel offers guests exquisite accommodations, and a once-in-a-lifetime adventure. Our breathtaking location in the heart of Borovets resort provides visitors with a setting of natural beauty and with a range of activities across all seasons. While here, guests can enjoy fine dining at a variety of restaurants. Relax with a restorative treatment at our full-service on-site spa. Or take a dip in the Olympic-style indoor swimming pool. Winters bring world-class skiing, snowboarding and jaw-dropping scenery. Summer is a great time for hiking, biking, horseback rides and fishing. We even have a fun zone for younger guests featuring supervised activities kids love. The Rila Hotel is one of the region’s most sought-after events venues with capacity of 1300 participants. Our conference center is the ideal setting for corporate gatherings, seminars, training and social events. Experience The Rila Hotel, and immerse yourself in an all-in-one resort that’s nothing short of a destination unto itself.",Bulgaria,18.250686,,,
