Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
NEXT DAY GROUP S.A.,1213004.0,Belgium,https://www.linkedin.com/company/next-day-group,www.mcorporation.eu,"After 17 years working for different real estate developers and investors in Belgium, France, Italy and Poland, Vittorio Mettewie created Next Day Group in 2016. Next Day Group is a venture capital holding that is the major shareholder of several real estate related companies. The group mainly develops small exclusive or larger residential real estate projects through its financing holding: Next Day Capital (NDC).  NDC being the holding of all the Real Estate SPV’s of the group through which the different projects are developed. Next Day Group is at the moment pre-developing through its different subsidiaries more than 1.150 residential units. Next Day Group is not only a Real Estate Development company but much more than that.  It is also a recurrent service provider for these projects.  The projects that the group develops are not only environmental friendly but they also integrate a large number of services to the new acquirers.  These services are going from energy saving warranty, centralized security systems, shared electric bicycles and cars, garden and house maintenance, package reception and concierge services, to home delivery of bio groceries, oven baked bread delivery, diary milk delivery etc…  Our projects also integrate the latest technologies of green energy production and stockpiling, assuring the entire new quarter being a nearly zero emission living place. Next Day Group delivers all these professional Real Estate services through its subsidiaries not only for its own real estate projects but also to third parties and clients. We are creating new living quarters for a new millennium.",Belgium,1.213004,,,
Maasmechelen Village,39475464.0,"Belgium, Flanders, Maasmechelen",https://www.linkedin.com/company/maasmechelen-village,www.maasmechelenvillage.com,"Maasmechelen Village is a premier shopping destination located in Belgium, featuring over 100 boutiques from renowned fashion and luxury brands such as BOSS, The North Face, and American Vintage. The village offers visitors the opportunity to enjoy significant discounts of up to 60% off the recommended retail price throughout the year. With a mission to provide an exceptional shopping experience, Maasmechelen Village combines high-quality retail with a welcoming atmosphere, making it an ideal destination for both local shoppers and international tourists. The village also emphasizes customer service through various amenities, including concierge services, hands-free shopping, and a mobile app to enhance the shopping experience. Targeting fashion enthusiasts and families alike, Maasmechelen Village aims to create memorable outings with its diverse offerings, including dining options and special events.",Belgium,39.475464,,,
Les Galeries St Lambert,439845.0,"Belgium, Wallonia, Liège, 27 Place Saint-lambert, 4000",https://www.linkedin.com/company/galeries-st-lambert,galeries-st-lambert.be,"Galeries St-Lambert – Ze Shopping à Liège 📍 Localisation : En plein cœur de Liège, sur la place Saint-Lambert 🛍️ Offre : 35 enseignes – Mode, Horeca, Inno, Brico City, Mediamarkt & Intermarché 👣 Fréquentation : 6 millions de visiteurs par an 🛎️ Service : Conciergerie gratuite accessible à tous les clients du centre-ville 🚉 Accessibilité : Tram, train, bus & voiture 🚗 Parkings : Accès direct via le Parking St. Lambert + Parkings proches du shopping: St-Denis & Opéra, avec des heures de parking offertes chez certains commerçants Les Galeries St-Lambert allient commerces, services et vie citadine, faisant de ce lieu une destination shopping incontournable au cœur de Liège 🌐 https://galeries-st-lambert.be/",Belgium,0.439845,,,
Marius Corner Premium Retail Partner Dom Pérignon Ambassadeur,879690.0,"Belgium, Brussels Capital, Woluwe-saint-lambert, 70 Boulevard De La Woluwe, 1200",https://www.linkedin.com/company/marius-corner-sprl,www.mariuscorner.be,"L'épicerie fine Marius Corner, un univers de gourmandises unique et exclusif à Bruxelles. Située au coeur du Woluwe Shopping Center, notre établissement vous apporte un service personnalisé en boutique et répond à vos exigences de livraison grâce à un service de conciergerie privée réactif endéans quelques heures dans tout le pays. Chez Marius Corner, les produits les plus nobles sont sélectionnés pour ravir vos papilles qu'il s'agisse de Caviars, Saumons fumés ou Foies gras. La carte des vins, champagnes et spiritueux s'est enrichie d'une Armagnathèque millésimée. Le plaisir d'offrir c'est également la possibilité de personnaliser sa corbeille cadeau Marius Corner.",Belgium,0.87969,,,
Facility Lockers,2199225.0,"Belgium, Brussels Capital, Brussels, 19 Rue Du Serpentin, 1050",https://www.linkedin.com/company/facility-lockers,www.facilitylockers.com,"Facility lockers is a connected parcels locker for office and residential buildings. On top of that, with our integrated marketplace of concierge services, the facility locker offers a unique experience to your tenants. A facility lockers can be tailor made for a perfect coherence with the design of your building, from standard colour to wood style ...  facility lockers is a Belgian company funded by private industrials. facility lockers works with ING, GSK, Degroof &amp; Petercam, KONE, We Invest, Sodexo, Bouygues Immo, Immobel, BNP Real Estate, andmore than 40 top tier references. Contact us on info@facilitylockers.com !",Belgium,2.199225,,,
Saranda Estates,6398650.0,"Belgium, Flanders, Halle, 96 Rruga ""jonianet""",https://www.linkedin.com/company/saranda-estates,sarandaestates.com,"Saranda Estates is not only about selling apartments and houses. We have been operating on the real estate market in Albania for over 6 years. In September 2021, due to further dynamic development, we changed the name of the company from Buy Home Albania to Saranda Estates. Our office is located in the center of Saranda, right next to a modern promenade. Our team consists of international specialists who will advise you in deciding to buy a property, present all the details related to legal and administrative matters. We speak languages; Albanian, English, German, Ukrainian  and Polish. If you are interested in something very individual - this is the task for us. Our field agents will search for a property ideally suited to your expectations. Our motto is close contact with our clients, therefore, to ensure the highest quality of service, we have launched the Concierge service, thanks to which the entire process of searching and purchasing real estate is a pleasant and professional experience for our clients.",Belgium,6.39865,,,
Billikers,3134415.0,Belgium,https://www.linkedin.com/company/billikers,billikers.com,Franchise and seasonal rental management in the Indian Ocean and Europe. Seasonal rental investment and classic sale.,Belgium,3.134415,,,
HEXUVIUM,1303938.0,Belgium,https://www.linkedin.com/company/hexuvium-conciergerie,www.hexuvium.com,"Hexuvium est une conciergerie moderne spécialisée dans la gestion de biens immobiliers en Belgique et à l'international 🌍. Nous offrons des services sur-mesure pour maximiser la rentabilité de vos biens tout en vous assurant une tranquillité d’esprit totale 🧘♂️, que vous soyez propriétaire ou locataire. Notre mission : s'adapter à vos besoins que vous soyez un pro ou un particulier 💼🏠. Pourquoi choisir Hexuvium ? Nous prenons en charge toute la gestion de vos locations : création d'annonces attractives 📸, prise de photos professionnelles, accueil des voyageurs 🤝, gestion quotidienne des réservations 🗓️, et bien sûr, les services de ménage 🧹. Grâce à notre algorithme intelligent 🤖, nous optimisons les tarifs pour maximiser vos revenus 📈, tout en vous offrant un service haut de gamme. Nos services sont disponibles sur toutes les grandes plateformes (Airbnb, Booking, Expedia, etc.) 🌐, et nous nous distinguons par des prix 15 % moins chers que ceux d’Airbnb en passant par le site de réservation direct d'Hexuvium 🏡💸. Et en plus, en vous abonnant à notre compte, vous profitez de réductions EXCLUSIVES réservées à nos abonnés ! 🙌🌟 Nous mettons un point d’honneur à la sécurité de vos logements 🔐. Chaque bien est sécurisé pour que propriétaires et locataires profitent d’une expérience sans souci. Vous pouvez compter sur notre suivi rigoureux pour que chaque séjour soit parfait 🤝✨. Hexuvium gère une large gamme de propriétés, des appartements urbains aux maisons de vacances, en vous garantissant un service personnalisé et adapté à chaque besoin. Nos équipes sont présentes dans plusieurs pays 🌍 et assurent une couverture internationale, tout en restant attentives à chaque détail 👌. Hexuvium, c’est bien plus qu’une gestion immobilière, c’est une expérience 🏡💼. Laissez-nous nous occuper de vos biens, et vous profiterez de la sérénité tout en augmentant vos revenus 💰. 👉 Rejoignez-nous et profitez d’une expérience unique",Belgium,1.303938,,,
BnB Hoster,1880649.0,"Belgium, Brussels Capital, Forest, 154 Rue Berthelot, 1190",https://www.linkedin.com/company/bnb-hoster-sprl,bnbhoster.com,"BnB Hoster est une société spécialisée dans la gestion de locations saisonnières et hôtelières. Leader en Belgique, notre mission est de prendre en charge toutes les tâches liées à la gestion des hébergements touristiques, qu’il s’agisse d’Airbnb, d’appartements meublés ou d’hôtels. BnB Hoster, c’est : Un service client disponible 24h/7j pour répondre aux voyageurs. La remise des clés et l’accueil personnalisé. Une équipe de ménage formée et réactive. La coordination avec des prestataires qualifiés pour assurer la maintenance courante et les petites réparations. Une assistance complète pour tous les imprévus du quotidien, afin de garantir aux voyageurs un séjour sans souci. 🎯 Notre objectif : offrir à chaque propriétaire une gestion sereine et professionnelle, et à chaque voyageur une expérience de séjour optimale.",Belgium,1.880649,,,
Brussels Exclusive,626883.0,"Belgium, Uccle, 5 Rue De L'anémone, 1180",https://www.linkedin.com/company/brussels-exclusive,www.brusselsexclusive.com,"Agence immobilière spécialisée dans la gestion locative des locations meublées court terme. Brussels Exclusive est une agence immobilière spécialisée dans l’investissement immobilier en location meublée. Service clefs en main : conseil, achat, mise en location, gestion quotidienne du bien via notre service de conciergerie.",Belgium,0.626883,,,
