Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Bitpanda Technology Solutions,161810000.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/bitpanda-technology,www.bitpanda.com,"Bitpanda was founded with the vision of making investing accessible and straightforward for everyone. While our roots are in crypto, we’ve always been a technology-first company, developing innovative infrastructure to simplify wealth creation. With Bitpanda Technology Solutions, we take this mission further, enabling our partners to deliver world-class investment and custody services on a global scale. Our modular and scalable Investment-as-a-Service (IaaS) platform and Custody Solution empowers financial institutions, fintechs and platforms to integrate comprehensive offerings through APIs. From savings plans and crypto staking to fractional stocks/ETFs, asset-to-asset swaps, and secure custody for digital assets, we provide everything needed to expand into new markets and offer cutting-edge solutions to end users. Supported by Bitpanda’s extensive licenses, our solutions are designed to meet the highest standards of security, compliance and scalability, whether in Europe or worldwide. We believe the future of finance is collaborative. That’s why we partner with banks and financial institutions to reshape the investment landscape, placing our partners at the center of this evolution. Our White-Label API and Custody Solution have already attracted leading fintechs and platforms, helping them serve over 20 million users across 25+ countries. Stay tuned for updates on our product innovations, industry insights and how we’re building a more inclusive, innovative, and sustainable future for investing—together.",Austria,161.81,,,
Credi2,3965154.0,"Austria, Vienna, Vienna, 41-43 Mariahilfer Straße, 1060",https://www.linkedin.com/company/credi2-gmbh,www.credi2.com,"Credi2 is the leading specialist for white label solutions in the field of pay later payments. The fintech enables banks and issuers to offer modern credit and debit based financing products in an end-to-end approach through its awarded BNPL-as-a-Service platform. Clients include Volkswagen Bank, Raiffeisen Bank International, Deutsche Bank, Apple, Cyberport, and VISA. Together with them, credi2 launched and operates innovative and responsible payment solutions in a short period of time. The Vienna based scale-up was founded in 2015 by Daniel Strieder, Michael Handler and Jörg Skornschek. Credi2 is a rapidly growing fintech with currently nearly 50 employees from all over Europe.",Austria,3.965154,,,
Credify Informationsdienstleistungen GmbH,628942.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/credify-informationsdienstleistungen-gmbh,www.credify.at,"Credify.at is the new player on the Austrian credit bureau market. Credify.at offers B2C identification and credit check / scoring services for the Austrian market. Credify Informationsdienstleistungen GmbH was founded in July 2017. In September 2017 Bertelsmann / Arvato Financial Solution joined credify.at as shareholder. The mission of credify.at is to establish a modern, efficient credit bureau on the Austrian market. For that matter our focus will be to offer highest standard for data protection, security, efficiency and customer value. #Credify.at #Identification #Credit Check #Risk and Fraud Management #Advanced Analytics #Austria  #eCommerce #banks #insurance #telecommunication #factoring #collection #payment #FinTech",Austria,0.628942,,,
Nerox GmbH,9629484.0,"Austria, Styria, Graz, 7 Opernring, 8010",https://www.linkedin.com/company/nerox-gmbh,nerox.io,"Nerox GmbH is an innovative FinTech located in Graz. Our main focus is on algorithmic trading, primary in the asset class of cryptocurrencies.",Austria,9.629484,,,
ROCKETS,4012285.0,"Austria, Styria, Graz",https://www.linkedin.com/company/rockets-holding-gmbh,www.rocketsholding.com,"Hinter ROCKETS steckt ein mittlerweile 28-köpfiges Team aus Teamplayern, Querdenkern und Fin-Tech-Experten. Gemeinsam sind wir das Bindeglied zwischen Investoren und Projektbetreibern. Die ROCKETS Plattformen sind mit mehr als 38% Marktanteil* Österreichs größter Betreiber von Plattformen zur Crowdfinanzierung von Projekten, Unternehmen und Immobilien. Mit unseren Plattformen GREEN ROCKET, HOME ROCKET und LION ROCKET konnten wir bereits namhafte Unternehmen co-finanzieren und nennenswerte Rekorde einfahren.",Austria,4.012285,,,
St. Stephan Capital Partners GmbH,1257884.0,"Austria, Vienna, Vienna, 1 Kohlmarkt, 1010",https://www.linkedin.com/company/ststephan,www.st-stephan.com,"St. Stephan Capital Partners is an independent asset manager and family office located in Vienna, Austria. We specialize in private equity, venture capital, and alternative investments, with a particular focus on proptech, fintech, blockchain, and fund of funds.  We take an agile investment approach, utilizing our sector expertise and know-how in a multitude of industries to facilitate origination and execution. Our out-of-the-box thinking sets us apart as one of the premier alternative investment boutiques in Vienna.  In addition to our original business lines of real estate private equity and fintech venture capital, we also extend our investment and capital markets expertise to a global network of financial professionals in DACH, CEE, and beyond. Our prevalent track record within real estate logistics allows us to expand our reach outside of our core industries and regions. We strive to offer a holistic and opportunistic investment strategy to our partners and investors.  Our team of investment professionals takes a structured approach to analysis, with expertise in corporate finance, M&A, wealth management, and alternative investments.",Austria,1.257884,,,
STORM Hedge Solutions,628942.0,"Austria, Vienna, Perchtoldsdorf",https://www.linkedin.com/company/stormhedge,www.storm-hedge.com,"STORM Hedge Solutions GmbH is an Austrian fintech start-up in Digital Finance founded in 2016 after extensive product development and testing. Its expertise and mission is to give guidance when markets are getting in dire straits, for the state-of-the-art safeguarding of traded securities and rational value protection.",Austria,0.628942,,,
SUPERFUND,61690800.0,"Austria, Vienna, Vienna, 10-12 Marc-aurel Straße, 1010",https://www.linkedin.com/company/47664,www.superfund.com,"In 1996, SUPERFUND made hedge funds accessible to private investors for the first time worldwide - something that was previously considered impossible - and wrote an international success story as a fintech unicorn of the first hour with growth by a factor of 5000 within 8 years. Today, SUPERFUND is one of the world's leading providers of innovative investment solutions with offices in the USA, Europe and Asia.",Austria,61.6908,,,
Sweep,628942.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/sweep-gmbh,sweep.io,A technology company at the intersection of traditional banking and disruptive fintech services.,Austria,0.628942,,,
TradersYard,11234398.0,"Austria, Vienna, Vienna, 1010",https://www.linkedin.com/company/tradersyard,www.tradersyard.com,"TradersYard is a global proprietary trading firm and trader community designed to empower ambitious traders with the technology, capital, and collaboration they need to succeed. Built on years of experience in fintech and brokerage innovation, TradersYard combines professional-grade trading infrastructure with a social trading environment where traders can connect, share insights, and grow together. Our mission is to make trading more transparent, accessible, and performance-driven — whether you’re an experienced professional or an emerging talent looking to scale your trading career. TradersYard is majority-owned by Andromeda Capital Partners Suisse, a Swiss-based private equity firm known for its investments in innovative financial technology and brokerage companies. Founded by well-known entrepreneurs Ingmar Mattus and Antonis Dessipris, Andromeda has built a powerful global fintech ecosystem that includes the US-based futures and options broker MetroTrade, Netherlands–based online brokerage firm Change Securities, and Austria-based trading platforms provider AgenaTrader. With the support of Andromeda’s extensive portfolio, TradersYard is positioned to make a lasting impact on the financial landscape in Europe and beyond.",Austria,11.234398,,,
Transpaygo- Fonmoney,5031536.0,"Austria, Vienna, Vienna, 21/6 Alserstraße, 1080",https://www.linkedin.com/company/transpaygo,www.transpaygo.com,"Transpaygo operates the consumer portal Fonmoney (www.fonmoney.com) for international money transfer and international top up transfer. ""Secure Money Transfers for a Connected World."" -  Easy and fairly priced international money transfer and mobile top-up With locations stretching much of from Vienna to Santiago de Chile, we are both global and local. Founded in 2014 with a vision to bring real innovation and a high-quality service to the international payments market. Today our mission remains the same. In addition Transpaygo is provides also SME’s with the very best money transfer solution. While SME’s have traditionally lost out to larger businesses, having to pay higher rates and experience slower transfers, we are bringing FX for SMEs into the 21st century. Transpaygo is regulated as an Authorised Payment Institution by the FCA in the UK and is also a member of the Austrian FinTech Group",Austria,5.031536,,,
ULLERA,1220884.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/ullera,ullera.com,"ULLERA was a Vienna-based FinTech that aimed to revolutionize sports financing through the use of blockchain technology.  In mid-2023, the company was reorganized.",Austria,1.220884,,,
ZuuluPay,3348568.0,"Austria, Vienna, Vienna, 1040",https://www.linkedin.com/company/zuulu,zuulu.net,"zuulu Financial Services is a fintech startup. Our vision is to establish the Premier Open Platform for Digital Financial Services in Africa by enabling financial inclusion and the gradual formalization of the informal economy through new business models. Our approach is built around four key principles - Connect people, businesses and governments in Africa through digitization of payments, social transfers, and remittances in and to Africa. - Establish an open platform that provides true interoperability between different payment schemes and operators . - Bridge the gap between the African diaspora and the payment for goods and services in Africa by converting money transfer flows into payment flows.",Austria,3.348568,,,
