Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Aer Lingus,1024028304.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/aer-lingus,www.aerlingus.com,"Aer Lingus is the national airline of Ireland, founded in 1936. It operates a modern aircraft fleet to destinations in the UK, Europe and North America.  Aer Lingus offers great choice, comfort and price, enabling customers to make smart choices based on their needs. It connects Europe and North America through its gateway hub at Dublin Airport, which along with Shannon Airport are the only European Airports with US Pre-Clearance.  It is Ireland’s only 4-star airline, as rated by Skytrax World Airline Awards for its consistent quality and excellence. It is a member of International Airlines Group(IAG), one of the world’s largest airline groups.",Ireland,1024.028304,,,
Ryanair Holdings plc,15085302749.0,"Ireland, Leinster, Ny",https://www.linkedin.com/company/ryanair,www.ryanair.com,"Catch flights, not feelings 💅 Ryanair Holdings plc, Europe’s largest airline group, is the parent company of Ryanair DAC, Lauda, Buzz and Ryanair UK. Carrying 160m+ guests p.a. on over 3,000 daily flights to/from 225 airports. Plan to carry 225m+ guests p.a. by 2026.  Unfortunately, we are unable to answer customer service queries through LinkedIn.  Please contact our customer service department through our website: http://www.ryanair.com/ie/questions/contacting-customer-service/ alternatively you can contact us through Twitter @askRyanair or on facebook.com/Ryanair",Ireland,15085.302749,,,
AerCap Holdings,7345502000.0,"Ireland, Leinster, Dublin, 65 St. Stephens Green, d02 yx20",https://www.linkedin.com/company/aercap,www.aercap.com,"AerCap is the global leader in aviation leasing with one of the most attractive order books in the industry. AerCap serves approximately 300 customers around the world with comprehensive fleet solutions. AerCap is listed on the New York Stock Exchange (AER) and is based in Dublin with offices in Shannon, Miami, Singapore, Memphis, Amsterdam, Shanghai, Dubai, Seattle, Toulouse and other locations around the world. Disclaimer: aercap.com/disclaimer",Ireland,7345.502,,,
ASL Airlines Ireland,219060144.0,"Ireland, Leinster, Swords, Malahide Road, k67",https://www.linkedin.com/company/air-contractors-ireland-limited,www.aslairlines.ie,"ASL Airlines Ireland (ASLI), formerly Air Contractors, is an Irish airline based in Dublin operating both passenger and cargo transportation services. The company is a subsidiary of ASL Aviation Holdings DAC, a significant aircraft leasing and airline ownership company, headquartered in Europe. ASLI's cargo operations utilise a mix of Airbus, Boeing and ATR aircraft working for several major blue chip integrators. The company also provides passenger operations on its B737 Charter service from Dublin and in 2014 commenced B757 transatlantic passenger operations for Aer Lingus.",Ireland,219.060144,,,
Stobart Air,167516581.0,"Ireland, Santry, 1 Northwood Avenue",https://www.linkedin.com/company/stobart-air,www.stobartair.com,"Stobart Air, the regional franchise flying partner to leading airlines, operate up to 900 flights per week across 27 routes through 17 airports in numerous European countries for bases in the UK & Ireland. Stobart Air operates under the Aer Lingus Regional brand as part of a franchise agreement with Ireland’s national carrier, Aer Lingus. Stobart Air operate a modern fleet of ATR42 & ATR72-600 aircraft along with Embraer E190. Headquartered in Dublin, the airline employs over 500 people.",Ireland,167.516581,,,
Carlyle Aviation Partners,80554752.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/carlyle-aviation-partners,www.carlyle.aero,"Carlyle Aviation Partners is a leading multi-strategy institutional investment manager with demonstrated capabilities and expertise across all segments of the aviation industry. Relying on our broad platform and in-depth knowledge, we find innovative ways to work strategically with our industry partners, while generating favorable returns for investors.",Ireland,80.554752,,,
Macquarie AirFinance,68529510.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/macquarie-airfinance,www.macquarie.aero,"Macquarie AirFinance is a global aviation lessor providing aircraft and capital to the world's commercial airlines, and advisory and asset management services to aircraft owners. Established in 2006 and headquartered in Dublin, Ireland, the company currently owns or manages 253 jet aircraft leased to 83 operators in 45 countries, across 6 continents.",Ireland,68.52951,,,
Santos Dumont,67338738.0,"Ireland, Leinster, Dublin, 14 Fitzwilliam Square E, d02",https://www.linkedin.com/company/santos-dumont,www.santosdumont.com,"Santos Dumont is a full-service operating lease platform. At the core of everything we do is the technical and operational awareness around effective aircraft lifecycle and investment management to the aviation finance community. The Santos Dumont team have deep roots in aviation, with experience spanning leasing companies and airlines over many decades. Our team is made up of both dedicated and talented people with a diverse blend of knowledge and experience that means no project is too challenging and no location too remote. The core of our business is, and always will be, to support our aviation clients with innovative and cost effective solutions that will be tailored precisely to meet expectations and demands. For more detailed information please visit our website www.santosdumont.com",Ireland,67.338738,,,
Crewlink Ireland Limited,61743275.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/crewlink-ireland-limited,www.crewlink.ie,"Crewlink has specialised in the recruitment of Cabin Crew for the airline industry since 2003 and employs Cabin Crew, with over 5000 crew members currently registered with Ryanair. Based in Ireland, Crewlink has a team of highly qualified and dedicated people. Many of them started their careers as Cabin Crew with major airlines, so recruits and outsourced employees benefit from that unrivalled knowledge and experience. Visit www.crewlink.ie for more information and to apply for a position of Cabin Crew with Ryanair. 'Careers Take Off with Crewlink'",Ireland,61.743275,,,
Emerald Airlines,61396640.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/emerald-airlines,www.emeraldairlines.com,"As Ireland's newest regional airline, we are committed to exceeding the expectations of our customers and airline partners. We're all hands on deck, all working towards a common goal of delivering on the unique needs of our customers. At Emerald Airlines we believe our company’s roots and culture set us apart from other airlines. Emerald Airlines are a tight-knit organisation with an emphasis on collaboration, communication and cohesion. Like any family, our business has a beating heart, made-up of our hard-working and dedicated team.",Ireland,61.39664,,,
