Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Clube Albufeira Garden Village,4840411.0,"Portugal, Faro, Albufeira",https://www.linkedin.com/company/clube-albufeira-garden-resort,www.clubealbufeira.com,"Luxuoso empreendimento que proporciona aos visitantes, agradáveis momentos de lazer, num ambiente cuidado e cativante, onde podem escolher entre quatro soberbos conjuntos de piscinas. Nos Restaurantes ""O Pavilhão"" e ""A Casa Azul"", poderá deliciar-se com a típica comida portuguesa e internacional, ou refrescar-se com um cocktail exótico servido nos bares das piscinas. A nossa equipa estará sempre ao seu dispôr para lhe proporcionar umas férias inesquecíveis O Clube Albufeira Garden Village  está situado a 35 Km do Aeroporto Internacional de Faro, menos de 30 minutos de automóvel. Localizado na estrada de Ferreiras para Albufeira, tem um fácil acesso ao centro da cidade, bem como à E.N. 125 e á Via do Infante. Esta última é uma via rápida com ligação directa à vizinha Espanha. É composto por mais de 350 moradias e apartamentos, mobilados com requinte e equipados de modo a tornar a sua estadia ainda mais agradável.",Portugal,4.840411,,,
Penha Longa Resort,79209222.0,"Portugal, Lisbon, Sintra",https://www.linkedin.com/company/penha-longa-resort,www.penhalonga.com,"Penha Longa Resort, part of The Ritz-Carlton portfolio, is a luxurious destination located in the breathtaking Sintra mountains of Portugal. This exquisite resort offers a harmonious blend of opulence and natural beauty, featuring a world-class golf course, a lavish spa, and exceptional dining options that cater to discerning travelers seeking both relaxation and adventure. With a mission to provide exceptional service and create unforgettable experiences, Penha Longa Resort aims to leave a lasting impression on its guests, whether they are enjoying a romantic getaway, a family vacation, or a corporate retreat. The resort attracts a diverse clientele, including leisure travelers, golf enthusiasts, and business groups, and partners with local artisans and culinary experts to enhance its offerings. Its vision is to be a premier destination that harmonizes luxury with the stunning landscapes of Portugal, ensuring that every guest departs with a sense of rejuvenation and inspiration. Nestled within its expansive grounds is a historic 14th-century monastery, seamlessly blending history with modern luxury. Penha Longa Resort features 204 newly renovated rooms and suites, all designed to provide comfort and stunning views of the surrounding natural park and golf course. The resort is home to two Michelin-starred restaurants, LAB by Sergi Arola and Midori, which showcase innovative culinary artistry. Catering to families, couples, and golf enthusiasts, the resort offers a renowned 27-hole championship golf course and a variety of family-friendly activities, including a dedicated kids' program. Committed to wellness, the Penha Longa SPA and Wellness Club provides personalized treatments and exclusive facilities, enhancing relaxation and rejuvenation. The resort also serves as an ideal venue for meetings, events, and weddings, thanks to its stunning setting and versatile spaces. With a dedication to sustainability, Penha Longa Resort implements eco-friendly practices and is recognized as a Green Key Resort, contributing positively to the local ecosystem. By partnering with local attractions in Sintra and Cascais, the resort serves as a perfect base for exploring the rich cultural and natural beauty of the region, ensuring that every guest's experience is both memorable and enriching.",Portugal,79.209222,,,
Amendoeira Golf Resort,57827181.0,"Portugal, Alcantarilha, Morgado Da Lameira, 8365-302",https://www.linkedin.com/company/11598826,www.amendoeiraresort.com,"Amendoeira Golf Resort is a premier destination in the Algarve, offering a diverse range of services and experiences designed to enhance guests' stays. The resort's mission is to provide memorable experiences, whether through exploring stunning natural landscapes, indulging in relaxing treatments, or participating in high-quality golf lessons. Catering to a wide clientele, including families, adventure seekers, and relaxation enthusiasts, Amendoeira Golf Resort serves as an ideal base for discovering the rich cultural and historical offerings of the region. With amenities such as a dedicated children's club and professional golf instruction, the resort aims to create a welcoming environment for guests of all ages. Additionally, the resort partners with local attractions and cultural events to ensure visitors can fully immerse themselves in the vibrant lifestyle of the Algarve.",Portugal,57.827181,,,
Boavista Golf & Spa Resort,2704832.0,"Portugal, Faro, Lagos",https://www.linkedin.com/company/boavista-golf-&-spa-resort,www.boavistaresort.pt,"Boavista Golf Resort opened in January 2002 and quickly became established as one of the Western Algarve’s premier resorts. With an exceptional 18-hole championship course it is one of the Algarve’s most beautifully manicured courses, bordered by properties all designed to harmonize with the land’s natural contours.  A golf academy with outstanding practice facilities which include a driving range and a short game practice area is available and to keep players well fitted we have our friendly golf shop with all the latest fashion trends and golf equipment. Cosy resort villages offer an exciting mix of luxury properties with sea and golf views, and attractive outdoor pools which create a residential oasis where the delights of the Algarvian lifestyle can be enjoyed by its owners and guests alike.  The onsite Essential and Fitness Spa is second to none in the Western Algarve and offers a superb range of beauty treatments. In addition to the heated indoor pool overlooking the bay of Lagos and Monchique hills you’ll find a well-equipped gym, Jacuzzi, steam bath and sauna. We have floodlit tennis courts and a football pitch as well as safe children’s play area. The latest addition to the resort is the games centre next to the Spa offering archery, voleyball, croquet and petanque where guests and members can have fun with family and friends. There are always activities taking place at the resort to suit all tastes such as Zumba, Pilates, aqua-aerobics, bridge club and walking trips to name a few. The family friendly clubhouse restaurant|bar and lounge area is a comfortable and cosy place to eat breakfast, lunch and dinner. Enjoy our large sunny terrace with some of the finest views of the bay of Lagos and watch golfers finishing their round on the 18th green. Events such as wine evenings and summer BBQ’s are always being planned and don’t miss out on our popular traditional Sunday Carvery.",Portugal,2.704832,,,
Golden Club Cabanas,24544026.0,"Portugal, Faro, De Tavira, Rua Tuberária Major Cabanas, 8800-591",https://www.linkedin.com/company/goldenclubcabanas,www.goldenclubcabanas.com,"Golden Club Cabanas is located on the waterfront, at the heart of the Nature Reserve of Ria Formosa, with magnificent views of the lagoon, close to the historic town of Tavira and to six golf courses, and 40 km away from the international airport of Faro. The resort provides three swimming pools, sauna, Turkish baths, Jacuzzi, exercise room, beach volleyball and multisport courts, boat to the beach, restaurant, bars, Children’s Club, sports and evening entertainment, and a low-rise aparthotel. Enjoy the comfort of low-rise holiday apartments with hotel service, in a protected area, facing a secluded sandy white beach. For more information, please visit our website: http://www.goldenclubcabanas.com/en/",Portugal,24.544026,,,
RR Hotels,23285358.0,"Portugal, Faro, Portimão",https://www.linkedin.com/company/rr-hotels,www.rrhotels.pt,"Fell at home!  O Grupo RR Hotels fundado em 1992, tem no seu universo de investimentos, interesses em diversas áreas, como a Hotelaria, Imobiliária, Catering e Eventos.  Presentemente, o Grupo está focado na área da exploração e gestão turística e opera em Portugal, depois de experiências de sucesso em Angola e Marrocos, tendo no seu portfolio o HOTEL DA ROCHA Suite Hotel (4*), o ALVOR BAÍA Resort Hotel (4*) e o CLUB AMARILIS Apartamentos Turísticos (3*). The RR Hotels Group was founded in 1992, has in its universe of investments, interests in diverse areas such as Hospitality, Real Estate, Catering and Events.  At present, the Group is focused in the area of exploration and tourism management and operates in Portugal, after successful experiences in Angola and Morocco, having at the presente time in its portfolio the HOTEL DA ROCHA Suite Hotel , the ALVOR BAÍA Resort Hotel (4*) and CLUB AMARILIS Apartamentos Turísticos (3 *).",Portugal,23.285358,,,
Four Seasons Country Club | Resort,60792678.0,"Portugal, Almancil, Avenida André Jordan Quinta Do Lago, 8135-024",https://www.linkedin.com/company/four-seasons-country-club,www.fsccquintadolago.com,"The club, established in 1986, enjoys a privileged location, nestling within the pinewoods and golfing greens of Quinta do Lago which is renown as Europe's most upmarket residencial and leisure resort. The 1800-acres of the Quinta do Lago estate is partly embraced by the Ria Formosa Natural Park, a protected nature reserve of the world importance. Four Seasons Country Club is the perfect base to enjoy the secluded tranquility of Quinta do Lago in relaxed style or, on the other hand, indulge in more active pursuits through a comprehensive range of sports and leisure activities. Apart from guaranteed golf times at a reduced green fee to members of the Four Seasons Country Club on two local courses, there is much to do for all ages - Cycling, horse-riding, lawn bowls, windsurfing and sailing on the lake, swimming, snorkelling and scuba diving.",Portugal,60.792678,,,
Green Seed Portugal,1144436.0,Portugal,https://www.linkedin.com/company/green-seed-portugal,www.greenseed.pt,"To assist F&D companies willing to enter the Portuguese market. To implement Commercial and Marketing strategies for F&D companies operating in Portugal Green Seed Portugal inherits the previous business from Food from Britain Portugal with a wide range of companies which we represent in Portugal as well as a unique PR tool to support Malt Whisky comppanies, the SMC - Single Malt Whisky Club (www.whisky.com.pt)  To assist Portuguese companies willing to export to markets where Green Seed also has an office.",Portugal,1.144436,,,
Bafureira Club,1783825.0,"Portugal, Lisbon, Parede, Praia Da Bafureira Av. Marginal Lisboa, 2775-239",https://www.linkedin.com/company/bafureira-club,bafureira.pt,Bafureira Club | Sushi | Eventos | Terrace,Portugal,1.783825,,,
Monte Rei Golf & Country Club,7077989.0,"Portugal, Vila Nova, 8901-907",https://www.linkedin.com/company/monte-rei-golf-&-country-club,www.monte-rei.com,"Welcome to one of the most exclusive developments of its kind - featuring two unique, championship Jack Nicklaus Signature Golf Courses, set in over 1,000 acres of glorious countryside in Portugal’s Eastern Algarve.  Located in the unspoilt countryside between the dramatic Serra do Caldeirão mountains and the Atlantic Ocean, the landscaping has been carefully designed to ensure that the Algarvean lanscape is preserved and enhanced. With a building density that is one of the lowest of any comparable development in Europe, Monte Rei Golf & Country Club offers a choice of stunning property styles. To experience the lifestyle at Monte Rei, a choice of beautiful villas are available for short term rentals, making the ideal accommodation for families, small business groups or friends who want to enjoy a world-class resort in a unique Algarvean setting.",Portugal,7.077989,,,
