Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Louis Hotels,261463861.0,"Cyprus, Nicosia, Nicosia, Achaion 1 Egkomi, 2413",https://www.linkedin.com/company/louis-hotels,louishotels.com,"With a Legacy spanning nearly 80 years, Louis Hotels has become a leading force in the hospitality industry across Cyprus and Greece. Guided by a commitment to excellence, we operate 26 Hotels across 7 Destinations, offering a carefully curated experience through 4 distinct Collections. From family-friendly resorts to exclusive retreats, Louis Hotels redefines Mediterranean hospitality, blending heritage with innovation. We are dedicated to enhancing guest experiences through sustainable practices, meaningful partnerships, and a forward-thinking approach that shapes the future of travel. Discover how our unique ‘holiday coordinates’ create memorable escapes, providing every traveler with a remarkable journey rooted in quality and authenticity. Embrace new horizons with Louis Hotels.",Cyprus,261.463861,,,
Muskita Hotels,211456224.0,Cyprus,https://www.linkedin.com/company/muskita-hotels,www.muskitahotels.com.cy,"Established in 1989, Muskita Hotels is the name behind four luxurious properties, three in Cyprus and one in Athens, Greece. As hotel owners, or owners and operators, the Company’s role in each property varies; yet in each case its name offers the assurance of industry expertise and entrepreneurial vision. Muskita Hotels is therefore not a chain, but rather a family of hotels. And like any family, each member has its own name and distinctive character, which is deliberately modelled to match the very different and constantly evolving needs of the market segment it serves: •	Four Seasons Hotel Limassol, Cyprus, preferred by those who want nothing but the best •	Amathus Beach Hotel, Cyprus, a landmark 5-star luxury hotel since 1973 and member of The Leading Hotels of the World, with an abundance of outdoor leisure and recreation areas   •	Robinson Club Cyprus is the only purpose-built club hotel on the island. Part of the TUI group, Robinson Clubs are renowned for premium club holidays with sports, wellness, high quality cuisine & entertainment, at over 20 quality all-inclusive club hotels around the world. •	Melia Athens, Greece, a luxurious city centre hotel favoured by demanding business travellers and holidaymakers  This diversity has broadened and deepened Muskita Hotels’ understanding of all the moving parts of the industry as a whole, and has established the company as specialists in the operation of upscale hotels. Muskita Hotels is a member of Muskita Holdings, the umbrella of Muskita Hotels, Muskita Aluminium Industries, which is based in Cyprus and the UK, and Muskita Investments, a real estate division with assets in several locations on the island and abroad. The group employs approximately 1,200 people in Cyprus and overseas.",Cyprus,211.456224,,,
Thanos Hotels & Resorts,186362539.0,"Cyprus, Pafos, Poseidonos Avenue",https://www.linkedin.com/company/thanos-hotels-resorts,www.thanoshotels.com,"Thanos Hotels & Resorts is a privately owned, independently minded collection of lifestyle hotels (under the brand names Almyra, Anassa, Annabelle, Antasia and Amyth that conveys the energy and essence, serenity and style, fun and freedom of the Mediterranean. Sophisticated and service-oriented, the group operates with heart and soul, social conscience and financial sense. The Michaelides family has soulfully crafted every award-winning inch of the company since its inception in the early 1970s. Today, the Michaelides’ second generation hoteliers employ more than 1,100 people and centre their operations on an “extended family” concept: from treating the group’s management, staff and guests as part of the family unit to giving back to the local community. At the group’s core is a fervent commitment to quality, honesty, transparency, integrity, diversity, equality and the highest ethical standards Whether you surround yourself with incredible vistas of the Mediterranean in the palatial Anassa with its organic Thalassa Spa, or enjoy the state-of-the-art AlmyraSpa, or relax in the lush tropical gardens of Annabelle, you will be made very welcome. You can luxuriate and be pampered all day long, or spread your wings and visit some of the many heritage sites close at hand. We offer an unbeatable choice of restaurants and menus and many facilities for families, groups and individuals.",Cyprus,186.362539,,,
Salamis Bay Conti Resort Hotel & Casino,103210776.0,"Cyprus, Ammochostos, Famagusta, 12800",https://www.linkedin.com/company/salamis-bay-conti,www.salamisbayconti.com,"Located on 65 Km2 land surrounded by unspoiled nature, clear blue sea and fresh air alongside the famous Salamis’s beach which covered with fine golden sand of Cyprus. The famous caretta turtles that you can catch chance to take pleasure in watching them while sunbathing on the beach and also swimming together will provide you adding memorable moments to your vacation. With its fantastic location, unique sea, cheerful entertainment, most memorable tastes and service concept that focused on customer satisfaction Salamis Bay Conti Resort Hotel and Casino offers the holiday you have dreamed.",Cyprus,103.210776,,,
Stademos Hotels LTD,93141432.0,"Cyprus, Limassol, Limassol, 60 Amathus Avenue Agios Tychonas, 4533",https://www.linkedin.com/company/stademos-hotels-plc,www.stademoshotels.com,"Stademos Hotels LTD was founded in 1989 as a family of Hotels, with a vision to develop, own and operate world-class Hotels in Cyprus. Like in every family, each Hotel in the Stademos group has its own unique character. Today, the group owns and manages three of the most iconic and popular hotel destinations on the island, including the deluxe 5-star AMARA in Limassol, the stately 5-star Elysium in Paphos, and the popular 4-star Mediterranean, also in Limassol.",Cyprus,93.141432,,,
Kanika Hotels & Resorts,83399580.0,"Cyprus, Limassol, Limassol",https://www.linkedin.com/company/kanika-hotels-&-resorts,www.kanikahotels.com,"Celebrating over 50 years of heritage, passion and service excellence, Kanika Hotels & Resorts have come a long way since 1975 as the leading hotel group in Cyprus. Kanika Hotels & Resorts owns and operates the following Hotels & Resorts in Cyprus: Amavi, MadeForTwo Hotels, Paphos Amanti MadeForTwo Hotels, Agia Napa Olympic Lagoon Resort, Paphos Olympic Lagoon Resort, Agia Napa Alexander The Great Hotel, Paphos",Cyprus,83.39958,,,
Tsokkos Hotels,79296084.0,"Cyprus, Ayia Napa, 5341",https://www.linkedin.com/company/tsokkos-hotels,www.tsokkos.com,"Welcome to the world of Tsokkos Hotels,the largest hotel chain in Cyprus with 30 units.The company was founded in 1981 from the present Chairman Mr Andreas Tsokkos and enjoys more than 30 years experience.Today Tsokkos Hotels offers quality accommodation in Protaras,Ayia Napa,Paphos and Sharm El Sheikh.It is a public company listed in the main market of CSE. The company is an industry leader,with quality portfolio,prime beachfront locations,loyal customers,pioneer projects and strategically invest and renovate its properties.Tsokkos Hotels are dedicated to satisfying every guest’s needs and playing an active role to ensure that every holiday will be remembered fondly.We pride ourselves on making sure we know what satisfies our guests.This is our business.We accomplish it through the use of continuous professional planning, precision and care.Our aim is to ensure a friendly professional service second to none.Our mission is to provide a holiday experience that extends beyond check -in to a more personal service that meets your needs and exceeds your expectations.Trust Tsokkos Hotels.Trust our experience.Trust our vision and dedication to excellence.Our business is unquestionably designed to be your pleasure.More than one hundred thousand guests,and a high percentage of repeat business,every year trust Tsokkos Hotels and enjoy value for money quality holidays.Tsokkos Hotels ensures a relaxing and memorable holiday experience that you will treasure for years to come.",Cyprus,79.296084,,,
Amathus Limassol,78666750.0,"Cyprus, Limassol, Limassol, 3606",https://www.linkedin.com/company/amathuslimassol,www.amathuslimassol.com,"discover more at www.amathuslimassol.com Amathus Limassol is a 5 star beachfront hotel of world class calibre in Cyprus epitomizing the essence of luxury living. A haven of luxury accommodation, gourmet dining, upscale conference facilities, superior event and wedding organizing services, premium concierge and spa indulgence awaits families, friends and newlyweds to turn their dreams into a magical reality. UPSCALE BUSINESS FACILITIES  The Amathus conference centre provides upscale business facilities that distinguish it as a prominent business venue for corporate travellers visiting Limassol, Cyprus ensuring corporate events are handled with utmost professionalism.  Drenched by natural day light the hotel’s main conference centre on the mezzanine floor is technologically advanced and can host up to 600 delegates in total in a theatre setting, or separately 400 in Demetra room and 160 attendees in Ares room which is the ideal choice for banquets. Hermes, Aphrodite and Poseidon are available for smaller meetings and events taking place at this enchanting 5 star hotel. To see more of Amathus, follow us on Facebook, Twitter, Linkedin, Instagram, Youtube, Foursquare, Pinterest.",Cyprus,78.66675,,,
Elexus Hotel & Resort & Spa,78037416.0,"Cyprus, Keryneia, Catalkoy, No 21 Ulucay Sokak",https://www.linkedin.com/company/elexus-hotel-&-resort-&-casino,www.elexushotel.com,"Located in a tranquil area, along the stunning coastline, Elexus Hotel Resort & Casino in Kyrenia, Northern Cyprus is a new imposing 5 star luxury hotel surrounded by beautiful scenery and magnificent views of the sea. The hotel provides outstanding facilities, luxurious accommodation, invigorating spa facilities, restaurants offering a combination of world's leading flavours and authentic Turkish cuisine in a quality and chic décor. With 5 swimming pools and an aqua park, the hotel is a water paradise. The hotel offers multitude of facilities and activities for couples and honeymooners. Families can enjoy an active, fun-filled family holiday here. When the sun goes down, a fun-filled line-up of entertainment awaits. The hotel offers Ultra Extended Full Board concept which includes a rich variety of food and beverage service as free of charge during breakfast, late breakfast, lunch, afternoon tea buffet, dinner and late dinner. In the mini club area, buffet meal for children, ice cream, cakes and soft drinks are offered as free of charge.",Cyprus,78.037416,,,
Grand Sapphire Resort & Casino & Spa,76768896.0,"Cyprus, Iskele",https://www.linkedin.com/company/grand-sapphire-resort,grandsapphireresort.com,"Grand Sapphire Resort & Casino, sizin için hayal edilebilecek en güzel olanı gerçeğe dönüştürdü. Kusursuz bir tatil deneyimi için sizi, 7 yıldızlı yaşamın kapılarını aralayan bu benzersiz dünyaya davet ediyoruz. Kuzey Kıbrıs'ın bu büyüleyici köşesinde, unutulmaz anlar yaşayın ve ömür boyu sürecek anılar biriktirin.",Cyprus,76.768896,,,
City Of Dreams Mediterranean,70568875.0,"Cyprus, Limassol, Limassol",https://www.linkedin.com/company/city-of-dreams-mediterranean,www.cityofdreamsmed.com.cy,Europe's first premium integrated resort.,Cyprus,70.568875,,,
Parklane A Luxury Collection Resort & Spa,57738171.0,"Cyprus, Limassol, Limassol, 11 Giannou Kranidioti Street Pyrgos, 4534",https://www.linkedin.com/company/parklane-a-luxury-collection-resort-&-spa,www.parklanecyprus.com,"Ideally positioned along a 24km southern coastal strip of Cyprus and within easy reach of Limassol city, Parklane, a Luxury Collection Resort & Spa, Limassol has been reimagined to offer a beachside, lifestyle destination. Radiating across 85.5k m2 of thoughtfully-crafted landscape, it hails as the only upscale international brand with an elevated and varied offering, for both business and leisure guests, as yet unseen on the island. The diversity of accommodation extends from family-friendly to adult-only, with a choice of rooms and suites, some with private pools. Of the three generously-sized pools, one is seawater, another caters for adults only and each is populated by cabanas, poolside dining and sun loungers. A comprehensive resort, Parklane appeals to myriad tastes. Housing four distinct restaurants and two bars, it also has unmatched meetings facilities, including a vast 800m2 Diamond ballroom, imaginative Park Kidz club, transformative Kalloni SPA with 14 treatment rooms and a 300-meter long sandy beach. Parklane is a multidimensional setting that is both immersive and personalized, redefining the art of living while retaining the historic resonance of the island.",Cyprus,57.738171,,,
FOSS & ESG Catering,53766762.0,"Cyprus, Limassol, Limassol, 171 Arch. Makarios Iii Ave., 3027",https://www.linkedin.com/company/foss-&-esg-catering,foss.goss-foss.com,"FOSS & ESG is a global offshore catering and housekeeping service provider founded in 1995. For more than 20 years we have been offering top quality offshore catering and housekeeping services, with a particular focus on Oil & Gas, Offshore Wind and Maritime industries. In order to achieve consistently high quality of service in a cost-effective manner complying with the highest standards of quality, hygiene and safety, we have systematically invested in our employees, our internal systems and business processes. As a result, today, FOSS & ESG name is synonymous with quality, dependability and exceptional value worldwide. With 8 strategically positioned offices around the world and a global network of time-tested suppliers, FOSS & ESG is delivering its services wherever our clients need us to be. Active locations include the North Sea, Gulf of Mexico, Brazil, Central America, West Africa, and the Middle East. FOSS & ESG is ISO 9001, ISO 14001, OHSAS 18001 certified, demonstrating our commitment to consistent quality of service, safety of our people and the environment, continuous improvement and customer satisfaction.",Cyprus,53.766762,,,
St Raphael Resort,52864056.0,"Cyprus, Limassol, Limassol, Amathus Avenue P.o.box 51064, 3594",https://www.linkedin.com/company/st-raphael-resort,raphael.com.cy,"The ultimate destination for your next holidays A small paradise in lively cosmopolitan city of Limassol, Cyprus, situated on one of the finest and largest Blue Flag accredited beaches. An ideal family hotel which provides facilities and services beyond its  guests’ expectations promising you a memorable and relaxing stay away from home. The Resort stands on a 43,000 sqm of landscape gardens and consists of 3 buildings, The Tower – with luxury apartments available for rental, the Executive Wing – with 56 family-oriented suites, and the main building – with 216 rooms & suites.   A gastronomy journey awaits you that will fulfil all your culinary preferences and requirements offering a variety of 8 exclusive restaurants and bars inspired by different cuisines and venues.  For those looking for active holidays, the Resort got you covered with day and evening entertainment for adults & children, watersport facilities and diving center just right at the St Raphael beach, or just charter a yacht from the private St Raphael Marina.  Website: https://www.straphael.com/  Info & Reservations: reservations@straphael.com",Cyprus,52.864056,,,
Concorde Luxury Resort,47200050.0,"Cyprus, İskele, 99920",https://www.linkedin.com/company/concorde-luxury-resort,www.concordehotels.com.tr,"Concorde Luxury Resort opened its doors to our valued guests in 2018, delivering our signature Concorde Luxury Resort and Ultra-All Inclusive service in a 125-acre seafront paradise in Vokolida – one of Cyprus's most exclusive locations and just 45 minutes from Ercan Airport! Six á la carte restaurants, animations by international teams and a range of sports activities now in Cyprus with the Concorde quality!",Cyprus,47.20005,,,
Adams Beach Hotel,42794712.0,"Cyprus, Ammochostos, Ayia Napa, 87 Nissi Avenue, 5330",https://www.linkedin.com/company/adams-beach-hotel,www.adams.com.cy,"Situated on the breathtaking Nissi Bay, (so named for the island which sits in the lagoon – ‘nissi’ is the Greek word for island), known for its fine white sandy beach and shallow, turquoise waters, the Adams Beach Hotel has a long-established tradition of providing top accommodation and service to holiday makers from around the world. The Adams Beach Hotel has truly earned its 5 star category and prides itself on offering the highest standard of facilities for your relaxation and enjoyment set within a Mediterranean oasis of palm trees and lush gardens.",Cyprus,42.794712,,,
Golden Bay Beach Hotel,39648042.0,"Cyprus, Larnaka, Larnaca, Dhekelia Road, 6306",https://www.linkedin.com/company/golden-bay-beach-hotel,goldenbay.com.cy,"Golden Bay Beach Hotel is an exclusive 5 star hotel Set in mature landscaped gardens of tropical palms and vibrant flowers, bordering a long sandy beach on the island of Cyprus, the jewel of the eastern Mediterranean. Situated in the favoured south eastern region of Cyprus at the heart of the Bay of Larnaca, The Golden Bay is a world class haven of luxury. Just outside the town of Larnaca, only 14 kilometres from the international Airport, The Golden bay is the ideal choice for both the business traveller and the discerning holiday maker.",Cyprus,39.648042,,,
Acapulco Resort Convention Spa Casino Hotel,38797607.0,"Cyprus, Çatalköy, 10 Kyrenia Mersin",https://www.linkedin.com/company/acapulco-resort-convention-spa-casino-hotel,www.acapulco.com.tr,"Acapulco Resort & Convention & SPA stands out as one of the premier hotels in Northern Cyprus, bringing the pleasure of vacation to Cyprus with world-class standards and service quality, combined with Mediterranean culture. It is renowned for providing a five-star and friendly service to our guests, whether for business or leisure purposes. Located on a sprawling 100,000 m2 area, Acapulco Resort Convention SPA Hotel offers the perfect blend of green and blue with its own private sandy beach. Situated to the east of Girne, the most beautiful city of Northern Cyprus, our unique hotel presents you with the cleanest beaches and natural beauty of Girne,. Acapulco Hotel, a top choice for anyone looking to vacation in Cyprus, guarantees to entertain and relax you with its exceptional beach. Conveniently located, Acapulco Resort & Convention & SPA is only 20 minutes away from Ercan Airport and approximately 15 minutes from Girne Castle, Shipwreck Museum, St. Hilarion Castle, Karmi, and Bellapais Monastery. Opened on June 15, 2016, the Aqua Park, boasting an unprecedented variety of slides, caters not only to adults but also to children, making it an ideal destination for the entire family.",Cyprus,38.797607,,,
Aphrodite Hills Resort,36048170.0,"Cyprus, Pafos, Aphrodite Avenue Kouklia",https://www.linkedin.com/company/aphrodite-hills-resort-cyprus,www.aphroditehills.com,"Aphrodite Hills Resort is nestled in the midst of a protected forest with unparalleled views of the Mediterranean Sea.  Flourishing with indigenous plants and situated on two plateaux, the Resort covers 2.3milllion square metres (234 hectares of land), of which 92% is pure indigenous plantation, greenery and landscaping.  Boasting an exclusive mix of high quality resort elements, this world class Mediterranean destination is the ideal convention destination and banqueting centre.  Rated among the top 3 Golf Courses in Europe, the multi awarded 18-hole Aphrodite Hills Golf Course, was designed by famous golf course architect Cabell B. Robinson. A refurbishment in 2017 concerned a €2.5m investment golf course upgrade, including a complete modernization and reconstruction of greens and bunkers.  The unique landmark hotel by Atlantica with 290 rooms and suites offer a captivating stay.  Stylish holiday villas, all with private pools or holiday apartments with communal pools are another ideal accommodation option which offer a taste of high end Cypriot life at its best.  The concept of buying a home here at the Resort is taking living to unprecedented new levels. The Resort’s Real Estate is one the most prestigious property developments in Cyprus.  The multi awarded “The Retreat Spa” by Atlantica consists of 3,000 Greco-Roman inspired square meters with 27 holistic treatment rooms, a private gym, 6 heat rooms and a Hammam. The Tennis Academy features nine Championship floodlit courts, five  hard courts & four clay courts.  The Children’s club with numerous outdoor activities and sporting events (i.e. archery, crafts, pony ride, dancing), a car rental office, a supermarket, a pharmacy, a health centre and a beautiful St’ Catherine’s chapel give an extra cozy secure feeling of unparalleled convenience.  An accredited 3G pitch Football Academy and a Horse Riding Club add on the list of top class sports activities along with jogging, hill walking, cycling or swimming at the Resort’s private beach near the resort or in one of the 34 indoor and outdoor swimming pools.",Cyprus,36.04817,,,
Four Seasons Hotel Cyprus,33604226.0,"Cyprus, Limassol, Limassol, 67-69 Amathus Avenue Agios Tychonas, 4532",https://www.linkedin.com/company/four-seasons-hotel-cyprus,www.fourseasons.com.cy,"A 5 star deluxe, independently owned and operated hotel on a sandy beach east of Limassol approximately midway between the airports of Larnaca and Pafos and only a few minutes drive from the city centre. The  resort is the pinnacle of luxury & style, combining impeccable facilities with world class hospitality and service.",Cyprus,33.604226,,,
Sunrise Hotels,27799000.0,"Cyprus, Ammochostos, Protaras, 45 Protara",https://www.linkedin.com/company/sunrise-hotels,www.sunrise.com.cy,"Ever since its inception in 1981, the name of Sunrise Hotels has become synonymous with the best beach location in Cyprus. With 5 hotels in prime locations, this family owned hotel group has also earned its reputation as the main provider of high quality accommodation in the resort of Protaras. Our aim is to provide a  holiday experience so unique that it earns the loyalty of our guests. Our recipe for achieving this is simple: - Pick hotels in the best locations - Invest in a team of hotel personnel  that shares our passion for friendly service - Continuously invest in upgrading and modernizing the hotels services and facilities - Make dining in our restaurants a treasured part of our guests' holiday experience These ingredients have guaranteed the success of Sunrise Hotels in building an unrivalled loyal following of holidaymakers. Our promise is to continue in our effort to exceed our guests’ high expectations.",Cyprus,27.799,,,
