Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Reykjavík Fringe Festival,1163679.0,"Iceland, Capital Region, Reykjavík",https://www.linkedin.com/company/reykjavik-fringe-festival,www.rvkfringe.is,"Welcome to the annual Reykjavík Fringe Festival, home of the Icelandic grassroots art scene as well as a platform for more established performers to experiment and play. Our artists are a mix of local and international performers, speaking, singing and screaming in a variety of languages - or none at all. The festival takes place at the height of summer, making the most of the long days and the midnight sun. Venues are all in central Reykjavík, a close walking distance from one another. Tickets are affordable and the atmosphere is always welcoming.",Iceland,1.163679,,,
Al-Genius,1020422.0,"Iceland, Capital Region, Hafnarfjörður, Strandgata, 220",https://www.linkedin.com/company/al-genius,al-genius.com,"Today businesses are challenged with complex business environment, safety, environment, operating flexibility, and increasingly complex products, at the same time all this must be achieved at lower operating cost. In addition to the MES-AL system Al-Genius provides consulting services to the aluminium industry. Core focus is on value added production, project management, continuous improvement, supply chain management and use of industrial data to support management decisions. Projects worked on include the entire spectrum of products, sheet ingots, extrusion ingots (billets), and foundry alloys. As well the whole project lifecycle from feasibility studies, design, equipment selection, installation, operational readiness, commissioning, and operation. If you are interested in exploring our capabilities or find out more about the MES-AL system or schedule your demo head over to our website and fill out the contact form. Let’s find out how we can help you improve your business.",Iceland,1.020422,,,
Whale Safari,3776004.0,"Iceland, Capital Region, Reykjavík, 5 Ægisgarður, 101",https://www.linkedin.com/company/whale-safari,www.whalesafari.is,"Whale Safari is Reykavik's and Akureyri´s only small groups whale watching tour operator. Our specially constructed RIB boats are made to get you as close as possible to the whales, dolphins and puffins of the Faxaflói Bay and the famous Eyjafjord humpbacks. Our RIBS only seat 12 passengers per boat, each with an expert whale watching guide and captain on board. All our small group tours are real ocean safaris and the ride on our 450 to 700 horsepower boats is an adventure in itself. On our Reykjavík tours we also visit the puffins when they are in season before searching for the minke and humpback whales, we even do a sightseeing tour of Reykjavík from the sea front. On our Akureyri tours explore the deepest and most beautiful fjord in Iceland before searching for the famous ""Eyjafjord Humpbacks""  Oh! And both these tours only less take then two hours. We see whales and/or dolphins on more then 92% of our tours. If we don´t see whales or dolphins on your tour you can try again for free on the Whale Watching Classic or Akureyri Whale Watching any time you like. Our ticket office and service centers are located in the Old Harbour of downtown Reykjavík and next to the Hof Cultural Centre in downtown Akureyri and are open from 8:00-20:00 during the season. Whale and wild life tours are operated up to 7 times a day, everyday from the 15th of April to the 31st of October.  Tours can be booked here online, with an email to info@whalesafari.is or via phone on +354-497-0000.",Iceland,3.776004,,,
Travels Ehf,901336.0,"Iceland, Capital Region, Reykjavík, 46 Sudurlandsbraut, 108",https://www.linkedin.com/company/travels-ehf,www.travels.is,"Travel agent and operator for Iceland,Greenland and Faroe Islands. Offering event, DMC, Day Tours, Short Tours, Long Tours, Luxury Travel, Conferences Our services include, but not limited to, the ones listed below: Tailor Made Itineraries Accommodation - whether it is a luxury city hotel, a lovely spa hotel in the countryside, a comfortable hotel for your tours or a hostel - we are here for you to offer just the one your clients are looking for! Transfers - luxury coach or standard one, saloon car or exclusive car, let us know what your clients prefer and we will arrange it. Transport - be it ferry or train we will get you to your destination (although we do not provide flights) Attractions Tickets - with us you will get admission to all of the major and most popular attractions. Entertainment - to make their stay more exciting we will provide your clients with tickets to the west end shows, muscials, theatre performances, sport events and much more! Professional Guiding and Assistance - we work with qualified guides. We can arrange your tour to be led in English, Russian, Polish, Hungarian, Spanish, French, Italian, Japanese, Chinese and many other foreign languages. Restaurant Bookings - for dinners and lunches, private or otherwise we are here to help, even to arrange lunch boxes if your group has a tight itinerary! Activities - we specialise in all sorts of activities, team building, horse riding, fishing, shooting and many others. Venue Bookings - whether you client need a meeting space or a venue to celebrate a special day such as birthday or wedding, you can do it with our help!",Iceland,0.901336,,,
Gracious Travels Group,1665792.0,Iceland,https://www.linkedin.com/company/gracious-travels-group,www.gracioustravelsgroup.com,"Value: With our “ Know How  “, and as a Sales Agent for almost all major international airlines in Nigeria, we do not only offer competitive prices to our customer, but we are also able to offer maximum opportunity for choices and flexibility. Who are we? Gracious Travels and Tours Limited is one of the leading Tour Operators in Nigeria, providing comprehensive services for individuals, groups and other travel agencies. Gracious Travels and Tours Ltd was first established in the year 1997 by qualified professionals with more than seventeen years of experience in the Tourism Industry. Their experiences range from specialized and tailored needs for high profile clients, government and non-governmental agencies to We are located on the 6th floor at Church House, 29 Marina Lagos and open for business and all customers’ enquiries from 8am to 5pm, Monday- Saturday weekly. We also have a 24hours customers service dedicated line, where we can be reached for urgent requests at all times.  We are fully (IATA) licensed agency (5921054), and an active member of the National Association of Nigerian Travel Agencies (NANTA)  Our specialized departments (Administrative, Operations, Reservation, Product and Business Development, Sales & Marketing, Inbound, Outbound & Ticketing Departments) offer a diversity of services and are setup to work independently, in order to provide exceptional service to all our customers under a serene and friendly business environment thereby creating long lasting relationship. Gracious Travels and Tours also has collaborative and progressive business partnership with Planet Travels and Tours in the United Arab Emirate and with LOTS OF HOTELS to give our clients a wide array of hotel options.",Iceland,1.665792,,,
Around Iceland,624672.0,"Iceland, Capital Region, Reykjavík, 18b Laugavegur, 101",https://www.linkedin.com/company/around-iceland,aroundiceland.is,"Around Iceland is one of the leading travel agency in incoming tourism in Iceland. Located on the main shopping street, Laugavegur 18, you can book guided tours and specialized trips around Iceland with assistance from experienced guides. Additionally you can make hotel reservations, book airline tickets, car rentals and make dining reservations. Our goal is to share with our customers a little part of the world that few people have ever experienced. Encounter the beauty of the nature, waterfalls, glaciers, geysers, and volcanoes. Iceland has its share of natural wonders, geological anomalies, the northern lights and beautiful vistas, and there’s so much for you to explore!",Iceland,0.624672,,,
Activity Stream,18367596.0,"Iceland, Capital Region, Reykjavík, 29 Borgartún, 101",https://www.linkedin.com/company/activitystream,www.activitystream.com,"Activity Stream supports the mission of creating the best live experiences by delivering efficient and effective marketing, engagement, and venue management services for live entertainment professionals. Activity Stream exists to ensure the longevity and success of live entertainment by helping venues and producers be more effective in their workflows, efficiently sell more tickets at a higher price, and know their audience better.",Iceland,18.367596,,,
AP Media Ehf.,1008284.0,"Iceland, Capital Region, Reykjavík, Engjateigur",https://www.linkedin.com/company/ap-media-ehf-,apmedia.is,"AP Media ehf. is an Icelandic company founded in 2004. We specialize in information technology and services for non profits and labor unions in Iceland. Among our services is online surveys, Frímann - reservation system for cottages and tickets, website design and programming and Google apps deployment for small and medium size companies.",Iceland,1.008284,,,
Midi.is,1372554.0,"Iceland, Capital Region, Reykjavík, 24 Skaftahlíð, 105",https://www.linkedin.com/company/midi.is,midi.is,"Midi.is is Iceland's leading ticketing company providing ticket sales, marketing and distribution through www.midi.is.  Since 2001, Midi.is has served Iceland's leading arenas, stadiums, performing arts venues, museums, and theaters. In 2010 Midi handled 2.121.943 ticket sales on behalf of its clients.",Iceland,1.372554,,,
Stubbur,665372.0,"Iceland, Capital Region, Reykjavík",https://www.linkedin.com/company/stubbur,stubb.is,"Stubbur – The Smart Ticketing Solution for Sports & Events Stubbur is a modern, lightweight ticketing platform designed for clubs, leagues, and event organizers. Our unique system ensures a seamless connection between season tickets and event tickets, as our season ticket functionality is built directly on top of our event ticketing platform. This makes it easier than ever to manage access, track attendance, and offer a frictionless experience for fans. ✅ Effortless ticketing for sports teams and event organizers ✅ Season tickets fully integrated with individual event tickets ✅ White-label solution tailored to your brand ✅ Mobile-friendly, automated, and cost-effective Join teams and leagues already using Stubbur to streamline their ticketing operations.",Iceland,0.665372,,,
