Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
DBF Edvard Rusjan Slovenian Team,3965810.0,"Slovenia, Ljubljana, Ljubljana",https://www.linkedin.com/company/dbf-edvard-rusjan-slovenian-team,dbfslovenia.si,"A team that builds UAVs for the Design, Build, Fly, competition organized by @AIAA.  Each year we are confronted with a new set of rules and scoring equations and our job is to produce the highest overall score while maintaining compliance with all the requirements.  The team consists of 20+ members from freshmen to masters students.",Slovenia,3.96581,,,
Ato Comm,3965810.0,Slovenia,https://www.linkedin.com/company/ato-comm,www.atocomm.eu,"Industry conferences and exhibitions as an element of a next-generation integrated marketing communications platform, tailored for global transport and travel industries with a focus on emerging markets. ATO COMM and its parent US company, MARK COMM, are two integral parts of the next-generation integrated marketing communications platform, specifically tailored for global transport and travel industries with a special focus on emerging markets. The platform’s core value proposition is to be a one-stop-shop for: - conference management - corporate training and education - trade media services - marketing communications and media relations - consultancy services Our strong service ethos stems from our ATO Events company roots. Launched as a traditional conference organizer specializing in air transport almost a quarter of a century ago, ATO Events eventually became a key meeting point and efficient marketing communications platform for air transport professionals in the former Soviet Union, Central, and Eastern Europe. Our mission is to create trade events and activities, which are beneficial to the business development of each participating company or individual, as well as to contribute to the evolution of the industry as a whole. Participants of our events know that they will get an unbiased and comprehensive assessment of the market, understood the views of the key players and regulators, enriched their outlook with new insights, and struck up meaningful business contacts.",Slovenia,3.96581,,,
Air Adriatic,3776004.0,Slovenia,https://www.linkedin.com/company/air-adriatic,www.air-adriatic.com,"Air charter operator from Ljubljana , Slovenia , providing you with private jet flight service for travelling whenever and wherever you might need.",Slovenia,3.776004,,,
Mahepa,1888002.0,"Slovenia, Maribor, Maribor, 17 Smetanova, 2000",https://www.linkedin.com/company/mahepa,mahepa.eu,"MAHEPA project is developing and flying two new hybrid-electric powertrains to enable cleaner, quieter and more efficient aircraft propulsion. By adopting a modular approach to propulsion system components design, for the first time two variants of a serial hybrid-electric powertrains will be tested in flight. The first uses a fuel-driven generator to charge the batteries and power the electric motor, while the second relies on fuel cells to produce power enabling zero-emission flight. Data from flight tests will be used to model future operating scenarios of hybrid electric aviation paving the way towards greener aircraft. The project is developing key technology and roadmap for market implementation of future hybrid-electric airplanes. After having completed successful ground demonstrations of a hybrid powertrain in previous project HYPSTAIR (FP7 605305), MAHEPA will deliver new, optimized propulsion components with increased reliability suitable for in-flight testing and future commercial deployment to small aircraft. The first flights of two four-seat airplanes equipped with MAHEPA hybrid electric powertrains are scheduled for 2020.",Slovenia,1.888002,,,
Promo Global,1888002.0,"Slovenia, Ljubljana, Ljubljana, Dunajska Cesta 156, si-1000",https://www.linkedin.com/company/promo-global,www.promo-global.si,Travel agency specialized in Business Travel with main focus on cheap airline tickets and worldwide hotel accommodation.,Slovenia,1.888002,,,
Fox Aviation D.o.o,1745833.0,"Slovenia, Zgornji Brnik 130s",https://www.linkedin.com/company/fox-aviation-d-o-o,www.foxaviation.org,Aviation charter company,Slovenia,1.745833,,,
Solton d.o.o.,1709663.0,"Slovenia, Dol Pri Hrastniku, 62a Turje, 1431",https://www.linkedin.com/company/solton-d-o-o,www.solaletenja.si,"We are flight school with high level of professional instructors, training programms and great planes, which are highly professional maintened. Fly with us in introductory flights, buy gift to your friends or prepare to be privat pilot.",Slovenia,1.709663,,,
CAA.si,1396667.0,"Slovenia, Ljubljana, Ljubljana, 19a Kotnikova Ulica, 1000",https://www.linkedin.com/company/caa-si,www.caa.si,"Civil Aviation Agency of the Republic of Slovenia Kotnikova ulica 19a SI-1000 Ljubljana SLOVENIA OFFICIAL HOURS: on Monday, Tuesday and Thursday: 9  a.m. -  11 a.m., and 1 p.m. - 3 p.m., on Wednesday: 9  a.m. -  11 a.m., and 1 p.m. - 4 p.m., on Friday: 9  a.m. - 1 p.m., apply to phone calls only, appointments (other than submissions of applications in the mailroom) are possible only by prior arrangement.",Slovenia,1.396667,,,
Camex Adria Airlines,698333.0,"Slovenia, Ljubljana, Ljubljana, 117 Dunajska Cesta, 1000",https://www.linkedin.com/company/camex-adria-airlines,camex.aero,"Camex Adria Airlines operates Boeing 737-800F to provide cargo services across Europe, Africa and the Middle East.",Slovenia,0.698333,,,
AVIOFUN d.o.o.,681035.0,"Slovenia, Dravograd, Gorče",https://www.linkedin.com/company/aviofun-d-o-o-,www.aviofun.com,,Slovenia,0.681035,,,
BOTO Aviation,629334.0,"Slovenia, Štore, Prožinska Vas, 3220",https://www.linkedin.com/company/boto-aviation,www.boto.si,Aviation Support/Auditing/Compliance Monitoring/Safety Management/Charter Flights/Quality support,Slovenia,0.629334,,,
Promo Potovanja d.o.o.,508661.0,"Slovenia, Ljubljana, Ljubljana, 158 Dunajska Cesta, 1000",https://www.linkedin.com/company/promo-potovanja-d-o-o-,promo-potovanja.si,"Promo potovanja was founded to satisfy the needs and demands of every traveller, especially business oriented. We take care of all travel segments to make sure our customers travel as smoothly as possible.",Slovenia,0.508661,,,
Aerohold,349166.0,"Slovenia, Trbovlje, Trbovlje, 12 Gabrsko, 1420",https://www.linkedin.com/company/aerohold,aerohold.eu,We're offering fractional ownership for ultralight and general aviation aircraft.,Slovenia,0.349166,,,
Reakcija,85658.0,"Slovenia, Ljubljana, Ljubljana, 45 Cesta 27 Aprila, si-1000",https://www.linkedin.com/company/25061168,www.reakcija.si,"Specialized in combining three major fields of expertise for successful public campaigns - graphic and web design, photography and public relations.",Slovenia,0.085658,,,
