Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Melia Hotels International SA,2091083375.0,"Spain, Balearic Islands, Palma, 24 Calle Gremio Toneleros",https://www.linkedin.com/company/melia-hotels-international,www.meliahotelsinternational.com,"Founded in 1956 in Mallorca (Spain), Meliá Hotels International is the most sustainable hotel company in the world, operating more than 400 hotels (portfolio and pipeline) throughout more than 40 countries, under 10 well-known brands: Gran Meliá Hotels & Resorts, ME by Meliá, The Meliá Collection, Paradisus by Meliá, Meliá Hotels & Resorts, ZEL, INNSiDE by Meliá, Falcon’s Resorts by Meliá, Sol by Meliá y Affiliated by Meliá.  Meliá is one of the leading companies in resort hotels worldwide, while also leveraging its experience to consolidate the growing segment of the leisure-inspired urban market. Its commitment to responsible tourism has led the Group to become the most sustainable hotel company worldwide, according to the last S&P Global Corporate Sustainability Assessment, and it is also a “Top Employer 2023” brand in Spain, Mexico, Dominican Republic, Italy and Germany.",Spain,2091.083375,,,
RIU Hotels & Resorts,2000719980.0,"Spain, Balearic Islands, Palma, C/llaüt S/n Riu Centre, 07610",https://www.linkedin.com/company/riu-hotels-resorts,www.riu.com,"RIU Hotels & Resorts was founded in Mallorca, Spain, in 1953 as a small summer business for the  Riu family, and is currently owned and run by the third generation of the family. The company’s  business is focused on the holiday hotel sector and nearly 70% of its establishments offer the  renowned ‘All Inclusive by RIU’ service.  With the opening of its first city hotel in 2010, RIU extended its range of products with its own  line of city hotels called Riu Plaza. RIU Hotels & Resorts has over 100 hotels in 16 countries, and  employs over 27,107 people. Last year its hotels welcomed a total of 3.5 million guests. RIU is characterised by its firm commitment to quality, by offering its guests carefully-designed  facilities in the very best beach destinations, varied and attentively-prepared cuisine, and a  highly personal service that is second to none. RIU’s staff are what distinguishes it from its  competitors. They are the hotel chain’s most valuable asset and their greatest source of pride.",Spain,2000.71998,,,
Palladium Hotel Group,1904772752.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/palladiumhotelgroup,www.palladiumhotelgroup.com,"Palladium Hotel Group is a distinguished hospitality company that operates a diverse portfolio of luxury hotels and resorts in prime destinations across the Caribbean, Europe, and North America. The company is dedicated to delivering exceptional vacation experiences, emphasizing luxury, comfort, and personalized service for its guests. With a mission to create unforgettable moments for families, couples, and groups, Palladium Hotel Group offers a variety of accommodations, including all-inclusive options and specialized services such as Family Selection and TRS Hotels, catering to the unique needs of its clientele. The company partners with travel agencies and tour operators to reach a global audience, targeting leisure travelers who seek high-quality hospitality experiences in stunning locations. Palladium Hotel Group is committed to excellence and aims to be a leader in the hospitality industry, ensuring that every guest enjoys a unique and memorable stay. Their offerings include gourmet dining, a wide range of entertainment options, and luxurious amenities designed to enhance the guest experience. With properties like the Grand Palladium and TRS Hotels, Palladium Hotel Group focuses on providing eco-conscious experiences that resonate with modern travelers. The company also emphasizes sustainability and community engagement, partnering with local and international organizations to enhance its offerings and positively impact the destinations it serves. By maintaining high standards of hospitality and guest satisfaction, Palladium Hotel Group continues to expand its reach while creating lasting memories for its guests.",Spain,1904.772752,,,
Ushuaïa Ibiza Beach Hotel,1888002000.0,"Spain, Balearic Islands, Ibiza",https://www.linkedin.com/company/ushuaiaibizabeachhotel,www.ushuaiabeachhotel.com,"Ushuaïa Ibiza Beach Hotel is the place where you can find what you always dreamed of enjoying in Ibiza, it is the concept that changed the island forever.  Enjoy performances by the best DJs in the world on the spectacular stage next to the pool and from your room, surrounded by a modern, designer setting, with all types of comfort, luxury and exclusive VIP services. The best daytime parties combined with the delicacies from its restaurants and some outstanding facilities, with the best rooms, all located on the waterfront of the most stimulating beach on the sexiest island in the world. The Ushuaïa Ibiza Beach Hotel is made up of two establishments that are next to each other. The Ushuaïa Club, if you want to live the pure Ushuaïa experience and enjoy its parties first hand, even from your room, and The Ushuaïa Tower, if you want more exclusivity and intimacy but always maintaining the spirit of Ushuaïa. - Hotel not recommended for those under 22 years old. Only for adults. - Rooms with AC, large flat screen satellite TVs, WIFI, i-docking stations,Chromotherapy - 24 hr rooms service, maxi-bar with top brands - Live shows: world´s top DJs, state of the art DJ booth, go-gos, fashion shows,.. - Suites with indoor Jacuzzi - Swim up rooms –direct access to pool - VIP boxes with exclusive service. - 2 outdoor pools, large Balinese-type beds, cocktail bars around pool area. - Wellness center and fully equipped gym - Japanese restaurant, teppanyaki tables and Zen garden. - Beach Club with Mediterranean cuisine & direct access to the beach. - Cocktail music bar in reception. - Professional recording studio",Spain,1888.002,,,
Catalonia Hotels & Resorts,1565393313.0,"Spain, Catalonia, Barcelona",https://www.linkedin.com/company/cataloniahotels,www.cataloniahotels.com,"Catalonia Hotels & Resorts is a prominent hotel chain that operates 77 establishments across Europe and the Caribbean, dedicated to delivering exceptional hospitality experiences. The company’s mission is centered on ensuring maximum customer satisfaction through quality service and competitive pricing, catering to both leisure and business travelers. Its diverse portfolio includes a range of accommodations, from urban hotels to beachfront resorts, appealing to a wide target market that encompasses families, couples, and corporate clients.  Catalonia Hotels & Resorts emphasizes sustainable practices, aiming for long-term growth by acquiring and rehabilitating properties, particularly in prime locations with historical significance. The company prides itself on fostering strong relationships with partners and is committed to excellence, making it a preferred choice for millions of guests worldwide. With a focus on creating memorable experiences, Catalonia Hotels & Resorts offers a variety of amenities, including family-friendly options, hotels with golf courses, and wellness facilities. The company actively targets a broad clientele, ensuring that each guest finds a suitable environment for their needs. By partnering with local attractions and services, Catalonia Hotels & Resorts enhances the guest experience, promoting cultural and recreational activities in the areas surrounding its hotels. Additionally, the company implements eco-friendly practices to minimize its environmental impact, aligning with its mission to provide a responsible and enjoyable stay for all visitors. Through its commitment to quality and sustainability, Catalonia Hotels & Resorts continues to be a leader in the hospitality industry.",Spain,1565.393313,,,
Bahia Principe Hotels & Resorts,1050035560.0,"Spain, Balearic Islands, Palma",https://www.linkedin.com/company/bahia-principe,www.bahia-principe.com,"Bahia Principe Hotels & Resorts, part of Grupo Piñero, is a leading hospitality company specializing in the development and management of all-inclusive hotels and resorts across prime tourist destinations in the Caribbean and Spain. Established in 1995, the brand operates 24 properties with nearly 13,000 rooms, primarily located in the Dominican Republic, Mexico, Jamaica, and the Canary Islands. The company's mission is to create enriching and memorable experiences for its guests while prioritizing sustainability and responsible management practices that respect local cultures and environments. Bahia Principe caters to a diverse clientele, including families, couples, and groups, targeting leisure travelers from countries such as Canada, the United States, the United Kingdom, and Spain. The company is committed to continuous improvement and exemplifies core values of respect, collaboration, and passion in all its endeavors. Bahia Principe collaborates with local suppliers and partners, including travel agencies and NGOs, to enhance its offerings and contribute positively to the communities in which it operates. The brand emphasizes sustainable tourism practices, focusing on biodiversity conservation, waste reduction, and renewable energy, aligning its operations with the United Nations Sustainable Development Goals. Bahia Principe is particularly known for its family-friendly environments and adults-only options, ensuring that guests of all ages can enjoy their stay. With a strong commitment to quality service and customer satisfaction, Bahia Principe aims to be a leader in the hospitality industry, providing unique and enriching experiences for every guest while fostering economic growth and community engagement.",Spain,1050.03556,,,
Hipotels - Hotels & Resorts,794753062.0,"Spain, Baleares, Cala Millor, 18 C/ Sestanyol, 07560",https://www.linkedin.com/company/hipotels,www.hipotels.com,"Hipotels Hotels & Resorts is a premier hospitality company that specializes in providing exceptional hotel and resort experiences across popular destinations such as Mallorca, Cádiz, Lanzarote, and Cancún. The company is dedicated to rewarding guest loyalty through its innovative Hipotels Vibes Club, a tiered loyalty program that offers exclusive benefits and discounts for members who book directly through their official website. With a mission to create unforgettable stays filled with happiness and relaxation, Hipotels aims to enhance customer satisfaction by offering personalized services and unique experiences tailored to their guests' needs. The target market includes leisure travelers seeking comfort and quality, as well as event organizers looking for versatile venues for celebrations and conferences. Through strategic partnerships and a commitment to excellence, Hipotels strives to be a leader in the hospitality industry, ensuring that every guest feels valued and appreciated.",Spain,794.753062,,,
Princess Hotels & Resorts,750000000.0,"Spain, Catalonia, Reus",https://www.linkedin.com/company/princesshotels,www.princess-hotels.com,"Princess Hotels & Resorts is a premier hospitality company that operates a collection of luxurious all-inclusive resorts across the Caribbean and the Canary Islands, with notable locations in Punta Cana, Riviera Maya, Jamaica, and various destinations in Spain. The company is dedicated to providing exceptional vacation experiences characterized by unparalleled luxury, stunning beachfront locations, and a commitment to creating unforgettable memories for its guests. Catering to a diverse clientele, including families, couples, and solo travelers, Princess Hotels & Resorts focuses on relaxation, luxury, and exceptional service, ensuring that every guest enjoys a remarkable stay. The company's mission emphasizes social responsibility, actively engaging in community support initiatives through its ""Give me a Hand"" program, which sponsors local schools and promotes educational projects. This commitment to social impact reflects Princess Hotels & Resorts' vision of a future where hospitality and social responsibility coexist, allowing guests to contribute positively to the communities they visit.  With a variety of amenities such as expansive spa facilities, diverse dining options, and tailored activities for all ages, Princess Hotels & Resorts aims to create dream weddings and memorable vacations. The company partners with various organizations to enhance its offerings and community impact, ensuring that it meets the needs of clients seeking both leisure and adventure. The target market includes families looking for fun-filled vacations, couples seeking romantic getaways, and adults desiring a peaceful retreat, all while enjoying the beauty of the Caribbean. Through its dedication to customer satisfaction and community engagement, Princess Hotels & Resorts continues to set the standard for luxury hospitality in idyllic settings.",Spain,750.0,,,
Be Live Hotels,750000000.0,"Spain, Balearic Islands, Llucmajor",https://www.linkedin.com/company/be-live-hotels,www.belivehotels.com,"Be Live Hotels, compañía hotelera perteneciente a Globalia, el principal grupo turístico de España.   Con una red de alojamientos catalogados con 4 y 5 estrellas y situados en localizaciones prime, nos esforzamos en crear experiencias únicas y por ello contamos con 32 hoteles distribuidos en los principales polos turísticos del mundo: República Dominicana, Cuba, Colombia, España (Península, Baleares y Canarias), Portugal y Marruecos.  ¿Por qué Be Live? Nuestro concepto hotelero pretende que los espacios se adapten a nuestro cliente y que le recuerden donde está. Queremos que encuentres la línea que más encaja contigo dentro de nuestros 6 segmentos de negocio:  •	Collection 5* •	Experience •	City Center •	Adults Only •	Family BE: ¿Quién eres tú? Ajustamos la experiencia según el perfil de cada cliente. • Be Live Collection: Hoteles de cinco estrellas con servicios VIP pensados para los más exigentes. • Be Live Experience: Para disfrutar de una experiencia completa,  en familia, en pareja, con amigos o en encuentros de negocios. Categorizados con  4 estrellas, en Be Live Experience podrás probar la mejor oferta gastronómica y la comodidad de un espacio único.  • Be Live Family Resorts: Queremos que vivas una auténtica experiencia con tu familia, por ello, ponemos a  tu disposición nuestras instalaciones para que disfrutes de la agenda de actividades y animación más completa.  • Be Live Adults Only: Situados en ubicaciones premium, podrás encontrar la manera de relajarte y desconectar en un paraje discreto y exclusivo.  • Be Live City Center: Estratégicamente situados en las principales ciudades y en puntos próximos al aeropuerto, para que los viajes de negocios sean cómodos y siempre, con las garantías de una marca líder. Dirigidos a profesionales o al cliente turístico.",Spain,750.0,,,
Ohtels Hotels & Resorts,750000000.0,"Spain, Catalonia, Salou",https://www.linkedin.com/company/oh-tels,www.ohtels.es,"Ohtels Hotels & Resorts is a prominent hospitality company that operates a diverse portfolio of hotels across various prime locations in Spain, including the Costa Dorada, Costa de la Luz, and Costa de Almería. The company is dedicated to providing exceptional guest experiences through high-quality accommodations and a range of amenities tailored to families, couples, and leisure travelers. Ohtels aims to promote sustainability in its operations, as evidenced by its commitment to eco-friendly practices and certifications such as Biosphere Sustainable. The company partners with local businesses and tourism organizations to enhance the travel experience for its clients, who primarily include domestic and international tourists seeking memorable vacations in scenic coastal destinations. With a focus on innovation, Ohtels continues to expand its offerings, including unique attractions like Beer Spas, to attract a diverse clientele.",Spain,750.0,,,
