Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Propyrent Ltd,626883.0,"Bulgaria, Sofia-capital, Sofia, 78 Sofia Krichim, 1164",https://www.linkedin.com/company/propyrent,www.propyrent.com,"We are the short term rental management company in Bulgaria with the intention of growing in Eastern Europe. The service we offer to you is: Managing your property to keep it secure and generate revenue. A service for those evaluating a new investment opportunity or exploring turning their current home into a short term rental business. We provide counsel and guidance on various elements such as pricing expectations, ROI expectations, insurance, damage protection, design, decor, advertising and marketing. The service we offer to the customer is: Closer to that of a hotel concierge than a landlord. We take care of the customers; provide directions to nearby landmarks; answer questions about the weather. We are not leasing some assembled drywall and roofing shingles. We are selling an experience and a feeling.",Bulgaria,0.626883,,,
Viola Lifestyle Management,629334.0,"Bulgaria, Sofia-capital, Sofia, 11 Bratya Peshev Str.i",https://www.linkedin.com/company/viola-lifestyle-management,en.violalifestyle.com,"Viola Lifestyle Management offers personalized concierge services to individuals and corporative clients who desire exceptional quality of service on a moment’s notice. Viola Lifestyle Management concierge company - we understand the value of time.With endless commitments to work, family, friends, clients and even your inner self, we know it is often impossible to accomplish everything you ' ve set out to do each day. Your need is to spend this precious time focusing on the most important elements in your personal and work life, without wasting time on the details. Viola Lifestyle Management concierge company gives that freedom and flexibility back.For every single individualized need you’ve faced it can be met by one of our lifestyle consultants,whom you can trust with your most important personal or business-focused lifestyle needs. There are so many others who are trying to do what we do, but the truth is no one does that better than us, because Viola Lifestyle offers greater choice in how to spend your most valuable asset: time We invite you to explore the benefits of our superior, customized concierge services and look forward to personally welcoming you to Viola LifeStyle Management.",Bulgaria,0.629334,,,
Strata Promo,1667.0,"Bulgaria, Sofia-capital, Sofia, Ulitsa Elemag Izgrev, 1113",https://www.linkedin.com/company/strata-promo,www.strata.bg,"Full service marketing concierge: screen to shelf and vice versa. Operating in Bulgaria, Strata is 360 marketing agency.   We assist International FMCG companies understand what is relevant for them when buying marketing services locally. We know how to tell a global story in the language of local people. We are providing affordable but complex solutions to small business and startups. We know that you don’t need to be big to disrupt the market. People don’t buy products - they buy stories. Relevant stories told by people. People who tell stories about products create brands. And we seek to serve these people - those who serve brands. We know how to help them sell more. We are here to make their stories actionable. Strata is here to curate all you need to spread your story and make it sound relevant to your tribe. One by one. Channel by channel. Personal talk. Anytime, anywhere, anyhow but in convenience to our clients. We are here to make your relevance actionable. ""Making"" It is creating, crafting, caring, empathetic, hard work. It is not copying, taking shortcuts.   ""Relevance"" It is selected, curated, timely, assertive, specific, explained, understood. It is not just anything, for anyone, obvious, generic, superficial. ""Actionable"" It is decisive, determined, consequential, forward looking, taking risks, understanding opportunity costs. It is not suspending, procrastinating. We are Strata - full service marketing concierge - 24/7/365.",Bulgaria,0.001667,,,
The Good Life Concierge,1038961.0,"Bulgaria, Blagoevgrad, Blagoevgrad, Ivan Mihaylov, 2700",https://www.linkedin.com/company/thegoodlifeconcierge,conciergeinmykonos.com,"What We Do At The Good Life, we curate bespoke travel and lifestyle experiences for international clients across the world’s most iconic destinations — including Mykonos, Ibiza, Tulum, and the South of France. We specialize in remote concierge services, offering seamless access to luxury villas, private yachts, chauffeured transfers, and VIP reservations. Every detail is managed digitally, with discretion and precision, through our global network of trusted partners. ⸻ Why We Do It In today’s fast-paced world, time is your most valuable asset. Our mission is to transform your limited time off into extraordinary, stress-free moments. Whether it’s a celebration, escape, or reset — we make sure it’s effortlessly unforgettable. ⸻ Who We Are We are a Bulgaria-based concierge agency with deep expertise in premium destinations. Our remote operations allow us to serve global clients while working closely with elite local partners in each region. Our team is loyal, discreet, and deeply connected — bringing together the best of local knowledge with an international standard of service. ⸻ Our Goal A holiday is more than a break — it’s an emotional investment. Our goal is to return that investment in the form of trust, joy, and tailor-made memories that exceed expectations. ⸻ Why We’re Different We believe luxury is personal We serve one person at a time: you. Every experience is crafted to reflect your taste, your energy, and your intentions — supported by a team that understands what true luxury really means.",Bulgaria,1.038961,,,
City Club Concierge & Lifestyle Manager,1128556.0,Bulgaria,https://www.linkedin.com/company/city-club-concierge-&-lifestyle-manager,www.cityclubconcierge.bg,"City Club Concierge offers to its Members a lifestyle management, personal assistance and errand services. We provide assistance on any level that suits our Members lifestyle and follows their needs. Our concept is dedicated to save the effort and frustration of the daily routine, to help reaching the balance life / work and get back the most precious of all commodities: TIME.  Our service providers are among the best in their field so our Members to be secured and satisfied with the high quality of the results.  We have an extensive list of contacts with the best restaurants, night clubs, hotels, spa, golf clubs and other lifestyle places where our Members are Special guests. We can always advise our Members where to go according to their preferences, make a reservation, arrange any special requirements. City Club Concierge can arrange access and tickets for world famous parties and events or to organize for you a bespoke luxury vacation in dream places. We also provide Corporate Virtual Concierge Desk and Business Concierge. Call us! Enjoy your life!",Bulgaria,1.128556,,,
Bulgaria Weekends,208224.0,"Bulgaria, Sofia-capital, Sofia, 1000",https://www.linkedin.com/company/bulgaria-weekends,bulgariaweekends.com,"Bulgaria weekends it the first of its kind A to Z party service that gives you the opportunity to fully customize your party weekend experience in advance. We have selected only the best and hottest hotels, restaurants, bars and clubs in Sofia, so you just have to tell us where you want to go – we will book your table and take you there. Bulgaria weekends isn’t just a booking site. Within your stay, we provide you with a high-end vehicle and professional driver that are at your disposal throughout your stay. We will take you to all the places that you have booked and to any other locations that you might want to visit within the city. If you require some extra attention, we can provide you with professional security form a licensed company for the entire time of your stay. Last but not least, we have a 24/7 concierge that will satisfy all your needs. We can make last-minute bookings to any place in the city, deliver whatever you can think of to you or to your hotel room and anything else you might need!",Bulgaria,0.208224,,,
Luxurious Life Ltd,628942.0,"Bulgaria, Sofia, Sofia",https://www.linkedin.com/company/luxurious-life-ltd,www.luxurious-bg.com,"Luxurious Lifestyle's began life as a luxury concierge service available to each Member 24 hours a day, 365 days a year, and on-hand to assist with any lifestyle requests. From last minute restaurant reservations, holiday bookings and theatre and opera tickets, to access to clubs, parties and special events, Luxurious Lifestyle's quickly become go-to service for any Londoner low on time but keen to enjoy the very best life had to offer. Today, Luxurious Lifestyle's has expanded into over 60 cities around the world providing an unbeatable global lifestyle management service. From Buenos Aires to Beirut, New Delhi to New York, Moscow to Milan, and in destinations as diverse and far-flung as Maputo, Ljubljana, Istanbul, Jakarta and Seoul, Luxurious Lifestyle's global fixers are on hand to provide the ultimate in insider, specialist and localised knowledge – plus a host of exclusive benefits, preferential rates, special offers, unique deals and the very best in service wherever you happen to be. Members are kept up to date with what's hot and what's not through weekly newsletters in their cities, offering indispensable advice on the essential art and cultural events of the moment, invitations to charity evenings, gala balls, film premieres and exclusive parties",Bulgaria,0.628942,,,
Flattro,822476.0,"Bulgaria, Varna, Varna",https://www.linkedin.com/company/flattro,,"Flattro helps homeowners manage their properties. Take care of ongoing small repairs, do a big makeover, or simply stay on top of all your property related activities. For landlords we offer regulation guidance and reminders, simple and intuitive communication with tenants, and even a personal concierge that can take care of everything for you. If you are a professional, Flattro helps you organise your work and efficiently pursue your leads.",Bulgaria,0.822476,,,
Coyote Concierge Service's,497436.0,"Bulgaria, Varna, Varna",https://www.linkedin.com/company/coyoteconciergeservice's,www.coyoteconcierge.com,"Coyote concierge service's est une entreprise de conciergerie de luxe privée, située à Saint Tropez. Nous nous engageons à gérer vos événements, voyages professionnels, privés via notre réseaux de partenaires. (Restauration, locations de voiture, yatchs, hélicoptères, jet privés, chauffeurs, baby sitting, divertissement...) Lors de vos séjours en yatch, en villa, nous vous offrirons un service de qualité pour une expérience unique, grâce à notre disponibilité et professionnalisme. Forts de vingt ans d'expérience dans le secteur du luxe sur la Côte d'Azur et les Alpes du Nord (Méribel et Courchevel), nous saurons vous faire passer un séjour de rêve sur la French Riviera.",Bulgaria,0.497436,,,
Virtual Concierge Concept,629334.0,"Bulgaria, Varna, Varna",https://www.linkedin.com/company/virtual-concierge-concept,www.virtual-concierge-concept.com,"Virtual Concierge Concept is a team of knowledgeable and responsible virtual receptionists who are available 24/7 to respond to your client needs. Our professional team of virtual receptionists is just what you need to take your business to the next level. Our team stands for a new and unique concept of living – not only to make guests feel at home but provide them a second one. Feel at home when you’re away! We know how difficult it is to manage it all, check-ins, check-outs, and online distribution. We will manage your property, using the best PMS and Channel manager, giving you 100% access to your listings. Expertise hosting in Airbnb and other OTA’s such as Booking.com, HomeAway, Expedia, Tripadvisor etc. The mission of Virtual Concierge Concept is to become the leading property management company.",Bulgaria,0.629334,,,
