Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
LifeClass Hotels & Spa,52234722.0,"Slovenia, Portorož, 33 Obala, 6320",https://www.linkedin.com/company/lifeclass-hotels&-spa,www.lifeclass.net,"LifeClass Hotels & Spa Portorož is a wellness & lifestyle hotel resort, aiming to provide a different kind of wellness experience. 6 four- and five-star hotels, 7 medical-wellness centres, 11 restaurants and bars ad well as Congress centre Portus are inspired by local culture and “0km” ingredients, beneficial Mediterranean environment, contemporary design and innovative approach.  The Mediterranean Anti-ageing Resort, LifeClass Hotels & Spa Portorož, is located in the heart of Portorož and also offers medical-wellness services on more than 10.000 m2: Medical Centre, Thalasso Centre, Shakti-Ayurveda Centre, Swimming pools with Thermal Prehistoric Sea as well as heated sea water and Mediterranean Anti-ageing Clinic. The Mediterranean, healthy and delicious gastronomy, top-class hotels, the 800-year-old tradition of healing with 5 natural elements, the most comprehensive medical-wellness offer – this is The World of Healthy Experiences. LifeClass Portorož Obala 33 6320 Portorož, Slovenia  T:+386 (0)5 692 9001  E: booking@lifeclass.net",Slovenia,52.234722,,,
Eurotas Hotels,22026690.0,"Slovenia, Celje, Celje, 4 Krekov Trg, 3000",https://www.linkedin.com/company/eurotas-hotels,www.eh.si,"Eurotas Hotels, since 1873, is a slovenian hospitality company, operating Hotel Evropa, Hotel Piran, Barbara Piran Beach Hotel, Boutique Hotel Portorose, Hotel Kranjska Gora, Hotel Arena and Hotel Piramida.",Slovenia,22.02669,,,
Hoteli Bernardin d.d.,21851381.0,"Slovenia, Portoroz Portoroz, 2 Obala, 6320",https://www.linkedin.com/company/bernardin-group-d.d.,www.hoteli-bernardin.si,"Hoteli Bernardin d.d. are an elegant and exceptional hotel chain. Hotels are located on a fabolous locations on the Slovenian coast. With prestigious locations in Portorož, Izola, Strunjan and Piran, we offer hotels and apartments, wellness centres with a top selection of services for natural health and well-being, conference centres and casinos. Hoteli Bernardin d.d.  Obala 2 6320 Portorož, Slovenia T:+386 (0)5 690 7000 E: booking@h-bernardin.si",Slovenia,21.851381,,,
Terme Maribor d.o.o.,20768022.0,"Slovenia, Maribor, Maribor, 10 Ulica Heroja Šlandra Maribor, 2000",https://www.linkedin.com/company/terme-maribor-d-o-o,www.terme-maribor.si,"TERME MARIBOR  is the hospitality leader in Maribor, second biggest city in Slovenia. Activities such as leisure, MICE, medical-recreational, catering and trades are carried out in our; - City Hotels, - Pohorje plateau Hotels & Spa Part of the Group is also independent restaurant »Pri treh ribnikih« located in the city center.  The slope of Maribor Pohorje  Hotels & Spa: Hotel Habakuk 4 * (137 rooms) is leisure hotel in a beautiful environment at the foot of mountain Pohorje. The hotel contains  Conference Center with six different meeting rooms and accommodates up to 830 participants. The hotel offers also exclusive Babor Signature Spa, Wellness center, and A la carte restaurant.   Mountain Pohorje Hotels & Spa Hotel Bellevue 4 * (8 apartments, 42 rooms) is located at the upper station of the Pohorje cable car in the immediate vicinity of the ski slopes. Two meeting rooms are designed for business meetings. The hotel offers A la carte restaurant and  Sauna park.   City center Hotels: Mercure Maribor City Center 4 * (81 rooms) is a modern business hotel in the heart of Maribor. In addition to comfortably furnished rooms, the modernly designed Business Club is designed for organizing business meetings, seminars, press conferences etc. The hotel offers also A la carte restaurant, bar and massage room with sauna. Ibis Styles Maribor City Center 3 * (71 rooms), located in the middle of the old city center, was completely renovated at the beginning of 2018.    UNI Youth Hostel (52 rooms) is located in the downtown of Maribor (near the Orel Hotel). The rooms were renovated in 2019 offering single, double and queadrople rooms and dormitory rooms with bunkbeds. The restaurant » Pri treh ribnikih«, with its three hundred years old tradition and a beautiful wine cellar, is located in green surroundings of the central City Park.",Slovenia,20.768022,,,
Terme Olimia,20170505.0,"Slovenia, Podčetrtek, 24 Zdraviliška Cesta, 3254",https://www.linkedin.com/company/termeolimia,www.terme-olimia.com,"Best relaxation and pampering place in Slovenia!  Terme Olimia with its sophisticated business and relaxation mosaic, is an excellent choice for meetings of all dimensions. Let us create an unforgettable meeting together, where you will surely create the best business ideas in a positive environment, surrounded by beautiful untouched nature, just close enough and just far enough, where quality is built with professional attitude and kindness and with the desire to meet your expectations.",Slovenia,20.170505,,,
Terme Dobrna d.d.,17346304.0,"Slovenia, Dobrna, 50 Dobrna, 3204",https://www.linkedin.com/company/terme-dobrna,www.en.terme-dobrna.si,"Terme Dobrna is a modern and dynamic health resort and tourist center. The health resort combines gifts of nature with contemporary medicine, which places it at the very top of Slovenian tourism. Terme Dobrna’s famous tradition from the 15th century, climate and stunning natural environment, relaxation, quality care and services, friendliness, and entertainment have attracted guests from around the world since the beginning.",Slovenia,17.346304,,,
Four Points By Sheraton Ljubljana Mons,16136404.0,"Slovenia, Ljubljana, Ljubljana, 4 Pot Za Brdom, 1000",https://www.linkedin.com/company/four-points-by-sheraton-ljubljana-mons,www.fourpointsljubljana.com,"At the junction of the city and pristine nature, you will find the comfort of elegant hotel rooms, an indoor pool with a beautiful landscape view, indoor or outdoor parking, the coziness of the Robin restaurant, the A2 bistro, and refreshments in the bar. Every carefully planned detail is a part of our new mosaic. “All-in-one” is our new synonym. This is our new Four Points by Sheraton Ljubljana, located in nature's warm embrace. Sustainability is one of the guiding principles of our hotel represented by our Robin, a trademark of the hotel. The immediate vicinity of the unspoiled forest only reinforces its coexistence with nature. We are located at the crossroads of all major traffic roads. The large free car park in front of the hotel only reinforces our concern for your comfort. Details of our mosaic • 236 rooms and Four Comfort beds™ • Various types of rooms according to your wishes • Extensive workspace in the room • LED TV • Sef • Air conditioning • Free water in the room • Water kettle for your drinks • PressReader - the world of your favorite newspapers • Indoor pool with a beautiful view of the forest • Fitness and sauna Professional event organization • 13 bright and flexible venues • Receptions for 900 people • Smaller meeting rooms • Impeccable technical equipment • Free Wi-Fi connection • Breakout room to relax during your events with snack offer • Top catering service according to clients wishes • Exquisite food and drinks offering • Personalized Wi-Fi entry point for your event participants Diverse culinary offer Start the day with a rich breakfast buffet in the A2 bistro and end it with a delicious dinner, in the soothing ambiance of the Robin restaurant. Pamper yourself with dishes made from local ingredients and try a wide range of specialties from the charcoal oven.  Recepcija – Front Office Hotel Mons d.o.o., Pot za Brdom 4, 1000 Ljubljana, Slovenia +386 1 47 02 700 FourPoints.com/LjubljanaMons",Slovenia,16.136404,,,
Garni Hotel Azul,15104016.0,"Slovenia, Kranj, Kranj, 26 Suceva, 4000",https://www.linkedin.com/company/hotel-azul,www.hotel-azul.si,"Hotel Azul is a newly built hotel near Ljubljana airport, located on the suburbs of town Kranj in the new commercial center. On 3 sides it is surrounded with grass fields and farm fields which extend into woods. From west to east there is a beautiful view of mountains. There are a few skiing resorts in the 10km-30km radius and in the warmer months there is plenty of opportunity for summer sports like hiking, mountain climbing, cycling, mountain biking, paragliding, golf and other nature related recreation activities. Hotel Azul has conference room capabilities and is 15 min drive away from capital city Ljubljana making it a convenient location to do business. The hotel's meeting venues include the following amenities and facilities: -4 (up to 50 people)and 2 ( up to 90 persons) versatile meeting rooms:     ideal for trainings, seminars and smaller conferences -25 stylish guest rooms for overnight event participants -Restaurant & Bar -Complimentary Wi-Fi GPS: Latitude:+46.24492; Longitude:+14.37902",Slovenia,15.104016,,,
Best Western Premier Hotel Slon,11328012.0,"Slovenia, Ljubljana, Ljubljana, 34 Slovenska Cesta, 1000",https://www.linkedin.com/company/best-western-premier-hotel-slon,www.hotelslon.com,"Best Western Premier Hotel Slon is an institution in hospitality; celebrating 460 years of tradition, offering comfortable accommodation, multipurpose conferencing facilities combined with excellent cuisine at an elite location. The Best Western Premier Hotel Slon is situated in the very heart of Ljubljana city centre. It is only a few steps away from the old city core, Ljubljana castle and all the main city sights. This modern 4-star superior hotel has 170 comfortable and well-appointed rooms with all modern facilities and amenities. Deluxe rooms and suites offer luxurious accommodation. The hotel's Spa & Fitness features a state of the art Fitness Center open 24/7, equipped with Technogym machines, providing all the latest cardiovascular and weight training facilities as well as relaxing saunas with tropical rain showers. There is a generous choice of 9 different Thai massage treatments at Hotels Thai massage & Spa to unwind, relax and escape the daily stress. There are extensive facilities for business functions; a versatile array of five conference halls provides accessible and flexible conferencing for up to 250 participants. In our versatile function halls and breakfast restaurant, we also host working breakfasts, business lunches and gala dinners, receptions, parties and beautiful a-la-carte weddings. The Restaurant Slon 1552 is also famous for its excellent cuisine. Our culinary offer is a mosaic of traditional Slovenian dishes refined with a hint of the Mediterranean. The dishes are prepared in line with original recipes, complemented by contemporary culinary trends. When creating new dishes we observe the saying ‘’less is more’’, trying to extract from the ingredients their characteristic taste. At other times, however, we dare to remove an ingredient and replace it by quite a new one. For hotel guests, we provide valet parking in a nearby garage attended by our friendly staff.",Slovenia,11.328012,,,
Sava Hoteli Bled,11093778.0,Slovenia,https://www.linkedin.com/company/sava-hoteli-bled,www.hotelibled.com,"Sava Hoteli Bled is the largest tourism company in Bled, one of the most well-know tourism destinations in Slovenia. The company owns six hotels of different categories, a golf course and a campsite.",Slovenia,11.093778,,,
Adria Home,8612380.0,"Slovenia, Črnomelj, 135 Kanižarica, 8340",https://www.linkedin.com/company/adria-home-ltd,adria-home.com,"Adria Dom d.o.o., as a proud member of the esteemed Trigano Group, specializes in the production and marketing of mobile homes, modular buildings, floating homes, and high-quality glamping tents. Since our establishment in 2002, we've consistently exceeded customer expectations, having manufactured over 20,000 units through the utilization of cutting-edge production processes. In the 2023 season alone, we've successfully produced and delivered more than 1,550 units to clients across 30 countries. As we celebrate our 20th anniversary in 2023, we reflect on the wealth of experience accumulated during these two decades. Together with our valued customers and partners, we remain committed to making a positive impact on the world. Our dedication to innovation has earned us recognition, including the prestigious 2022 Red Dot Award: Best of the Best and the 2023 Red Dot Award, both awarded to our XLine and Aurora Twin series. These accolades reinforce our commitment to pioneering solutions, rooted in our DNA. The Adria Home team is driven by inspiration, developing products with unwavering dedication and passion while adhering to the philosophy of ""Closer to Nature"" and fostering a connection with people. In the upcoming season, we are excited to introduce a brand-new product, the Tiny Home micro-unit, designed especially for the discerning tourism industry segment. The Tiny series represents a fresh approach to living spaces, combining architectural excellence with minimalist design, natural materials, and a multifunctional interior. Our mobile home range showcases updated exteriors within the Aurora series and revamped layouts across all standard series. In our glamping tent selection, we've merged the Adriatic and Bell series into a new line known as Basic, emphasizing versatile floor plans and your creative input when furnishing. Thank you for being a part of the Adria Home journey. Adria Home Team",Slovenia,8.61238,,,
Rimske Terme Ι Terme Resort d.o.o.,7664233.0,"Slovenia, Rimske Toplice, 10 Toplice, 3272",https://www.linkedin.com/company/18114026,www.rimske-terme.eu,"BUSINESS | WELLNESS | SPA | RESORT Rimske terme - where history and modernity meet Experience and enjoy the timeless elegance of ambience, high standard suites, warm hospitality, superb cuisine and unique medical and wellness services. A pearl in the oasis of the unspoiled nature in between lush vegetation and surrounded by the beneficial effects of the thermal springs. Architecturally sophisticated three four stars hotels, which offer 187 standard rooms and suites. The perfect destination for organizing seminars, team buildings or gala events. Wellness center offers unique house massages and rituals, land of saunas, fitness and unique swimming pool designed in ancient Roman style.",Slovenia,7.664233,,,
Alpha Hotel Management,7552008.0,"Slovenia, Sv. Anton, 38c Tomazici, 6276",https://www.linkedin.com/company/alpha-hotel-management-doo,www.alpha-hm.com,"Certified by Marriott International to operate full and select service hotels in Europe, Alpha Hotel Management brings deal flow and operational excellence to investors. AHM is a guarantee that both property owners and international brand companies get the highest value from each project – from conceptual planning to hotel operations. Our experience is mostly based on development of capital hotel projects and, at the same time, on our strong support for destination development in terms of creating products and content, marketing and branding destinations, as well as valorization of unused potentials. The best example for this is Kopaonik and MK Resort - the largest hotel complex on the destination, that, at the time of the takeover, had the worst image and business performance since the establishment of the tourist center, with decreasing trend of attendance, only 30 days of the main season, negative balance throughout the year and the lowest value of real estate - only 800 EUR/sqm. In a short time Kopaonik became and has remained the leading mountain center in the region, with 120 days of winter and 60 days of summer season, with developed MICE tourism, and with constantly growing trend of attendance, including new foreign markets. At the same time, MK Resort is recognized as a brand with the highest standards and service excellence and as leader in the domestic and regional hotel industry. Together with the development of the destination, both hospitality business and entire local economy are rapidly developing, which has resulted in the increase of the price of a square meter up to almost 5,000 EUR/sqm and the business of MK Resort having an EBITDA margin of close to 4 mil. EUR (39%).",Slovenia,7.552008,,,
CUBO Golf Course Ljubljana,7552008.0,"Slovenia, Ljubljana, Ljubljana, 200 Smlednik, 1216",https://www.linkedin.com/company/hotel-cubo,cubogroup.si,"The peaceful surroundings of Smlednik, just a 15-minute drive from Ljubljana, boast 18 holes connecting 5,872 linear metres.  Each hole has its own story that will surely captivate you. The golf course hosts professional  and amateur golfers who want to exercise in nature, while the infrastructure nearby offers a lot of fun for other visitors as well.  The clubhouse hosts the popular CUBO Golf Restaurant, where we prepare top-class lunches and dinners every day. The restaurant is a popular spot, used by hikers and cyclists, who like to enjoy the beauty of nature as they pass by – to stop and enjoy their refreshments.",Slovenia,7.552008,,,
LOCANDA LE PIAZZE S.R.L.,7059676.0,Slovenia,https://www.linkedin.com/company/locanda-le-piazze-s.r.l.,locandalepiazze.com,"ALBERGO CON SOMMINISTRAZIONE ALIMENTI E BEVANDE AGLI ALLOGGIATI, RISTORANTE.",Slovenia,7.059676,,,
Slovely,6293838.0,"Slovenia, Ljubljana, Ljubljana, 119 Dunajska, 1000",https://www.linkedin.com/company/slovely,www.slovely.si,"DELAMO DOBRO. Vse se je začelo z željo, da bi širili znanje, učili in pomagali. S kuharsko akademijo odpiramo nove priložnosti, ustvarjamo nova delovna mesta in izobražujemo mlade. Vse, kar znamo, z veseljem delimo tudi z vami. Recepte, v katerih ni skrivnosti, in znanje, ki ga zapišemo v naše knjige. Vse delamo tudi zato, da bomo lahko delili še naprej in še več. Delati dobro tudi iz nas dela boljše ljudi. In ljudje smo bistvo vsega … DOBRI LJUDJE. Vsi, ki si rečemo ekipa in ki dan za dnem v naših restavracijah iz vrhunskih sestavin in idej pripravljamo najboljše za vas in vaše zadovoljstvo. In naši dobavitelji, izjemni in unikatni. Ustvarjamo skupaj z njimi, s strastjo in brez skrivnosti. Iskrenost med nami, njimi in vami je največ, kar si želimo in kar lahko ponudimo. DOBRA HRANA. Da je le okusna in dobra, po možnosti lokalna, vselej sveža in preprosta. Potem pravimo, da je poštena. Z veseljem vam pojasnimo, od kod izvirajo sestavine, zakaj smo izbrali prav te in kako smo jih začarali v slastno jed. Nekatere vam tudi ponudimo, da boste čarovnijo lahko preizkusili še doma.",Slovenia,6.293838,,,
