Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Helkama-Auto Oy,26598081.0,"Finland, Uusimaa, Espoo",https://www.linkedin.com/company/helkama-auto-oy,www.helkama-auto.fi,"Overview Helkama-Auto Oy is the official private importer of ŠKODA cars, original ŠKODA Spare parts and original ŠKODA Accessories in Finland.  Together with our nationwide ŠKODA Authorized Dealer and Service Partner network we cater to the needs of current and future ŠKODA customers. Helkama-Auto Oy has been the importer and distributor of ŠKODA cars since 1947 and we are the oldest ŠKODA importer in the world. Helkama-Rent Oy is a subsidiary of Helkama-Auto Oy and it is the country licensee of Avis and Budget car rental operations in Finland.  Helkama-Auto is a privately owned family company and it is part of the more than one hundred year old Helkama company group.",Finland,26.598081,,,
Helkama Rent Oy / Avis And Budget Rent A Car Lic.,24544026.0,"Finland, Uusimaa, Espoo, 3 Lautamiehentie, 02770",https://www.linkedin.com/company/helkama-rent-oy-avis-rent-a-car-finland-lic.,www.helkama.com,"Suomeksi: Helkama Rent Oy on Helkama-Auto Oy:n tytäryhtiö. Helkama-Auto Oy on perheyhtiö ja osa yli satavuotiasta Helkama-yritysryhmää. Helkama on harjoittanut Suomessa Avis -autonvuokraustoimintaa vuodesta 1986 ja Budget -autonvuokraustoimintaa vuodesta 2009. Helkama Rentillä on omien pääkaupunkiseudulla sijaitsevien toimipisteiden lisäksi muualla Suomessa toimivia franchise -yrittäjiä. Avis ja Budget -toimipisteverkosto kattaa noin 130 toimipisteellään koko Suomen. Liikematkailijoiden sekä kuluttaja-asiakkaiden lisäksi Helkama Rent palvelee useiden autotalojen, vakuutus- ja leasingyhtiöiden asiakkaita, sekä tarjoaa autonvuokrauspalveluita yritysten niin lyhyisiin kuin pitkäaikaisiin autotarpeisiin. Lisätietoja www.avis.fi ja www.budget.fi In English: Helkama Rent Ltd is Helkama-Auto Ltd's subsidiary. Helkama-Auto is a family-owned company and part of the Helkama group. Helkama Rent has practiced Avis Car Rental services since 1986 and Budget since 2009 in Finland. Helkama Rent has own rental offices in the metropolitan area, rest of the Finland is operated with franchise-based entrepreuneurs. Avis and Budget network covers the whole Finland with about 130 locations. Helkama Rent serves business travelers, consumer customers, car dealers, insurance and leasing companies in their short- and long-term car rental needs. More information: www.avis.fi and www.budget.fi",Finland,24.544026,,,
Finn-Rent Autonvuokraus,7041448.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/finn-rent-autonvuokraus,www.finnrent.fi,"Finn-Rent Autonvuokraus is a car rental company based in Helsinki, Finland, specializing in providing a wide range of vehicles for both short-term and long-term rentals. The company aims to deliver exceptional customer service and a seamless rental experience, ensuring that clients have access to well-maintained vehicles that meet their needs. Finn-Rent caters to a diverse clientele, including tourists, business travelers, and local residents, and partners with reliable payment service providers to facilitate secure transactions. The company emphasizes transparency in its rental agreements and offers flexible booking options through its website, phone, and email. With a commitment to customer satisfaction, Finn-Rent strives to be a trusted choice for car rentals in the region.",Finland,7.041448,,,
Easy Km Oy,6357775.0,Finland,https://www.linkedin.com/company/easy-km-oy,www.easykm.fi,"Fleet leasing and management services for large and medium size companies. Lease objects include cars, vans, trucks and fork lifts.  Also sale of returned vehicles and car rentals and replacement cars.  Please visit our web page for more details. www.easykm.fi",Finland,6.357775,,,
Touring Cars Motorhome Rental Chain In Europe,4372704.0,"Finland, Uusimaa, Vantaa",https://www.linkedin.com/company/touring-cars-finland,www.touringcars.com,"Touring Cars is one of the oldest motorhome holiday service providers in Europe and the first one in the Nordics. Our exciting journey started already in 1982 in Finland and we have been growing into one of the major players in our business section in Europe. Touring Cars franchise chain provides five-star rated holiday vehicle rentals and travel services as well as professional vehicle sales functions in 7 countries. The chain is headquartered in Finland and managed by a multinational corporate team. European rental stations and vehicle sales services are operated by local entrepreneurs according to the standardized service level and with a premium vehicle fleet.  - Established in 1982 in Finland - Franchise concept in the Nordics, Baltics and UK - International Sales office and the Licence Head Office in Helsinki, Finland  - Committed to a sustainable and safe traveling - Good Feelings Guaranteed For more information, please visit www.touringcars.com",Finland,4.372704,,,
Europcar Suomi,2636799.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/europcar-suomi,www.europcar.fi,"Europcar is the leader in car rental services in Europe. Present in 140 countries, the company provides customers with access to the world's largest vehicle rental network through its own operations, franchisees and partnerships.  With 6, 500 employees committed to delivering customer satisfaction and an average fleet of 190, 000 vehicles, Europcar is conscious of its corporate citizenship responsibilities. Winner of the first World Travel Award recognizing the World's Leading Green Transport Solutions Company, Europcar also was honored with the Award in 2010 and 2011. Europcar is owned by Eurazeo.",Finland,2.636799,,,
Avis Finland,2517336.0,"Finland, Uusimaa, Espoo",https://www.linkedin.com/company/avis-finland,www.avis.fi,"Avis autovuokraamolla on erittäin laaja vuokraamoverkosto, joka kattaa muun muassa kaikki suurimmat lentoasemat ja kaupungit. Autokalustostamme löytyvät autot kaikkiin tarpeisiin henkilöautoista minibusseihin. Kaikki automme ovat uusia ja huollettuja.  Avis on perustettu vuonna 1946 Detroitissa, USA:ssa. Tänä päivänä Avis Rent A Car System on johtava maailmanlaajuinen autovuokrausketju, joka palvelee yli 160 eri maassa ja yli 5000 vuokrauspisteessä.",Finland,2.517336,,,
AddCar Nordic,1888002.0,"Finland, Central Finland, Vantaa, 1 Lentäjäntie, 01530",https://www.linkedin.com/company/carentor,www.addcar.fi,"We provide modern car rental and car leasing services being open for innovative ways to enhance the customer experience.  Locations in Finland at Helsinki Airport, Helsinki City Center / Railway Station, Rovaniemi Airport, Rovaniemi City Center / Railway Station, Kittilä Airport, Pieksämäki Railway Station, Turku Airport, Turku City Center / Railway Station, Lappeenranta Center / Railway Station.",Finland,1.888002,,,
Cabin Dreams Oy - Varaamökki.com,1524379.0,"Finland, Kalajoki, 5-9 Tuomipaikkaintie, 85100",https://www.linkedin.com/company/cabin-dreams-oy-varaamökki-com,www.varaamokki.com,"At Cabin Dreams Oy, we specialize in turning your dream of an idyllic getaway into reality. We offer an extensive selection of beautiful cabins and holiday rentals across Finland catering to every taste and preference. Whether you're seeking a serene lakeside retreat, a cozy woodland hideaway, or a luxury cabin with modern amenities, our curated listings provide the perfect escape from the hustle and bustle of everyday life. What We Offer: - **Diverse Accommodations:** From rustic charm to contemporary elegance, our cabins suit all styles and budgets. - **Stunning Locations:** Discover the beauty of Finland's nature, with properties in prime locations for every season. - **Corporate Solutions:** We provide tailored accommodation solutions for companies, ensuring comfortable and convenient stays for project teams across Finland and Sweden. - **Easy Booking:** Our user-friendly platform ensures a seamless reservation process, making your planning hassle-free. Our customer service is always helping finding out the perfect solution for you!  - **Local Insights:** Benefit from our deep local knowledge to enhance your stay with personalized recommendations and experiences. At Cabin Dreams Oy, we are committed to providing exceptional customer service and unforgettable experiences. Explore our listings at Varaamokki.com and start your journey to the perfect getaway today for short or even for longer term. For Companies:  **Connect with us** Let us to be your guide to discoveringand providing top-notch accommodations for your company's needs. We are also ready to help with car rentals, airport transfers, catering services etc. according to your project needs.",Finland,1.524379,,,
Autorentti,1225859.0,"Finland, Pirkanmaa, Tampere, 1 Rantaperkiönkatu, 33900",https://www.linkedin.com/company/autorentti,www.autorentti.fi,"Autorentti autovuokraamo palvelee Tampereen Hatanpäällä. Valikoimassamme muun muassa henkilöautot, pakettiautot, minibussit, kuorma-autot, peräkärryt, autotrailerit sekä muuttolaatikot ja tarvikkeet.",Finland,1.225859,,,
