Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Ramada Inn,3030737423.0,"Portugal, Lisbon, Ramada",https://www.linkedin.com/company/ramada-inn_2,www.dellsramada.com,Located in Southern Utah in the ever growing city of St George you’ll find a gorgeous multi family housing community with exquisite amenities. The best management team to make you truly feel a part of your neighborhood. Maintenance free living close to area shopping and dining. Adjacent to the gorgeous bike trails on the south side of the Virgin River. Scheduled activities and well appointed apartment homes. 1-2-3 bedrooms and 2 bathrooms with ample storage in every unit. Garages and covered parking included. Energy star appliances and LVP flooring in every room. Easy to maintain and affordable! Wi-fi includes as well as valet trash services. On site management and service team to attend to every need. Enjoy the great outdoors at nearby state and national parks. UTV and ATV trails and roads abundant. A short drive to the local airport or shuttle to Vegas. Several golf courses within miles. Pet friendly community with nearby parks. Enjoy your life in beautiful and historic St George!,Portugal,3030.737423,,,
Holmes Place,2405286281.0,"Portugal, Lisbon, Algés",https://www.linkedin.com/company/holmes-place,holmesplace.com,"Holmes Place is a premier spa and wellness center that transforms every moment into a unique experience of rejuvenation, where body and mind achieve ultimate harmony. The company focuses on providing a range of FIT & WELL face and body therapies designed to promote self-care and relaxation, ensuring clients feel revitalized and balanced. With a mission to enhance overall well-being, Holmes Place offers specialized treatments tailored to individual needs, guided by a team of experienced therapists. The target market includes individuals seeking a holistic approach to wellness, including both men and women who value personal care and relaxation. Additionally, the spa provides exclusive membership options that grant access to signature treatments and wellness zones, fostering a community dedicated to an active and healthy lifestyle.",Portugal,2405.286281,,,
VILA GALÉ HOTÉIS,750000000.0,"Portugal, Azores, Ponta Delgada",https://www.linkedin.com/company/vila-gale-s.a.,www.vilagale.com,"Vila Galé Hotéis is a prominent hotel chain in Portugal, known for its commitment to providing exceptional hospitality and a diverse range of services. The company operates several hotels, including the Vila Galé Collection Tomar, which emphasizes a blend of comfort and local culture. Vila Galé's mission is to create memorable experiences for its guests while promoting social and environmental responsibility. The hotel chain caters to a wide array of clients, including leisure travelers, business professionals, and families, and partners with various organizations to enhance its service offerings. With a focus on employee development and a positive work environment, Vila Galé aims to foster a culture of growth and inclusivity within its teams.",Portugal,750.0,,,
Pestana Residences,506512510.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/pestana-troia-eco-resort,pestanaresidences.com,"Pestana Residences is Pestana Hotel Group’s business area, uniting its expertise in residential real estate development with decades of experience and excellence in tourism.",Portugal,506.51251,,,
Enotel Hotels & Resorts,490251186.0,"Portugal, Madeira, Funchal",https://www.linkedin.com/company/enotel-hotels-&-resorts,www.enotel.com.br,"Uma viagem entre dois destinos: Brasil e Portugal! O Oceano que nos separa é o mesmo que nos aproxima! O grupo Enotel Hotels & Resort é uma rede composta por hotéis e resorts no Brasil e em Portugal que busca proporcionar uma verdadeira experiência de felicidade. Fundado em 1998 pelo Grupo Estrevão Neves, o Enotel Hotels & Resorts é uma rede de hotéis de luxo que atualmente administra quatro empreendimentos em destinos paradisíacos. Com três hotéis localizados na exuberante Ilha da Madeira, Portugal - Enotel Lido, Enotel Magnólia e Sunset Bay - e um resort de tirar o fôlego no belíssimo balneário de Porto de Galinhas, no Nordeste do Brasil, o Enotel Porto de Galinhas é referência em qualidade, conforto e exuberante paisagismo de integração com a natureza. Nossa missão é fazer as pessoas felizes, seja por meio de uma experiência de relaxamento, lazer ou negócios, oferecendo sempre um atendimento excepcional e uma infraestrutura de primeira linha. Sempre visando a expansão da empresa e a criação de oportunidades para profissionais talentosos que buscam crescimento e desenvolvimento em um ambiente dinâmico e desafiador. Junte-se a nós e faça parte de uma equipe que busca sempre superar expectativas e construir uma história de sucesso no setor hoteleiro. Venha conhecer o Enotel e viva momentos inesquecíveis conosco. Site:  Madeira: www.enotel.com Porto de Galinhas: www.enotel.com.br Telefone: Madeira - Portugal: + 351 292 702 003 Porto de Galinhas – Brasil: + 55 81 3552 5555",Portugal,490.251186,,,
Ibersol Group,463407420.0,"Portugal, Porto, Porto",https://www.linkedin.com/company/ibersol-group,www.ibersol.pt,"Ibersol Group is a leading multi-brand company operating in the organized food business across the Iberian Peninsula and Portuguese-speaking countries, with a strong commitment to quality, safety, and environmental sustainability. Headquartered in Porto, Portugal, the company specializes in managing a diverse portfolio of well-known restaurant brands, including Pizza Hut, KFC, Taco Bell, and Pret A Manger, as well as its own proprietary concepts. Ibersol's mission is to deliver high-quality dining experiences while ensuring customer satisfaction and providing a fair return for shareholders. The company's vision is to lead the commercial restaurant sector in its markets through motivated and service-oriented human resources. Ibersol serves a wide range of clients, from casual diners to corporate catering clients, and targets various settings, including restaurants, counters, travel concessions, and catering services. The group emphasizes innovation and operational excellence, continuously adapting to market trends and consumer preferences. With over 530 restaurants and a workforce of more than 7,600 employees, Ibersol is well-positioned to meet the evolving demands of its customers and partners. The company is dedicated to sustainability and social responsibility, actively engaging in initiatives to reduce food waste and combat hunger through partnerships with charitable organizations. Ibersol also focuses on employee welfare, promoting diversity, equity, and inclusion within its workforce. By collaborating with various suppliers and stakeholders, Ibersol ensures high standards in food sourcing and service delivery, while also adhering to rigorous corporate governance practices. As a publicly traded company on the Euronext Lisbon, Ibersol Group is committed to transparency and accountability, aiming for long-term growth and success in the competitive food service sector.",Portugal,463.40742,,,
Real Hotels Group,449272719.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/realhotelsgroup,www.realhotelsgroup.com,"Real Hotels Group is a distinguished hospitality company known for its commitment to providing exceptional experiences in luxurious settings. With a mission to create unforgettable moments for guests, the group operates several award-winning hotels, including the Grande Real Villa Itália Hotel & Spa, which was recognized as ""Best for Romance"" by Condé Nast Johansens in 2025. The company focuses on catering to couples and families seeking romantic getaways, memorable celebrations, and relaxing retreats, all while emphasizing personalized service and attention to detail. Real Hotels Group partners with local businesses and organizations to enhance guest experiences and promote sustainable tourism practices. With a vision to be a sanctuary for love and connection, the group continually strives to elevate its offerings and maintain its reputation as one of the most attractive employers in Portugal.",Portugal,449.272719,,,
NAU Hotels & Resorts,431479740.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/nauhotels,www.nauhotels.com,"NAU Hotels & Resorts is a premier hospitality company that specializes in providing luxurious accommodations and exceptional experiences across its portfolio of hotels and resorts in Portugal. With a mission to deliver unparalleled service and create memorable moments for guests, NAU Hotels & Resorts aims to blend comfort, elegance, and local culture in every stay. The company caters to a diverse clientele, including families, couples, and business travelers, offering tailored packages that enhance their experience, such as wellness retreats and gourmet dining options. Partnering with local artisans and culinary experts, NAU Hotels & Resorts emphasizes the importance of cultural exchange and innovation in its offerings, ensuring that each guest enjoys a unique and enriching stay. The target market includes discerning travelers seeking both relaxation and adventure in iconic locations, such as Lisbon and the Algarve.",Portugal,431.47974,,,
Solverde Casinos & Hotels,429996992.0,"Portugal, Aveiro, Espinho",https://www.linkedin.com/company/gruposolverde,www.gruposolverde.pt,"Solverde Casinos & Hotels is a premier entertainment and hospitality company that operates a network of casinos and hotels in Portugal. The company is dedicated to providing exceptional gaming experiences, luxurious accommodations, and top-notch customer service, aiming to create memorable moments for its guests. With a diverse range of offerings, including live sports betting and various gaming options, Solverde caters to a wide clientele, from casual visitors to avid gamers. The company partners with leading brands in the gaming and hospitality sectors to enhance its service offerings and maintain a competitive edge in the market. Solverde's mission is to deliver unparalleled entertainment experiences while fostering a responsible gaming environment, making it a preferred destination for both locals and tourists alike.",Portugal,429.996992,,,
Discovery Hotel Management,395893782.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/discovery-hotel-management,www.discoveryportugal.com,"Criada em setembro de 2012 para gerir um conjunto de ativos imobiliários turísticos, a DHM -Discovery Hotel Management integra atualmente uma equipa de profissionais qualificados nas diferentes áreas do setor. O conceito dos hotéis Discovery está fundado na autenticidade, informalidade e respeito pelas características únicas dos locais onde estão inseridos. Cada hotel tem a sua própria identidade e privilegia experiências em sintonia com a região e a envolvente natural. A DHM tem como objetivo otimizar a gestão, sustentabilidade e performance das suas unidades. ---------------------- DHM - Discovery Hotel Management was born in September 2012 to manage a set of hospitality real estate assets, and currently, has a team of highly skilled professionals in both the real estate and tourism industries. The concept behind the Discovery hotels is founded on authenticity, informality, and respect for the unique characteristics of the destinations where they are located. Each hotel has its own identity and promotes experiences in harmony the region and the natural surroundings. DHM aims to improve the management, sustainability, and performance of its hotel units. www.discoveryportugal.com",Portugal,395.893782,,,
Martinhal Luxury Resorts,366238817.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/martinhal,www.martinhal.com,"The Martinhal Family Hotels & Resorts were born from the expansion of the “Martinhal” brand and concept. The essence of the Martinhal brand successfully brings together the elements of luxury, family, design and genuine hospitality.  While everything started in Sagres in 2010, with the opening of the group’s first Resort Hotel, Martinhal Sagres Beach Family Resort, the Martinhal Collection has grown over the years, opening Resorts & Hotels in Quinta do Lago, Lisbon Chiado and Lisbon Oriente. Our newest luxury branded residences project, MartinhalResidences is now open in Lisbon Oriente.  Choosing Martinhal is choosing to be part of a passionate, collaborative and committed global team, where everyone feels like a valued member of our family. It is an opportunity to build meaningful, long lasting connections with colleagues from all around the world, who share the same core values and passion.",Portugal,366.238817,,,
