Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Danubius Hotels,286022596.0,"Hungary, Budapest, Budapest, 11 Szent István Tér, 1051",https://www.linkedin.com/company/danubius-hotels-group,karrier.danubiushotels.com,"A Danubius Hotels 1972 óta azon dolgozik 15 magyarországi és 1 londoni szállodáiban, hogy kellemes pihenést és tartalmas élményeket, a rendezvényszervezéshez pedig profi szakmai támogatást nyújtson. Számunkra munkatársaink éppolyan fontosak, mint vendégeink, ezért nagy hangsúlyt fektetünk arra, hogy olyan támogató munkakörnyezetet biztosítsunk dolgozóinknak, amely az eredményes munkavégzésben, a szakmai fejlődésben és a karrierépítésben egyaránt segíti őket. Ennek a törekvésnek köszönhetően 2019-ben átvehettük „Az Év Munkáltatója” elismerést is. Kövessetek minket, és ismerjétek meg a Danubius világát!",Hungary,286.022596,,,
Hunguest Hotels,125074288.0,"Hungary, Budapest, Budapest, 14 Hattyú Utca, 1015",https://www.linkedin.com/company/hunguest-hotels,www.hunguesthotels.hu,"With HUNGUEST HOTELS you have the opportunity to get acquainted with the countryside, the towns and the unique natural beauties of a country, providing vast ranges of historical and cultural relics.  You can enjoy the natural waters offered by the country, such as the largest fresh-water lake in Europe, the Lake Balaton or the Blond Tisza, a river loftily sung by poets and the thermal waters, grossly helping restoration to health and recreation.  At the same time the Hungarian towns - including Budapest - offer the visitors an experience never-to-be-forgotten by presenting their commercial activities, historical relics and cultural treasures. You may fulfil the desire for the unscathed nature, have a rest whilst wandering the hills and the slopes or roaming about the forest and meet the romance of the famous ""Puszta"".  Our wide service range reflects these opportunities and can swiftly absorb new trends and upcoming facilities:  - classic medical treatments, fitness, wellness, sports, beauty salons, conference and meeting tourism  - various holiday offers for both the younger and the elder generations to several locations throughout the year.",Hungary,125.074288,,,
Accent Hotels,73687177.0,"Hungary, Budapest, Budapest, 31 Visegrádi U., h-1132",https://www.linkedin.com/company/accent-hotels,www.accenthotels.com,"Accent Hotels is the leading independent hotel management company in Hungary and one of the most potential hotel operators in the CEE region. Based in the capital city of Hungary, Accent is operating various types and categories of hotels in many locations within the country. Besides its professional hotel operation solutions it also provides its own brand services to those hotels that are not operated under the flag of some international brand.",Hungary,73.687177,,,
Zsidai Group,45569701.0,"Hungary, Budapest, Budapest",https://www.linkedin.com/company/zsidai-group,www.zsidai.com,"Our Story: Gastronomy is our profession, but it is also our life’s passion. For decades, we have made it our goal to change Hungarian cuisine and restore its glorious, pre-war reputation. It all began on Fortuna Street in the Buda Castle, where an elegant, then café, now restaurant named Pierrot opened in 1982. At the moment, more than a dozen restaurants, cafés, terraces and two boutique hotels belong to the group. In 2017 we entered the international gastro scene with our openings in Vienna, Austria and Marbella, Spain.  Our Mission: In our restaurants and bars we welcome about a million guest every year providing high quality experiences. Our family and our approximately 250 colleagues have been working on bringing Hungarian gastronomy back to the the international frontline and making Budapest one of the best cities in the world. Thanks to our tenacious and submissive work, we collaborate with such great internationally acknowledged partners as the Jamie Oliver Group and the 5* Kempinski Hotels.  http://www.zsidai.com general information: info@zsidai.com press/marketing contact: marketing@zsidai.com sales contact: hello@zsidai.com CEO: roy@zsidai.com",Hungary,45.569701,,,
Párisi Udvar Hotel Budapest,41536044.0,"Hungary, Pest, Budapest, 2-4 Petofi Sandor Utca, 1052",https://www.linkedin.com/company/parisi-udvar-hotel-budapest,www.parisiudvarhotel.com,"Párisi Udvar Hotel Budapest is one of the hotels within The Unbound Collection by Hyatt. This iconic building is a historical gem in the heart of the capital city of Hungary.  The hotel is surrounded by stunning sites, shops, restaurants, and cafés, just a few steps away from the river Danube. The building symbolizes the rebirth of Budapest’s Golden Age. This unparalleled property, painstakingly and lovingly restored, will deliver a memorable experience all thanks to its blend of old-world charm and modern marvel.  110 upscale and spacious guestrooms including 20 luxurious suites are waiting for our guests in this spectacular building of Párisi Udvar.  The beautiful onsite Zafír Spa offers a sanctuary for the body, soul, and mind with relaxing, luxury treatments in an intimate environment. The magnificently renewed space of the iconic passage became home to the hotel’s restaurant serving mainly Hungarian and also international classics with a modern twist. Experience the long-lost café atmosphere in the breathtaking Passage, and immerse yourself in the world of wonders while enjoying the highest level of services.  In the evenings, the exclusive ÉTOILE Champagne Bar awaits the lovers of French bubbles. Sip on a glass of stunning bubbly chilled to the perfect temperature, try a contemporary champagne cocktail creation, or pop a magical vintage bottle. Explore a story-worthy experience in our luxury heaven.",Hungary,41.536044,,,
Padthai Wokbar,38389374.0,"Hungary, Budapest, Budapest, 92g Szépvölgyi Út",https://www.linkedin.com/company/padthai-wokbar,www.padthaiwokbar.com,"Fast Casual Thai Restaurant Chain operating in Hungary, Budapest.  We offer a unique system and aim to make positive changes in the lives of our guests. Our guests get to watch how their food is made, and can make certain at the same time, that they are made fresh, by using the most carefully selected ingredients available. We offer a wide range of healthy ingredients and numerous beverages, all brought together in a system where our guests get to tailor their dishes based on their nutritional needs.",Hungary,38.389374,,,
Continental Group Hospitality Management Company,35872038.0,Hungary,https://www.linkedin.com/company/continental-group-hospitality-management,www.continentalgroup.hu,"A Continental Group magyar tulajdonú szállodaüzemeltető cég, a magyar turisztikai szakma egyik meghatározó szereplője. Tulajdonosai szeretik a hivatásukat, hosszú évek óta barátként és családként dolgoznak együtt. Célkitűzésük, hogy minőségi vendéglátást nyújtsanak és igényeset alkossanak. Azt vallják, csak a legjobb csapattal tudnak a legjobbak között lenni. Munkájukat a folyamatos innováció, a megújulás és a csapatban gondolkodás jellemzi. A cég komoly üzleti sikereket ért el az elmúlt években a szállodaüzemeltetés terén. Budapesten, a butikhotel kategóriában elsőként nyitottak szállodát még 2006-ban.     A megszerzett tapasztalatokat kamatoztatva 2016 márciusában nyitotta meg kapuit a Hotel Moments Budapest az Andrássy úton, néhány lépésre az Operaháztól. A cégcsoport újabb tagjaként 2020 tavaszán a Világörökségi Belgrád rakparton nyílt meg a Hotel Vision Budapest, csupán karnyújtásnyira a Duna-parttól. 2021-ben tovább bővült a portfolió a belváros szívében, a Szervita téren található Emerald Hotel &Suites szállodával. 2022 nyarától a Hotel Oktogon Haggenmacher is várja vendégeit, mely az egykori impozáns Haggenmacher palota épületében helyezkedik el az Andrássy úton. A fővároson túl, Esztergom szívében a Portobello Wellness & Yacht Hotel és a Grand Hotel Esztergom várja a kikapcsolódni vágyó vendégeket, a siófoki SunGarden Wellness Hotel pedig a Balaton parttól mindössze 5 perc sétára a található. A szállodai portfolió mellett a cégcsoport golfpályákkal, rendezvényhelyszínnel és vendéglátó egységgel is bővült. Budapest belvárosában, mégis zöldövezetben elhelyezkedő Continental Citygolf Club, valamint a Balaton északi partján fekvő, csodálatos panorámával rendelkezdő Balaton Golf Club fogadja a sport iránt érdeklődőket. A folyamatos fejlődés és az innováció jelenti a jövőt a cégcsoport számára.",Hungary,35.872038,,,
Twentysix,33354702.0,"Hungary, Budapest, Budapest, 26 Király Utca, 1061",https://www.linkedin.com/company/twentysixbudapest,www.twentysixbudapest.com,"It’s all about the right temperature. 26° is the best degree. Twentysix Budapest is the first of its kind, a cozy urban jungle and feel-good hub for all the nature and gastro friends located in the real heart of Budapest with 4 elements. GARDEN° is a nutritious, soulful Mediterranean restaurant. WINE & PASTA BAR° is our wine & fresh, handmade pasta bar and gourmet delicates. STUDIO° where you can enjoy every day our yoga classes. HOUSE° brings a unique concept of kitchen workshops and space for tailored events. All in one bright, sunlit scene of the vivid Budapest downtown – where your body, mind, soul and coolness meet.",Hungary,33.354702,,,
Eventrend Group,27690696.0,"Hungary, Budapest, Budapest, 5 Ajtósi Dürer Sor, 1146",https://www.linkedin.com/company/eventrend-hungary,eventrend.hu,"Mi, az Eventrend Group nagy családjával több mint 30 éve azon dolgozunk, hogy életre szóló pillanatokat teremtsünk rendezvényeinken, ikonikus vendéglátóhelyeinken és szállodáinkban, nap mint nap. Egy romantikus évforduló, egy káprázatos esküvő, egy fergeteges születésnap, egy exkluzív céges party vagy akár egy stadiont betöltő koncert – számunkra mind ugyanazt jelentik: örömteli, emlékezetes történeteket, amelyek túlmutatnak a pillanaton. A cégcsoportunk három fő pillére – Hotels | Gastro | Events – szorosan összefonódva kínál teljes körű élményeket: közel 30 helyszínen, közel 100 rendezvénytérrel, saját csapattal, kreatív koncepcióval és technikai kivitelezéssel – egy kézből. Olyan márkák tartoznak hozzánk, mint a Gundel, a New York Café vagy a Centrál, amelyek önmagukban is emblematikus nevek a hazai és nemzetközi vendéglátás világában. Legyen szó egy tízfős különtermi vacsoráról vagy akár egy több ezer fős protokoll rendezvényről, számunkra minden részlet számít – hiszen tudjuk, hogy a nagy élmények a legapróbb pillanatokból születnek. Hiszünk benne, hogy az értékes pillanatok nem csupán megtörténnek velünk – hanem megmaradnak, tovább élnek bennünk. Ezekből a pillanatokból élmények születnek, az élményekből emlékek, az emlékekből pedig egy teljes, boldog élet rajzolódik ki. Sok hivatás létezik a Földön, mégis a miénk az egyik legszebb! Mert azért dolgozhatunk, hogy mindenkinek legyenek olyan történetei, amelyek egy életre szólnak. Eventrend Group. Életre szóló pillanatok.",Hungary,27.690696,,,
SabeeApp,27574745.0,"Hungary, Budapest, Budapest, 5 Reáltanoda Utca, 1053",https://www.linkedin.com/company/10102069,www.sabeeapp.com,"SabeeApp is a property management solution designed to streamline and centralise daily operations. It integrates seamlessly with native features such as PMS, Channel Manager, Booking Engine, SabeePay, GuestAdvisor, and Housekeeping app. SabeeApp solutions help property managers enhance guest experiences with online check-ins, reduce waiting times, collect feedback and manage housekeeping teams in real-time. Whether managing a hotel, hostel, holiday rental, or guest house, SabeeApp allows for easy oversight of properties from anywhere, at any time, on any device. For over 11 years, industry leaders have relied on SabeeApp for its reliability and efficiency. Available in six languages, this user-friendly platform supports properties worldwide, helping automate repetitive tasks, improve guest experiences, and increase revenue.",Hungary,27.574745,,,
