Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Optic 2000,1912493371.0,"France, Île-de-france, Saint-denis",https://www.linkedin.com/company/8996302,www.optic2000.com,"The story begins in 1962 when a group of opticians decided to come together to create a Groupement d'Achats des Opticiens Lunetiers (GADOL). Seven years later, the Optic 2ooo brand was born. The launch of pioneering actions such as “2 pairs for the price of 1” in 1988, distributor products in 1997 or titanium operations from 2000 contributed to the success and expansion of the brand. The group moved up a gear in 1999 by creating two subsidiaries: AUDIO 2000, a hearing aid brand, and Optic 2000 Switzerland, which gave it an international dimension. Continuing its development, Optic 2000 bought in 2003 another French optical brand recognized for its know-how: Lissac Opticien. With success calling for success, the number of stores continues to grow over the years. The relevance of product marketing and communication invite entrepreneurial opticians to join the Optic 2000 brand, which is rapidly becoming the leading optical brand. The GADOL purchasing center is becoming very powerful and is strengthening its presence in France (79.35% of the population lives less than 15 minutes by car from an Optic 2000 store). The importance of the network gives it considerable purchasing power. The Optic 2000 brand takes advantage of this purchasing power to develop its own brands and offer consumers optical and audio products at competitive prices. The Optic 2000 Group has become one of the major players in the French optics and audiology market. This success, which has never been denied over the years, is undoubtedly explained by strong values,",France,1912.493371,,,
KRYS GROUP,1586799200.0,"France, Bazainville, Route De Paris, 78550",https://www.linkedin.com/company/krys-group,www.krys-group.com,"KRYS GROUP is a leading cooperative in the optical sector, dedicated to providing high-quality vision care and innovative customer experiences. With the establishment of L’École by KRYS GROUP, a tailored apprenticeship training center launched in 2022, the company aims to cultivate new talent in the field of optometry by offering specialized training for students pursuing a BTS Opticien Lunetier. This initiative not only enhances the skills of future opticians but also ensures their seamless integration into KRYS GROUP's extensive network of over 1,500 retail locations, including Krys and Le Collectif des Lunetiers. The company's mission is to lead in visual well-being performance while fostering a supportive and collaborative environment for its employees. KRYS GROUP partners with various educational institutions across France to deliver a comprehensive curriculum that combines theoretical knowledge with practical experience, ultimately preparing students to thrive in the optical industry.",France,1586.7992,,,
Écouter Voir,274313784.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/ecouter-voir,www.ecoutervoir.fr,"Notre singularité ? Écouter Voir est une enseigne mutualiste qui participe à l’Economie Sociale et Solidaire et se différencie par ses valeurs fortes : Nous sommes responsables, solidaires, transparents et collaboratifs.  Écouter Voir en chiffres :  - 5000 collaborateurs  - un maillage national de 1200 points de ventes (750 centres d’optique et 450 centres d’audition) - Des bénéfices qui contribuent aux services de soins et d’accompagnements mutualistes  - 25% des montures sont plus respectueuses de l’environnement - 20% des montures en marque propre sont labellisée Origine France Garantie Écouter Voir s'est illustrée comme la Meilleure Enseigne 2024 pour sa qualité de service de la catégorie « Opticien » dans le palmarès des Meilleures Enseignes du magazine Capital.  #CALLMEAMUTUALIST",France,274.313784,,,
Lissac,168020790.0,"France, Grand Est, Metz",https://www.linkedin.com/company/lissac-enseigne,www.lissac.fr,"A propos de Lissac 👓 : Créée en 1919, Lissac est une enseigne historique dans l’univers de l’optique. Son secret est à l’image de son fondateur Georges Lissac : une grande expertise technique et une proximité avec les professionnels de santé. Les médecins lui font confiance, les parents la recommandent, et les clients y retrouvent des modèles de lunettes, parfois réalisées sur-mesure, qui les séduisent. Infos clés : ● 📍 257 magasins à fin 2023 ● Modèles : franchises et succursales ● Dirigeants : @Olivier Padieu, Président ; @Benoit Jaubert, Directeur Général ; @Anne-Charlotte Guillaud, Directrice d'enseigne 5 bonnes raisons de suivre l’enseigne sur LinkedIn : ● 💼 Des offres d’emploi en magasin et au siège, dans tous types de métiers  ● 🚀 La découverte des magasins Lissac et des professionnels qui les animent  ● ✨ La vie du siège social et de ses équipes  ● 🔎 Des articles pour en savoir plus sur sa santé visuelle  ● 💡 Les dernières innovations du secteur décryptées par l’Observatoire de la santé visuelle et auditive  Retrouvez Lissac également sur : 📱 Twitter @optic2000 🌐 www.groupement-optic2000.com  #lissac #optique #opticien #santé",France,168.02079,,,
Point Vision,110518243.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/groupe-point-vision,www.groupepointvision.com,"Point Vision a ouvert son premier centre Point Vision Paris en janvier 2012 et a comme ambition d’ouvrir 50 centres en France. Ces centres d’ophtalmologie de premier recours dédiés à la réfraction (prise de rendez-vous sur le web, bilan de la vue, traitements rapides), organisés avec une équipe de secrétaires, d’orthoptistes et d’ophtalmologistes possèdent un plateau technique de pointe. Ils proposent principalement un premier diagnostic suivi éventuellement de prescription de lunettes et de lentilles de contact ou de prise en charge chirurgicale de la cataracte ou réfractive.",France,110.518243,,,
PRODITION,86192569.0,"France, Île-de-france, Gennevilliers",https://www.linkedin.com/company/prodition,www.prodition.fr,"Prodition distribue les produits du groupe Demant en France. Grâce à l’expérience de nos 130 salariés et leur implication au quotidien, nous apportons à nos clients audioprothésistes, ORL et spécialistes de l’audition des réponses pertinentes et un service efficient.",France,86.192569,,,
AuditionSanté,70615260.0,"France, Auvergne-rhône-alpes, Bron",https://www.linkedin.com/company/auditionsante,www.auditionsante.fr,"AuditionSanté est l'un des principaux réseaux d'audioprothésistes en France, dédié à l'amélioration de l'audition de chaque patient avec passion et détermination. Basée à VilledieulesPoêlesRouffigny, l'entreprise propose une gamme complète de services, incluant des évaluations auditives, des essais gratuits de solutions auditives, et un accompagnement pour consulter des spécialistes ORL. Tous les audioprothésistes d'AuditionSanté sont diplômés d'État et formés aux technologies de correction auditive les plus récentes, garantissant ainsi des solutions personnalisées et accessibles à tous. La mission d'AuditionSanté est de fournir un service de qualité, avec un suivi attentif et des modalités de paiement flexibles, afin de répondre aux besoins variés de sa clientèle, qui inclut des personnes de tous âges, en particulier les personnes âgées.  L'entreprise collabore avec des marques reconnues dans le domaine des aides auditives, renforçant ainsi son engagement envers l'innovation et la satisfaction client. AuditionSanté se distingue par son approche chaleureuse et attentive, s'assurant que toutes les questions concernant les appareils auditifs et les options de paiement sont soigneusement abordées. La clientèle de l'entreprise est variée, allant des jeunes adultes aux seniors, et elle bénéficie d'un service qui met l'accent sur l'écoute et le suivi personnalisé. Les retours très positifs des clients témoignent du professionnalisme et de la convivialité de l'équipe, consolidant la réputation d'AuditionSanté en tant que ressource de confiance pour ceux qui cherchent à améliorer leur santé auditive. En somme, AuditionSanté s'engage à améliorer la qualité de vie de ses clients grâce à des solutions auditives personnalisées et un service client exceptionnel.",France,70.61526,,,
Direct Optic & Audition,63786455.0,"France, Île-de-france, Montigny-le-bretonneux",https://www.linkedin.com/company/direct-optic,www.direct-optic.fr,"Direct Optic est un opticien en ligne qui se spécialise dans la vente de lunettes de vue et de soleil à des prix compétitifs, rendant l'accès à des lunettes de qualité abordable pour tous. Avec une vaste sélection de montures tendance pour hommes et femmes, l'entreprise défie les prix élevés habituellement pratiqués par les opticiens traditionnels, tout en garantissant un service de qualité grâce à ses opticiens diplômés. Direct Optic s'engage à offrir une expérience client optimale, avec la possibilité d'essayer des montures à domicile et plus de 50 magasins physiques pour des conseils personnalisés. La mission de l'entreprise est de rendre les lunettes accessibles sans compromis sur la qualité, et sa vision est de devenir le choix privilégié pour les consommateurs à la recherche de style et d'économie. Les clients de Direct Optic incluent des particuliers de tous âges, et l'entreprise collabore avec des partenaires pour offrir des options de paiement flexibles, comme le tierspayant optique.",France,63.786455,,,
Les Opticiens Mutualistes,60787194.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/les-opticiens-mutualistes,www.lesopticiensmutualistes.fr,"Avec 760 points de vente répartis sur le territoire, l’enseigne Les Opticiens Mutualistes est la troisième enseigne française et représente près de 10% de parts de marché du secteur de l’optique. Créés et gérés par des mutuelles adhérentes à la Mutualité Française, les centres d’optique mutualiste ont un statut à but non lucratif, sans actionnaires à rémunérer. La seule et unique priorité pour l’enseigne est de faciliter l’accès à la santé visuelle de ses clients. C’est pourquoi les centres d’optique proposent des équipements adaptés au mode de vie de chacun avec le choix des plus grandes marques de montures et de verres, à des prix justes. Leur statut mutualiste, dédié à la santé visuelle, a naturellement amené les 760 magasins à nouer des partenariats avec de nombreux réseaux de soins, permettant ainsi de proposer le tiers payant systématique et de garantir un reste à charge limité et maîtrisé aux patients.",France,60.787194,,,
OPAL,59099042.0,"France, Auvergne-rhône-alpes, Lyon",https://www.linkedin.com/company/opal-eyewear,www.opal.fr,"Créée en 1995 par François Fort, la société lyonnaise Opal est aujourd’hui leader européen de la monture pour enfant et adolescent, leader français de la 2ème paire offerte par les opticiens et acteur majeur de la monture adulte, l’entreprise élargissant ses marques pour grandir en même temps que ses 1ers clients. Depuis 2017, Opal s’investit dans la monture de sport avec sa prise de participation majoritaire chez Demetz.",France,59.099042,,,
