Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Prestige Property Portugal,4479339.0,"Portugal, Faro, Tavira",https://www.linkedin.com/company/prestige-property-portugal,www.ppportugal.com,Your Concierge Realtor for Portugal.  Taking the stress away of finding the right property/Investment in Portugal. #realestateportugal #portugal #portugalproperty #algarve #lisbon,Portugal,4.479339,,,
Universal Property,626883.0,"Portugal, Porto, Porto, Nº 2 Rua Do Outeiro, 4050-452",https://www.linkedin.com/company/upropertypt,universalproperty.pt,"UNIVERSAL is an international group with one of its bases in Portugal. The group has strong ties to the Asian markets for  visas and high end group travel, as well as property development in other European countries, especially in  Scandinavia. With its local presence in Porto for many years, and offices in Stockholm, Barcelona, London and Hong Kong,  the company is helping applicants of visa and residency (tax & investment programs), through the whole process. From all support around a full or part-time move to Portugal, all the way up to a high level concierge service. Both  in Portugal and in other countries. In parallel the demand for property investments is focusing on property development as well, both for in house and for  external clients. Via its staff and its partners, Universal has a long experience of the Oporto Property Market. For  Construction and Investment, we held our expertise with solid partners. Long-term relationships with Construction  Companies, Architect Firms and local banks are the key to our success. We have developed a good understanding of the  financial tools for property in Portugal and in Oporto specifically, and the key success factors in the local property  market. We also have partnerships with Law Firms that allows us to have knowledge for Visa and Resident Programs, as well as  Tax and Investment Programs. The office carries an international mix with Portuguese, Swedish, UK and China background.",Portugal,0.626883,,,
DRP Advisers,1880649.0,"Portugal, Lisbon, Lisbon, 86 Avenida Duque De Loulé, 1050-091",https://www.linkedin.com/company/drp-advisers,drpadvisers.com,"DRP is the world’s leading pioneer in global real estate consultancy. We are an independent real estate consultancy, a one-stop-shop solution. We work directly with you to provide expert advice on the investment and acquisition of property within Portugal - suitable for your investment requirements. As a specialist in the industry we built a concept that develops a custom tailored service within all phases of the process identifying unique opportunities within the marketplace offering a maximal yield. We use our extensive connections within the industry to access suitable investment opportunities ahead of the competition. The Lisbon area property market can be highly competitive, so early access is crucial.   We find prime properties that are hand-picked from our leading partners, we offer expert advice on the locations most appropriate for your investment requirements, guiding you on how rental yields and capital values vary from area to area. With a cosmopolitan team, our secure network of lawyers, property consultants and property developers are here to guide you every step of the way through your investment journey. DRP takes pride in its truly international team, with specialist representatives speaking French, Portuguese, English, Russian and more.  The team at DRP are delighted to offer a comprehensive selection of specialised services, with a unique Homeowner Concierge service that will assist you throughout your property investment. You’ll be given your own team that will help you through the buying process, spanning client relationship managers, interpreters all the way down to your own driver who will get you where you need to be during your trip.",Portugal,1.880649,,,
Martinhal Residences,24448437.0,"Portugal, Lisbon, Lisbon, 1990-221",https://www.linkedin.com/company/martinhal-residences,www.martinhalresidences.com,"Martinhal Residences | Branded Residences by Martinhal in Lisbon & Algarve Exceptional branded residences designed for modern living in Portugal’s most sought-after coastal and urban locations. Martinhal Residences offers a new way to live in Portugal; combining contemporary design, five-star lifestyle services, and a family-friendly philosophy in Lisbon’s Parque das Nações and the Western Algarve’s Praia da Luz. Created by the award-winning Martinhal Group, each development blends luxury living with smart functionality — offering concierge-style services, leisure and wellness amenities, landscaped pools, and proximity to international schools, healthcare, and nature. Our Lisbon flagship in Parque das Nações, in Lisbon Oriente delivers a true “15-minute city” lifestyle: close to the river, airport, and international hubs like the Web Summit campus and United Lisbon School. Martinhal Residences Praia da Luz extends this philosophy to the Algarve coast ; a lateral, low-rise development set near the charming village of Luz and the historic town of Lagos, with ocean views and resort-style facilities.",Portugal,24.448437,,,
CleverDetails LDA Holiday Rental Vilamoura,1767743.0,"Portugal, Faro, Faro",https://www.linkedin.com/company/cleverdetails-algarve-property-management,www.cleverdetails.com,"We are a property management and holiday rentals company based at Vilamoura Marina, our priority is to provide our clients a high quality and reliable service. We specialize in building a relationship of trust and mutual respect with our clients. We offer 3 different packages of property management services, so that you can choose what is more convenient for you in terms of cost and services instead of paying for what you do not need. We provide a holiday rental service and advertise your property on our website and the website of our business partners (Golf Agencies / holidaylettings.co.uk / ownersdirect / Tripadvisor.....), with no extra cost at all to you, this way you will achieve the maximum income which will g towards face the everyday expenses of owning a holiday home in the Algarve.  We also can assist you with your own bookings or guests, providing all the necessary services to help them enjoy the most of their stay in your property, such as meet and greet (at any time), 24h help line, cleaning, concierge service...... Why should you let us manage your property? We have over 10 years experience Our staff are both Portuguese and English, so there are no communication problems We take care of your property as if it was our own, including the smallest details Value for money guaranteed We take client satisfaction to the limit, if you are not happy with our services we will refund you 100% of the annual fee",Portugal,1.767743,,,
Luxevile,1880649.0,"Portugal, Faro, Quarteira, 125 Km86 E.n, 8125-013",https://www.linkedin.com/company/luxevile,www.luxevile.com,Real Estate and Concierge. Services for your well-being.,Portugal,1.880649,,,
Casa Shelter Conciergerie,1767743.0,"Portugal, Vila, 136 Rua José Augusto Coelho, 2925-542",https://www.linkedin.com/company/casa-shelter-conciergerie,casashelter.com,"CASA SHELTER offers you various concierge services. Are you an owner? Management, maintenance, stewardship, we take care of your property throughout the year. Are you a traveler? Seasonal rental, transport, baby-siting, carefree vacations. Are you a company ? A seminar, training, a stay offered to customers, CASA SHELTER takes care of everything. - Management of your property (garden, swimming pool, household) - Seasonal rental management - Monitoring of works - Administrative assistance - Personalized services on request",Portugal,1.767743,,,
SF Properties,5900869.0,"Portugal, Lisbon, Sintra, 7 R. Centro Empresarial, 2710-692",https://www.linkedin.com/company/sf-properties,www.sfproperties.pt,"Aliando mais de 20 anos de experiência em mediação imobiliária e 15 anos de experiência nas áreas de investimentos e construção, Ricardo Fontinha e António Santos fundaram o Grupo SF - Santos & Fontinha. Assim, proporcionam aos seus clientes a máxima experiência, qualidade e profissionalismo, em diversas áreas. Desta maneira criaram as marcas, SF Properties, SF Signature, SF Investments e SF Exclusive, para motivar um serviço completo, desde a aquisição de um imóvel, investimentos, financiamento, assessorias jurídica e fiscal, relocation, concierge, arquitetura, design de interiores, decoração e gestão imobiliária, tendo como alicerces o relacionamento, a empatia e o serviço personalizado, criando desta forma um serviço à medida das necessidades de cada cliente - tailor made.",Portugal,5.900869,,,
Nduni Property Portfolio & Management,236340.0,"Portugal, Lisbon, Cascais, 603 Avenida Nossa Senhora Do Rosário, 2750-179",https://www.linkedin.com/company/nduni-property-portfolio-&-management,www.nduni-property.com,"Nduni Property Portfolio & Management is an English and Portuguese speaking real estate agency based in Cascais. The Nduni team is focused on the international market in Portugal. With more than 15 years experience in the short term holiday rental markets, Nduni has a unique knowledge of investment opportunities for foreign and local buyers.  www.nduni-property.com Portugal Portfolio's objective as a property management company is to look after properties in the owner's absence and generate income for property owners through the holiday rental market. Offering a range of services from booking management to holiday & concierge services, Portugal Portfolio can market your property to ensure you capitalize on its potential. www.portugalportfolio.com",Portugal,0.23634,,,
SCOUT CONCIERGE,626883.0,"Portugal, Lisbon, Cascais, 227 Avenida Manuel Júlio Carvalho E Costa",https://www.linkedin.com/company/scout-concierge,www.scoutconcierge.pt,"SCOUT CONCIERGE SERVIÇOS PERSONALIZADOS DE CONCIERGE A SCOUT CONCIERGE está vocacionada para prestar todo o tipo de serviços a pessoas, particulares ou empresas, em mudança de país de forma temporária ou definitiva. Tudo o que essa mudança possa implicar para as pessoas e respetiva família, desde questões legais, aquisições, compras, prospeção de colégios, de casas, de serviços, de negócios ou até de férias e bem estar, a SCOUT CONCIERGE pode garantir a melhor experiência em Portugal. REAL ESTATE CONCIERGE Assesoria na área imobiliária para encontrar o imóvel certo e de acordo com a sua pretensão de investimento, seja para habitação própria, escritório ou para investimento imobiliário e futuro arrendamento. APOIO À FAMÍLIA O apoio à vida familiar é essencial para assegurar todas as exigências e necessidades durante um processo de mudança ou relocação e que a nossa equipa poderá dar total suporte. GOLDEN VISA E VISTOS DE RESIDÊNCIA Tratamos de todas as diligências necessárias para a obtenção de visto de residência, ou de autorização de residência ao abrigo dos programas de Golden Visa. REMODELAÇÃO E DECORAÇÃO O seu conforto é muito importante e para isso as nossas equipas poderão intervir no seu espaço, seja escritório, habitação própria ou imóvel para investimento, trataremos de remodelar e decorar o seu espaço ao seu gosto.",Portugal,0.626883,,,
