Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
The One,2062004.0,"Romania, Bucureşti, Bucharest, 159 Floreasca Road One Tower 6",https://www.linkedin.com/company/theone.ro,theone.ro,"Bucharest’s first premium flexible offices concept at One Floreasca City: business lounge, concierge, conference rooms, event spaces, golf simulator, private offices, and informal working areas, all in a premium designed space, with spectacular views over the city.",Romania,2.062004,,,
PLATINIA,5155011.0,Romania,https://www.linkedin.com/company/platinia,www.platinia.ro,"Ce inseamna PLATINIA?   PLATINIA inseamna un stil de viata, PLATINIA inseamna confortul de zi cu zi, PLATINIA inseamna eleganta si stil, PLATINIA inseamna ACASA. Si, de acum incolo, ACASA va avea o noua semnificatie pentru cei care au intrat deja in comunitatea PLATINIA .  PLATINIA insemna o arhitectura frumoasa, materiale premium, locatie centrala, dar mai ales un pachet unic de servicii creat special pentru locatarii nostri (serviciul de concierge hotelier, paza 24/24, un lounge elegant mobilat si cardul PLATINIA cu care locatarii nostri beneficiaza de discounturi si facilitati la o serie de furnizori locali). La PLATINIA veti gasi mai mult decat un spatiu confortabil de locuit, veti descoperi luxul unui stil de viata elegant si confortabil. Sub brandul Platinia au prins viata  2 proiecte centrale in orasul Cluj Napoca: Platinia Lounge Residence( Calea Dorobantilor 33-35-37, un mix de apartamente si spatii de birouri si Platinia Elite Residence ( str. Constanta 12) care pastreaza acelasi mix de functiuni. Momentan este in lucru noul proiect Platinia ( Calea Manastur 2-6, pe locul fostei fabrici de bere), un proiect unic in Cluj , care va avea pe primele 2 nivele o galerie comerciala de 13.000 mp, un Apart-Hotel  si 200 apartamente de 2 si 3 camere.",Romania,5.155011,,,
Davidos Real Estate - Consultanță Imobiliară Și Managementul Proprietăților,1239155.0,"Romania, Bucureşti, Sector",https://www.linkedin.com/company/davidos-real-estate,davidos.ro,"Imagine a real estate company that went a step further than most, and offered a personal touch. When you come to Davidos Real Estate, that’s exactly what you get! As a real estate company, the heart of what we do at Davidos is, of course, buying and selling properties. Covering both residential and commercial properties, we are always on hand to help match up each client with the perfect property. We help to connect our clients with the perfect apartments, houses, office spaces, and more, always keeping their unique needs in mind. What’s more, we also offer a range of additional services, all aimed at making your life in your new home that much easier. However, we also go one step further than this, and also provide full property and facility management services, too. Our property management service ensures that apartments are always kept clean, and we also provide security to keep the property safe and secure at all times. We even offer moving and relocation services as well, to help you get settled in as quickly and stress-free as possible. In addition to these services, Davidos Real Estate is also here to help with your everyday life, too. Our concierge service covers virtually everything you might need, from making theatre and restaurant reservations, to finding a conveniently located gym, or even crisis management. Even once you’re settled in, you can rest assured that if you ever need a hand with anything, we are only ever a phone call away. Finally, as well as helping you find the perfect place to live, we also want to ensure you’ve got a way of getting around the city, too. That’s why we offer car rental services, including transportation to and from the airport. Don’t put up with high airport parking charges, and spend your holiday worrying about if your car is safe and sound. Instead, leave it to us, and we will ensure your transportation goes without a hitch. Whether it’s property or transportation, Davidos Real Estate should be your first port of call!",Romania,1.239155,,,
Besmax Life Solutions,6107242.0,"Romania, Bucureşti, Bucharest, 10 Strada Baneasa Numarul, 013951",https://www.linkedin.com/company/besmax-life-solutions,lifesolutions.ro,"Înființată in 2017 pentru pacienții din Romania, Life Solutions este furnizorul celor mai performante soluții de recoltare și stocare celule stem din Europa. Acum ai acces atât la tehnologia avansată germană cat și la cea elvețiană în pachetele noastre! Vita34 şi FamiCord Suisse sunt două bănci de o performanță de neegalat în domeniu. Cu o experiență de peste 24 de ani, dețin cele mai importante certificări internaționale, premii pentru cercetare și inovare și laboratoare cu dotări la cele mai înalte standarde internaționale. Pe lângă serviciile legate de celule stem, Life Solutions aduce părinților servicii suplimentare esențiale sănătății familiei tale, precum concierge-ul medical si acces la cea mai performanta rețea de clinici si medici cu beneficii de neegalat. In plus eliminăm granițele pentru ca toți pacienții sa aibă acces la servicii medicale performante cu cel mai mare Hub de sănătate online – HelloGreen, acolo unde prevenția este scopul final.",Romania,6.107242,,,
Affpal,4093034.0,"Romania, Iaşi, Iaşi",https://www.linkedin.com/company/affpal,www.affpal.net,Bringing Affiliate Programs / Networks to the next level. Optimizing of Workflows in Affiliate Management and Branding. Recruitment and Training of Account Managers. Concierge Service for Performance Marketing Companies,Romania,4.093034,,,
Bucharest Advisors,1427935.0,"Romania, Bucureşti, Bucharest",https://www.linkedin.com/company/bucharest-advisors,bucharestadvisors.com,"DESTINATION MANAGEMENT COMPANY specialized in Relocation, Concierge, Travel & Events Services. We provide a complete range of cost-effective, reliable, innovative and personalized services, being a single point-of-contact to manage and take the responsibility of the service implementation and supplier management.  We are the primary source of services and real time personal online assistance for foreign visitors and expatriates living in Bucharest.",Romania,1.427935,,,
Agentia De Turism AMA TRAVEL INTERNATIONAL,2915136.0,"Romania, Bucureşti, Bucharest, Nr.4 Bloc M26 Bd. Octavian Goga, apt.53",https://www.linkedin.com/company/ama-travel-international,www.amatravel.ro,"Ama Travel is a young and dynamic tour operator travel agency, set up in 2008. Our stuff gathers professionals in the filed with an extended and proved experience. That is why, we can offer you anytime, any kind of services starting from leisure touristic services to corporate travel management solutions and business touristic services. Our values are well stated: close to the client, creativity, efficiency, passion, satisfaction of a well done job, recognition of value and information in real time. We find and create complete solutions for any request, transforming each journey in an exquisite, personal experience.  OUR SERVICES: Home and international airplane tickets Accommodation and hotels booking  Single trips abroad, done directly through external travel agencies and by means of online reservation systems Charter touristic packages, tailor made on each holiday season, with transport, hotel, transfers and everything included Custom made packages on each client demand Circuits and ours in main Europe cities and Romania for foreigners Online medical insurance Rent–a-car in Romania and abroad  Transfers in Romania and abroad Special services: Train tickets, tickets to any entertainment event: opera, concerts, shows.  Any information about Romania like: city info’s, transportation, customs, currency, shopping Organizing of conferences, team buildings, workshops, seminars, events Added-value services/Concierge Services; visa services  Motivational and Incentive Travel",Romania,2.915136,,,
Melior Travel,2058831.0,"Romania, Bucureşti, Bucharest, 6 1 Piața C A Rosetti, 021051",https://www.linkedin.com/company/nordistravel,meliortravel.ro,"Your one-stop destination for tailor-made experiences!🌎 The world is yours to explore👀 We are your trusted partenr in every step of your journey.  Your travel consultant is not just an advisor but your personal concierge, ensuring that your travel experiences are notthing short of extraordinary.",Romania,2.058831,,,
Secret Romania,557518.0,"Romania, Bucureşti, Bucharest, Piata Muncii",https://www.linkedin.com/company/flio-travel,www.secretromania.com,"We are a concierge travel agency based in Bucharest, with over 10 years of experience in crafting bespoke holidays to Romania.  At Secret Romania, we are dedicated to helping you discover our country's well-known and hidden gems. Each guest is valued, and every holiday is tailored to meet your individual needs with trust, passion, and care.",Romania,0.557518,,,
Wens Travel,20138688.0,"Romania, Cluj, Cluj-napoca, Nr. 39 Str. Clinicilor, 400006",https://www.linkedin.com/company/wens-travel,wenstravel.ro,"We are a full service travel agency, one of the few in Romania, who understand the role of being a concierge, adviser and guide in customizing vacations, but also business trips. Our mission is to give sense, value and joy to your trips by combining each and every detail in an authentic and unified travel package. Our purpose is to build partnerships based on trust, confidence and loyalty.  Created by professionals for professionals,  we offer integrated services for business travels, innovative corporate events and personalized team buildings for our corporate clients, personalized holidays for our partners and their employees.  20 years of experience, with thousands of trips and vacations organized and more than 10 thousand active clients from all over Romania represent the guarantee of a successful partnership based on competitive budgets and an impeccable service quality.   What recommends us: •         Integrated system for accommodation booking and flight tickets •         Travel Management, including budget and cash flow optimization  •         We provide: transfers, car rentals, visa intermediation, health insurance •         24/7 assistance and consulting  •         We understand and react to the client’s needs in real time •         Complete MICE services  •         Tailor made trips considering your needs and budgets",Romania,20.138688,,,
UltraViolet Travel Services,1029415.0,"Romania, Bucureşti",https://www.linkedin.com/company/ultraviolet-travel-services,uv-travel.com,"UltraViolet is a -special interest- travel services company specialized in organizing tours and trips in Romania, exclusive private trips, and concierge services.",Romania,1.029415,,,
Travel Studio Turism,4405338.0,Romania,https://www.linkedin.com/company/travel-studio-turism,,"Tour operator specializat, Travel Studio a luat nastere in 2006 si de peste 8 ani promoveaza cu succes evenimentele sportive importante, de opera si muzica, spectacole si teatre din Europa, organizeaza pachete de tip team building, stimulente, cadouri corporate pentru individuali si grupuri. Oferta Travel Studio contine pachete complete cu bilete pentru a participa la evenimente sportive si muzicale internationale, oferind clientilor nostril posibilitatea de a petrece seri de neuitat. Experientele unice la volanul unor supermasini vin sa completeze dorinta si pasiunea clientilor nostri pentru sport. Ne-am gandit la cateva aspecte legate de deplasarea dumneavoastra, astfel incat sa aveti un program reusit. Indiferent de orasul in care plecati, noi va putem ajuta cu: - bilete la muzeele si expozitiile din oras din perioada calatoriei - rezervari la cele mai cautate restaurante pentru pranz sau cina - bilete la concertele, evenimentele sportive si culturale din oras din perioada calatoriei - excursii si tururi locale pentru a experimenta destinatia - bilete la teatre, muzicaluri si spectacole locale - servicii de transport:  inchirieri de masini si transferuri private - bilete de intrare la parcurile de distractie si atractiile regiunii - rezervari hoteliere conform criteriilor dumneavoastra Este foarte simplu sa aveti un Concierge personal de la Travel Studio!",Romania,4.405338,,,
Human Direct,3202626.0,"Romania, Cluj, Cluj-napoca, 14 Strada Emil Racoviță, 400165",https://www.linkedin.com/company/human-direct-romania,www.humandirect.eu,"At Human Direct, we redefine tech recruitment with a people-first approach. Our mission is to empower developers and businesses by creating meaningful career connections. Through a blend of AI-driven sourcing and human expertise, we simplify hiring, ensuring a seamless and engaging experience for both candidates and employers. Now, with Friday, our innovative AI-powered job platform, we take recruitment beyond traditional agency services. Friday provides a smart, efficient, and cost-effective hiring solution, helping companies access top-tier talent while reducing time-to-hire and hiring costs. 🔹 AI Sourcing & Job Board – Post jobs effortlessly and let AI match the best candidates. 🔹 Concierge Service – Human consultants fine-tune selections for the perfect fit. 🔹 Transparency & Data-Driven Hiring – Access every candidate from earlier recruitment stages, not just final recommendations. 🔹 ATS Integration & Promotion Tools – Expand your reach across multiple platforms. We are more than recruiters. We are hiring strategists, leveraging AI and human expertise to build great tech teams. Whether you need a job board, sourcing, or end-to-end recruitment support, we help you find the right people, at the right time, the right way.",Romania,3.202626,,,
Wiilo,922503.0,"Romania, Cluj, Cluj-napoca, Nr 10 Str. Buftea, 400606",https://www.linkedin.com/company/wiilo,wiilo.eu,"Wiilo is a personal assistant for all things related to traveling by bus in Romania. We provide seamless travel experiences for busy professionals & frequent travelers. We make travel planning as easy as possible so that everyone can enjoy the comfort of a carefree travel. Powered by Artificial Intelligence and human experts, we’re a 24/7 concierge specialized in traveling by bus. Travel like a VIP and we’ll handle all booking, rescheduling, cancellation, and everything in between. * Personalized travel We’re essentially a personal travel agent in your pocket. Let us know what type of trip you would like and the choice of your destination. We’ll ask a few questions and devise the perfect travel itinerary. Let us know your ideal trip and we’ll reserve everything for your convenience. * Life savers and time savers We’ll help you save time by handling all the travel research and bookings for you. We even simplify your booking process by hand-picking the 3 best options that suit your needs — such as highest rates, lowest price, and preferred bus tickets. Wiilo will take care of the research and offer you options to compare.  * Chat with Wiilo We’re a personal assistant that you can text message. Simply ask a question whenever and wherever you like and we’ll engage in conversational style just like human agents would. The more you chat, the smarter we get. We’ll learn your traveling taste or personal style and send recommendations for buses. And always remember that we’re traveling in real-time with you, in your pocket, for any endeavor that may arise. * Travel with confidence Wiilo caters to all your concerns and needs 24/7. We ensure the highest quality and most accurate bookings. We’re always traveling in real-time with you and are just a tap away. We’ve got your back if there’s ever a change in your travel itinerary regarding buses. Personal shopping at your fingertips.",Romania,0.922503,,,
TimePal Romania,1939136.0,Romania,https://www.linkedin.com/company/timepal,www.timepal.ro,"TimePal ofera experienta unui serviciu premium de asistenti personali - concierge- disponibil angajatilor din cladirii de birouri . Echipa TimpePal, iti ofera customer care, preluand si rezolvand solicitarile tale, atat online cat si telefonic. Asistentul tau personal TimePal iti ofera serviciile de care ai nevoie la birou si acasa. Crestem calitatea timpului tau petrecut la birou pentru ca tu sa te poti concentra pe ce este important in viata ta. Scapi de griji si castigi timp, cel putin 30 de ore pe luna! Misiunea TimePal Sa crestem calitatea vietii personale si profesionale prin accesul la un stil de viata sanatos si modern. TimePal va sta la dispozitie in cladirie partenere: - Victoria Business Park - Iride Business Park - North Center - S-Park - Bucharest Corporate Center - Global Business Center - Baneasa Airport Tower - Europe House",Romania,1.939136,,,
