Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Mövenpick Hotels & Resorts,15732664172.0,"France, Île-de-france, Issy-les-moulineaux, 92130",https://www.linkedin.com/company/moevenpick-hotels-&-resorts,www.movenpick.com,"In Switzerland, in 1948, Ueli Prager created Mövenpick, a revolutionary dining concept where anyone could enjoy a taste of good wine, good times and the good life. Today that same brand of welcoming hospitality lives on in every Mövenpick hotel, where everyone can appreciate life’s essential pleasures, through moments of true indulgence. With more than 120 hotels and resorts in over 35 countries, Mövenpick remains true to its Swiss heritage and rich culinary legacy, honoring its founder’s promise to do things well by doing things right. In recognition of the brand’s holistic approach to sustainability, and its deep commitment to local environments and communities, Green Globe has named Mövenpick the world’s most sustainable hotel company every year since 2017.   Mövenpick is part of Accor, a world leading hospitality group and a participating brand in ALL - Accor Live Limitless, the hotel loyalty program spanning over 40 brands and 5,600 destinations.",France,15732.664172,,,
Accor,5824073400.0,"France, Île-de-france, Issy-les-moulineaux, 82 Rue Henri Farman, 92130",https://www.linkedin.com/company/accor,www.group.accor.com,"We are Accor We are more than 290,000 hospitality experts placing people at the heart of what we do, creating emotion for our guests, and nurturing passion for service and achievement beyond limits. Building on the strength of our teams and of our fully integrated ecosystem of leading brands, personalized services & expert solutions, we break new ground to reimagine hospitality and inspire new ways to experience the world. We are dedicated to suit all desires and needs, and reinvent the guest experience every day with our 45 hotel brands across all segments- 5,600 properties around the world from luxury five-star palaces to smart economy hotels, exquisite residences to full-service resorts. Because we take care of millions of guests and each of our hotels is a world in itself, where every action counts. We strive to make positive impact both locally and globally, to ensure hospitality benefits not only the few, but all.",France,5824.0734,,,
Golden Tulip Hotels Suites & Resorts,5000000000.0,"France, Île-de-france, Puteaux",https://www.linkedin.com/company/golden-tulip-hotels,www.goldentulip.com,"Golden Tulip Hotels, Suites & Resorts is a prominent hospitality brand under the Louvre Hotels Group, offering a range of upscale accommodations designed for both business and leisure travelers. With a mission to provide exceptional service and comfort, Golden Tulip aims to create memorable experiences for its guests through elegant design and high-quality amenities. The brand's hotels are strategically located in key urban areas, such as Lille, near major attractions like the Stade Pierre Mauroy, catering to a diverse clientele that includes tourists, business professionals, and event attendees. Golden Tulip partners with local businesses and organizations to enhance guest experiences and promote regional tourism, while its target market encompasses both domestic and international travelers seeking a blend of luxury and convenience.",France,5000.0,,,
Sofitel,4614596102.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/sofitel,sofitel.com,"At Sofitel, we are more than luxury hotels. Guided by our French zest for life, we  inspire heartfelt encounters shining a light on vibrant local cultures with our remarkable savoir-faire, and heartfelt service. With more than 120 addresses worldwide, Sofitel aspires to ignite love, unlock the extraordinary, and foster discovery in every stay. Through the fusion of French zest and local culture, be it the culinary artistry of a thoughtfully crafted dish, the exhibition of captivating local artistry, or the serenity of our wellness spaces, we harness the transformative power of our cultural link. At Sofitel, it's within these moments that we reinvent luxury, etching an indelible impression on your heart and soul. Sofitel also includes Sofitel Legend, six hotels, six living legends, where secrets are whispered, where past meets present and where awe-inspiring stories unfold every day.",France,4614.596102,,,
Pullman Hotels & Resorts,2735085564.0,"France, Île-de-france, Issy-les-moulineaux",https://www.linkedin.com/company/pullman-hotel,all.accor.com,"A new perspective Enjoy an exhilarating experience in more than 155 must-see destinations around the world. Where superior comfort, inspiring spaces, unexpected flavours and fascinating cultures come together to create new perspectives.   Pullman is part of Accor, a world leading hospitality group and a participating brand in ALL - Accor Live Limitless, the hotel loyalty program spanning over 40 brands and 5,600 destinations.",France,2735.085564,,,
Swissôtel Hotels & Resorts,2477242981.0,"France, Île-de-france, Issy-les-moulineaux, 82 Rue Henry Farman, 92130",https://www.linkedin.com/company/swissotel,www.swissotel.com,"Swissôtel Hotels & Resorts is a luxury hotel brand that offers a unique blend of Swiss hospitality and local charm, exemplified by its flagship property, Swissôtel Resort & Spa, Çeşme. Located in the picturesque region of Çeşme, Turkey, the resort features 248 spacious guest rooms and 18 suites, along with diverse dining options and a state-of-the-art spa and fitness center. The company's mission is to provide exceptional service and create memorable experiences for its guests, who range from leisure travelers seeking relaxation to business clients looking for premium accommodations. Swissôtel aims to be a leader in the hospitality industry by focusing on quality, sustainability, and the well-being of its guests, while fostering partnerships with local businesses and communities to enhance the overall guest experience.",France,2477.242981,,,
Groupe Pierre & Vacances-Center Parcs,2035390255.0,"France, Île-de-france, Paris, 11 Rue De Cambrai, 75947",https://www.linkedin.com/company/groupepvcp,www.groupepvcp.com,"Leader européen du tourisme de proximité, le Groupe Pierre & Vacances-Center Parcs développe et gère – depuis plus de 50 ans – des concepts de vacances et de loisirs innovants dans le respect de l’environnement. Son business model repose sur deux métiers complémentaires : l’immobilier et le tourisme. Ses marques à forte notoriété - Pierre & Vacances, Center Parcs, Sunparks, Aparthotels Adagio®, maeva.com - proposent des expériences dans 280 destinations en Europe, à la mer, à la montagne, à la campagne ou au cœur des villes.   Chez Pierre & Vacances-Center Parcs nous sommes 12 000 entrepreneurs responsables et nous avons la conviction que cultiver le vivre-ensemble n’est pas qu’un concept mais un leitmotiv pour offrir à plus de 8 millions de vacanciers, des instants de partage et convivialité, en famille ou entre amis, à la découverte des plus belles régions européennes !   Découvrez les belles histoires que nous écrivons jour après jour, suivez toutes nos actualités et participez aux coulisses de l’aventure aux côtés de la #PVCPTeam !     Pour mieux nous connaître, visitez notre site www.groupepvcp.com et suivez-nous sur Twitter @GroupePVCP",France,2035.390255,,,
Raffles Hotels & Resorts,1995618114.0,"France, Île-de-france, Issy-les-moulineaux, 82 Rue Henry Farman, 92130",https://www.linkedin.com/company/raffles-hotels-&-resorts,www.raffles.com,"Raffles Hotels & Resorts is a luxury hospitality brand celebrated for its iconic hotels and exceptional service, seamlessly blending heritage with modernity. With a mission to provide unparalleled experiences that evoke emotions, Raffles is dedicated to creating memorable stays for its guests through personalized services, including the renowned 24-hour butler assistance. The brand primarily caters to discerning travelers seeking opulence and sophistication, often attracting high-profile clients and dignitaries. Raffles collaborates with various partners in the luxury sector to enhance its offerings, ensuring that each property, from Raffles Singapore to Raffles Shenzhen, reflects the local culture while maintaining the brand's signature elegance. The target market for Raffles Hotels & Resorts includes affluent individuals and families, business travelers, and event organizers looking for exquisite venues for prestigious gatherings. With a rich history dating back to the early 20th century, the company aims to provide guests with a unique blend of legendary style and contemporary luxury. This commitment is evident in its signature Raffles Butler Service, exquisite dining options, and world-class spa facilities.  Raffles Hotels & Resorts partners with local artisans to preserve cultural heritage while offering modern amenities, ensuring that each guest's experience is both authentic and luxurious. With properties located in prime destinations around the globe, including Phnom Penh, Singapore, and Boston, the brand is steadfast in its commitment to creating memorable moments for its guests, whether for leisure, business, or special occasions.",France,1995.618114,,,
B&B HOTELS GROUP,1278008670.0,"France, Brittany, Brest",https://www.linkedin.com/company/bb-hotels-group,bbhotels-group.com,"B&B HOTELS GROUP is a prominent hotel chain that specializes in providing comfortable and affordable accommodations across various locations, primarily in Europe and the United States. The company is dedicated to delivering a welcoming atmosphere and high-quality service, ensuring that guests enjoy a pleasant stay whether they are traveling for business or leisure. With a mission to deliver value for money, B&B HOTELS focuses on customer satisfaction, which is reflected in the positive feedback regarding their friendly staff and clean facilities. The hotel chain caters to a diverse clientele, including families, business travelers, and pet owners, ensuring that all guests feel at home during their stay. B&B HOTELS is known for its commitment to quality, offering essential amenities such as complimentary breakfast, free Wi-Fi, and pet-friendly policies, making it an attractive choice for travelers seeking convenience and value. The company partners with local suppliers to provide fresh and sustainable food options, reinforcing its dedication to quality and community engagement. This focus on local partnerships not only enhances the quality of their offerings but also supports sustainable practices within the communities they serve. With a reputation for reliability and comfort, B&B HOTELS GROUP has become a preferred choice for those exploring popular destinations like Florida and various cities in France. The target market includes tourists seeking convenient lodging options, as well as business travelers looking for essential amenities that cater to their needs. Overall, B&B HOTELS GROUP strives to create memorable experiences for its guests, making it a leader in the affordable hospitality sector.",France,1278.00867,,,
Groupe Barrire,1073705881.0,"France, Île-de-france, Paris, 33 Rue D'artois, 75008",https://www.linkedin.com/company/groupe-barriere,www.groupebarriere.com,"Founded in 1912 by François André, the Group has grown over the years under the successive stewardships of Lucien Barrière, Diane Barrière-Desseigne and Dominique Desseigne to become France’s leading casino operator, a standard-setter in the luxury hotel sector and a global player in the leisure and entertainment sectors. Barrière has designed unrivalled offers in the field of high-end leisure, founded on a commitment to operational excellence, service quality and French art de vivre. The Group today operates 33 Casinos Barrière (including one opening soon in Abidjan), 16 Hôtels Barrière (a majority are 5-star, including one under construction in Courchevel ) and more than 120 restaurants and bars, including the famous Fouquet’s in Paris (with branches in Marrakesh, Cannes, Toulouse and La Baule). It also stages more than 3000 shows and events every year. With more than 6000 employees, the Group posted earnings of €1.21 bn for the financial year to 31st October 2015. Barrière has an excellent reputation in the catering industry and serves more than 2 million meals each year. With twelve spas (in Cannes, Courchevel, Deauville, Dinard, Enghien-les-Bains, La Baule, Lille, Marrakech, Paris and Ribeauvillé), one thalassotherapy centre in La Baule, one balneotherapy centre in Ribeauvillé, three golf and two tennis clubs (with more than 32 clay courts), Barrière is also an established name in the well-being and sport sector. The Group is well known for its chain of resorts located in internationally-renowned tourist destinations.",France,1073.705881,,,
Louvre Hotels Group,989493655.0,"France, Île-de-france, Puteaux",https://www.linkedin.com/company/louvre-h-tels,www.louvrehotels.com,"Louvre Hotels Group is a major player in the global hospitality industry, with a portfolio that now includes over 1,750 hotels in 70 countries.  It has a full hotel offering, spanning 1 star to 5 stars, with the brands: Première Classe, Hosho, Kyriad, Campanile, TULIP Hotels & Residences, Golden Tulip and Royal Tulip; the 5 brands of the Sarovar network in India, the French Group Hôtels & Préférence and the brand TemptingPlaces. Louvre Hotels Group is a subsidiary of Jin Jiang International Holdings Co., Ltd., the 2nd hospitality group in the world.",France,989.493655,,,
MAMA SHELTER,858496859.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/mama-shelter,www.mamashelter.com,"Mama Shelter is a vibrant hospitality brand that redefines the traditional hotel experience by offering a unique blend of comfort, style, and culinary excellence across its various locations worldwide, including cities like Nice, Paris, and London. The company operates hotels and restaurants that cater to a diverse clientele, including leisure travelers, families, and business professionals, creating a welcoming atmosphere that encourages community and connection. Mama Shelter's mission is to create inclusive environments where all guests, including those with disabilities, can enjoy their services without barriers, ensuring that everyone feels at home. With a focus on sustainability and local partnerships, Mama Shelter enhances the guest experience by collaborating with local artisans and chefs to provide authentic culinary offerings and lively events. The brand's vision emphasizes accessibility, both physically and digitally, as it strives to improve the overall experience for all customers. Mama Shelter targets a modern audience that values creativity and comfort, appealing to young professionals, families, and tourists seeking engaging and memorable stays. Through innovative programs like Disloyalty, Mama Shelter partners with various organizations to offer exclusive benefits for dining and travel, further enriching the guest experience. The company aims to be a go-to destination for those looking for quality food, lively social spaces, and a sense of community, all while supporting the neighborhoods in which it operates. With its eclectic design and commitment to exceptional service, Mama Shelter continues to expand its footprint in key cities around the globe, fostering a sense of belonging and creativity in every location.",France,858.496859,,,
