Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Lastrea Serviced & Virtual Offices Ltd,439845.0,"Cyprus, Nicosia, Nicosia, 9 Archbishop Makarios Iii Avenue, 1065",https://www.linkedin.com/company/lastrea-serviced-&-virtual-offices-ltd,www.officespace.com.cy,"Cyprus Office Space - Unbranded Serviced Offices, Virtual Offices, Conference Rooms, HD Video Conferencing Facilities, Business Support Services,  IT, Telecoms and Web. The FULL scope of services at any scale and size Serviced Offices from € 249 per month! Our range of Office Space packages cater for virtually all business requirements. Our standard features include - a Physical Suite OR up to 80 Hours per Month Hot-Desk Option; 30 min. free HD Video Conference - DAILY; 1 Free Dedicated Telephone Line per Suite; Free Client Signs on Office Doors, Simplified Billing with No Hidden Extra Charges, Bespoke Packages Available Upon Request Virtual Offices from € 37.50 per month! We have Enhanced Virtual Office Services that combine the virtual element with commercial substance at the most Prestigious Business Address in Cyprus. Our Virtual Office packages (4 options) are  the  most  reasonably  priced in the market A. ENTRY LEVEL € 37, 50 per month (for low call / fax volumes) - Unique (to your company) telephone and fax number; Personalized call answering by professional telephone operators; Message forwarding to your instructions B. VO STANDARD PACKAGE  € 79 per month (for low activity – calls / mail / faxes – volumes) - includes package A. above PLUS…Business Address / Mailing Address & Mail forwarding by scan email C. VO PREMIUM PACKAGE € 115 per month (for SMALL NUMBER OF VISITS) -  includes package C. above PLUS …Visitor reception, handling and management (AND communication with you – notification); Use of Business Address as Company Registered Office D. VO PREMIUM PLUS+ PACKAGE € 189 per month (for low activity volumes – visits / calls / mail / faxes / support work) - includes package C. above PLUS …Concierge Service; Travel arrangement Service; Meetings schedule management; Basic secretarial and admin support; meetings support by our staff in a personal and friendly manner. For more information or specific requirements please contact us.",Cyprus,0.439845,,,
QLS - Quality Luxury Services,626883.0,"Cyprus, Nicosia, Nicosia, 7a Atho, 1087",https://www.linkedin.com/company/qls-quality-luxury-services,qlstravel.eu,"At QLS we believe your vacation should be exactly as you expect. With a pinch of something special. This is why we offer top-tier concierge services that do not simply make you feel at home, but also surprise you with quality, carefulness and creativity. From housekeeping to transport, from personal security to entertainment, from commodities to special events: we can propose and organise every aspect of your stay in Greece, whatever your requirements are. At QLS we feel that what matters more is to get to know you and your specific needs: we do not work with price lists and catalogues, but rather we listen, we understand, and then we design services entirely made-to-measure for you. Before your arrival, you tell us what you need to find ready and set for your holiday: a clean, aired out house, a professional staff waiting for you, fresh produce and fine drinks. During your stay, you express wishes that arise at the moment following your mood, indulging whims, embracing the feeling of freedom: a boat tour, a ticket for a special event, a party at your abode. Our commitment focuses on turning your requests, your desires, your caprices into reality. At QLS we prize confidentiality, privacy and transparency above all. You can rest assured that our staff, partners and providers work by these principles, so that all services are fulfilled discreetly and efficiently, while pricing and transactions are clear. You spend your time doing what it is most important, being certain that we carefully and promptly handle all your requirements. QLS: how to please",Cyprus,0.626883,,,
Limassol Del Mar,6895713.0,"Cyprus, Limassol, Limassol, 117-123 Georgiou A Avenue, 4046",https://www.linkedin.com/company/limassol-del-mar,www.limassoldelmar.com,"A world-class seafront development, in ultra-desirable coastal Limassol in Cyprus, with unobstructed sea views from all apartments. This landmark development consists of luxury residences that will enjoy in-house services, concierge, exceptional facilities and a unique high-end shopping and dining plaza.",Cyprus,6.895713,,,
DOMS Business Centre,626883.0,"Cyprus, Nicosia, Nicosia, 33 Neas Engomis, 2409",https://www.linkedin.com/company/doms-assets-business-centre,www.domsbusinesscentre.com,"DOMS BUSINESS CENTRE (former NBC – Nicosia Business Centre) is a modern business centre located in the heart of Nicosia’s thriving and fast-growing Engomi neighbourhood. Under new management since 2017, Doms Business Centre offers fully furnished offices and conference rooms tailored to your exact needs. The Centre affers a unique feature - indoor garden with live plants and stream that add vibrancy and vitality to entire building. Looking for and setting up an office can be tedious, therefore at DOMS we offer you hassle-free office solutions and manage the operations side of running an office. By becoming a resident at DOMS Business Centre you get: - Fully equipped offices with latest IT and telecoms infrastructure that can accommodate an independent entrepreneur or a company,  - Conference rooms with TV screens, internet connection and stationery,  - Breakout areas, which can also be used for informal meetings, - Concierge-quality support from our friendly multilingual staff - reception and mail handling, IT and admin support, cleaning services. - Cafeteria with a variety of snacks and refreshments - Indoor garden with live plants and running stream of fresh water - Parking - 24/7 access and security This ensures that you can instantly move in and focus only on your business and customers without worrying about utilities or infrastructure. WE CARE: - About your and your clients’ comfort - your office is equipped with ergonomic furniture and climate control, - Sustainability of our environment – solar power, energy-saving lighting, water purifiers and nature friendly cleaning supplies, - Well-being of our residents – healthy lunch upon arrangement, security and 24/7 access.",Cyprus,0.626883,,,
Selling Cyprus,1239155.0,"Cyprus, Pafos, Paphos, 8042",https://www.linkedin.com/company/selling-cyprus,sellingcyprus.com,"Welcome to Selling Cyprus! Recently founded by deVere Forster & Marina Mogutova, it's the newest place to watch luxury home tours in Cyprus. Selling Cyprus recognises the importance of delivering outstanding results and a FIRST CLASS SERVICE. REAL KNOWLEDGE - REAL PEOPLE  Selling Cyprus is your go-to place to watch Cyprus luxury villa & apartment tours. We are a great resource for overseas buyers helping them find a new home without the need to jump on a plane to carry out their own search. Join us as we travel Cyprus touring all things property.  We are a pair of passionate property lovers based in Paphos, Cyprus who love touring properties. We use our own recent experience of buying a villa in Cyprus as we understand first hand the struggles and frustrations the overseas buyers often face. Through watching our videos you will see us tour and vlog all things property related and drop some tips along the way. EXPERIENCE A new unique experience is coming your way. Each property will come with a detailed video tour to help you shortlist those that you really want to see yourself! See it when you want, wherever you want, and as many times as you want … saving yourself time and unnecessary travel. TRUST We will offer you unbiased advice and recommendations in your search for your new home, resulting in an experience that is simple, stress-free and most importantly one where trust, integrity and honesty is at the heart of all discussions. CONCIERGE SERVICES Finding and buying a new home is much more than just a transaction through a Real Estate Agent. With our unique set of concierge services, we will assist you every step of the way, so you don't have to worry about searching for companies and service providers related to the purchase of your new home",Cyprus,1.239155,,,
Mykonos Luxury Collection,626883.0,"Cyprus, Nicosia, Nicosia, 39 Dimofontos Nicosia, 1075",https://www.linkedin.com/company/mykonosluxurycollection,www.mykonosluxurycollection.com,"MYKONOS LUXURY COLLECTION, specializes in luxury & premium properties in Mykonos. Has a wide client base worldwide, which includes some of the most well-known names in the Luxury Real Estate business world, who entrusted us with both their housing and commercial real estate needs. We have a close working relationship with respected architects, civil engineers and surveyors, and this team can take care of all stages of construction, from the initial dig to the final landscaping, based on the clients’ exact specifications. MYKONOS LUXURY COLLECTION deals with Mykonos Luxury Real Estate & bespoke concierge services. We are confident we can address all accommodation requirements of our clientele, based on our specialized staff and our close attention to detail. Having said that, we- in Mykonos Luxury Collection -are determined to provide you with tailor-made products (whether they may be Real Estate properties, Luxury villa rentals, concierge services or Luxury Yachting), and achieve customer satisfaction. We are proud to admit that we have done it successfully, for all of our customers all these years, why not for you and your family? In our portfolio we have more than 300 luxury villas and 100 of them are in our Private collection not published only upon request.",Cyprus,0.626883,,,
U Travel,1082278.0,"Cyprus, Nicosia, Nicosia, 29 Diagorou Avenue, 1097",https://www.linkedin.com/company/u-travel---corporate-travel-management,www.utravelair.com,"U Travel Group A committed team of experienced, multilingual specialists on call 24/7, offering a complete range of corporate travel, migration, relocation and concierge services, tailor-made to the needs of our clients. OUR BRANDS U Travel is a trusted industry leader, finely curating sophisticated corporate travel solutions for our network of valued clients. We offer the full spectrum of refined corporate travel services for your definitive ease, comfort and convenience. • Bespoke travel itineraries tailor-made according to personal needs and requests. • Access to our network of over 187,000 hotels and properties. • Flexible air travel solutions with a network of 200+ airlines and 7000+ private jets. • Meet & Greet and Chauffeur services. Served First was born from a deep-rooted passion for service and an informed appreciation of the finest things in life. We have become a trusted provider of concierge services meticulously meeting our clients’ lifestyle needs – no matter how big, small, unique or extraordinary. • Full spectrum of relocation and migration services for companies and international private clients relocating to Cyprus. • Property Management for residential and commercial real estate. • Global concierge network of on-the-ground expert partners and contacts. • Lifestyle concierge services for private residences and offices. With over 15 years of experience operating at the highest level of the corporate travel and concierge market, the U Travel Group is now a trusted expert, successfully managing and consulting the needs of over 2000 renowned corporations and C-level executives both in Cyprus and abroad. As an integral part of the U Travel family, our clients inspire us to deliver a better experience. Your privacy is our priority, therefore all bookings, correspondence and services are fully confidential, and discretion is of the utmost importance.",Cyprus,1.082278,,,
Rnt Maclaren International Ltd- Luxury Yachts,3146670.0,Cyprus,https://www.linkedin.com/company/rntmaclaren,www.rntmaclaren.com,"We are proud to have been in business since 2009, and at RNT MACLAREN, our company is all about delivering sensational service and experiences. 5 Star Service, high availability and a premium activity range are what make our brand brilliant. Our yachts, private jets, concierge and real estate are all high-end. It’s important to us that our clients get to experience the point-of-difference we’re so proud to offer. Our Vision: is to supply elegance and excellence to each and every one of our clients. We aim to exceed the very best of international luxury lifestyle standards, and inspire new waves of exclusive enjoyment. Our Values: center around the successful delivery of unique, unforgettable, one-of-a-kind experiences, supported by premium yacht, jet fleets, along with regal real estate options too.",Cyprus,3.14667,,,
IGM TOUR,557518.0,"Cyprus, Pafos, Paphos, 8820",https://www.linkedin.com/company/igm-tour,www.igmtour.com,IGM TOUR is a luxury travel company that offers high quality concierge services for private individuals and corporate organisations in Greece and Cyprus. Our team is comprised of experienced professionals with extensive knowledge of hospitality so we are determined to make your stay a memorable one. Browse our services for private individuals and corporate clients today and learn how IGM Tour has developed its reputation for excellence while serving those who choose to live in the lap of luxury.,Cyprus,0.557518,,,
Cyprus VIPvillas,208224.0,"Cyprus, Limassol, Kanika Building",https://www.linkedin.com/company/vipvillas,www.vipvillas.eu,"VIPvillas.eu is a full-service sales and marketing online platform specializing in the luxury rent villas market in Cyprus. VIPvillas.eu promotes luxury villas and resorts throughout the island. We all look forward and plan our next vacation, the one that’ll remind us what’s really important: being together and enjoying life. At VIPvillas.eu, we go the extra mile to make sure you get the best quality during your holidays in Cyprus. Here’s how we differ from the rest of rental online platforms and websites: CAREFULLY SELECTED AND PERSONALLY INSPECTED VILLAS Setting a New Standard of Excellence Renting a villa on other websites can be risky. Who's seen them? Who's actually been there? We’re different from the others. Our local team and partners personally inspect every villa. Yes this means we don’t offer hundreds of thousands of villas, but you can rest assured that the ones we do offer are the very best. NO MEMBERSHIP FEES Believing Our Guests Deserve the Best As a villa rental service, VIPvillas.eu offers you complimentary concierge services, island wide guest support, as well as villa specialists to help you find your perfect villa - all without charging any membership fees.",Cyprus,0.208224,,,
