Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Air Atlanta,762926046.0,"Iceland, Capital Region, Kópavogur, 3 Hlidasmari, 201",https://www.linkedin.com/company/air-atlanta-icelandic,www.airatlanta.com,"The Air Atlanta brand consists of two sister airlines, “Air Atlanta Icelandic” with headquarters in Iceland and “Air Atlanta Europe” in Malta. Operating a fleet of B747-400 and B777s, Air Atlanta has over its 39 year history, proven itself as one of the leading ACMI & Charter service provider in the world.   Committed to providing our customers around the world with exceptional ACMI-, Charter- and Aircraft Management services, the two sister airlines complement each other and benefit from shared ownership and the support and know-how of their senior management - which never compromises on safety-, operational- and quality standards.",Iceland,762.926046,,,
Icelandair,2403848235.0,"Iceland, Capital Region, Reykjavík, 101",https://www.linkedin.com/company/icelandair,icelandair.is,"Icelandair is an international airline and the largest subsidiary of Icelandair Group, which in addition to its own route network handles flight operations for sister companies Loftleidir and Icelandair Cargo.  Icelandair offers an in-flight store, Saga Shop and operates the Icelandair Saga Club, expanding its relationship with customers. The Icelandair hub is located at Reykjavik/Keflavik International Airport in Iceland.",Iceland,2403.848235,,,
AVEO New Zealand,33544000.0,"Iceland, Wellington, 6140",https://www.linkedin.com/company/aveo-new-zealand,www.aveonz.co.nz,The AVEO Smartplanes project is on hold in Europe due to the GFC. AVEO New Zealand is now not trading. If you are interested in a similar aircraft you might like to look at the new C162 LSA at http://www.flightline.co.nz/cessna_aircraft/cessna162skycatcher.asp,Iceland,33.544,,,
Iceland Express,20138688.0,"Iceland, Capital Region, Reykjavík, 7 Ármúli, is-108",https://www.linkedin.com/company/iceland-express,,Iceland Express operations have been overtaken by WOW air. Iceland Express operations have been overtaken by WOW air. Iceland Express operations have been overtaken by WOW air. Iceland Express operations have been overtaken by WOW air. Iceland Express operations have been overtaken by WOW air. Iceland Express operations have been overtaken by WOW air. Iceland Express operations have been overtaken by WOW air.,Iceland,20.138688,,,
Flugskóli Íslands,9014163.0,Iceland,https://www.linkedin.com/company/flugsk-li-slands,www.flugskoli.is,"Icelandic Flight Academy, is the largest Flight Training Organization in Iceland and a holder of IS FTO 001 certificate, issued by Icelandic Civil Aviation Authority - ICAA. The Icelandic Flight Academy provides flight training in following area: •PPL(A) Private Pilot Course •Night Rating Courses •SEP(A) Class Rating Courses - Modular Course •MEP(A) Class Rating Courses - Modular Course •ME IR(A) Multi Engine Instrument Rating Course - Modular Course •CPL(A) Commercial Pilot Licence - Modular Course •ATPL(A) Theoretical Course - Modular Ground Course •MCC(A) Course •FI(A) Flight Instructor Course •CRI(A) Class Rating Instructor Course •IRI(A) Instrument Instructor Course •TRI(A) MPA Type Rating Instructor Courses - Multi Pilot Airplane - On individual  request •Airbus 310  / 300 to 600 •Boeing 737  / 300-500 •Boeing 757 •BAe Jetstream 31/32 •Dornier  328-300 •FI(A) Refresh Course •Air Traffic Controller Initial Courses •Cabin Crew Initial Courses",Iceland,9.014163,,,
AviLabs,8616971.0,"Iceland, Capital Region, Reykjavík",https://www.linkedin.com/company/30875377,www.plan3.aero,"AviLabs is a software company based in Iceland, revolutionizing how airlines manage passenger disruptions through industry expertise and passenger-first solutions. Our flagship product, Plan3, is a groundbreaking, fully automated disruption management platform that helps airlines reduce disruptions, enhance customer experiences, and optimize operations. AviLabs also offers the ImPax Report, which provides critical insights into the passenger impact of airline disruptions, and hosts the Grounded summit, where industry leaders collaborate on solutions to the most pressing challenges in disruption management.",Iceland,8.616971,,,
WOW Air,8300370.0,"Iceland, Capital Region, Washington - Reykjavík - Rome",https://www.linkedin.com/company/wow-air,wowair.com,"WOW air is an International airline based in Dulles, Washington and Reykjavik, Iceland.",Iceland,8.30037,,,
Dohop,7721904.0,"Iceland, Capital Region, Reykjavík, 4 Katrínartún, 105",https://www.linkedin.com/company/dohop,www.dohop.com,"Dohop, headquartered in Reykjavík, Iceland, is a leading provider of alternative interline solutions. By facilitating air-to-air and air-to-ground alternative interline partnerships, Dohop empowers airlines to unlock unlimited connections and tap into new demand through new partnership opportunities. Dohop also provides connection protection services for passengers with a high-performing TrustScore of 4.2. Founded in 2004, Dohop's team of over 100 passionate travel technology experts empowers more than 85 airlines and travel providers, including easyJet, Transavia, Air France, Vueling, and Air Transat, to create new opportunities for connecting journeys.",Iceland,7.721904,,,
Norlandair,5092681.0,"Iceland, Northeast, Akureyri, 600",https://www.linkedin.com/company/norlandair,www.norlandair.is,Norlandair operates domestic flights in Iceland as well as flights to Greenland. At the end of the year 2023 Norlandair took over operating air ambulances in Iceland.,Iceland,5.092681,,,
Niceair,4916816.0,"Iceland, Northeast, Akureyri",https://www.linkedin.com/company/niceair,www.niceair.is,"Niceair is an airline based in Akureyri, the capital of North Iceland.",Iceland,4.916816,,,
