Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Banedanmark,1746401850.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/banedanmark,www.banedanmark.dk,"I Banedanmark skaber vi forudsætningen for, at hundredtusindvis af danskere hver dag kan tage toget, og transport af mange tusind tons gods. Lige nu bygger vi en helt ny attraktiv, grøn jernbane, mens vi holder den gamle kørende. Vi sætter strøm til banen, så der kan køre klimavenlige tog. Vi indsætter nye, digitale signalsystemer og bygger en højhastighedsbane til Europa. Og vi styrer togtrafikken og informerer om den på stationernes skærme og højtalere på fjernbanen.  Banedanmark er en styrelse under Transportministeriet med mere end 2.500 medarbejdere. Hovedkontoret ligger på Carsten Niebuhrs Gade 43 i København, men vi har dygtige og dedikerede medarbejdere i hele landet.  Vil du også være med? Læs mere på www.banedanmark.dk/job  RETNINGSLINJER FOR BANEDANMARKS LINKEDINSIDE Tak, fordi du er aktiv i debatten på siden. Vi ønsker en åben dialog, og vi vil meget gerne have kommentarer, forslag og feedback. Banedanmarks LinkedIn-side skal være et godt sted at være for alle. Derfor har nogle få retningslinjer for siden: • Indlæg, som er injurierende, hadefulde, racistiske, diskriminerende, krænkende eller truende, eller på anden måde i strid med dansk lovgivning, slettes. Gentagne overtrædelser medfører udelukkelse fra siden uden varsel.  • Kommentarer til opslag, der ikke har noget med opslagets emne at gøre, slettes.",Denmark,1746.40185,,,
GoCollective,264721370.0,"Denmark, Capital Region, Kastrup, 26 Skøjtevej, 2770",https://www.linkedin.com/company/dkgocollective,www.arriva.dk,"At GoCollective (formerly Arriva), we are in this journey together. With our approximately 2,000 employees spread across the country, we work to create good and cohesive public transport. We operate buses, trains, and harbor buses—and have been doing so for over 20 years. As the country’s largest private operator with more than 80 different nationalities employed, we are an important knowledge actor in the political arena, and we are happy to share our experience. Our diversity is our greatest strength, and every day our employees go to work with dedication, responsibility, and the strong customer focus that characterizes GoCollective.",Denmark,264.72137,,,
Aarsleff Rail A/S,178410078.0,"Denmark, Hasselager Allé",https://www.linkedin.com/company/aarsleff-rail-a-s,www.aarsleffrail.com,"Aarsleff Rail A/S er et førende dansk jernbaneentreprenørselskab. Vi har kompetencer inden for alle banetekniske discipliner og har gjort det til vores speciale at udtænke, planlægge og udføre alle former for infrastrukturprojekter på og omkring det danske jernbanenet.  Vi har fokus på effektive og innovative løsninger, og vores standarder for projektledelse og professionelt samarbejde er høje. Det gælder både før, under og efter projekterne, og vi stræber altid efter at levere den bedste løsning til vores kunder. Vi har søsterselskaber i Sverige og Norge og udfører opgaver i alle landene, ligesom vi arbejder i Tyskland. Vi beskæftiger ca. 750 medarbejdere og indgår i den internationalt positionerede Aarsleff-koncern. Læs mere om os på www.aarsleffrail.com",Denmark,178.410078,,,
Lokaltog,89620280.0,"Denmark, Zealand, Ringsted",https://www.linkedin.com/company/lokaltog,www.lokaltog.dk,"Lokaltog leverer effektiv togtransport, som hænger sammen med Sjællands andre kollektive transportmuligheder. Hvert år kører Lokaltog A/S med mere end 9,4 millioner passagerer. I det daglige vedligeholder vi 58 tog og 338 km spor. Lokaltog driver 9 lokalbaner:   110R/210R Østbanen 410 Tølløsebanen 510R Odsherredsbanen 710R Lollandsbanen 910 Nærumbanen 920R Frederiksværkbanen 930R Lille Nord 940R/960R Gribskov- og Hornbækbanen.",Denmark,89.62028,,,
IAT A/S,59786730.0,"Denmark, South Denmark, Esbjerg",https://www.linkedin.com/company/365414,www.iat.dk,"Thank you for visiting the IAT Company Page. We invite you to explore the many facets of IAT, a family-owned international freight forwarder & shipping company founded in 1931. EUROPEAN ROAD FREIGHT Flexible and tailored solutions for full loads, part loads and groupage to and from the Nordic countries, Great Britain & Ireland and the Continent. GLOBAL SOLUTIONS FOR AIR FREIGHT, SEA FREIGHT & COURIER IAT is part of a trusted airfreight partner network, offering full track & trace for small or large shipments by air or courier. Global shipping LCL & FCL with bonded warehouse. TRANSPORT & LOGISTICS OF CLASSIFIED GOODS IAT solves all classified goods logistics assignments with full flexibility, saftey & service.   ● Chemical industry & waste products   ● Own tankers & trailers   ●  ADR certified, specially trained drivers   ● Global network TMC INTERMODAL   ● Intermodal total concepts with global agency network   ● Combinations of road, sea and rail for Inter European & oversea transports   ● Environmentally friendly and competitive transport solution of liquid, classified chemicals   ● Approval for foodstuff and animal bi-products   ● Up to 27 tonne payload for international transports COMPLETE STORAGE SOLUTIONS FOR CLASSIFIED PRODUCTS   ● Approved tanks for receipt, storage, handling, labelling & shipping SERVICE CENTER & WORKSHOP IAT offers the most modern tank cleaning facility in Denmark for cleaning of tanker, tank containers and pallet tanks. In addition, our workshop and resident mechanics can assist with any and all repairs you may need. ------------------ CONTACT US Please do not hesitate to contact us for further information by email: iat@iat.dk or by phone to +45 7913 1000.",Denmark,59.78673,,,
RTC Transport A/S,38389374.0,"Denmark, Capital Region, Hvidovre",https://www.linkedin.com/company/rtc-transport-a-s,www.rtctransport.dk,"RTC Transport A/S, operating as NTG Uluslararası Lojistik A.Ş, is a leading international freight forwarding company that specializes in providing customized transport solutions across various modes, including road, rail, air, and ocean. With over a decade of experience, the company is dedicated to connecting Turkey with the global market through reliable and efficient logistics services tailored to meet the specific needs of its clients. RTC Transport A/S aims to deliver exceptional service by leveraging its extensive network of experienced partners and local offices in more than 20 countries, ensuring timely and effective communication. The company serves a diverse clientele, offering services such as road freight, project transport, express delivery, and comprehensive air and sea freight solutions, all designed to facilitate seamless logistics operations for businesses worldwide.",Denmark,38.389374,,,
Comodality Group,35319816.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/comodality-group,www.comodalitygroup.com,"Comodality Group is a logistics company providing full range of logistics services, including airfreight, ocean freight (LCL/FCL), trucking, rail solutions, warehousing, customs clearance and many related services. The name Comodality stems from a notion introduced by the European commission in 2006 in the field of the transport policy to define an approach of the globality of the transport modes and of their combinations. For the European commission the co-modality refers to a ""use of different modes on their own and in combination"" in the aim to obtain ""an optimal and sustainable utilisation of resources"".  Comodality was founded in Copenhagen in 2010 mainly focusing on project cargo from Scandinavia to the North American market. In 2017 the company change the strategy and focused on airfreight, ocean freight, trucking and railroad solution and other value adding services. The Comodality Group have fully owned offices in Denmark, Sweden, Norway, Finland, Germany, The Baltic Countries, Czech Republic, Poland and Spain.",Denmark,35.319816,,,
Bendix Transport Danmark A/S,22026690.0,"Denmark, Capital Region, Hvidovre, 39 Jernholmen, 2650",https://www.linkedin.com/company/bendix-transport-denmark-a-s,www.bendixtransport.dk,"TRANSPORT, LOGISTICS AND SERVICES Bendix Transport offers local and global transport - and logistics solutions. Big as well as small - but always focusing on the client to ensure that the prior dialogue and subsequent solution always is based on the needs of the individual client. BY AIR - RAIL - RIVER - ROAD AND SEA",Denmark,22.02669,,,
Port Of Hirtshals - Hirtshals Havn,20138688.0,"Denmark, North Denmark, Hirtshals, 11 Norgeskajen, 9850",https://www.linkedin.com/company/hirtshals-havn,portofhirtshals.com,"The Port of Hirtshals is an multimodal logistics centre situated in the heart of Scandinavia. The Danish port is the northernmost port on the European Westcoast, and many Norwegians refer to it as ‘the southernmost port in Norway’.  The Port of Hirtshals’ geographical position is a competitive strength. With the port’s location, directly to the North Sea, and only a short distance to one of the world’s busiest sea lanes, the possibilities of developing transport solutions are numerous.  The Port of Hirtshals has more than 60 ferries and ro/ro calls per week, and the port has services to five destinations in Norway, and services to the Faroe Island, Iceland, Russia, and Scotland: •	Bergen, Norway  •	Stavanger, Norway  •	Kristiansand, Norway  •	Langesund, Norway  •	Larvik, Norway  •	Torshavn, Faroe Islands  •	Seydisfjordur, Iceland  •	Reykjavik (Thorlakshöfn), Iceland •	Scrabster, Scotland The Port of Hirtshals is directly connected to the European motorway network. Motorway E39/E45 takes its starting point at the Port of Hirtshals, and continues to the German border and from there to the rest of Europe.  In 2015, a new combi terminal for rail traffic was established next to the port. Scheduled rail traffic has not yet been established, but more leading European rail operators are planning to start-up of traffic between Hirtshals and logistics centres in Europe.  In 2019, more than 150,000 trucks and trailers passed through the Port of Hirtshals, and approximately 20 % of these were craneable. The number of units and the increasing cargo traffic at the Port of Hirtshals underlines the potential for rail traffic between Hirtshals and Europe.  To obtain the benefits of combined transport in the transport sector, cooperation from all parties is essential.",Denmark,20.138688,,,
Blueline,15062970.0,Denmark,https://www.linkedin.com/company/blueline,blueline.ie,"Dun Laoghaire-Rathdown County Council in association with University College Dublin, St Vincent's University Hospital, RTE and the Sandyford Business Estates Association is promoting the development of the BlueLine Rapid Transit service. “BlueLine” will run from St. Vincents University Hospital (Nutley Lane) to the Sandyford Business Estate via University College, Dublin. It will offer a high quality, high-frequency, high-capacity public transport service featuring all the benefits of a fixed-rail tram system with the flexibility of being able to drive on the road.  The service will provide a public transport link between the DART, BUS and LUAS services. It will serve the major employment centres of St Vincent’s University Hospital, RTÉ, UCD and the Sandyford business estates. It will also improve connectivity between local communities in the area.    Ten stations will be provided along the route at the following locations: •	St. Vincent’s University Hospital  •	RTÉ •	UCD Main Gate •	UCD Central •	Roebuck Road •	Mount Anville •	Goatstown •	Kilmacud (Interchange with LUAS and ‘Park & Ride’) •	Stillorgan/ Sandyford (LUAS Interchange) •	Sandyford Central The promoters of this project have arranged for public information centres to be located at the Dún Laoghaire and Dundrum Council Offices; Beacon South Quarter; UCD main campus; the reception area of St. Vincent’s Hospital; the main canteen of RTÉ and the Merrion Centre.",Denmark,15.06297,,,
