Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
KKS-Uitzendbureau B.V.,1207218.0,"Netherlands, North Brabant, Berlicum, 1a Overbeeke, 5258",https://www.linkedin.com/company/kks-uitzendbureau-b-v,kks-uitzendbureau.com,"KKS Uitzendbureau B.V. is a newly established employment agency in the Netherlands, originating from its German mother company KKS GmbH. Having a portfolio of over 1000 employees within the Group, KKS Uitzendbureau B.V. offers all the services from a single source, at the same time being at the top of innovation and sustainability. Our services encompass tailor-made, forward-looking solutions  - from recruitment, pool management, labor dynamics predictions and planning and Employer branding. Our main sectors include logistics, production, building cleaning, facility management, concierge services and professional handicrafts. We believe people are the most valuable asset. That is why people choose KKS not only for above-average social benefits, but also for the core values KKS delivers.",Netherlands,1.207218,,,
WerkXL,2737039.0,"Netherlands, South Holland, Rotterdam, 85 Brielselaan, 2554",https://www.linkedin.com/company/werk-xl,www.werkxl.nl,"Wij werken vanuit een maatschappelijke betrokkenheid om werkzoekenden (nieuwe) kansen te bieden op werk. Het bedrijfsleven is hierbij een onmisbare schakel en staat dus bij ons centraal. WerkXL neemt werkgevers werk uit handen bij het tot stand brengen van een goede match.  Met onze dienstverlening ontlasten en faciliteren wij werkgevers en kwalificeren en begeleiden wij werkzoekenden naar vacatures. Uw partner bij resultaatgerichte personeelsoplossingen WerkXL heeft ervaring op het gebied van werving & selectie, opleidingen, begeleiding, detachering en Social Return. Hierdoor is WerkXL in staat de best beschikbare mensen te vinden voor de vacatures die u te vervullen heeft. Onze belasting- en subsidiescan tot vijf jaar terug levert meestal voordeel op. WerkXL bemiddelt daarom niet alleen de juiste mensen, maar zorgt ook dat die mensen aan de slag kunnen met optimale benutting van financiële voordelen voor u als werkgever.  Met onze Talentenpool 50+ laten wij talenten niet onbenut. WerkXL heeft al 8 jaar ervaring met flexpool oplossingen op gebied van detachering en payrolling binnen een full service concept . Veel van onze dienstverlening is op basis no cure – no pay en voor 100% Social Return.   Sterk in werk in de veiligheidsbranche WerkXL is al jarenlang actief in de veiligheidsbranche waarbij wij werkzoekenden kwalificeren voor functies zoals beveiliger, verkeersregelaar, industrieel brandwacht en toezichthoudende functies zoals gastvrouw, gastheer, conciërge en baliemedewerker. Neem contact met ons op voor een vrijblijvende kennismaking!",Netherlands,2.737039,,,
MV Security Services,235403.0,"Netherlands, Flevoland, Almere Stad",https://www.linkedin.com/company/mv-security-services,mvsecurity.nl,"MV Security Services is a professional organization that each application in security treats on individual way. These applications will be processed according to the specific requirements and arrangements of the client. MV Security Services is a specialized Security Consultant. We can give advice on all kinds of security problems.  Specialities; Events security, personal security, Driven Security Escort Service, porters (hotel, cafe and office) and Dog Security.  If you are looking for a reliable / consistent business for the security of your company, MV Security Services is the best and the right partner for your safety.  Event Security, Catering Concierge, Chauffeur Services / Safe driving, Dog Guides  For more information go to mvsecurity.nl",Netherlands,0.235403,,,
Mojo Gift - For Workplaces,3078915.0,"Netherlands, Utrecht, Soest, 3765",https://www.linkedin.com/company/mojo-gift,mojo-gift.com,"Another scented candle. Another forced smile. Gifting shouldn’t be this stressful. So we built Mojo Gift — the world’s first truly global, personalized gifting experience. One digital gift card. 100+ countries. 50+ languages. And a world of unforgettable moments to choose from — from Michelin-star dinners in Paris to hot air balloon rides over Cappadocia. But we don’t stop there. Every recipient gets access to a personal concierge who creates custom itineraries based on their passions, location, and schedule. If it’s not in our 100,000+ experiences, they tell us what is — and we craft it from scratch. A dream, a bucket list moment, a once-in-a-lifetime idea? No limits. No compromises. Just their ultimate bucket list, delivered. No guesswork. No shipping delays. No price tags. Just freedom, joy, and a story they’ll be telling for years. Global. Effortless. Deeply personal. This is gifting, reimagined.",Netherlands,3.078915,,,
Luxe-Villa,1183412.0,"Netherlands, Utrecht, Utrecht, 64 Soesterveen, 3452jm",https://www.linkedin.com/company/luxe-villa,www.luxe-villa.com,"At Luxe-Villa you can buy or sell a Luxury Villa,  Resales & New Developments. We also offer Luxury Villa rentals & long-term rentals in Sotogrande, Marbella & La Zagaleta in southern Spain.  Other services include interior design, concierge, valuations and removals.",Netherlands,1.183412,,,
LIV Residential,1253766.0,"Netherlands, North Holland, Amsterdam, 63 Minervalaan, 1077",https://www.linkedin.com/company/liv-residential,www.livresidential.nl,"LIV Residential (“LIV”) is an international housing company providing services for our residents as the LIV mobile application, digital conciërge, repairs, parcel delivery, leasing and smart mobility. LIV is owned by Orange Capital Partners. Orange Capital Partners is an institutional investor investing in >15,000 rental properties throughout the Netherlands, Ireland, Denmark and Finland. Visit the LIV website to see our properties: www.livresidential.nl",Netherlands,1.253766,,,
NOA//BRND MGMT OPS,5371164.0,"Netherlands, Overijssel, Enschede",https://www.linkedin.com/company/noa-brnd-mgmt-ops,www.noa-brndops.com,"NOA positions itself as a Brand Management Operations agency:  the production organisation of a brand consultancy, the extension of an advertising agency, the content provider for a media agency and the 24/7 brand concierge service for a brand owner.  As is the case with any concierge service, the goal is to provide tangible results, added value, and convenience to clients.  This is what NOA delivers: we continuously and consistently tell and convey a brand story and contribute to the value proposition in order to obtain and secure the desired brand experience, awareness, pride and positioning. We do this by means of: - Content marketing, in hard and soft copy: from editorials to brand films; - Community management on and offline, from social media channels to internal newsletters; - Event management on and offline, from product introductions to periodic webcasts by the management; - Experiential marketing, from an urban guerrilla approach and popup product experiences to visitor engagement at trade exhibitions; - Sponsorship & talent management, from activation to co-branding.",Netherlands,5.371164,,,
The Budapest Concierge,208224.0,"Netherlands, North Holland, Amsterdam, Erich Salomonstraat, 1087",https://www.linkedin.com/company/the-budapest-concierge,www.thebudapestconcierge.com,"Ready to discover this historic city but could use some local knowledge, tips and expertise? The Budapest Concierge is here to organise a tailor-made trip for you, taking into account all your wishes, ideas and personal interests.",Netherlands,0.208224,,,
Concierge Francis,5589593.0,"Netherlands, North Brabant, Oisterwijk, 27 Dorpsstraat",https://www.linkedin.com/company/concierge-francis,franconcierge.com,"We are the concierge service with personal managers for our clients, who will act as an intermediary between companies that offer goods and services for fiat currency and customers who want to use cryptocurrency when buying these goods and services.",Netherlands,5.589593,,,
Taylor Travel Management Group B.V.,4075710.0,"Netherlands, North Holland, Schiphol-oost, 68 Thermiekstraat, 1117",https://www.linkedin.com/company/taylor-travel-management-group,taylortravelmanagement.com,"Our clients demand for high-quality service. A2B Travel is specialized in providing VIP-services on an international level. We deliver Groundtransportation, Concierge, and Air Charter services for high profile clients. A2B Travel started many years ago delivering (luxury) limousine services throughout the Netherlands. By now, we have grown into a full service agency focusing on the European market. We provide our clients in The Netherlands with our own fleet consisting out the latest models of Mercedes-Benz. For ground-transportation in other European countries, we built a solid partner network to secure a high level of service. Besides groundtransportation, we can assist you in booking plane tickets, private flights and concierge services. Frankly, our goal is to provide you full comfort, in the field of travel and hospitality. Our experienced backoffice and operations will guarantee you an amazing traveling-experience.",Netherlands,4.07571,,,
