Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
AKACAN Holding,43263584.0,"Cyprus, Keryneia, Kyrenia, No 8 İnönü Caddesi",https://www.linkedin.com/company/akacan-holding,www.akacanholding.com,"Providing a broad range of services including education, finance, energy, construction, textile, white goods, furniture, technology, car rental services, health & wellness and export & import, Akacan Holding is one of the most reliable corporate institutions of Cyprus and has a significant market share in the island and continues to develop and grow.   As one of the major companies in Northern Cyprus, we continue to strive for “providing the best services to our employees and customers at high international standards by embracing a global management approach.” Today, with our highly qualified human resources exceeding more than 1000 experts and competent staff, our company  provides the highest employment in the sector  including marketing and sales fields",Cyprus,43.263584,,,
GetTransfer.com,23529312.0,"Cyprus, Larnaka, Larnaca, 10 Patron, 6051",https://www.linkedin.com/company/get-transfer,www.gettransfer.com,"GetTransfer.com is the number one marketplace for booking global mobility services, where you can book transfers, long distance trips, cab rides, hourly chauffeur driven car rentals and delivery services in any country in the world. Best prices, vehicle ratings, hospitality ratings, photos and vehicle descriptions are available before you pay.",Cyprus,23.529312,,,
Sun Rent A Car,15124399.0,"Cyprus, Nicosia, Nicosia, Abdi Ipekci Avenue",https://www.linkedin.com/company/sun-rent-a-car,www.sunrentacar.com,"Sun Rent A Car is the leading car hire company in North Cyprus. Sun Rent A Car was established in 1978 as a family business with a small fleet of cars. Since the first days of the company Sun have been providing customer oriented service, putting customers’ satisfaction first. Sun Rent A Car today is the most preferred car hire company for its well known reputation for customer oriented service and with the biggest fleet in North Cyprus with 240 cars.",Cyprus,15.124399,,,
EasyConferences,7142954.0,"Cyprus, Strovolos Nicosia, 10 Michail Georgalla, 2015",https://www.linkedin.com/company/easy-conferences,www.easyconferences.eu,"EasyConferences is a Professional Congress Organizer, (PCO), that specializes in the complete coordination of Conferences all over Europe and beyond. The company has been in business for over thirty years and has gained tremendous expertise in the Event Management sector. Through this expertise, the company has developed its own abstract submission and online registration systems that are widely used by many Academic and Medical associations.  The Abstract Submission Software is an extremely versatile tool that can be adapted to the specific needs of every conference. Within fifteen minutes, Program Chairs can very easily set up the parameters required for their specific needs and the tool can be used to invite reviewers, set up the reviewing process, contact participants throughout and compile the final program. Most recently the software has developed a platform that has been used to ease online conferencing.   The Online Registration Software acts as an one-stop-shop and allows users to not only register for the conference, but to also book and pay instantly for workshops, tutorials, accommodation, airport transfers, car hire, optional activities, etc. Furthermore, it allows users to modify the registrations at any given moment as many times as it is required . EasyConferences deals with all matters relating to the organization of a conference starting from inception all the way to the conference final report. Subject to the needs of an association or an individual client we can assist with initial bids, conference websites, abstract submission, online registration, online conference support in case of Hybrid/Online conferences, coordination of accommodation and social events, conference support services, conference secretariat, etc. Please visit our company website www.easyconferences.eu  for more information. We, at EasyConferences, look forward to the opportunity to being of service.",Cyprus,7.142954,,,
Sixt Rent A Car Cyprus,6067566.0,"Cyprus, Limassol, Limassol/lemesos, 107 Georgiou A' Belmar Complex 5c Germasogia, 4048",https://www.linkedin.com/company/sixtcyprus,cy.sixt.com,"SIXT is a leading international provider of high-quality mobility services. With around 7,500 employees worldwide in 2022 and our products SIXT rent, SIXT share, SIXT ride and SIXT+ we offer a uniquely integrated mobility service across the fields of car rental, car sharing, ride hailing and car subscriptions. With just one app – the SIXT App – we offer our customers digital access to more than 270,894 vehicles and around 5 million connected drivers in approximately 110 countries worldwide. Besides its own range of vehicles, SIXT also integrates services from more than 2,500 mobility partners, building a strategic, sustainable and future-proof alliance for mobility.   Our employees, technological expertise, the courage to change and the will to grow have made SIXT what it is today: one of the most innovative, fastest growing and profitable mobility companies in the world generating revenues of over EUR 3.07 billion a year in 2022. A strong customer orientation makes it possible to offer flexible and limitless mobility solutions tailored to individual needs – everywhere we operate. And with that we change the way people move around the globe - for good.",Cyprus,6.067566,,,
P.M. Tseriotis Ltd,5563000.0,"Cyprus, Nicosia, Nicosia, 144 Yiannou Kranidioti Ave. Latsia Industrial Area 2235, 1505",https://www.linkedin.com/company/pmtseriotis,www.pmtseriotis.com,P.M. Tseriotis Ltd comprises of operational and holding companies in Cyprus and Greece. Its origins go back to 1916 while the current Board of Directors consists of third and fourth generation family members. The group employees over 550 people and its activities include: - Sales and after-sales services of motor vehicles. - Car rental and leasing of motor vehicles. - Sales and distribution of branded fast moving consumer goods. - Logistics (3PL) services. - Manufacturing of home and personal care products. - Information Technology and Telecommunication services and sales,Cyprus,5.563,,,
ASTRA Self Drive Cars Ltd,4216019.0,Cyprus,https://www.linkedin.com/company/astra-self-drive-cars-ltd,www.astracarrentals.com,"ASTRA Self Drive Cars Ltd is the oldest Car Rentals Company on the island of Cyprus. Starting in 1946 with an ""Ariel"" motorcycle, today it is the most established name in the car hire sector with a fleet of over 1200 cars at your disposal.",Cyprus,4.216019,,,
LEOS CAR RENTALS,3650717.0,"Cyprus, Limassol, Limassol, Amathus Avenue, 4532",https://www.linkedin.com/company/leos-car-rentals,www.leos.com.cy,"Leos Car Rentals Cyprus is a pioneer in car rental services in Cyprus with over 30 years of experience to its credit. We have various car categories in our car fleet for our customers, ranging from luxury to low-cost rentals, with the best brands and topmost models in tow. Whether you are planning to visit Cyprus for sightseeing, leisure or business, we assure you that we can provide you with THE car of your choice, at amazingly low rental rates. We take pride in keeping the best rental brands in our car fleet and you can expect to find all kinds of economy and luxury cars here. Click into our Car Gallery to take a peek at the wide variety of cars that we rent out. Leos Car Rentals rental cars in Cyprus are mostly recent models and are well-maintained by the company. We offer car hire services in Paphos/Larnaca airport and downtown, Nicosia, Limassol, Ayia Napa, Famagusta, Polis or anyplace in Cyprus that you prefer. We offer our clients the liberty of selecting a demarcated pick-up/drop-off location in and within Cyprus or mention their own preferred location. Leos Car Rentals will convey and pick-up anytime, anywhere within the boundaries of the island. We are locals and car hire Cyprus is our special forte, thanks to the simple booking steps and the price promise that we adhere to. We always ensure that our clients get the finest cars and the best service in Cyprus at the most affordable rates. Expect to get additional discounts when you make your reservations online",Cyprus,3.650717,,,
Delta Wings Leisure,3123360.0,"Cyprus, Larnaka, Larnaca, 28 Hanion Str. Pania Court, 6030",https://www.linkedin.com/company/delta-wings-leisure,deltacy.com,"Delta Wings offers a holistic range of destination management services for groups of all sizes, including: Hotels, Excursions, Activities, Conferences, Car Hire, Ground Services and other Services.",Cyprus,3.12336,,,
Europcar Cyprus,2975123.0,"Cyprus, Limassol, Limassol, 86 Franklin Roosevelt, 3011",https://www.linkedin.com/company/europcar-cyprus,www.europcar.com.cy,"OUR HISTORY Europcar was established in Cyprus in July 1992 and has since grown to become the biggest car rental company on the island, with the largest fleet of cars available and offering the most extensive selection of vehicle types. As part of the Andy Spyrou Group of companies (ASG Ltd), Europcar Cyprus belongs to one of the most dynamic forces in tourism and trade in Cyprus today. With offices in all towns and resorts in Cyprus, and employing over 100 personnel, the companies within ASG are all highly respected for their commitment to high quality and are significant players in their fields of expertise, namely car rental, outgoing and incoming tourism, incentives & conference management and sports events. With branches in every major tourist resort in Cyprus and at both international airports, Europcar Cyprus offers customers complimentary 24hr island-wide breakdown cover. Our commitment to providing first class customer service at all times, combined with many years of experience in the car hire industry, has made us the rental firm of choice for many major tourist organizations from both home and abroad, including the Cyprus Tourism Organisation (CTO) and World Of TUI (Europe). OUR COMMITMENT TO QUALITY At Europcar Cyprus, we have a policy of continuous improvement to further grow our services without sacrificing quality. Development takes place not only to the fleet but also to our computer network, premises, and rental stations.",Cyprus,2.975123,,,
